順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,大腸がん 症状,467000,1800,2.757,-5.212,37,63,1,6,12,21,24,18,18
2,大腸がん,187000,1400,3.433,-0.428,37,63,2,5,9,18,24,21,21
3,大腸ポリープ,197000,1100,3.147,-0.001,39,61,0,3,6,17,28,25,21
4,大腸内視鏡検査,327000,910,2.47,-2.077,34,66,0,2,6,20,28,24,20
5,大腸がん 症状 女性 初期,141000,620,2.933,-0.379,6,94,1,7,13,21,25,17,16
6,大腸癌 症状 初期症状,15900,530,4.974,0,37,63,1,4,8,15,23,23,26
7,大腸癌 ステージ4 平均余命,14000,480,5.012,0,37,63,1,3,7,15,25,26,23
8,大腸がん ステージ4,46200,450,3.73,-0.001,37,63,1,4,10,20,26,20,19
9,大腸がん ステージ3,28600,390,4.058,0.469,36,64,1,3,9,20,26,21,20
10,膵臓癌,138000,370,2.441,0,40,60,1,5,8,16,23,22,25
11,大腸癌 ステージ,5400,360,5.644,0,48,52,0,8,16,20,22,17,17
12,抗がん剤治療,93100,330,2.714,17.248,39,61,1,3,7,17,24,22,26
13,腸閉塞,80700,330,2.84,-0.582,37,63,2,9,15,20,22,16,16
14,抗がん剤 副作用,93800,310,2.671,18.774,29,71,1,6,7,17,24,21,24
15,直腸がん 症状,73600,310,2.879,0,34,66,1,4,9,18,24,21,23
16,大腸がん 手術後,20500,310,4.21,0.005,29,71,1,2,5,15,25,24,28
17,大腸癌 転移しやすい臓器,10200,310,4.858,0,28,72,1,5,8,20,28,22,16
18,胃がん,71800,300,2.889,0.001,36,64,2,7,9,16,22,19,25
19,大腸ポリープ切除後の食事,70700,300,2.905,4.027,41,59,0,1,3,13,28,29,26
20,大腸,40000,300,3.456,4.735,41,59,2,7,10,17,22,20,22
21,腫瘍マーカー,104000,260,2.346,0.536,43,57,1,5,8,18,26,23,19
22,肺がん,71600,240,2.693,0.067,39,61,2,6,8,15,21,20,28
23,肝臓癌 初期症状,89100,230,2.376,0.016,35,65,1,4,9,18,26,21,21
24,腹膜播種,78200,230,2.534,2.296,30,70,1,6,9,18,25,24,17
25,大腸癌 生存率 最新,4200,230,5.422,0,40,60,0,1,4,20,31,24,20
26,大腸ポリープ 癌の可能性,27900,220,3.485,-0.002,32,68,0,3,8,20,32,22,15
27,大腸検査,44800,210,2.96,-1.791,35,65,1,5,14,25,26,16,13
28,直腸がん,18200,210,3.883,1.242,36,64,1,8,10,17,22,19,23
29,便潜血,62400,190,2.535,-0.869,42,58,1,5,13,26,27,17,11
30,モビプレップ,43800,190,2.875,1.843,35,65,0,8,13,25,25,16,13
