順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,甲状腺の病気,349000,22200,2.904,-0.004,26,74,1,3,7,18,29,22,20
2,甲状腺機能低下症,539000,19200,2.361,0,24,76,1,6,10,16,21,20,26
3,バセドウ病,457000,12500,2.038,0,32,68,3,13,16,23,24,13,8
4,橋本病,342000,11000,2.218,0.003,25,75,1,7,13,22,25,18,14
5,甲状腺 腫れ,90800,8800,3.309,0,17,83,2,8,12,23,28,15,12
6,甲状腺機能亢進症,256000,8600,2.247,0.009,23,77,2,8,11,23,27,17,12
7,甲状腺がん 症状,102000,8300,3.164,0,24,76,1,4,7,18,29,23,18
8,甲状腺 腫瘍,35200,4500,3.625,0,22,78,1,2,7,17,29,25,19
9,甲状腺 何科,32400,4400,3.639,0,18,82,1,7,16,25,27,14,10
10,バセドウ病 初期症状,103000,3400,2.231,-0.001,18,82,2,11,17,23,24,13,10
11,チラージン,68600,2700,2.435,0.684,26,74,0,11,14,20,23,17,15
12,甲状腺 血液検査,23300,2700,3.516,0,18,82,1,6,13,22,26,16,16
13,甲状腺がん,30600,2600,3.205,0,31,69,2,6,10,19,26,20,17
14,喉の違和感,125000,2500,1.754,-0.592,30,70,2,5,8,19,28,20,18
15,扁桃腺,112000,2500,1.83,0,38,62,7,20,24,22,15,7,5
16,橋本病 症状,69600,2200,2.194,1.291,21,79,1,6,13,20,26,19,15
17,自律神経,96900,1900,1.713,-3.895,35,65,3,9,15,22,21,15,15
18,tsh 血液検査,44900,1800,2.462,0.223,24,76,0,7,11,17,24,20,21
19,甲状腺ホルモン,20300,1800,3.213,0,33,67,4,20,14,18,19,13,12
20,リンパ腫,91300,1700,1.712,0.001,38,62,1,5,8,17,23,22,24
21,甲状腺 症状,13700,1700,3.539,0.001,15,85,2,9,16,23,25,13,12
22,咽頭癌,83300,1600,1.716,-0.08,40,60,1,5,10,19,25,21,19
23,伊藤病院,43700,1600,2.366,0.007,20,80,1,3,12,21,26,20,17
24,甲状腺腫瘍,13900,1600,3.521,0,23,77,1,6,11,21,28,19,14
25,隈病院,30800,1400,2.539,0.008,27,73,1,3,9,19,27,21,20
26,甲状腺機能低下,26000,1400,2.835,0,21,79,1,3,6,11,18,23,38
27,メルカゾール,30800,1300,2.497,3.001,29,71,1,11,15,23,25,15,10
28,亜急性甲状腺炎,19000,1300,2.949,0.931,25,75,1,7,14,23,28,17,10
29,サイログロブリンとは,17400,1300,3.127,6.188,23,77,0,6,8,15,25,24,22
30,甲状腺腫,12400,1200,3.289,0,22,78,2,8,10,23,27,18,12
31,tsh 高い,23600,1100,2.627,3.235,19,81,1,5,13,19,24,19,19
32,内分泌科とは,22300,1100,2.623,0.003,22,78,2,5,10,20,27,19,17
33,tsh 低い,18000,1100,2.828,0.349,16,84,1,7,16,22,26,16,12
34,甲状腺がん 生存率,14200,1100,3.138,0,29,71,1,5,9,21,27,21,16
35,甲状腺クリーゼ,22500,1000,2.546,0,23,77,2,27,24,21,15,7,4
36,副甲状腺,11700,1000,3.229,0.001,32,68,3,9,10,20,25,17,16
37,甲状腺の腫れ,9500,1000,3.431,0,16,84,1,6,10,18,30,20,15
38,甲状腺手術,5400,1000,4.008,0.001,22,78,0,3,6,17,31,24,19
39,バセドウ病 寿命,26400,990,2.372,0.884,27,73,3,10,13,19,26,18,11
40,甲状腺とは,11500,990,3.2,0,42,58,8,20,20,20,16,7,9
41,甲状腺 腫れ 見分け方,8100,980,3.514,0.001,11,89,2,12,22,27,23,8,6
42,バセドウ病 難病指定,18200,920,2.655,0.464,20,80,2,7,13,22,29,17,10
43,ヨウ素,42800,910,1.822,0.008,50,50,6,5,8,16,22,20,23
44,チラージン 効果,22100,890,2.459,1.908,18,82,0,7,11,20,27,19,16
