順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,粉瘤,414000,170,2.05,-0.002,37,63,3,10,17,25,23,13,9
2,皮下腫瘍,6300,130,5.93,0,39,61,1,8,14,25,25,16,11
3,梅毒 症状,276000,120,2.071,-2.16,50,50,2,18,23,25,19,8,5
4,蜂窩織炎,424000,100,1.536,0.508,29,71,1,7,13,21,24,19,15
5,ガングリオン,255000,100,2.06,-0.001,33,67,3,8,13,20,24,18,14
6,過敏性腸症候群,413000,90,1.429,-0.921,25,75,7,15,19,24,19,10,6
7,悪性リンパ腫,247000,90,1.907,-1.341,32,68,2,7,11,22,25,18,15
8,脂肪腫,78800,90,3.064,-0.002,33,67,2,8,15,23,25,16,11
9,尖圭コンジローマ,48000,90,3.603,-0.002,45,55,4,22,22,21,18,9,4
10,シェーグレン症候群,278000,80,1.775,0.999,20,80,1,7,9,17,26,23,17
11,鼠径ヘルニア,218000,80,2.022,-1.411,41,59,2,7,13,19,21,18,20
12,梅毒,203000,80,1.978,-0.002,48,52,4,17,23,25,18,8,5
13,毛嚢炎,101000,80,2.733,-2.563,30,70,4,17,22,24,18,9,6
14,フォアダイス,24200,80,4.17,0,60,40,11,26,25,19,12,4,3
15,狭心症,359000,70,1.306,-16.522,38,62,2,8,11,19,23,18,19
16,気管支炎 症状,333000,70,1.341,-45.148,30,70,2,10,19,25,19,13,12
17,デエビゴ,284000,70,1.53,48.982,34,66,1,9,12,20,24,18,16
18,潰瘍性大腸炎,276000,70,1.602,14.184,35,65,2,11,16,22,24,15,10
19,バルトリン腺嚢胞,45800,70,3.376,0.006,11,89,3,15,22,28,20,8,4
20,コロナ 薬,311000,60,1.329,-110.623,31,69,1,5,10,21,29,20,14
21,アムロジピン,294000,60,1.32,-9.252,40,60,1,7,7,14,24,23,24
22,甲状腺機能亢進症,260000,60,1.45,-26.699,23,77,2,8,11,23,27,17,12
23,カンジダ,256000,60,1.534,-8.446,27,73,5,22,22,22,16,7,6
24,クローン病,236000,60,1.558,-3.246,31,69,3,12,15,21,22,15,12
25,線維筋痛症,150000,60,1.983,-18.278,26,74,2,8,12,19,26,19,14
26,毛包炎,16100,60,4.208,0,31,69,4,16,22,25,18,9,6
27,骨粗鬆症,302000,50,1.328,9,24,76,2,5,5,12,22,25,29
28,ヘバーデン結節,274000,50,1.391,-11.566,20,80,0,2,5,15,30,27,21
29,突発性難聴,272000,50,1.37,-26.924,29,71,4,10,14,20,22,16,14
30,インフルエンザ 薬,264000,50,1.312,-34.742,31,69,1,4,10,26,31,18,10
31,心不全,263000,50,1.3,-84.812,34,66,2,7,10,18,24,19,20
32,ロコイド軟膏,261000,50,1.327,-2.955,25,75,1,7,17,23,20,16,16
33,心房細動,249000,50,1.478,-10.522,39,61,1,7,7,14,22,22,27
34,子宮内膜症,247000,50,1.419,-1.575,15,85,4,19,24,25,15,8,5
35,理学療法士,244000,50,1.313,-38.709,36,64,6,10,11,24,23,13,13
36,hspとは,240000,50,1.312,57.965,28,72,5,14,15,22,25,13,6
37,hba1c,227000,50,1.515,35.682,41,59,0,7,11,19,26,20,17
38,リベルサス,216000,50,1.525,11.149,30,70,1,12,19,25,24,12,7
39,マイコプラズマ肺炎 出席停止,198000,50,1.49,-86.985,18,82,5,5,17,43,20,6,4
40,タリージェ,192000,50,1.655,-28.046,35,65,1,5,9,18,25,20,22
41,子宮頸がん 初期症状,171000,50,1.734,-32.287,10,90,3,16,17,24,22,10,8
42,足底筋膜炎,171000,50,1.694,-14.907,34,66,3,7,14,26,22,12,16
43,ベーチェット病,155000,50,1.758,11.881,27,73,2,13,17,21,22,15,10
44,下肢静脈瘤,154000,50,1.83,-4.365,26,74,1,5,10,20,26,20,18
45,アテローム,40600,50,3.076,-27.664,34,66,2,8,15,23,23,17,12
46,性器ヘルペス,38700,50,3.319,-0.001,42,58,5,28,23,19,14,6,5
47,石灰化上皮腫,15800,50,3.996,0.677,25,75,3,11,22,28,18,11,7
48,変形性膝関節症,218000,40,1.341,-47.974,28,72,1,6,6,14,25,25,23
49,憩室炎,201000,40,1.305,3.65,32,68,1,5,11,19,24,21,19
50,アストミン錠10mg,198000,40,1.37,-50.045,30,70,1,5,13,26,23,17,15
51,ミレーナ,196000,40,1.433,16.673,26,74,2,9,24,34,18,8,5
52,アズノール軟膏,195000,40,1.495,94.021,27,73,1,5,13,19,21,20,21
53,インフルエンザ 検査,193000,40,1.394,-8.694,21,79,1,5,20,35,25,9,5
54,プレドニン,190000,40,1.345,78.836,28,72,1,8,12,21,24,18,16
55,pms 症状,187000,40,1.495,26.955,8,92,6,21,23,24,13,8,5
56,アトピー性皮膚炎,185000,40,1.434,-17.118,30,70,3,10,16,24,23,13,11
57,百日咳 症状,184000,40,1.333,84.147,26,74,4,7,17,27,21,14,10
58,睡眠時無呼吸症候群,184000,40,1.317,29.584,44,56,2,8,14,23,26,17,10
59,ガンマーgtpが高い,184000,40,1.314,8.877,43,57,0,3,9,22,32,20,14
60,mri,181000,40,1.357,-0.544,39,61,4,8,12,21,21,15,19
61,リンデロン,178000,40,1.487,12.803,33,67,1,9,16,22,21,15,16
62,脂漏性皮膚炎,176000,40,1.384,-82.186,31,69,2,12,18,24,22,13,9
63,泌尿器科,173000,40,1.536,-8.015,45,55,2,9,12,20,22,16,19
64,卵巣嚢腫,166000,40,1.561,-8.917,15,85,1,9,16,24,23,15,12
65,ゲンタマイシン 効能,165000,40,1.583,13.195,32,68,1,6,12,22,23,18,18
66,手根管症候群,157000,40,1.692,9.494,27,73,1,6,11,19,26,20,17
67,藤田医科大学病院,155000,40,1.558,13.045,37,63,1,6,8,16,23,21,25
68,egfr,149000,40,1.564,8.257,37,63,0,6,8,16,25,23,22
69,生理前 症状,141000,40,1.638,61.195,13,87,8,19,26,31,11,3,2
70,ネフローゼ症候群,131000,40,1.888,-25.635,32,68,2,13,13,21,22,15,14
71,関節リウマチ,121000,40,1.781,-0.002,30,70,3,11,11,16,23,19,17
72,乾癬,112000,40,1.871,-9.22,34,66,2,10,18,24,23,13,10
73,掌蹠膿疱症,109000,40,1.973,29.492,27,73,1,7,13,22,26,18,13
74,横紋筋融解症,107000,40,2.068,-43.672,32,68,1,11,11,16,21,20,20
75,虚血性腸炎,106000,40,1.89,-29.017,25,75,1,7,12,19,24,20,17
76,虫垂炎,105000,40,1.923,35.251,49,51,5,18,20,21,16,11,9
77,クエチアピン,98100,40,2.102,7.15,29,71,1,12,14,23,25,16,9
78,脊髄小脳変性症,91000,40,2.008,-13.978,26,74,2,12,19,22,21,14,10
79,多発性骨髄腫,88800,40,2.204,6.373,33,67,1,8,9,16,23,22,21
80,サルコイドーシス,83400,40,2.27,-28.623,31,69,1,9,12,20,24,19,15
81,チラージン,68300,40,2.312,22.046,26,74,0,10,14,21,23,17,15
82,梅毒 初期症状,61800,40,2.43,0.552,61,39,2,18,24,24,19,9,4
83,コンジローマ 症状,58500,40,2.547,-2.588,45,55,3,19,22,24,20,8,4
84,低カリウム血症,57600,40,2.614,-21.71,29,71,1,17,15,21,22,15,9
85,性器ヘルペス 男性 症状,25300,40,3.296,-0.376,75,25,3,19,22,21,18,10,7
86,軟性線維腫,23800,40,3.327,-0.001,26,74,2,8,20,30,24,11,5
87,陰部 しこり,6900,40,4.786,-0.002,11,89,4,22,27,27,14,4,2
88,皮下腫瘍摘出手術,4900,40,4.986,0.001,33,67,1,5,14,24,30,17,9
89,タケキャブ錠10mg,174000,30,1.327,26.745,36,64,0,2,8,16,23,23,28
90,前立腺肥大 症状,169000,30,1.329,0.718,65,35,1,3,5,12,21,25,33
91,ロスバスタチン錠2.5mg,165000,30,1.405,11.197,34,66,0,4,6,13,25,26,26
92,クレアチニン 高い 女性,163000,30,1.444,-19.321,6,94,1,4,8,20,30,20,17
93,アルツハイマー型認知症,157000,30,1.433,-95.905,33,67,2,7,7,15,26,20,23
94,糖尿病 診断基準,156000,30,1.424,31.804,42,58,1,7,10,14,22,22,24
95,足の付け根が痛い,156000,30,1.415,9.059,31,69,2,4,10,21,28,20,15
96,トイレのつまり 直し方,155000,30,1.303,16.671,41,59,2,5,12,22,24,18,17
97,順天堂大学病院,150000,30,1.527,17.798,37,63,1,4,9,15,24,23,24
98,ピロリ菌検査,150000,30,1.328,-13.571,32,68,1,4,12,22,26,20,15
99,ペースメーカー,149000,30,1.457,-64.159,37,63,3,7,9,17,24,19,21
100,半月板損傷,149000,30,1.332,-23.81,35,65,4,6,10,19,23,20,18
101,閃輝暗点,142000,30,1.541,0.721,29,71,3,8,14,21,22,16,16
102,ダニ,140000,30,1.355,-37.601,34,66,3,9,17,22,19,15,15
103,唐揚げ レシピ 人気,139000,30,1.37,-70.118,21,79,1,4,18,29,24,14,10
104,近視とは,138000,30,1.524,30.92,34,66,4,12,17,32,23,6,6
105,crp,138000,30,1.495,-51.403,36,64,1,7,9,17,21,21,24
106,酒さ,138000,30,1.478,0,21,79,2,10,17,24,23,13,11
107,胆嚢炎,138000,30,1.446,-7.385,35,65,1,6,11,19,24,20,19
108,ミノキシジル,138000,30,1.438,15.704,63,37,1,7,16,27,27,14,8
109,マルジェラ 財布,138000,30,1.305,-56.573,37,63,5,29,23,22,14,5,2
110,アクサ生命,136000,30,1.347,-27.45,44,56,0,6,16,22,25,18,13
111,気管支喘息,134000,30,1.458,4.549,30,70,3,12,18,23,18,14,12
112,褥瘡,134000,30,1.417,-36.041,31,69,2,11,11,18,25,20,13
113,スノーマン ファンクラブ,134000,30,1.303,18.823,10,90,3,10,19,26,22,14,6
114,サジー,133000,30,1.407,-104.124,17,83,1,7,24,30,19,11,8
115,病院,133000,30,1.375,79.008,46,54,3,8,11,17,20,19,22
116,抑肝散,132000,30,1.565,-0.653,24,76,1,7,14,25,26,16,11
117,レビー小体型認知症,132000,30,1.512,9.056,28,72,1,7,9,17,27,21,18
118,喘息,132000,30,1.487,-20.507,40,60,5,10,17,20,19,15,14
119,ゾコーバ,132000,30,1.453,-123.024,37,63,1,5,10,22,27,20,15
120,十二指腸潰瘍,132000,30,1.325,-146.589,36,64,2,10,15,21,24,15,13
121,ハンバーグ 焼き方,131000,30,1.381,43.011,39,61,1,9,18,25,22,13,12
122,レコルト 自動調理ポット,130000,30,1.415,27.363,13,87,0,4,11,18,27,24,16
123,橋本環奈 結婚,129000,30,1.416,-53.568,39,61,10,14,15,18,20,14,9
124,腫瘍マーカー検査とは,128000,30,1.503,-85.009,25,75,0,2,8,22,30,21,17
125,肺高血圧症,124000,30,1.518,-64.867,29,71,2,9,12,21,29,17,10
126,カンジダ 症状,123000,30,1.57,2.86,23,77,5,25,21,20,15,7,7
127,レボフロキサシン500mg,123000,30,1.522,14.889,33,67,1,6,12,19,22,20,20
128,シナール配合錠,123000,30,1.415,48.697,22,78,2,10,13,23,25,15,12
129,プレドニゾロン,120000,30,1.699,-16.842,29,71,1,11,12,20,24,17,15
130,着床出血,120000,30,1.457,27.397,13,87,6,31,41,16,3,2,1
131,pet 検査,119000,30,1.526,-32.055,37,63,0,3,7,20,28,21,21
132,結膜炎,119000,30,1.496,-39.747,30,70,6,16,31,24,12,6,5
133,全身性エリテマトーデス,118000,30,1.698,-28.062,20,80,2,16,16,21,23,14,8
134,マイコプラズマ 肺炎,118000,30,1.507,-46.874,32,68,5,10,25,34,17,6,3
135,ゲンタシン軟膏,117000,30,1.595,1.043,31,69,2,10,12,18,20,17,21
136,蜂に刺されたら 対処,117000,30,1.49,-23.133,33,67,2,5,10,20,23,21,19
137,稗粒腫,116000,30,1.634,38.401,14,86,4,12,21,26,22,10,5
