順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,胃がん 初期症状,295000,490,2.959,-5.701,33,67,1,6,13,20,24,18,18
2,胃がん,71800,400,4.202,-0.147,36,64,2,7,9,16,22,19,25
3,逆流性食道炎,621000,340,1.859,-2.929,32,68,3,9,15,21,23,16,13
4,胃潰瘍 症状,196000,270,2.775,-3.298,34,66,2,13,18,21,20,13,13
5,大腸がん 症状,467000,260,1.878,-5.919,37,63,1,6,12,21,24,18,18
6,胃癌 ステージ分類,6800,240,6.008,-0.003,54,46,2,8,13,19,19,18,21
7,胃癌 症状 初期,7400,230,5.891,-0.004,36,64,1,3,9,19,24,20,24
8,膵臓癌 初期症状,404000,220,1.873,-0.514,35,65,1,3,7,16,25,23,25
9,大腸がん,187000,210,2.593,-0.002,37,63,2,5,9,18,24,21,21
10,スキルス性胃がん,87300,200,3.281,0.741,32,68,2,8,15,23,22,16,14
11,ピロリ菌,238000,190,2.238,0.039,39,61,2,8,15,23,23,16,13
12,胃がん ステージ4,30200,180,4.264,0,35,65,2,6,10,20,23,19,20
13,胃潰瘍,56800,170,3.546,-0.006,38,62,6,21,21,18,16,9,9
14,胃がん 生存率,22000,170,4.49,0,41,59,3,9,12,21,21,16,18
15,潰瘍性大腸炎,281000,160,1.88,-0.146,35,65,2,11,16,22,24,15,10
16,悪性リンパ腫,240000,150,1.997,15.837,33,67,2,7,11,21,25,18,16
17,肺癌 初期症状は,227000,150,2.062,-13.393,35,65,1,4,9,18,24,22,22
18,食道癌 初期症状,159000,140,2.314,-1.116,38,62,1,4,8,17,27,24,19
19,膵臓癌,138000,140,2.458,-1.187,40,60,1,5,8,16,23,22,25
20,十二指腸潰瘍,136000,140,2.461,-3.045,36,64,2,10,15,21,23,16,13
21,胃がん 進行速度,16600,140,4.57,-4.858,31,69,1,5,9,20,25,20,20
22,胃癌 転移しやすい場所,4200,140,5.94,0,31,69,1,9,11,22,26,16,15
23,胃カメラ,123000,130,2.497,-0.002,38,62,2,6,13,22,23,18,16
24,食道がん,85300,130,2.848,0.001,42,58,2,6,9,18,26,20,19
25,胃が痛い,156000,120,2.191,-0.004,26,74,5,11,15,21,22,14,12
26,腹膜播種,78200,120,2.897,7.325,30,70,1,6,9,18,25,24,17
27,ファモチジン,208000,110,1.859,-8.683,29,71,1,10,14,22,24,16,13
28,大腸ポリープ,197000,110,1.916,5.219,39,61,0,3,6,17,28,25,21
29,膵臓,125000,110,2.321,5.543,46,54,2,6,9,17,24,20,22
30,食道裂孔ヘルニア,108000,110,2.427,3.516,33,67,0,6,12,22,25,19,16
31,大腸癌,13100,110,4.578,0.002,36,64,2,6,10,15,22,19,26
32,便秘,176000,100,1.924,8.005,35,65,3,7,11,16,19,17,27
33,膀胱癌,171000,100,1.928,-18.399,39,61,1,3,6,14,22,23,31
34,白血病,166000,100,1.978,-1.682,38,62,4,11,13,21,21,15,15
35,乳がん,156000,100,2.034,-0.018,25,75,2,5,8,19,26,21,19
36,機能性ディスペプシア,141000,100,2.102,3.781,27,73,2,11,16,21,22,16,12
37,抗がん剤 副作用,93800,100,2.552,-1.913,29,71,1,6,7,17,24,21,24
38,オプジーボ,89400,100,2.608,9.465,42,58,1,4,7,17,22,22,27
39,萎縮性胃炎,86700,100,2.608,-2.826,29,71,0,3,10,19,26,22,20
40,ダンピング症候群,41300,100,3.299,2.071,23,77,1,21,14,20,21,14,9
41,胃癌手術後の食生活,4300,100,5.677,0.621,30,70,0,1,3,10,26,25,35
42,胃癌の症状チェック,3600,100,5.897,-0.002,40,60,0,1,3,11,21,27,37
43,ピロリ菌検査,151000,90,1.925,9.441,32,68,1,4,12,22,26,20,15
44,胆嚢炎,138000,90,2.064,0.261,35,65,1,6,11,19,24,20,19
45,舌癌,113000,90,2.215,-0.546,36,64,3,8,13,19,22,17,18
46,抗がん剤治療,93100,90,2.471,1.966,39,61,1,3,7,17,24,22,26
47,肝硬変,66700,90,2.731,0.032,43,57,2,13,16,21,22,14,12
48,肝臓がん,61400,90,2.804,0,39,61,1,5,8,16,24,22,24
49,pubmed,53200,90,2.998,-20.086,68,32,1,19,22,27,17,9,5
50,癌,35400,90,3.412,-0.002,46,54,5,8,11,17,22,18,19
51,胃,30800,90,3.493,0.001,34,66,4,12,15,22,20,14,13
52,スキルス胃がん,21100,90,3.922,3.375,38,62,3,14,17,20,18,14,14
53,胃がん ステージ3,7100,90,5.039,0.004,39,61,2,4,11,21,24,18,20
54,高血圧,145000,80,1.848,-2.917,44,56,2,7,9,19,26,19,18
55,crp,135000,80,1.933,-9.202,36,64,1,7,10,17,21,20,24
56,腫瘍マーカー検査とは,133000,80,1.974,-2.504,28,72,0,2,8,22,30,21,17
57,エソメプラゾールカプセル20mg,122000,80,2.061,13.461,33,67,1,6,9,17,23,21,23
58,虫垂炎,106000,80,2.151,0.28,49,51,5,17,21,22,16,11,8
59,腫瘍マーカー,104000,80,2.206,1.463,43,57,1,5,8,18,26,23,19
60,タケキャブ錠20mg,94100,80,2.38,-2.024,38,62,0,5,8,15,22,22,28
61,肝臓癌 初期症状,89100,80,2.383,-0.005,35,65,1,4,9,18,26,21,21
62,タケキャブ,81600,80,2.448,9.939,36,64,1,18,13,18,19,15,16
63,肺がん,71600,80,2.567,-0.001,39,61,2,6,8,15,21,20,28
64,cvポート,68100,80,2.574,26.519,25,75,1,13,12,21,25,17,11
65,食道がん 症状,66100,80,2.65,-0.932,34,66,1,5,9,19,27,19,20
66,胃がん 初期症状 チェック女性,35200,80,3.248,-2.504,4,96,1,5,13,22,25,17,17
67,胃がん 食事,7000,80,4.862,0,14,86,1,3,6,18,30,24,18
68,pet 検査,121000,70,1.884,0.387,37,63,0,4,7,20,28,20,21
69,横紋筋融解症,117000,70,1.919,-7.496,32,68,1,10,11,16,21,21,20
70,六君子湯,100000,70,2.143,9.668,28,72,1,6,11,19,22,19,22
71,黄疸,96500,70,2.06,2.318,45,55,3,17,26,23,16,8,7
