順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,胆嚢摘出,114000,8800,3.424,0.316,38,62,0,2,6,14,26,27,25
2,胆石,154000,7300,2.919,0,37,63,1,6,12,20,24,19,18
3,胆嚢,91300,6000,3.251,0.001,42,58,3,7,10,17,23,19,21
4,胆嚢炎 症状 チェック,40300,5900,4.069,0.001,28,72,0,3,8,17,27,22,23
5,胆嚢癌 症状,45500,4300,3.629,0,30,70,0,3,7,17,27,24,22
6,胆管炎,54700,4200,3.401,0.001,32,68,1,8,10,17,24,20,20
7,右脇腹の痛み,182000,4100,2.159,-0.16,35,65,1,4,11,22,29,19,14
8,胆嚢ポリープ,115000,3700,2.492,0,36,64,0,2,10,25,31,19,13
9,膵炎 症状,115000,3300,2.424,0.001,34,66,1,6,11,20,26,20,16
10,胆石 症状,71100,3300,2.891,-0.002,34,66,1,5,10,19,28,21,16
11,十二指腸潰瘍,136000,3000,2.133,-0.001,36,64,2,10,15,21,23,16,13
12,胆嚢炎 食事,7900,2700,4.927,0.152,28,72,0,6,9,16,25,22,22
13,胆嚢炎 原因,11500,2500,4.444,0.003,32,68,1,7,10,19,27,19,17
14,胆嚢炎 入院期間,7100,2400,4.903,0.008,37,63,1,3,7,18,27,22,22
15,胆管癌,70600,2000,2.445,0.016,35,65,0,4,7,16,23,22,28
16,右脇腹 肋骨の下 痛い,63900,2000,2.488,-0.033,33,67,0,3,8,19,30,22,18
17,胆嚢結石,29300,2000,3.262,0.001,39,61,1,5,8,16,27,23,20
18,ウルソデオキシコール酸100,72100,1800,2.307,6.417,36,64,0,9,10,17,24,21,19
19,胆嚢摘出 後遺症,20000,1800,3.607,6.167,35,65,0,3,6,16,27,26,22
20,肝臓癌 初期症状,89100,1700,1.984,-0.142,35,65,1,4,9,18,26,21,21
21,急性膵炎,84200,1700,2.061,-0.002,40,60,2,12,16,23,22,14,11
22,すい炎 症状,53900,1600,2.449,-0.524,35,65,1,4,11,22,25,19,18
23,急性胆嚢炎,16900,1600,3.61,0.018,37,63,1,14,15,21,23,14,12
24,胆石 原因,35700,1500,2.776,0.009,31,69,1,6,12,21,28,18,14
25,胆石手術 入院期間,26600,1500,3.133,0,34,66,0,2,6,15,28,27,22
26,胆嚢炎 高齢者,5900,1500,4.668,0.003,27,73,0,2,5,11,26,29,27
27,肝嚢胞,70100,1400,2.081,0.001,28,72,0,3,7,20,31,23,16
28,胆嚢腺筋腫症,29900,1400,2.895,0.006,36,64,0,4,9,18,29,24,16
29,cvポート,68100,1300,1.974,3.731,25,75,1,13,12,21,25,17,11
30,胆汁,37500,1300,2.585,0.06,38,62,4,12,15,22,22,13,12
31,胆嚢炎 症状,6400,1300,4.348,0.002,30,70,1,19,17,17,22,13,11
32,腹膜炎とは,62800,1200,1.961,0.002,35,65,2,9,15,22,23,16,13
33,尿路感染,61300,1200,2.02,-0.492,27,73,1,10,15,20,24,18,12
34,内臓 位置図,60300,1200,2.006,-0.003,43,57,1,3,12,23,27,20,14
35,低カリウム血症,58200,1200,2.1,-2.933,29,71,1,17,15,21,22,15,9
36,肝炎 症状,47600,1200,2.27,-0.001,37,63,1,8,14,23,26,16,12
37,膵炎,45500,1200,2.31,0.001,38,62,2,10,16,23,24,14,11
38,総胆管結石,22500,1200,2.992,0.397,34,66,1,13,13,18,23,18,14
39,胆嚢摘出後の食事,10100,1200,3.894,7.633,29,71,0,3,6,15,26,28,22
40,右の背中が痛い,54200,1100,2.061,-0.18,34,66,1,3,7,19,31,24,15
41,胆管結石,21800,1100,3.004,0.003,38,62,1,5,9,17,25,23,20
42,低ナトリウム血症,52700,1000,2.018,-0.826,33,67,1,18,17,21,20,13,10
43,経管栄養,48000,1000,2.08,3.315,23,77,1,15,14,21,24,16,9
44,高血糖症状,46600,1000,2.117,-3.946,27,73,1,20,15,20,21,13,10
45,膵臓の病気,45000,1000,2.25,0.002,35,65,1,1,3,10,23,29,33
46,胆石症,16000,1000,3.221,0.001,38,62,2,17,19,23,19,11,9
47,胆石 食事,14800,1000,3.299,0.83,26,74,0,3,8,18,29,24,18
48,胆石 痛みを和らげる方法,13400,980,3.337,0.012,36,64,1,2,8,20,31,23,15
49,腹腔鏡手術,43800,970,2.169,6.068,34,66,1,7,11,18,22,20,21
50,膵臓癌 血液検査でわかる,53500,950,1.98,3.543,38,62,0,1,5,13,23,27,31
51,胸水,45200,950,2.107,-4.36,34,66,1,14,14,19,22,17,13
52,腹部大動脈瘤,50900,910,1.962,-0.007,38,62,1,10,11,16,21,21,20
53,肝性脳症,43400,910,2.092,14.242,32,68,1,18,16,21,22,13,9
54,バルーンカテーテル,48200,900,1.981,-8.817,27,73,2,10,9,20,28,20,11
55,ercp,29000,900,2.498,1.626,28,72,1,27,18,21,17,9,7
56,腹腔鏡,43300,880,2.087,4.694,35,65,1,7,12,21,21,18,20
57,胆石の痛み,14400,880,3.182,-0.001,31,69,0,2,6,17,27,24,24
58,メマンチン,44300,870,2.02,6.734,29,71,0,10,13,23,27,17,10
59,胆管炎 症状,13500,870,3.258,0.009,27,73,1,9,7,14,25,22,22
60,胆嚢癌,12300,860,3.305,0.003,38,62,1,6,10,18,23,20,22
61,胆嚢摘出 入院期間,6200,860,3.989,3.43,35,65,0,2,7,18,31,24,18
62,十二指腸,45500,850,1.992,0.503,39,61,3,10,12,19,21,18,17
63,右背中の痛み,36200,820,2.137,0,32,68,1,5,11,26,31,17,9
64,高カリウム血症,44200,800,1.966,11.213,35,65,1,19,15,19,19,14,13
65,アゾセミド,40300,800,2.039,-2.676,30,70,0,15,15,22,23,14,11
66,ウルソ,35000,790,2.169,3.671,33,67,1,6,11,22,27,19,14
67,十二指腸潰瘍 症状,27000,760,2.408,0.203,30,70,1,7,12,17,25,20,18
68,胆汁の働き,17000,740,2.86,0.391,38,62,5,12,7,15,22,18,21
69,点滴滴下計算,29200,720,2.233,-12.12,15,85,1,19,15,27,23,10,5
70,肺塞栓症,39000,710,1.976,4.982,33,67,1,13,12,18,20,17,19
71,膵臓 位置,35700,700,2.036,-0.004,39,61,1,5,9,19,26,18,22
72,co2ナルコーシス,30000,690,2.187,8.271,30,70,1,32,18,21,16,8,4
73,ercpとは,21700,690,2.528,1.803,29,71,0,23,13,18,20,14,12
74,尿路感染症 高齢者,37400,680,1.995,8.039,27,73,0,3,5,12,28,30,22
75,慢性膵炎,27000,680,2.266,0,41,59,1,10,14,20,23,18,14
76,チェーンストークス呼吸,35600,660,1.968,0.11,28,72,2,24,20,22,19,9,4
77,mrcp検査とは,27100,660,2.277,5.982,30,70,0,11,10,17,21,20,21
78,bsc 医療,34400,650,1.984,10.476,26,74,0,20,16,23,23,12,6
79,アセリオ静注液 1000,31100,650,2.089,-0.89,29,71,1,16,13,22,24,15,9
80,胸腔ドレーン,29900,650,2.138,1.892,23,77,2,38,19,19,13,5,4
81,胆石とは,21500,650,2.469,-0.005,37,63,2,9,12,17,22,17,21
82,オメプラゾール,34600,640,1.986,1.126,29,71,1,25,14,18,18,13,11
83,vt 心電図,29200,630,2.13,-12.27,22,78,1,31,19,19,18,9,3
84,急性肝炎,28800,630,2.119,-0.004,34,66,1,12,15,22,25,15,10
85,ビーフリード輸液500ml,27500,630,2.19,0.844,32,68,1,14,11,17,23,20,14
86,ビソノテープ,28700,620,2.121,-6.961,29,71,0,19,16,22,20,14,9
87,ビリルビン,29800,590,2.058,0.497,40,60,3,15,13,17,20,16,16
88,ネーザルハイフロー,29100,590,2.05,7.363,25,75,0,31,22,22,16,6,3
89,エブランチルカプセル,28600,590,2.095,-10.964,26,74,0,12,14,21,23,17,13
90,ワソラン,31700,580,1.982,0.788,34,66,0,17,14,18,19,15,17
91,右上腹部の痛み,9000,570,3.195,-0.003,29,71,3,11,15,23,24,14,10
92,褥瘡 ステージ,29300,560,1.988,3.905,21,79,0,13,12,22,27,17,9
93,右肋骨下の痛み,14500,560,2.69,-0.004,43,57,1,7,13,23,28,18,10
94,bun 高値,30700,550,1.994,0.008,30,70,1,14,8,13,20,21,23
95,意識レベル jcs 表,29500,550,1.955,-0.006,21,79,1,14,14,26,28,12,5
96,セフトリアキソン,28000,550,2.018,-1.6,39,61,0,23,18,22,19,11,7
97,肝炎,25000,550,2.132,0,40,60,1,11,15,22,22,15,14
98,心窩部痛,22200,550,2.247,-0.001,28,72,2,21,19,22,19,11,6
99,慢性膵炎 症状,18300,550,2.453,1.038,30,70,1,5,10,21,27,20,16
100,ソセゴン,25300,540,2.113,0.958,28,72,0,29,21,21,16,8,5
101,胆石症 症状,6900,540,3.421,0.003,32,68,2,12,11,17,26,17,15
102,mmt 評価,27800,530,1.998,4.688,30,70,1,34,21,21,14,5,4
103,ドレナージとは,19900,530,2.339,1.23,32,68,1,16,11,17,22,19,14
104,dnar 医療用語,28200,520,1.962,9.943,31,69,1,18,12,21,25,16,7
105,肝膿瘍,12400,520,2.804,0.26,38,62,1,11,12,18,22,18,18
106,バンコマイシン,25000,510,2.075,-8.989,36,64,1,30,16,19,16,11,7
107,チアプリド,23400,510,2.116,10.617,28,72,0,10,15,25,26,17,7
108,胆石発作,6300,510,3.416,0.004,33,67,1,14,24,25,22,10,4
109,胆泥,10900,500,2.882,0.181,27,73,1,7,12,19,28,20,13
110,血ガス,20300,490,2.224,-9.859,22,78,0,28,22,25,16,6,3
111,胆のう,10500,490,2.874,0,44,56,3,8,13,22,26,15,13
112,急性胆嚢炎 原因,4000,490,3.872,0.246,33,67,1,6,10,18,30,20,15
113,リクシア内服,25500,480,1.986,8.938,27,73,0,15,14,20,22,16,13
114,ビリルビン 高い 原因,25100,480,2.011,0.254,32,68,1,8,14,23,24,17,13
115,皮下注射,25600,470,1.976,16.793,21,79,2,23,18,21,18,10,8
116,tia 医療,24500,470,2.017,14.929,28,72,1,24,20,21,19,9,6
117,悪性症候群,24000,470,2.029,2.918,35,65,1,23,20,23,18,10,5
