順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,若林楽人,94800,810,2.872,-17.344,69,31,5,14,16,17,20,14,14
2,肺気胸,93900,790,2.863,-0.004,41,59,4,10,13,21,23,15,14
3,気胸,54600,690,3.28,-0.001,38,62,7,19,16,20,17,10,11
4,気胸 症状,33100,560,3.567,-0.002,31,69,6,17,15,22,21,11,8
5,気胸とは,56800,440,2.806,-0.024,32,68,6,15,9,16,24,16,14
6,ジャイアンツtv,46500,430,2.967,4.099,68,32,6,21,18,17,20,11,7
7,胸腔ドレーン,29900,340,3.182,0.782,23,77,2,38,19,19,13,5,4
8,田中瑛斗,39100,300,2.74,97.225,77,23,5,13,18,17,21,15,11
9,自然気胸 症状 チェック,1600,300,5.999,0,40,60,3,16,12,18,20,13,18
10,緊張性気胸,18800,280,3.422,0.001,38,62,3,27,19,20,16,9,6
11,深呼吸 胸の痛み,13300,270,3.75,-0.004,39,61,6,15,19,23,20,10,7
12,肺気胸 症状,30000,260,2.917,-0.013,37,63,4,13,13,22,23,14,11
13,モンテス,36400,250,2.648,-37.713,80,20,7,15,20,19,17,12,10
14,自然気胸 原因,1400,250,5.954,0.001,45,55,10,21,11,12,18,15,13
15,co2ナルコーシス,30000,210,2.679,-1.247,30,70,1,32,18,21,16,8,4
16,ジャイアンツ 映画,16500,210,3.269,137.781,48,52,5,18,16,19,23,13,6
17,ジャイアンツ球場,27600,200,2.712,-3.199,62,38,4,11,14,20,25,15,11
18,ココモンテス,16200,190,3.18,-66.82,88,12,9,19,17,17,18,12,8
19,気胸 ドレナージ,6200,190,4.138,0.12,29,71,2,19,15,24,22,11,7
20,自然気胸 症状,1100,190,5.966,0.001,46,54,12,22,11,15,14,10,16
21,萩尾匡也,19400,180,2.988,29.277,68,32,7,20,16,16,19,11,11
22,肺血栓塞栓症,22300,170,2.764,0.099,39,61,2,19,14,17,20,15,13
23,胸腔ドレナージ,8000,170,3.783,0.002,33,67,5,30,15,18,17,9,6
24,気胸 自然治癒,4700,170,4.332,0.009,43,57,10,17,14,21,21,9,8
25,gcs,23200,160,2.715,-15.041,46,54,2,39,25,18,10,4,2
26,テタニー症状,23200,160,2.643,-0.08,29,71,1,29,19,21,17,8,5
27,胸膜炎,20800,160,2.782,0.001,33,67,2,13,21,27,17,10,10
28,岸田行倫,20500,160,2.811,-41.094,73,27,8,18,17,17,17,11,12
29,エリエヘルナンデス,16500,160,3.021,-67.683,85,15,10,24,19,16,15,9,7
30,代謝性アシドーシス,20500,150,2.693,-0.068,27,73,2,35,18,19,15,7,4
31,肺に穴が開く病気,20100,150,2.785,-0.001,35,65,7,11,11,19,23,15,14
32,荒巻悠,19700,150,2.721,52.2,83,17,5,18,17,17,21,13,9
33,気胸 原因,6200,150,3.933,0,35,65,7,22,15,21,21,7,7
34,泉口友汰,20600,140,2.646,-21.05,74,26,5,19,17,16,18,13,12
35,食道静脈瘤,18200,130,2.664,3.018,38,62,1,18,13,18,21,16,13
36,矢野謙次,17500,130,2.731,-87.028,66,34,6,18,18,18,20,12,8
37,ジャイアンツ ファンフェスタ,12100,130,3.131,69.85,45,55,4,15,16,21,25,13,6
38,バレー徴候,17000,120,2.7,-2.688,37,63,1,42,21,18,12,4,2
39,ホルネル症候群,13400,120,2.956,-0.002,36,64,1,33,18,16,17,10,5
40,頭蓋内圧亢進症状,11700,120,3.031,-0.351,22,78,2,43,17,18,12,5,3
41,胸腔穿刺,10600,120,3.143,0.005,29,71,1,35,19,18,14,8,5
42,ケルニッヒ徴候,9300,120,3.347,-0.005,42,58,1,50,19,15,9,4,2
43,気胸 手術後,3000,120,4.441,3.676,35,65,6,15,11,23,23,10,12
44,田中瑛斗 日ハム,13400,110,2.853,97.082,81,19,4,16,19,18,21,14,8
45,又木鉄平,12900,110,2.852,-25.273,75,25,7,14,13,14,19,15,18
46,佐々木俊輔,11400,110,2.975,43.536,73,27,11,24,18,17,16,8,6
47,ジャパンコーマスケール,9900,110,3.13,0.076,21,79,5,36,16,21,16,4,2
48,アダムスストークス症候群,9800,110,3.187,-0.026,38,62,1,35,19,17,12,8,8
49,心原性ショック,8000,110,3.322,-5.939,37,63,3,36,17,19,15,7,3
50,マーフィー徴候,7700,110,3.41,10.604,51,49,1,41,23,19,10,4,2
51,気胸手術,3800,110,4.119,0.236,32,68,7,5,3,18,31,21,15
52,コルサコフ症候群,14500,100,2.684,13.538,34,66,1,23,14,19,21,14,8
53,ヘルスプロモーションとは,13800,100,2.725,-0.86,25,75,26,37,7,12,10,5,3
54,巨人 ドラフト,13200,100,2.734,51.048,83,17,5,19,20,17,19,11,9
55,クラブジャイアンツ,12700,100,2.816,23.824,60,40,4,15,14,21,27,13,6
56,クスマウル呼吸とは,9700,100,3.059,0.275,33,67,4,43,17,17,12,5,2
57,巨人 映画,9500,100,3.13,135.804,57,43,10,26,19,18,17,7,3
58,左胸の痛み 息を吸い込む,7600,100,3.244,-0.017,25,75,4,10,16,27,25,10,8
59,ジャイアンツファンフェスタ,7000,100,3.358,49.753,46,54,6,20,14,20,23,13,4
60,ブルンベルグ徴候,6800,100,3.473,-1.704,31,69,4,51,15,14,10,4,2
61,月経随伴性気胸,3500,100,4.108,0.005,17,83,4,19,22,31,15,5,4
62,メンデス,13000,90,2.665,-4.862,75,25,8,16,21,19,17,9,10
63,巨人 キャンプ日程 2025,12100,90,2.753,140.102,65,35,3,16,20,17,19,14,11
64,低酸素血症,11900,90,2.8,-0.413,30,70,3,30,17,18,17,9,6
65,湯浅大,11700,90,2.759,4.494,58,42,13,27,18,16,14,7,5
66,giants tv,10700,90,2.898,-3.013,79,21,6,22,16,12,18,15,11
67,カルシトニン,10600,90,2.924,7.54,33,67,5,42,11,12,13,10,7
68,呼吸性アシドーシス,9400,90,3.012,-4.043,29,71,3,43,18,16,13,5,2
69,ブレーデンスケール,9300,90,3.002,0.143,16,84,3,47,14,18,12,4,2
70,笹原操希,9200,90,3.057,224.495,77,23,6,16,18,15,19,14,12
71,ハヴィガースト 発達課題,8400,90,3.179,-0.132,19,81,18,44,9,13,10,4,2
72,フィンクの危機モデル,7600,90,3.245,-20.281,14,86,3,43,16,20,12,4,2
73,髄膜刺激症状,7100,90,3.248,-9.245,42,58,2,42,21,18,11,4,2
74,ムーアの分類,6200,90,3.412,-1.03,12,88,2,51,13,15,12,5,2
75,肺気胸 原因,5700,90,3.533,-0.047,39,61,5,14,13,21,25,13,9
76,フォルクマン拘縮,5200,90,3.587,0.01,35,65,3,54,13,15,10,4,1
77,起座呼吸,11600,80,2.673,-4.389,38,62,2,37,20,17,13,7,4
78,頸静脈怒張,11100,80,2.723,0.397,35,65,2,30,20,21,15,7,5
79,橋上秀樹,9700,80,2.831,49.16,81,19,4,15,13,18,23,16,11
80,吉川尚輝 結婚,9600,80,2.864,57.212,44,56,9,20,13,13,19,15,11
81,錐体路,9100,80,2.977,-30.989,43,57,4,47,14,13,11,6,5
82,ウレーニャ,9100,80,2.903,-93.96,84,16,7,21,22,17,16,10,7
83,ブリンクマン指数,8300,80,3.023,2.209,27,73,3,49,14,14,12,6,2
84,グラスゴーコーマスケール,7900,80,3.053,0.035,27,73,3,28,18,24,17,7,3
85,リスボン宣言,6900,80,3.164,-9.541,37,63,4,40,11,15,14,11,5
86,ベンチュリーマスク,6700,80,3.221,7.407,30,70,2,40,22,18,12,4,2
87,paco2,6300,80,3.34,-5.541,27,73,5,54,15,13,8,3,2
88,呼吸すると胸が痛い,5700,80,3.4,-0.003,34,66,11,23,19,21,17,6,3
89,左橈骨遠位端骨折,5600,80,3.385,-20.83,50,50,7,16,14,20,21,15,7
90,気胸 手術,2500,80,4.161,3.403,33,67,8,24,18,23,18,6,3
91,巨赤芽球性貧血,10700,70,2.686,-14.929,28,72,3,32,13,18,17,11,6
92,巨人チケット,10400,70,2.682,-40.486,73,27,11,35,14,16,15,7,2
93,筋損傷とは,9800,70,2.717,245.322,56,44,5,11,12,19,25,18,10
94,スクイージング,9400,70,2.756,4.123,24,76,2,32,20,20,17,7,2
95,スワンガンツカテーテル,9100,70,2.715,9.633,32,68,1,41,21,19,12,4,2
96,縦隔気腫,9100,70,2.711,0.348,35,65,4,20,16,24,21,9,6
97,β遮断薬,9000,70,2.784,-6.205,40,60,1,29,12,16,17,13,12
98,コプリック斑,8900,70,2.811,-0.051,25,75,2,31,21,24,12,7,3
99,ジャイアンツ キャンプ2025,8800,70,2.832,154.985,57,43,2,9,14,18,27,21,9
100,巨人 応援歌,8700,70,2.796,-36.315,65,35,13,28,19,17,15,5,3
101,対光反射,8500,70,2.887,4.575,31,69,4,39,17,19,13,5,3
102,ティマ,8500,70,2.879,22.032,85,15,10,18,19,17,15,12,9
103,石川達也 巨人,8200,70,2.892,160.677,63,37,3,8,10,12,22,21,24
104,息吸うと胸が痛い,8200,70,2.868,-0.009,22,78,13,24,22,23,12,4,2
105,副腎皮質ステロイド,8000,70,2.935,-4.086,27,73,4,40,11,13,12,8,12
106,口すぼめ呼吸,8000,70,2.839,1.499,30,70,3,38,16,17,14,6,6
107,無気肺,7200,70,2.958,-7.467,28,72,1,36,20,18,13,7,5
108,酸塩基平衡,6500,70,3.139,4.461,30,70,7,35,17,18,14,6,3
109,イケメン病とは,6300,70,3.14,0.023,37,63,19,30,15,16,13,4,3
110,膠質浸透圧,6200,70,3.121,-8.085,29,71,8,52,11,12,11,4,2
111,うっ血乳頭,6200,70,3.104,5.697,27,73,2,48,15,18,11,4,2
112,デュシェンヌ型筋ジストロフィー,6200,70,3.095,-0.632,35,65,2,43,15,16,12,7,5
113,ショックの5徴候,5700,70,3.225,32.467,21,79,3,56,16,14,8,2,1
114,徒手筋力テスト,5700,70,3.207,-10.112,34,66,4,40,14,17,14,7,4
115,ラセーグ徴候,5500,70,3.277,45.203,56,44,0,44,22,15,10,5,4
116,高張性脱水,5500,70,3.256,67.364,27,73,3,47,16,16,12,4,2
117,ジュネーブ宣言,4600,70,3.413,-19.955,30,70,4,46,12,16,12,6,4
118,ヒュージョーンズ分類,4400,70,3.46,5.512,27,73,2,47,14,17,11,6,3
119,月刊ジャイアンツ,3400,70,3.724,10.121,44,56,7,12,15,20,25,14,7
120,気胸 何科で受診,1500,70,4.497,0.005,32,68,5,14,19,29,25,4,4
121,救急救命士 国家試験,9200,60,2.663,59.471,55,45,5,22,15,18,23,10,7
122,ヘルシンキ宣言,9000,60,2.674,28.022,38,62,9,40,11,15,12,8,5
123,横紋筋,8800,60,2.714,-8.011,40,60,8,24,9,14,16,13,16
124,ロンベルグ徴候,8700,60,2.701,-3.01,44,56,1,51,17,15,9,4,3
125,アルコール離脱症状,8500,60,2.667,-4.314,38,62,1,28,20,22,17,8,4
126,上腕骨顆上骨折,8100,60,2.748,4.802,37,63,1,30,19,24,12,9,5
127,フルプ,8100,60,2.732,45.457,86,14,11,22,23,17,13,8,6
128,テタニー,8000,60,2.702,-6.56,33,67,3,38,16,17,14,8,4
129,巨人 ドラフト 歴代,7900,60,2.684,1.253,86,14,5,20,20,19,22,11,3
130,ボルグスケール,7800,60,2.756,44.58,38,62,2,46,20,17,9,3,3
131,田中千晴,7800,60,2.698,19.748,68,32,7,19,18,18,19,12,7
132,看護師国家試験 ボーダー,7500,60,2.803,32.972,15,85,1,52,7,15,20,3,2
133,門脈圧亢進症,7200,60,2.823,-10.508,36,64,2,28,14,18,18,12,8
134,中川皓太,7100,60,2.939,6.678,69,31,11,24,21,16,13,8,7
135,巨人若林楽人,6900,60,2.959,-0.001,54,46,1,1,1,5,18,26,48
136,フレイルチェスト,6900,60,2.897,-52.938,48,52,1,33,24,20,12,6,4
137,肺うっ血,6700,60,2.877,-29.445,29,71,2,46,16,16,11,6,3
138,生理的体重減少,6700,60,2.865,7.257,11,89,5,55,21,9,6,3,1
139,脳神経 覚え方,6500,60,3.027,5.453,26,74,6,54,11,12,9,3,5
140,114回看護師国家試験,6500,60,2.941,60.04,15,85,2,45,9,16,20,5,3
141,ジギタリス製剤,6400,60,2.993,1.765,27,73,2,27,13,17,17,13,11
142,右季肋部痛,6400,60,2.942,-0.091,27,73,2,30,19,20,17,7,5
143,胸痛症候群,6300,60,2.953,-0.002,25,75,11,19,13,21,19,10,7
144,ジャイアンツオンラインショップ,6300,60,2.94,-6.204,62,38,8,19,17,17,21,13,5
145,ウィリス動脈輪,6000,60,3.04,-11.801,40,60,7,57,14,10,7,3,2
146,一次救命処置,6000,60,3.029,-0.015,33,67,4,33,16,20,16,7,4
147,トレンデレンブルグ位,5900,60,3.089,-0.191,36,64,2,48,19,16,9,4,2
148,酸素ボンベ 計算,5800,60,3.123,0.279,22,78,3,38,19,21,12,4,3
149,腎前性腎不全,5600,60,3.048,63.822,32,68,1,38,18,18,14,8,3
150,シーハン症候群,5400,60,3.083,-9.086,26,74,1,41,15,17,13,7,6
