順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,巻き爪,98000,4200,3.785,-0.002,29,71,3,8,12,21,24,17,15
2,巻き爪 治療,48900,1600,3.547,-0.026,29,71,2,7,10,18,26,21,16
3,巻きづめを治す方法,38600,820,3.062,-0.046,25,75,3,8,12,23,27,16,11
4,巻き爪 何科,24200,820,3.532,-0.745,24,76,1,7,11,23,26,18,14
5,エンレスト,88800,710,2.074,2.095,37,63,0,12,15,23,24,14,12
6,巻き爪 病院,22300,690,3.471,-0.029,26,74,1,7,9,17,27,23,16
7,巻き爪 治し方 自分で,30300,680,3.147,-0.009,27,73,3,6,9,17,27,21,17
8,ビソプロロールフマル酸塩,77600,620,2.11,1.972,32,68,1,11,11,19,22,18,18
9,ジクトルテープ75mg,85400,600,1.984,25.778,30,70,1,4,8,18,26,22,21
10,ナースリー通販,75900,580,2.023,-19.462,9,91,1,11,13,25,31,15,4
11,爪周囲炎,21100,580,3.315,0,24,76,5,15,25,25,16,8,6
12,クロピドグレル,66900,570,2.166,-5.738,33,67,0,16,14,20,22,15,13
13,肉芽腫,24400,570,3.154,0.004,33,67,3,15,18,24,21,11,8
14,巻き爪 痛い,7300,540,4.331,-0.003,22,78,7,17,16,21,18,11,10
15,スピロノラクトン,66600,530,2.077,12.858,26,74,0,17,16,22,23,12,10
16,足の爪 痛い 親指,10300,530,3.965,-0.006,23,77,3,8,13,19,25,16,16
17,巻き爪 テーピング法,13600,520,3.683,-0.006,21,79,1,6,10,21,28,19,15
18,ドネペジル,59800,480,2.081,-5.491,28,72,1,10,11,20,28,18,12
19,生活習慣病管理料,57000,480,2.136,-95.146,31,69,1,3,9,22,31,21,13
20,足の親指 爪の横痛い,10100,480,3.913,-0.004,28,72,10,19,19,20,16,8,8
21,巻き爪の治し方 自分で,16200,470,3.402,-11.234,29,71,2,5,7,16,28,22,20
22,足の親指が痛い原因,51500,460,2.193,-0.009,32,68,2,7,11,22,26,18,14
23,巻き爪 切り方,17000,460,3.315,-0.01,27,73,3,9,14,18,23,19,14
24,リクシアナ,59900,440,2.031,21.391,39,61,0,13,12,19,21,17,18
25,爪,58600,440,2.063,0.002,34,66,4,6,9,15,19,20,27
26,アゾセミド,40300,440,2.404,1.667,30,70,0,15,15,22,23,14,11
27,足の親指 爪 痛い,9800,440,3.815,-0.008,30,70,5,10,14,24,24,12,11
28,アミティーザカプセル,61100,430,2,-5.332,28,72,0,9,10,19,23,18,21
29,エリキュース,51900,430,2.135,13.178,36,64,0,14,14,21,22,15,14
30,メマンチン,44300,430,2.265,23.764,29,71,0,10,13,23,27,17,10
31,爪白癬,29200,430,2.697,0.001,32,68,2,11,16,24,24,14,9
32,アルファカルシドール,51000,420,2.152,0.912,25,75,0,14,13,18,21,17,17
33,カルベジロール,57900,410,1.97,-0.048,36,64,0,15,13,20,22,16,14
34,ラメルテオン,52800,410,2.057,3.555,30,70,1,15,17,27,19,11,10
35,褥瘡 ステージ,29300,410,2.648,16.934,21,79,0,13,12,22,27,17,9
36,ひょうそ 治し方,32400,400,2.513,-0.001,29,71,3,9,17,24,23,14,10
37,dダイマーとは,55600,390,1.978,-3.049,26,74,1,16,12,19,22,16,14
38,バルーンカテーテル,48200,390,2.108,-8.661,27,73,2,10,9,20,28,20,11
39,レベチラセタム,46300,390,2.121,12.371,32,68,1,15,16,24,23,13,8
40,肉芽,14600,390,3.322,0.004,28,72,13,24,20,19,14,6,4
41,jcs 意識レベル,50200,380,2.039,-5.876,34,66,1,29,23,22,16,6,3
42,長谷川式簡易知能評価スケール,46100,370,2.098,-11.577,26,74,1,16,13,22,26,12,10
43,プロスタンディン軟膏,33200,370,2.426,6.179,27,73,1,7,12,22,23,18,17
44,肉芽とは,15400,370,3.216,0.014,25,75,13,20,13,19,19,10,6
45,偽痛風とは,52200,360,1.962,4.778,7,93,0,9,10,17,25,23,16
