順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,鼠径ヘルニア 手術方法,11800,5900,4.826,0.009,44,56,1,8,10,15,20,20,26
2,鼠径ヘルニア 症状 初期,13400,5500,4.614,0.002,44,56,2,6,11,18,23,18,22
3,ヘルニア 症状,190000,5400,1.942,-0.007,35,65,3,11,13,19,21,15,18
4,鼠径ヘルニア 何科受診,8900,5000,4.905,0.002,43,57,1,5,11,22,26,17,18
5,鼠径ヘルニア 術後 注意,7700,4600,4.993,3.952,55,45,1,5,5,14,21,26,28
6,鼠径ヘルニア 原因,10500,3900,4.523,0.003,43,57,2,8,10,15,21,22,22
7,ヘルニアとは,101000,3500,2.203,-0.001,37,63,12,12,5,13,18,18,22
8,鼠径ヘルニア 手術費用,5500,3300,5.004,0.023,61,39,1,4,8,16,22,25,24
9,鼠径ヘルニア 痛み,6100,2900,4.765,0.015,49,51,1,5,12,20,23,20,19
10,ヘルニア,72100,2800,2.26,0,40,60,7,13,19,21,17,10,13
11,鼠径部とは,71600,2800,2.266,0,44,56,5,11,12,17,20,17,18
12,鼠径ヘルニア手術後,5700,2800,4.823,21.432,70,30,0,2,5,9,15,25,44
13,脱腸,34100,2700,2.975,-0.003,45,55,4,11,16,21,20,12,16
14,脱腸 ヘルニア,20200,2700,3.484,-0.005,47,53,1,3,8,15,23,22,28
15,臍ヘルニア,45700,2600,2.591,0,27,73,1,11,25,24,20,11,8
16,鼠径部,58400,2300,2.275,0,54,46,8,16,17,18,16,12,13
17,脱腸とは?,30000,2300,2.918,-0.232,43,57,2,4,8,16,26,21,23
18,鼠径ヘルニア 犬,5200,2200,4.61,0,23,77,3,11,16,25,31,9,5
19,鼠径ヘルニア 術後,3800,2200,4.98,15.829,56,44,1,5,8,13,21,26,26
20,鼠径ヘルニア手術方法,6000,2100,4.531,3.985,52,48,0,2,7,12,16,23,40
21,脱腸とは 症状 男性,16300,2000,3.381,-0.587,49,51,1,4,7,16,25,21,26
22,脱腸とは,23700,1800,2.936,-0.086,46,54,3,10,11,16,23,16,21
23,鼠径ヘルニア 子供,4800,1800,4.467,0,15,85,1,9,39,35,7,5,4
24,鼠径ヘルニアとは,5000,1700,4.419,0,37,63,4,16,13,15,19,14,19
25,腹腔鏡,43300,1600,2.197,7.282,35,65,1,7,12,21,21,18,20
26,消化器外科,20000,1600,2.966,0.005,37,63,1,9,12,21,23,17,17
