順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,整形外科,407000,2000,2.42,0,34,66,2,5,12,25,25,16,15
2,外科とは,18400,1100,4.881,0,32,68,6,21,22,22,17,4,8
3,皮膚科,225000,790,2.109,0,32,68,3,9,14,22,19,14,19
4,皮膚科 近く 現在地,223000,680,1.979,-0.008,32,68,2,5,9,21,24,19,20
5,内科,120000,660,2.521,0,36,64,2,12,19,26,21,11,9
6,整形外科 近く,95600,450,2.419,0,35,65,2,5,9,19,24,20,21
7,形成外科,60800,430,2.773,0.001,31,69,2,6,21,37,11,5,18
8,耳鼻科,125000,390,1.952,0.002,30,70,3,11,23,28,17,8,10
9,消化器内科,170000,380,1.62,0.01,32,68,1,8,15,24,25,15,12
10,耳鼻科 近く 現在地,142000,340,1.732,-2.249,32,68,2,5,10,23,25,18,17
11,眼科 近く 現在地,119000,330,1.86,-4.009,33,67,2,4,10,23,24,19,18
12,眼科,114000,320,1.881,0.013,33,67,3,7,15,23,18,14,20
13,病院,136000,310,1.671,-0.006,46,54,3,9,11,17,20,19,21
14,脳神経外科,93000,310,2.04,0,34,66,2,5,13,22,24,16,18
15,外科 整形外科 違い,6400,260,4.529,0,38,62,1,8,19,28,23,13,8
16,形成外科とは,51000,210,2.261,0.004,36,64,3,12,6,6,35,26,12
17,内科とは,17500,200,3.287,0,52,48,9,38,18,13,10,6,6
18,休日診療,77000,190,1.701,0.001,29,71,1,3,13,28,28,17,10
19,小児科,49300,190,2.167,-1.936,26,74,3,9,31,32,10,8,7
20,外科医,8000,190,4.021,0,43,57,8,12,12,16,15,15,22
21,内科 現在地周辺,53300,180,2.05,0.01,32,68,2,9,16,27,26,12,8
22,外科と整形外科の違い 知恵袋,4800,180,4.478,0,33,67,1,3,8,20,27,21,20
23,消化器外科,20000,170,2.966,-0.002,37,63,1,9,12,21,23,17,17
24,耳鼻咽喉科 近く 現在地,76800,160,1.583,-10.079,39,61,1,5,9,15,21,23,26
25,肛門科,68300,160,1.725,-3.599,40,60,2,7,10,17,20,18,26
26,婦人科,53700,160,1.942,-0.059,15,85,3,14,15,25,21,10,12
27,循環器内科,69600,150,1.634,33.172,31,69,1,7,12,21,24,17,18
28,精神科,46800,140,1.91,-2.018,40,60,9,17,14,17,18,15,10
29,神経内科とは,61100,130,1.592,2.134,31,69,1,4,7,16,25,21,26
30,腫瘍,59400,130,1.642,4.875,45,55,3,6,8,15,23,21,24
31,整骨院,58100,120,1.593,-0.046,40,60,3,10,17,24,21,12,13
32,点滴,56300,120,1.647,1.09,40,60,3,9,12,15,19,19,23
33,形成外科 整形外科 違い,31500,120,2.201,0.008,37,63,2,8,19,26,18,12,15
34,外科学会,5500,120,3.822,-25.315,76,24,0,5,17,33,26,14,5
35,骨折,53500,110,1.614,-2.126,37,63,4,5,9,16,21,22,23
36,接骨院,35500,110,1.975,3.423,41,59,4,10,16,25,20,13,12
37,整形外科とは,13300,110,2.966,0,48,52,11,20,20,20,12,7,10
38,アルファカルシドール,50600,100,1.592,-10.144,25,75,0,14,13,18,21,17,17
39,産婦人科,45900,100,1.615,2.113,24,76,7,26,24,17,12,7,7
40,市民病院,45300,100,1.662,0.235,27,73,2,6,13,23,24,16,16
41,赤十字病院,41200,100,1.677,-0.759,36,64,3,12,14,21,23,15,12
42,救急外来,40700,100,1.668,0.001,36,64,2,11,16,25,24,13,9
43,外科医エリーゼ,30100,100,1.991,0,31,69,5,11,18,23,24,14,5
44,切り傷 何科,12000,100,2.878,0.001,33,67,1,8,21,30,22,11,7
45,近くの外科,1400,100,5.103,0,38,62,3,8,8,17,22,21,21
46,打撲,36800,90,1.706,-0.951,32,68,5,10,14,22,19,15,15
47,呼吸器内科 近く,35100,90,1.764,11.473,25,75,1,6,12,20,22,21,18
48,当番医,35000,90,1.704,2.2,32,68,1,5,20,31,22,13,8
49,整形外科 日曜日,27700,90,2.029,0.001,27,73,3,6,17,36,24,9,5
50,脳外科,16100,90,2.574,0.001,37,63,3,9,12,19,23,15,19
51,ncd,8100,90,3.144,-61.597,69,31,1,8,17,29,26,14,5
52,外科 英語,2000,90,4.649,0,41,59,3,14,12,20,21,17,13
53,医療センター,34800,80,1.716,10.191,29,71,1,5,13,22,24,17,18
54,lv,34600,80,1.641,-50.006,43,57,2,15,34,23,14,8,4
55,手術,22300,80,2.107,-0.005,44,56,3,7,11,18,20,18,23
56,外科学会 2025,5300,80,3.46,-11.337,72,28,0,6,17,34,22,15,6
57,抗がん剤,35100,70,1.587,23.824,37,63,2,7,9,18,22,19,23
58,af,33100,70,1.641,-54.031,44,56,3,22,16,20,20,11,8
59,犬に噛まれたら,32800,70,1.613,-0.003,28,72,2,7,13,26,28,15,9
