順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,mbti,2216000,390,1.496,-26.048,32,68,14,29,21,18,12,4,2
2,ピル,86400,240,4.234,-0.003,25,75,9,25,21,21,13,6,5
3,妊娠初期症状,413000,180,2.385,3.987,20,80,6,33,34,16,6,3,2
4,グレイル,600000,170,1.945,-19.998,7,93,11,29,23,19,13,3,2
5,ディズニー チケット,861000,130,1.322,1.092,27,73,8,23,21,25,13,6,4
6,ピル 副作用,90300,130,3.528,3.247,18,82,7,25,21,22,17,6,2
7,ジルスチュアート,609000,120,1.551,24.792,13,87,14,20,15,22,19,7,3
8,アフターピル,126000,120,3.212,-0.001,32,68,9,32,20,19,12,5,3
9,ジェラートピケ,751000,110,1.307,56.372,17,83,4,17,23,23,20,9,4
10,湘南美容外科,633000,110,1.451,-6.106,22,78,3,18,20,24,21,9,5
11,ディズニーストア,518000,110,1.657,49.781,15,85,8,15,27,24,14,8,4
12,grl,404000,110,1.969,-32.532,6,94,17,38,20,13,8,2,2
13,qoo10,649000,100,1.373,-4.403,19,81,6,13,19,23,22,11,6
14,ファンタジースプリングス,646000,100,1.373,11.916,27,73,5,18,24,26,16,8,3
15,子宮頸がんワクチン,482000,100,1.613,14.434,16,84,6,17,6,27,32,8,4
16,動物占い,421000,100,1.745,3.047,22,78,5,25,28,21,13,5,3
17,ホットペッパー,599000,90,1.313,-12.524,32,68,2,14,22,29,21,8,4
18,焼肉きんぐ 予約,558000,90,1.356,15.542,36,64,6,13,19,29,20,9,4
19,サブウェイ,534000,90,1.357,52.212,33,67,3,10,18,27,22,12,8
20,恋みくじ,519000,90,1.51,-26.407,22,78,65,21,3,5,3,1,2
21,ユニバ,363000,90,1.866,10.77,22,78,12,28,27,21,8,2,2
22,妊娠検査薬 いつ,218000,90,2.302,23.777,15,85,5,33,38,16,5,2,1
23,低用量ピル,71600,90,3.46,1.867,16,84,6,34,25,19,10,4,2
24,プラノバール,65400,90,3.501,8.611,11,89,2,17,29,32,14,4,2
25,リファ,487000,80,1.449,50.686,20,80,7,18,16,22,23,9,5
26,アンブロキソール,483000,80,1.379,22.14,29,71,1,7,18,28,21,14,11
27,コスメデコルテ,474000,80,1.379,13.929,10,90,2,15,21,23,22,12,5
28,カルボシステイン,450000,80,1.528,10.678,31,69,3,15,33,20,13,8,8
29,サンリオ,444000,80,1.455,-16.968,22,78,9,15,22,25,14,8,7
30,isfp,323000,80,1.826,1.187,27,73,17,41,20,12,7,2,1
31,ジェラピケ,309000,80,1.841,18.564,18,82,7,31,24,16,14,6,2
32,infj,291000,80,1.959,-41.913,25,75,12,40,24,13,8,2,1
33,生理周期,173000,80,2.401,-0.44,32,68,5,19,26,31,12,4,3
34,ピル 効果,54600,80,3.558,-0.011,33,67,6,23,21,25,16,5,4
35,ピル処方 オンライン,2100,80,6.897,0.001,5,95,3,36,29,21,8,2,1
36,口内炎,476000,70,1.318,17.199,34,66,4,11,17,24,21,12,11
37,ウィキッド,435000,70,1.386,148.922,23,77,5,15,19,22,20,13,6
38,子宮筋腫,426000,70,1.331,21.138,19,81,1,7,16,30,25,11,10
39,zara 通販 公式 レディース,425000,70,1.373,26.573,8,92,2,9,12,23,28,17,9
40,シーイン,418000,70,1.336,26.906,14,86,9,13,24,28,15,6,5
41,セリーヌ,392000,70,1.494,56.942,24,76,3,19,22,23,18,9,6
42,ユニバ チケット,391000,70,1.486,26.899,22,78,13,34,21,18,9,3,2
43,子宮頸がん,389000,70,1.468,8.438,24,76,2,10,14,23,24,16,11
44,ゴンチャ,383000,70,1.48,34.375,22,78,8,18,22,23,17,8,4
45,たまごっち,380000,70,1.504,18.986,25,75,9,25,27,21,10,5,3
46,パーソナルカラー診断,375000,70,1.578,13.41,12,88,16,21,19,20,15,6,3
47,enfp,361000,70,1.606,-7.206,30,70,18,40,20,12,7,2,1
48,星ひとみ,357000,70,1.587,25.227,17,83,3,18,21,24,22,8,4
49,coca,355000,70,1.605,17.895,8,92,2,10,27,31,19,7,4
50,占い,315000,70,1.726,-9.477,24,76,9,20,18,20,19,8,6
51,dior,311000,70,1.787,21.785,22,78,13,32,20,15,12,5,3
52,アリシアクリニック,311000,70,1.685,55.097,30,70,2,20,20,20,21,11,6
53,スポッチャ,305000,70,1.729,127.824,33,67,14,12,18,36,14,3,3
54,子宮内膜症,251000,70,1.899,56.277,15,85,4,19,24,25,15,8,5
55,isfj,222000,70,2.156,-32.656,23,77,14,44,22,12,6,1,1
56,不正出血,197000,70,2.138,27.079,14,86,4,21,22,29,16,5,3
57,ミレーナ,187000,70,2.124,29.11,24,76,1,9,25,35,18,7,5
58,妊娠検査薬,152000,70,2.451,24.304,21,79,6,31,35,16,7,3,2
59,ピル 生理遅らせる,25300,70,4.186,0.005,5,95,6,30,25,31,6,1,1
60,apple watch,428000,60,1.315,-10.464,53,47,3,17,19,21,21,12,7
61,過敏性腸症候群,403000,60,1.302,31.532,25,75,7,15,19,24,19,10,6
62,シャネル,396000,60,1.325,4.356,22,78,4,13,15,23,22,14,9
63,ゴンチャ メニュー,370000,60,1.411,16.714,13,87,14,30,20,17,13,4,2
64,5031311651,370000,60,1.326,19.348,42,58,1,20,23,23,19,10,4
65,くら寿司 予約,367000,60,1.396,41.808,29,71,4,13,20,28,19,9,7
66,イクスピアリ,364000,60,1.439,18.55,26,74,5,16,24,26,17,8,4
67,骨格診断,363000,60,1.377,-7.926,9,91,14,20,22,22,15,5,2
68,八景島シーパラダイス,352000,60,1.35,-2.431,36,64,5,17,23,26,15,8,6
69,airpods,349000,60,1.508,15.19,48,52,10,24,19,20,17,6,4
70,mbti 相性,341000,60,1.528,-56.917,31,69,18,39,20,11,8,3,1
71,厄年,341000,60,1.427,110.981,40,60,3,11,27,22,16,14,7
72,スタバ タンブラー,338000,60,1.412,11.569,15,85,6,21,22,24,17,7,3
73,ヴィヴィアンウエストウッド,333000,60,1.526,-32.236,25,75,11,23,14,25,18,6,3
74,アベイル,331000,60,1.487,-16.897,22,78,8,14,24,28,17,6,3
75,shiro 香水,322000,60,1.546,44.313,20,80,8,23,18,22,20,7,2
76,マンジャロ,317000,60,1.59,98.408,30,70,2,16,21,25,21,10,5
77,防風通聖散,314000,60,1.567,0.013,19,81,2,11,18,24,24,13,8
78,クリスマスマーケット,313000,60,1.495,68.487,28,72,8,22,17,20,19,9,5
79,バイトル,296000,60,1.522,34.067,32,68,10,15,13,22,23,10,7
80,カンジダ,276000,60,1.681,52.548,27,73,4,22,22,22,16,8,6
81,転職,259000,60,1.654,-2.023,48,52,0,22,25,23,19,7,4
82,肉じゃが,241000,60,1.78,36.415,23,77,1,13,24,27,18,9,8
83,ピーチジョン,238000,60,1.79,-22.845,17,83,4,25,23,23,16,6,3
84,ディズニーチケット,231000,60,1.913,-44.502,22,78,9,29,23,20,12,5,2
85,ロウヤ 家具,228000,60,1.809,83.236,18,82,2,19,23,23,21,9,3
86,enfj,221000,60,1.895,6.193,28,72,16,43,21,11,6,2,1
87,esfj,185000,60,2.113,-12.873,25,75,18,48,18,9,5,1,1
88,ete,183000,60,2.006,-44.784,15,85,2,25,23,21,16,8,5
89,ピル 避妊,25800,60,3.997,-0.015,36,64,12,32,21,20,9,3,3
90,infp,354000,50,1.383,19.939,28,72,14,39,23,14,7,2,1
91,ハワイアンズ,340000,50,1.338,-11.364,38,62,2,9,23,33,15,10,8
92,バイマ,335000,50,1.308,23.82,24,76,3,12,23,28,21,9,4
93,イソップ,318000,50,1.313,44.936,19,81,2,18,22,24,20,9,5
94,ikea オンライン,317000,50,1.374,69.455,14,86,4,16,20,25,20,11,4
95,コメダ,309000,50,1.334,-13.418,26,74,6,16,23,25,18,7,5
96,免許証 住所変更,308000,50,1.449,41.426,45,55,0,23,25,19,19,9,5
97,カップヌードルミュージアム,305000,50,1.316,28.938,31,69,4,13,22,33,16,8,4
98,スワロフスキー,302000,50,1.368,-12.51,21,79,4,18,15,18,23,14,8
99,スリコ,302000,50,1.317,-8.488,11,89,3,9,24,30,22,8,4
100,マリークワント,301000,50,1.381,13.282,10,90,10,16,13,22,23,11,5
101,誕生日プレゼント,296000,50,1.33,20.94,32,68,5,12,17,24,19,12,11
102,胃腸炎 何日で治る,296000,50,1.325,27.97,29,71,5,15,27,27,15,7,4
103,gap,295000,50,1.441,9.603,28,72,8,15,21,23,19,9,5
104,アゴダ,294000,50,1.431,-4.006,39,61,2,14,13,21,26,15,9
105,インスタ アカウント削除,293000,50,1.392,70.244,33,67,22,26,17,16,10,5,4
106,梅毒 症状,284000,50,1.377,34.836,49,51,2,17,23,25,20,8,5
107,スタジオアリス,284000,50,1.329,68.483,23,77,1,8,34,29,13,9,6
108,夜行バス,283000,50,1.396,-3.354,37,63,11,25,14,17,18,9,6
109,賃貸,281000,50,1.457,6.716,44,56,1,12,18,21,23,13,12
110,なばなの里,280000,50,1.392,95.528,38,62,3,14,17,19,20,15,12
111,性格診断,279000,50,1.552,-28.325,33,67,12,21,20,21,17,6,3
112,ジョーマローン,278000,50,1.519,51.963,25,75,6,23,20,21,19,8,3
113,ビタミンc,277000,50,1.486,50.924,28,72,4,10,14,23,22,14,13
114,カルバンクライン,276000,50,1.551,-12.114,44,56,14,27,20,16,13,6,4
115,adidas,276000,50,1.51,3.151,36,64,12,21,19,22,15,7,4
116,胃腸炎,262000,50,1.53,22.784,30,70,4,16,27,26,14,7,6
117,新江ノ島水族館,252000,50,1.491,-13.969,34,66,5,14,20,23,16,12,10
118,ヒラキ,249000,50,1.512,-17.812,19,81,1,3,20,33,21,13,9
119,飛行機,246000,50,1.587,9.308,35,65,8,24,23,21,13,6,5
120,クレヨンしんちゃん映画,242000,50,1.516,-7.779,35,65,7,13,29,33,9,5,4
121,サモエドカフェ,218000,50,1.681,1.76,28,72,5,24,20,20,20,8,3
122,スタバメニュー,217000,50,1.765,37.526,23,77,16,29,17,17,14,5,2
123,スナイデル,205000,50,1.735,-21.747,14,86,7,29,22,17,16,6,3
124,チュチュアンナ,193000,50,1.776,-1.994,10,90,7,26,23,20,15,6,3
125,pms 症状,190000,50,1.926,-3.013,8,92,5,21,23,25,13,8,5
126,トランサミン,184000,50,1.799,32.708,30,70,2,10,19,29,20,10,10
127,ジェラピケ パジャマ,182000,50,1.969,-7.499,24,76,9,33,17,15,17,7,2
128,istp,182000,50,1.946,-1.15,29,71,18,43,20,10,6,2,1
129,ジョブメドレー,179000,50,1.917,11.251,25,75,1,11,17,26,26,13,6
130,サボン,179000,50,1.86,4.973,18,82,4,20,23,23,18,8,4
131,miumiu,178000,50,1.896,-20.926,17,83,12,38,19,16,10,3,2
132,耳つぼジュエリー,174000,50,1.855,63.741,8,92,5,22,25,24,16,5,3
133,生理がこない,164000,50,2.08,-14.582,17,83,11,26,24,26,9,2,2
134,医療脱毛,158000,50,2.048,11.932,24,76,6,28,22,22,15,4,3
135,pms,157000,50,2.107,1.148,28,72,6,21,26,23,13,7,4
136,着床出血,122000,50,2.271,-7.394,13,87,6,31,42,16,2,2,1
137,カラコン,120000,50,2.305,10.774,12,88,25,29,17,14,9,3,3
138,クラミジア 症状 女,89800,50,2.588,29.674,10,90,4,33,27,18,12,4,2
139,ピル 生理こない,28100,50,3.85,2.229,15,85,4,42,31,15,5,2,1
140,スマルナ,8200,50,5.029,0.103,12,88,3,37,31,17,7,3,2
141,ロエベ 財布,288000,40,1.306,19.011,20,80,3,23,23,21,18,9,3
142,タウンワーク,286000,40,1.329,-25.526,32,68,8,14,17,25,22,10,4
143,鳥貴族 メニュー,277000,40,1.324,103.909,38,62,4,23,19,22,20,8,4
144,ピーチ,275000,40,1.319,-42.408,41,59,2,19,21,23,21,9,5
145,キューテン,270000,40,1.331,-15.207,11,89,16,17,19,24,16,5,3
