順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,妊娠初期症状,406000,6900,2.881,-3.158,20,80,7,34,34,15,5,3,2
2,妊娠検査薬 いつ,215000,4700,3.124,3.004,15,85,5,33,38,16,5,2,1
3,妊娠超初期症状,164000,4100,3.245,2.407,7,93,3,28,49,15,2,2,1
4,つわり いつから,185000,3500,2.961,19.958,17,83,2,27,45,15,5,4,2
5,結婚指輪,187000,3200,2.864,-15.034,37,63,2,28,27,16,13,8,6
6,婚姻届,146000,3000,3.075,-6.383,36,64,3,28,24,12,16,12,5
7,着床出血 いつ,122000,3000,3.256,7.041,8,92,4,30,47,15,2,1,1
8,着床出血,120000,2900,3.205,0.216,13,87,6,31,41,16,3,2,1
9,ゼクシィ,152000,2700,2.912,-9.829,24,76,2,22,25,16,17,12,6
10,妊娠検査薬,148000,2700,2.962,16.301,21,79,6,31,35,16,7,3,2
11,カルティエ 結婚指輪,124000,2600,3.11,-21.073,27,73,1,43,27,11,10,6,2
12,結婚祝い お返し,97800,2300,3.223,15.764,25,75,0,23,29,10,18,15,5
13,ご祝儀袋 書き方,216000,2200,2.387,-3.487,36,64,0,35,30,11,12,8,4
14,出産予定日 計算,155000,2200,2.648,24.712,8,92,0,17,56,16,4,5,2
15,排卵検査薬,49000,2200,3.809,17.144,7,93,0,22,59,14,2,2,1
16,妊活,53300,2000,3.677,-0.003,27,73,3,22,41,14,8,7,5
17,結婚祝い プレゼント,247000,1900,2.073,-13.247,21,79,0,26,23,18,19,10,4
18,多嚢胞性卵巣症候群,101000,1900,2.997,15.947,11,89,3,33,31,13,12,6,2
19,妊娠しやすい時期,99000,1900,2.968,-8.968,32,68,6,29,34,19,7,3,2
20,結婚指輪 ブランド,72200,1900,3.319,-17.993,31,69,1,43,28,11,10,6,1
21,婚姻届 ダウンロード,45600,1900,3.818,-2.136,23,77,1,46,28,8,8,6,3
22,排卵日 生理後何日,130000,1800,2.607,2,22,78,4,18,34,31,8,3,2
23,ティファニー 結婚指輪,74100,1800,3.23,-12.984,26,74,1,41,29,12,10,5,2
24,基礎体温,45900,1800,3.694,10.386,8,92,2,24,44,18,6,3,3
25,不妊治療,127000,1700,2.602,10.422,30,70,3,12,30,24,13,11,7
26,産休 いつから取れる,116000,1700,2.69,37.245,15,85,0,21,40,16,11,9,3
