順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,子宮筋腫,426000,13900,2.27,-0.003,19,81,1,7,16,30,25,11,10
2,卵巣がん 初期症状 8つ,116000,11600,3.413,-0.001,8,92,1,5,11,26,30,16,11
3,子宮内膜症,251000,9300,2.419,-0.001,15,85,4,19,24,25,15,8,5
4,卵巣嚢腫 症状,31400,7400,4.289,0.004,9,91,1,8,13,23,26,16,13
5,卵巣腫瘍,42700,7000,3.934,0,18,82,1,8,13,21,23,15,19
6,チョコレート嚢胞,102000,6100,2.9,0.001,14,86,2,17,24,27,17,8,5
7,卵巣 腫れる 原因,40700,6100,3.795,-0.016,11,89,1,7,16,31,25,11,9
8,卵巣がん,55900,5400,3.386,0.005,22,78,1,6,11,22,27,17,16
9,卵巣嚢腫 なりやすい人,17400,5000,4.492,0.007,9,91,1,8,13,23,26,17,12
10,不正出血,197000,4100,1.829,-0.879,14,86,4,21,22,29,16,5,3
11,子宮頸がん 初期症状,170000,4000,1.972,-0.544,10,90,3,17,16,24,22,10,8
12,卵巣嚢腫 手術後,8200,3600,4.908,1.266,11,89,1,8,16,25,23,18,9
13,子宮体癌,115000,3500,2.208,0.019,16,84,1,4,9,24,32,17,13
14,卵巣嚢腫 手術方法,8600,3400,4.804,0.031,13,87,1,6,14,24,25,19,11
15,子宮腺筋症,92100,3300,2.365,0.004,12,88,1,7,16,38,24,8,6
16,右下腹部の痛み,141000,3100,1.895,-0.016,28,72,2,9,15,25,25,14,10
17,下腹部の痛み 女性,105000,3000,2.132,-0.395,7,93,3,12,19,28,23,9,6
18,腫瘍マーカー検査とは,133000,2900,1.898,1.314,28,72,0,2,8,22,30,21,17
19,多嚢胞性卵巣症候群,102000,2800,2.155,0.008,11,89,3,32,31,13,12,7,2
20,大腸がん 症状 女性 初期,141000,2700,1.792,2.973,6,94,1,7,13,21,25,17,16
21,ジエノゲスト,92700,2400,2.044,16.749,14,86,2,12,19,38,19,6,4
22,子宮筋腫 症状,61500,2300,2.392,-0.009,10,90,2,12,19,33,21,7,6
23,卵巣嚢腫とは,14100,2300,3.903,0,14,86,1,13,16,23,25,13,9
24,ジェノゲスト,72400,2200,2.183,20.79,12,88,1,10,18,42,20,5,4
25,卵巣嚢腫 歯や髪の毛,9900,2200,4.228,0.001,8,92,2,16,23,28,20,7,4
26,卵巣嚢腫 手術費用,4600,2200,4.977,0.088,13,87,1,12,18,26,24,11,8
27,排卵痛,89000,2100,1.961,-0.631,6,94,3,16,37,34,7,1,2
28,腹水がたまる原因,97400,2000,1.81,0.002,31,69,0,6,11,22,27,18,16
29,卵巣がん 生存率,22000,2000,3.327,0.067,25,75,1,5,9,20,27,20,18
30,卵巣嚢腫 痛み,5300,2000,4.711,1.014,8,92,1,9,18,30,25,10,7
31,卵巣嚢腫 大きくなるスピード,4500,2000,4.887,0.955,7,93,1,3,7,29,33,18,9
32,排卵痛 症状,78400,1900,1.961,-0.001,6,94,3,17,35,35,8,1,1
33,腹腔鏡手術,43800,1800,2.564,11.783,34,66,1,7,11,18,22,20,21
34,お腹が張る 原因 女性,78800,1600,1.818,-0.008,6,94,2,8,11,24,28,15,12
