順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,子宮筋腫,426000,29500,2.645,0,19,81,1,7,16,30,25,11,10
2,妊娠初期症状,413000,15700,2.093,-9.728,20,80,6,33,34,16,6,3,2
3,子宮頸がん,389000,14800,2.07,-0.001,24,76,2,10,14,23,24,16,11
4,子宮頸がん 初期症状,170000,10400,2.545,-0.001,10,90,3,17,16,24,22,10,8
5,チョコレート嚢胞,102000,10300,3.035,0.003,14,86,2,17,24,27,17,8,5
6,卵巣嚢腫,174000,9300,2.419,0.001,15,85,1,10,17,24,23,14,11
7,不正出血,197000,9200,2.263,-0.376,14,86,4,21,22,29,16,5,3
8,子宮内膜症 症状,40300,9200,3.877,0.001,8,92,6,29,25,21,12,4,3
9,子宮腺筋症,92100,8800,2.956,0.002,12,88,1,7,16,38,24,8,6
10,妊娠検査薬 いつ,218000,7800,2.035,-6.251,15,85,5,33,38,16,5,2,1
11,妊娠超初期症状,169000,7800,2.266,-9.456,7,93,3,27,49,16,2,2,1
12,子宮体癌,115000,6500,2.462,0.001,16,84,1,4,9,24,32,17,13
13,卵巣がん 初期症状 8つ,116000,6400,2.448,0.002,8,92,1,5,11,26,30,16,11
14,ジエノゲスト,92700,6400,2.635,6.977,14,86,2,12,19,38,19,6,4
15,着床出血,122000,6100,2.359,-3.238,13,87,6,31,42,16,2,2,1
16,排卵痛,89000,5900,2.6,-0.006,6,94,3,16,37,34,7,1,2
17,妊娠検査薬,152000,5500,2.036,-1.757,21,79,6,31,35,16,7,3,2
18,子宮頸がん検診,142000,5500,2.081,-0.003,7,93,1,20,22,23,20,9,5
19,下腹部の痛み 女性,105000,5500,2.368,-0.084,7,93,3,12,19,28,23,9,6
20,子宮内膜症 原因,21400,5500,4.008,0.005,15,85,8,31,22,19,11,5,4
21,着床出血 いつ,116000,5400,2.303,-2.2,8,92,4,30,47,15,2,1,1
22,生理前 症状,146000,5300,2.006,-6.037,13,87,8,19,26,31,11,3,2
23,排卵痛 症状,78400,5300,2.616,-0.002,6,94,3,17,35,35,8,1,1
24,ジェノゲスト,72400,5100,2.647,14.767,12,88,1,10,18,42,20,5,4
25,子宮筋腫 症状,61500,4900,2.787,0,10,90,2,12,19,33,21,7,6
26,排卵日 生理後何日,133000,4800,1.995,-2.925,22,78,3,18,34,31,9,3,2
27,多嚢胞性卵巣症候群,102000,4800,2.303,0.013,11,89,3,32,31,13,12,7,2
28,クラミジア 症状 女,89800,4300,2.319,-0.019,10,90,4,33,27,18,12,4,2
29,子宮内膜症 検査の仕方,15500,4200,4.032,0.006,3,97,3,31,33,23,7,2,1
30,子宮内膜症 妊娠率,14100,4000,4.136,0.002,15,85,5,37,32,8,8,7,3
31,生理痛,92500,3900,2.142,-0.011,14,86,9,17,20,29,16,5,4
32,生理 血の塊,71000,3900,2.416,-0.004,5,95,5,21,32,32,7,1,2
33,ピル 副作用,90300,3800,2.17,1.86,18,82,7,25,21,22,17,6,2
34,生理痛 緩和,104000,3600,2.006,-1.036,15,85,18,26,18,21,12,3,2
