順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,子宮内膜症,251000,29500,2.645,0,15,85,4,19,24,25,15,8,5
2,子宮頸がん,389000,28000,2.157,0,24,76,2,10,14,23,24,16,11
3,子宮頸がん 初期症状,170000,15600,2.403,0,10,90,3,17,16,24,22,10,8
4,子宮筋腫 症状,61500,15400,3.385,0.002,10,90,2,12,19,33,21,7,6
5,卵巣嚢腫,174000,13900,2.27,0.003,15,85,1,10,17,24,23,14,11
6,不正出血,197000,12700,2.043,-0.167,14,86,4,21,22,29,16,5,3
7,子宮筋腫 手術方法,32900,12200,3.774,0.007,13,87,0,4,16,37,25,10,8
8,子宮体癌,115000,10800,2.423,0.577,16,84,1,4,9,24,32,17,13
9,子宮筋腫 お腹ぽっこり,28500,10800,3.767,0.003,8,92,1,4,12,39,35,5,4
10,子宮腺筋症,92100,10600,2.593,0.003,12,88,1,7,16,38,24,8,6
11,卵巣がん 初期症状 8つ,116000,9300,2.272,0.327,8,92,1,5,11,26,30,16,11
12,子宮筋腫 小さくする方法,23400,9000,3.791,0.126,8,92,0,1,13,43,31,6,6
13,子宮頸がん検診,142000,8500,1.973,0,7,93,1,20,22,23,20,9,5
14,子宮筋腫 手術後,18700,8400,3.954,0.509,19,81,1,3,14,36,29,10,7
15,子宮筋肉腫瘍 症状,22600,7400,3.633,0,11,89,1,8,16,39,26,7,3
16,下腹部の痛み 女性,105000,7300,2.115,0.002,7,93,3,12,19,28,23,9,6
17,チョコレート嚢胞,102000,7300,2.15,0.056,14,86,2,17,24,27,17,8,5
18,閉経前の生理の特徴,115000,7200,1.94,-0.298,9,91,1,1,4,44,47,1,2
19,子宮筋腫 原因,20600,6700,3.635,0.005,18,82,1,9,20,36,21,7,6
20,子宮筋腫 手術費用,14200,6600,3.979,0.278,15,85,0,3,15,46,24,5,7
21,生理が終わらない,65100,6400,2.401,-1.466,8,92,2,4,6,46,37,2,3
22,ジエノゲスト,92700,6000,2.025,14.63,14,86,2,12,19,38,19,6,4
23,レルミナ,35600,6000,2.97,24.736,15,85,1,6,14,41,28,6,4
24,レルミナ 副作用,21100,5200,3.329,31.04,10,90,1,3,12,47,31,3,3
25,生理 血の塊,71000,5100,2.129,-0.005,5,95,5,21,32,32,7,1,2
26,子宮全摘出後の生活,25700,5100,3.129,23.427,15,85,1,3,10,42,31,8,5
27,貧血 数値,74700,5000,2.089,1.104,18,82,1,7,13,27,22,14,16
28,ジェノゲスト,72400,5000,2.082,23.973,12,88,1,10,18,42,20,5,4
29,不正出血 生理の違い,79100,4900,2.001,-0.127,12,88,5,23,20,30,17,3,2
30,子宮がん 症状,44700,4900,2.574,0.003,12,88,3,8,13,26,26,12,12
31,子宮筋腫 閉経後,14400,4900,3.715,0.002,8,92,0,1,1,13,58,21,6
32,子宮がん検診,68000,4600,2.073,0.006,10,90,1,14,18,28,23,10,6
33,排卵痛 症状,78400,4400,1.877,1.477,6,94,3,17,35,35,8,1,1
34,子宮筋腫 痛み,11300,4300,3.767,0.26,7,93,0,4,16,43,30,3,4
35,卵巣がん,55900,4200,2.216,2.054,22,78,1,6,11,22,27,17,16
36,子宮体癌 検査,47900,4000,2.275,0.528,8,92,0,4,13,35,33,10,5
37,卵巣腫瘍,42700,4000,2.45,0.019,18,82,1,8,13,21,23,15,19
38,子宮体がん 症状,37600,4000,2.542,-0.036,12,88,1,2,5,25,35,19,13
39,更年期 生理が止まらない,47300,3900,2.214,-1.821,8,92,0,1,1,41,54,1,2
40,卵巣 腫れる 原因,40700,3900,2.425,1.305,11,89,1,7,16,31,25,11,9
41,子宮内膜症 症状,40300,3600,2.395,0.001,8,92,6,29,25,21,12,4,3
42,子宮筋腫 妊娠,11500,3600,3.607,0.002,16,84,0,14,46,25,6,6,3
43,子宮,41700,3500,2.307,0.013,31,69,6,15,20,23,17,9,10
44,鉄欠乏性貧血,52300,3200,1.963,-0.001,20,80,3,16,18,31,19,7,6
45,婦人科,53300,3100,1.967,0,15,85,3,14,15,25,21,10,12
46,子宮摘出 デメリット,19600,3100,2.901,7.765,18,82,2,5,12,40,28,8,5
47,子宮全摘出 デメリット,16200,3100,3.084,17.154,12,88,1,5,12,40,29,7,6
48,子宮内膜ポリープ,25400,3000,2.601,0.087,11,89,1,7,25,34,19,9,5
49,子宮筋腫 大きさ,6800,3000,3.897,0.006,9,91,0,3,18,44,28,4,3
50,ホルモンバランスの乱れ 症状,53200,2900,1.889,2.561,15,85,5,15,22,28,17,7,6
51,子宮頸がん 症状,40800,2900,2.144,-0.158,9,91,5,26,25,21,15,5,3
52,卵巣嚢腫 症状,31400,2900,2.434,0.668,9,91,1,8,13,23,26,16,13
53,排卵出血,50300,2800,1.879,-1.013,6,94,3,19,33,34,8,2,1
54,子宮筋腫 手術,8700,2800,3.642,0.069,12,88,1,7,24,40,20,4,4
55,子宮摘出,20800,2600,2.696,9.814,25,75,2,7,12,32,29,11,7
56,子宮肉腫,10000,2600,3.44,0.736,17,83,1,5,10,28,34,15,7
57,子宮筋腫 出血,6600,2600,3.804,0.1,12,88,1,3,12,40,37,4,3
58,腹腔鏡手術,43800,2400,1.928,20.873,34,66,1,7,11,18,22,20,21
59,腹腔鏡,42900,2400,1.936,16.813,34,66,1,7,12,21,21,18,20
60,オリモノに血が混じる,36400,2400,2.064,1.15,6,94,6,22,24,27,14,4,3
61,鉄剤 副作用,28200,2300,2.267,9.356,12,88,1,7,19,36,23,8,6
62,月経困難症,41600,2200,1.873,0.006,14,86,8,25,24,24,13,4,2
63,ジエノゲスト 副作用,26800,2200,2.247,27.663,10,90,3,12,18,42,18,4,3
64,子宮 ポリープ,20700,2200,2.493,0.002,12,88,0,7,25,37,22,6,3
65,子宮内膜増殖症,23600,2100,2.359,4.711,12,88,1,5,11,32,34,11,6
66,ディナゲスト,32200,2000,1.988,11.651,11,89,1,10,19,43,19,5,3
67,子宮がん 初期症状,22700,2000,2.345,0,10,90,2,7,15,26,26,13,11
68,子宮体癌症状 初期,19500,2000,2.502,5.572,8,92,1,2,9,31,36,13,8
69,子宮筋腫とは,8300,2000,3.34,0,24,76,2,18,24,28,17,6,5
70,子宮筋腫 手術方法 入院期間,4900,2000,3.855,0.073,10,90,0,3,15,44,26,6,6
