順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,子宮脱とは 症状,48400,1500,4.698,-0.002,13,87,1,6,15,21,24,18,15
2,子宮脱 治し方 高齢,15200,760,5.251,-0.002,12,88,0,2,3,11,23,26,35
3,子宮脱手術,9100,550,5.411,0,15,85,1,4,7,15,22,23,28
4,骨盤臓器脱,20700,340,4.09,0.003,16,84,1,6,9,17,22,19,26
5,骨盤低筋肉の鍛え方,105000,330,2.431,0.004,21,79,0,3,9,20,23,20,25
6,子宮脱 治し方 体操,4000,290,5.537,0,8,92,0,2,11,22,27,20,18
7,子宮脱 ペッサリーリング,4600,280,5.42,0,16,84,0,3,7,15,22,24,29
8,子宮脱 症状 チェック,4100,280,5.457,0,8,92,1,7,17,21,24,16,14
9,前駆陣痛,79900,220,2.239,-24.645,18,82,0,20,51,11,7,9,2
10,骨盤底筋,42000,210,2.869,-0.006,30,70,1,8,15,20,20,14,22
11,膣,51600,200,2.615,0.001,51,49,9,13,14,17,17,13,17
12,子宮脱 手術後 後遺症,2700,200,5.669,0.002,12,88,1,1,3,11,20,27,37
13,乳児湿疹,67300,190,2.257,10.969,14,86,0,17,49,13,8,9,4
14,子宮,41300,190,2.763,-0.001,31,69,6,15,20,23,17,9,10
15,膀胱脱,5700,190,4.849,0.014,15,85,1,4,8,13,23,23,28
16,子宮下垂,4200,190,5.042,0.002,14,86,1,9,21,23,19,12,15
17,子宮脱 治った ブログ,1800,190,6.021,0.006,9,91,0,1,4,12,23,24,36
18,バルトリン腺嚢胞,46200,170,2.511,-0.032,11,89,3,15,22,28,20,8,4
19,膀胱瘤,5000,160,4.758,0.094,16,84,1,6,10,15,22,20,26
20,子宮脱 治し方 押し込む,1600,160,5.882,-0.001,13,87,0,4,7,15,24,26,24
21,メマンチン,44800,150,2.409,13.756,29,71,0,10,13,23,27,17,10
22,脱肛,23100,150,3.084,-0.001,37,63,3,14,21,22,19,12,9
23,子宮脱 手術費用,1500,150,5.962,0.005,12,88,0,2,4,14,24,26,30
24,直腸脱,15400,140,3.445,-0.001,29,71,3,10,14,17,21,18,17
25,子宮脱 治し方,1300,140,5.875,0.001,12,88,2,8,17,26,22,14,11
26,フェミクッション,2800,130,5.177,0.048,13,87,0,4,8,15,22,23,28
27,脱腸,33400,120,2.504,-0.114,45,55,4,11,17,21,19,12,16
28,子宮口,20400,110,2.875,-1.504,36,64,4,21,38,17,10,7,3
29,直腸瘤,7800,110,3.841,0.75,18,82,0,5,15,21,24,18,17
30,臓器脱,4000,110,4.588,0.012,14,86,1,2,6,13,23,25,30
31,膣脱,2800,110,4.994,0.001,16,84,1,5,10,19,20,18,27
32,子宮脱とは,2200,110,5.207,0,22,78,13,23,18,16,13,8,9
33,摘便,37300,100,2.279,-10.23,24,76,2,12,13,18,23,19,13
34,トコちゃんベルト,37200,100,2.252,-16.64,9,91,0,14,46,21,9,7,3
35,レルミナ,35900,100,2.245,5.611,15,85,1,6,15,41,27,6,4
36,処女膜,33100,100,2.353,0.037,53,47,20,27,16,13,10,6,8
37,メンタルリープ,32300,100,2.367,1.621,11,89,0,13,66,12,3,4,2
38,ロナセンテープ,28000,100,2.49,-4.937,28,72,0,12,16,26,25,15,6
39,ペッサリーとは,12900,100,3.322,-0.228,36,64,2,12,15,20,18,15,18
40,骨盤底筋体操,11200,100,3.45,0.012,31,69,1,6,10,15,19,21,28
41,子宮脱 原因,1100,100,5.712,0.001,11,89,3,13,18,25,23,9,9
42,トルバプタン,29800,90,2.319,-0.23,33,67,0,20,16,23,21,13,7
43,ercp,28400,90,2.425,20.916,27,73,1,27,18,21,17,9,7
44,ドパコール,27900,90,2.406,13.788,28,72,0,10,14,23,24,16,13
45,膀胱脱 症状,21300,90,2.777,0.321,9,91,1,2,5,17,29,23,23
46,後陣痛,15400,90,2.98,-10.431,6,94,0,21,56,13,4,4,2
47,子宮が下がる病気,4600,90,4.327,-8.608,14,86,0,1,4,13,24,29,29
48,子宮脱 手術,1100,90,5.651,0,13,87,0,10,13,21,28,16,12
49,子宮に沈める,29400,80,2.238,-28.081,21,79,6,19,33,23,13,4,2
50,ナーシングスキル,29300,80,2.292,-50.862,15,85,2,35,21,20,15,5,2
51,二分脊椎,28900,80,2.247,19.131,22,78,1,19,25,23,16,10,6
52,ビソノテープ,28600,80,2.269,-5.257,29,71,0,19,16,22,21,13,9
53,mmt 評価,27600,80,2.276,-5.818,30,70,1,34,21,22,14,4,4
54,悪露 いつまで,26800,80,2.36,-2.52,3,97,0,23,62,10,2,2,1
55,魔の3週目,26000,80,2.401,-0.29,15,85,0,22,62,10,2,3,1
56,小陰唇,26000,80,2.322,-0.005,36,64,10,21,21,19,13,8,8
57,ナースリー,25600,80,2.306,23.136,14,86,1,20,22,24,21,8,4
58,骨盤底筋 鍛え方,24200,80,2.449,-1.447,24,76,1,6,13,20,24,16,20
59,シムス位,22900,80,2.452,-69.789,11,89,2,28,43,14,7,4,2
60,おしるし,20800,80,2.632,-9.516,12,88,1,24,55,11,4,3,2
61,後陣痛 いつまで,20100,80,2.55,-5.511,4,96,0,24,61,9,2,3,1
62,ペッサリー,4400,80,4.152,0.008,43,57,4,14,21,21,15,11,14
63,子宮下垂 症状,2900,80,4.54,0.541,10,90,1,6,13,21,22,19,18
64,ブリストルスケール,24200,70,2.272,1.045,23,77,3,29,19,21,16,8,4
65,チアプリド,23400,70,2.338,-11.028,28,72,0,11,14,25,26,17,7
66,無気肺とは,22300,70,2.347,-8.483,25,75,1,26,16,19,18,11,9
67,母乳,22300,70,2.303,2.608,47,53,8,19,34,18,11,6,4
68,アプガースコア,21900,70,2.415,-13.049,25,75,1,32,29,19,11,6,2
69,産後ケア,21900,70,2.387,-21.128,15,85,1,9,34,17,13,19,7
70,ガランタミン,21800,70,2.402,-32.139,29,71,0,9,12,22,29,17,11
71,名付け,20600,70,2.466,-20.185,16,84,2,15,50,16,7,7,3
72,悪露,20600,70,2.422,-1.872,24,76,2,19,40,16,12,6,5
73,ボーエン病,20100,70,2.473,-28.899,28,72,1,8,12,20,24,19,16
74,アセリオ,19800,70,2.425,-6.137,29,71,0,30,18,22,18,8,4
75,膀胱留置カテーテル,17100,70,2.597,-0.209,17,83,2,32,16,18,15,8,9
76,骨盤底筋 鍛える グッズ,11400,70,3.085,0.829,14,86,0,2,7,20,30,21,20
77,骨盤臓器脱 症状,3700,70,4.2,0.004,13,87,1,4,5,15,26,24,25
78,腟から何か出ている,3700,70,4.185,-0.004,9,91,3,11,12,19,24,17,14
79,産後 子宮脱,1000,70,5.422,-0.013,3,97,1,19,61,13,2,3,1
80,gcs,23000,60,2.257,-24.005,45,55,2,39,25,18,10,4,2
81,総胆管結石,22600,60,2.258,-39.494,34,66,1,13,13,17,24,18,14
82,エディロール,21700,60,2.251,46.859,26,74,0,9,9,15,20,21,26
83,腓骨神経麻痺,21500,60,2.275,-38.914,31,69,2,23,15,19,19,12,10
84,シロドシン,20800,60,2.358,-14.617,48,52,0,22,19,13,13,12,21
85,オホ声,20500,60,2.363,-22.956,79,21,18,33,25,13,7,2,2
86,被殻出血,19700,60,2.386,38.026,35,65,1,25,17,19,19,12,7
87,タゾピペ,19600,60,2.284,17.068,34,66,0,27,16,21,18,11,7
88,子宮頸管,19300,60,2.359,-0.001,18,82,1,19,43,13,10,10,4
89,リンゼス,19200,60,2.337,-34.92,35,65,0,13,17,22,21,14,13
90,会陰,18900,60,2.468,1.924,51,49,9,18,22,17,15,10,9
91,esbl,18800,60,2.328,3.885,31,69,1,21,19,24,20,11,4
92,房室ブロック,17700,60,2.42,-44.717,34,66,1,22,16,19,18,12,12
93,認知症高齢者の日常生活自立度,17300,60,2.45,-10.242,30,70,1,20,18,23,21,11,6
94,バレー徴候,16900,60,2.473,0.229,38,62,2,41,21,18,11,4,3
95,陣痛,16600,60,2.54,-19.09,28,72,3,18,43,15,8,8,5
96,妊婦健診,16600,60,2.531,-53.866,7,93,0,23,54,12,5,4,2
97,dnar,15900,60,2.613,25.086,39,61,1,23,18,21,20,11,6
98,ホーマンズ徴候,14100,60,2.699,14.195,23,77,2,48,18,17,11,3,1
99,妊娠後期,14000,60,2.599,-76.223,14,86,1,20,51,14,5,7,2
100,ケーゲル体操,13200,60,2.751,0.003,48,52,2,11,18,22,20,14,13
101,膣口,6200,60,3.511,0.007,45,55,9,20,20,16,13,10,12
102,脱子宮,2000,60,4.727,-0.001,35,65,9,12,17,20,17,13,12
103,脳姦,1400,60,5.092,0.002,52,48,40,30,16,6,5,2,1
104,絞扼性イレウス,19500,50,2.267,72.703,28,72,2,21,18,20,19,12,8
105,フェロミア,19100,50,2.244,-52.24,25,75,1,15,21,25,20,9,9
106,ニコランジル,19000,50,2.288,21.781,36,64,0,30,21,16,14,9,10
107,喀痰,18300,50,2.25,4.703,37,63,2,16,15,21,20,14,12
108,纏足,17900,50,2.269,-0.001,35,65,11,15,17,20,18,11,8
109,陥没呼吸,17900,50,2.24,1.176,21,79,1,22,43,19,7,5,3
110,dvt 医療略語,17900,50,2.239,11.244,24,76,1,20,15,24,23,11,6
111,アスパラカリウム,17600,50,2.318,44.902,29,71,1,18,18,24,18,11,10
112,バーセルインデックス,17200,50,2.285,16.129,40,60,2,35,21,21,13,5,3
113,錐体外路症状,17100,50,2.237,17.94,31,69,1,27,16,20,19,10,7
114,ラミナリア,16900,50,2.324,-11.848,13,87,2,16,38,22,12,7,3
115,フルイトラン,16800,50,2.402,11.532,32,68,0,15,17,21,21,14,12
116,母乳実感,16700,50,2.255,15.864,10,90,0,18,59,15,4,3,1
117,子宮がん,16600,50,2.312,-0.007,21,79,3,9,13,24,25,13,13
118,新生児 泣き止まない,16500,50,2.375,1.255,26,74,0,18,48,12,8,11,3
119,子宮頸管ポリープ,16400,50,2.264,-0.377,10,90,1,8,18,33,28,8,4
120,膣炎,16400,50,2.264,-17.18,12,88,2,16,19,20,19,14,10
121,大腿骨転子部骨折,16300,50,2.407,-17.185,33,67,1,19,13,16,19,20,12
122,子宮全摘出 デメリット,16300,50,2.263,29.366,12,88,1,5,12,40,29,7,6
123,コアグラとは,16100,50,2.353,-3.745,25,75,1,22,19,22,21,11,4
124,ソリフェナシンコハク酸塩,16000,50,2.47,-15.544,31,69,0,9,13,21,24,17,16
125,膣癌 症状,15800,50,2.454,-0.467,11,89,1,4,8,20,26,21,20
126,バルトリン腺炎,15800,50,2.362,-0.408,13,87,3,14,22,27,19,10,5
127,グラクティブ,15800,50,2.351,29.361,39,61,0,18,20,16,17,15,14
128,下血,15700,50,2.289,30.754,36,64,2,15,21,24,19,11,8
129,新生児 抱っこ紐,14800,50,2.434,11.456,10,90,0,14,62,15,3,4,2
130,子宮頚管長,14800,50,2.399,-61.997,9,91,0,22,54,11,4,6,3
131,子宮頚がん,14700,50,2.425,6.451,18,82,2,17,23,27,20,7,4
132,セフメタゾール,14200,50,2.505,-7.094,39,61,0,32,20,20,14,8,6
133,睡眠退行,14200,50,2.498,64.926,15,85,0,18,64,11,3,3,1
134,子宮体がん,13900,50,2.568,-4.99,14,86,2,10,15,30,30,8,5
135,ダグラス窩,13800,50,2.461,-8.319,25,75,3,32,20,20,14,7,4
136,ツルゴール反応,13700,50,2.533,-23.509,28,72,1,23,21,25,20,8,2
137,腹壁瘢痕ヘルニア,13500,50,2.579,-6.377,31,69,1,13,13,19,22,16,16
138,産後,13400,50,2.632,-5.499,13,87,0,15,50,14,7,8,6
139,アメナリーフ,13100,50,2.623,28.503,41,59,0,7,15,22,24,17,15
140,正産期,13000,50,2.563,-30.198,11,89,0,21,58,12,3,4,2
141,タミータイム,12800,50,2.496,-15.891,13,87,0,19,55,12,5,6,3
142,萎縮性膣炎,12700,50,2.675,0.023,11,89,1,10,9,13,36,22,9
143,腟炎の症状は,12000,50,2.615,1.088,9,91,1,8,13,19,22,18,19
144,バースプラン,11900,50,2.699,-68.423,15,85,1,28,53,11,3,3,1
145,ハイドロサイト,11900,50,2.591,-7.178,23,77,0,12,19,28,23,12,6
146,フィスト,11300,50,2.72,0,66,34,6,13,16,20,19,14,12
147,尿道,10900,50,2.704,0.842,50,50,7,16,16,17,18,11,15
148,新生児 くしゃみ,9600,50,2.82,-1.287,21,79,0,19,60,13,3,4,1
149,看護観とは,9600,50,2.783,27.046,11,89,4,38,16,22,15,4,1
150,マーゲンチューブ,9200,50,2.828,-12.677,24,76,1,22,19,25,21,9,3
151,神経因性膀胱,7700,50,3.071,-12.285,31,69,1,21,17,21,19,12,9
152,gbs,7600,50,3.031,-7.354,22,78,1,22,32,18,13,8,6
153,産褥体操,5100,50,3.412,-0.846,5,95,1,23,55,14,3,3,1
154,子宮 降りてくる,4700,50,3.543,-0.007,32,68,6,22,24,20,17,6,5
155,骨盤臓器脱 体操で治る,2700,50,4.188,-6.01,10,90,2,3,4,12,25,23,31
156,膀胱瘤とは,2600,50,4.29,-0.01,14,86,0,4,7,14,20,23,32
157,腟脱 症状,2200,50,4.338,-3.472,10,90,0,4,10,19,26,21,20
158,骨盤臓器脱手術,2100,50,4.448,22.258,20,80,0,2,3,9,19,25,42
159,子宮が下がる,1600,50,4.754,-1.018,21,79,2,8,14,21,23,14,18
160,リマプロストアルファデクス,16500,40,2.268,-20.088,36,64,0,9,10,12,19,20,30
161,aso 医療,16400,40,2.238,-69.291,22,78,0,33,25,23,12,4,3
162,ロセフィン,15500,40,2.272,-13.288,35,65,0,16,20,27,19,12,6
163,ゼクシィベビー,15200,40,2.29,-45.579,8,92,0,22,63,10,2,2,1
164,寝返り,14900,40,2.318,64.781,24,76,2,12,37,17,11,12,9
165,妊婦 寿司,14600,40,2.243,-143.459,23,77,1,24,53,13,4,4,1
166,イレウス管,14500,40,2.363,46.089,24,76,1,29,17,20,18,9,6
167,ストマ,14400,40,2.34,-69.908,32,68,1,13,15,22,24,15,10
168,コルサコフ症候群,14400,40,2.27,-12.55,34,66,1,23,14,19,21,14,8
169,完全房室ブロック,14300,40,2.237,-60.255,33,67,1,24,18,20,18,11,8
170,感音性難聴,14200,40,2.268,-5.093,29,71,4,14,14,20,20,14,14
171,夜泣き,14000,40,2.286,39.866,23,77,1,13,53,18,6,6,3
172,ニュープロパッチ,14000,40,2.282,-27.119,29,71,0,14,17,25,22,13,9
173,生後2ヶ月 睡眠時間,14000,40,2.262,24.267,10,90,0,22,60,12,2,3,1
174,竜胆瀉肝湯,13900,40,2.387,-42.284,32,68,0,6,11,19,24,19,21
175,惨劇のサシャ,13900,40,2.358,-34.373,70,30,38,35,16,6,3,1,1
176,ヴィーンd輸液,13900,40,2.263,-17.024,30,70,1,22,20,20,16,12,9
177,羽ばたき振戦,13800,40,2.322,27.453,30,70,1,32,18,20,17,8,4
178,シバリング,13800,40,2.246,54.465,29,71,1,23,22,21,18,11,4
179,陥没乳頭,13700,40,2.28,7.368,18,82,16,34,21,12,10,5,2
180,ホルネル症候群,13500,40,2.271,-33.624,36,64,1,33,18,16,17,10,5
181,腹臥位,13400,40,2.297,-35.842,37,63,4,30,19,20,16,7,4
182,神経因性膀胱炎,13300,40,2.369,45.028,26,74,1,19,17,20,20,13,10
183,ピック病,13300,40,2.279,0,27,73,1,10,9,19,27,20,14
184,生後3ヶ月 睡眠時間,13200,40,2.271,69.638,11,89,0,20,61,12,2,3,2
185,ダニ刺され,13200,40,2.261,5.221,26,74,4,20,24,21,18,8,5
186,ウンナ母斑,13100,40,2.423,11.843,13,87,0,20,47,17,8,5,3
187,赤ちゃん返り,13100,40,2.255,34.248,34,66,3,17,41,18,8,9,4
188,尿漏れ,13000,40,2.457,-5.918,34,66,2,6,12,19,19,14,28
189,結節性硬化症,13000,40,2.321,-69.184,34,66,1,12,16,22,22,15,12
190,クロマイ腟錠,12800,40,2.376,22.02,10,90,0,14,20,24,23,11,8
191,モナリザタッチ,12700,40,2.248,21.22,20,80,0,3,7,21,41,21,7
192,赤ちゃん 名前,12700,40,2.246,-22.211,30,70,1,17,59,14,4,3,2
193,腸骨,12600,40,2.294,-30.393,32,68,4,16,19,22,20,11,8
194,iadl,12500,40,2.334,-12.843,31,69,2,23,15,22,22,10,6
195,カバサール,12500,40,2.305,-1.328,17,83,0,14,40,24,11,7,4
196,グラルギン,12400,40,2.389,75.113,31,69,1,20,17,24,20,12,6
197,メロペネム,12300,40,2.307,35.439,36,64,1,32,18,18,15,10,6
198,コッホ現象,12100,40,2.504,103.233,18,82,0,20,46,16,8,7,3
199,ベバシズマブ,12100,40,2.341,5.484,40,60,1,16,16,20,21,15,11
200,アレンドロン,12000,40,2.483,41.93,28,72,0,14,14,20,22,16,14
201,新生児 吐き戻し,12000,40,2.431,9.252,19,81,0,24,59,9,3,4,1
202,フェムケア オイル,12000,40,2.349,-46.835,6,94,1,3,13,29,38,12,4
203,妊婦 頭痛,11900,40,2.445,-31.236,13,87,1,25,57,10,3,3,1
204,新生児 おしゃぶり,11900,40,2.412,2.436,20,80,0,25,58,9,3,4,1
205,廃用症候群,11700,40,2.404,28.016,32,68,3,18,12,18,23,16,10
206,120953905,11700,40,2.397,83.925,10,90,1,12,18,33,27,8,1
207,bsc,11700,40,2.328,29.148,41,59,1,18,17,23,21,13,7
208,tavi,11600,40,2.44,-64.252,41,59,1,21,18,21,19,13,7
209,アドナ,11600,40,2.429,17.619,32,68,1,17,17,23,21,11,10
210,アマルエット,11500,40,2.475,-32.831,37,63,0,8,12,18,23,21,18
211,sah 医療,11500,40,2.454,67.661,23,77,1,31,21,21,18,6,2
212,タミータイム いつから,11500,40,2.384,24.913,10,90,0,25,55,10,4,5,1
213,ビリルビン尿,11400,40,2.493,-10.172,25,75,1,19,18,23,20,11,8
214,アブリスボ,11100,40,2.592,-2.103,29,71,0,9,38,22,15,10,6
215,イソソルビドテープ,10900,40,2.6,-16.543,22,78,0,15,16,24,24,14,7
216,輸液ポンプ,10900,40,2.492,-4.935,23,77,1,29,16,23,19,8,4
217,膿胸,10900,40,2.438,-20.415,33,67,1,16,16,22,22,12,11
218,フィストファック,10700,40,2.644,-0.005,70,30,10,18,18,18,14,12,10
219,赤ちゃん 咳,10700,40,2.419,43.446,22,78,0,17,62,15,2,3,1
220,鉗子分娩,10400,40,2.572,-6.437,17,83,1,16,41,18,10,9,5
221,フェインジェクト,10400,40,2.527,-64.38,33,67,1,12,20,30,21,10,6
222,vpシャント,10400,40,2.495,31.133,27,73,0,26,20,22,17,9,6
223,エロフィギュア,9900,40,2.596,-35.024,88,12,19,19,21,17,14,6,4
224,臥床,9900,40,2.576,-2.611,33,67,4,16,17,22,23,12,6
225,ジャパンコーマスケール,9800,40,2.619,15.359,21,79,5,35,16,21,16,5,2
226,自己導尿,9600,40,2.625,-23.898,31,69,1,14,12,20,24,16,13
227,麻痺性イレウス,9600,40,2.588,24.99,29,71,1,27,17,19,19,10,7
228,子宮底長,9500,40,2.769,-12.395,6,94,1,32,49,11,3,3,1
229,デカクリ,9400,40,2.641,41.119,72,28,4,15,25,21,19,9,7
230,スクイージング,9200,40,2.63,26.404,24,76,2,31,21,20,17,7,2
231,ef 心臓,9100,40,2.737,15.646,21,79,0,38,23,21,11,4,3
232,尿道カルンクル,9000,40,2.643,30.738,19,81,1,9,10,19,24,21,16
233,バルトリン腺,8800,40,2.736,-6.923,33,67,2,16,19,25,17,10,11
234,添い乳,8600,40,2.659,11.304,6,94,0,21,63,11,2,2,1
235,砕石位,8500,40,2.718,-4.567,25,75,4,43,12,15,12,7,7
236,ncpr,8200,40,2.788,85.766,29,71,0,23,27,26,16,5,3
237,ffp 輸血,8000,40,2.825,8.285,27,73,0,43,23,17,11,4,2
238,血液培養,8000,40,2.756,9.252,24,76,1,29,19,23,18,7,3
239,マーフィー徴候,7600,40,2.877,-8.846,52,48,0,40,24,20,10,4,2
240,弛緩出血,6900,40,2.954,2.273,17,83,1,23,30,22,12,8,4
241,産後 頭痛,6800,40,2.979,-5.721,5,95,0,20,66,10,1,2,1
242,ブルンベルグ徴候,6700,40,3.016,23.3,30,70,4,52,14,14,10,4,2
243,マミーブレイン,6500,40,2.952,34.823,9,91,0,12,58,19,5,4,2
244,会陰裂傷,6300,40,3.122,0.009,12,88,2,30,39,11,8,6,4
245,高次機能障害,6200,40,3.011,-36.383,28,72,1,11,14,23,24,14,13
246,差し乳,6100,40,2.988,-2.321,2,98,0,20,67,9,1,2,1
247,骨盤底筋トレーニング,5900,40,3.244,0.459,24,76,1,7,13,22,25,15,17
248,新生児 うんち,5400,40,3.323,0.827,12,88,0,24,61,9,2,2,2
249,ビショップスコア,5200,40,3.313,-5.696,15,85,1,49,27,11,7,4,1
250,アトニン,5100,40,3.258,-38.357,24,76,0,35,33,15,9,6,2
251,ポリファーマシー,5000,40,3.268,32.886,37,63,1,22,15,20,22,12,8
252,ニプルファック,2700,40,3.873,-0.004,85,15,21,32,22,13,7,3,2
253,ペッサリー 高齢者,2500,40,4.13,1.996,15,85,0,3,6,11,21,22,37
254,ウロギネ外来,1800,40,4.341,-0.006,9,91,0,2,3,15,26,24,30
255,骨盤臓器脱 何科,1700,40,4.498,0.001,11,89,1,2,6,12,25,25,29
256,子宮下がる 症状,1600,40,4.353,-0.029,15,85,3,7,10,21,29,19,11
257,ペッサリーの装着方法,1400,40,4.575,19.963,38,62,0,2,5,15,20,21,37
258,脱膣,1000,40,4.917,-0.002,30,70,4,9,15,21,19,17,15
259,dダイマー,12300,30,2.242,-0.727,33,67,1,20,18,20,18,11,12
260,ards 医療,12300,30,2.235,57.708,30,70,1,29,23,19,15,8,5
261,オホ声 asmr,12000,30,2.353,39.317,89,11,26,39,21,7,4,1,2
262,2ヶ月 ミルクの量,11700,30,2.234,41.135,11,89,0,19,57,13,4,5,2
263,おねショタ,11600,30,2.33,-37.369,73,27,29,29,20,11,6,3,2
264,乳頭保護器,11600,30,2.267,-7.019,7,93,1,26,56,9,3,4,1
265,出産手当金 計算ツール,11600,30,2.249,33.811,7,93,0,22,60,11,3,2,2
266,ポリスチレンスルホン酸 caゼリー,11600,30,2.236,1.297,28,72,0,14,14,20,22,16,14
267,エリキュース錠2.5mg,11500,30,2.384,-31.627,35,65,0,8,8,14,22,21,27
268,ビクシリン,11500,30,2.304,-16.059,34,66,1,28,22,20,14,8,7
269,頭蓋内圧亢進症状,11500,30,2.275,-72.846,23,77,3,42,17,18,12,5,3
270,ラコール半固形,11500,30,2.245,21.623,26,74,0,12,19,27,22,13,7
271,リンパ節郭清,11500,30,2.242,-39.996,26,74,1,15,10,20,22,18,14
272,妊娠22週,11100,30,2.265,-122.949,14,86,1,15,46,17,8,10,3
273,下垂足,11000,30,2.416,-0.198,35,65,1,17,12,16,17,16,21
274,パン粥,11000,30,2.249,-7.251,14,86,1,13,43,20,10,6,7
275,差し乳とは,11000,30,2.243,-1.48,3,97,1,24,63,8,1,2,1
276,胎動カウント やり方,10900,30,2.311,-1.302,6,94,0,22,60,13,2,2,1
277,会陰切開 痛み いつまで,10900,30,2.286,-18.076,3,97,1,28,56,8,2,3,2
278,グラマリール,10900,30,2.251,-10.694,29,71,1,9,14,24,26,17,9
279,プシコ 意味,10800,30,2.28,10.289,28,72,2,25,23,22,17,8,3
280,肺mac症,10800,30,2.276,8.331,32,68,0,13,16,17,20,17,17
281,障害高齢者 日常生活自立度,10800,30,2.239,35.998,34,66,1,18,17,25,22,12,5
282,妊婦 下痢,10700,30,2.238,-18.653,9,91,0,28,57,9,2,3,1
283,アマンタジン,10600,30,2.4,10.397,33,67,0,17,17,22,22,14,8
284,dvt,10500,30,2.375,-11.074,30,70,1,28,20,20,18,8,5
285,hcv,10500,30,2.358,15.846,34,66,2,18,18,22,20,12,8
286,ケツマイモ,10500,30,2.29,-0.139,85,15,20,32,25,14,6,2,1
287,便失禁,10500,30,2.27,-10.453,30,70,2,7,10,14,23,20,24
288,原始反射,10500,30,2.235,-32.157,22,78,8,28,23,17,13,7,4
289,ロケルマ,10400,30,2.379,10.288,43,57,0,19,21,21,19,11,9
290,8ヶ月 離乳食 量,10400,30,2.333,167.86,5,95,0,17,63,12,3,3,2
291,出産手当金とは,10300,30,2.333,33.426,13,87,0,29,54,10,4,2,1
292,帯下とは,10300,30,2.32,51.708,25,75,1,17,16,20,24,14,8
293,ぷっちょ 容器 入らない,10300,30,2.276,-155.982,66,34,23,21,19,20,12,3,2
294,気管カニューレ,10300,30,2.239,8.274,25,75,1,17,17,24,23,12,6
295,翼状針,10200,30,2.458,20.847,21,79,2,22,18,23,21,9,5
296,粘液栓とは,10200,30,2.449,-35.148,6,94,0,27,56,8,4,3,2
297,臨月 お腹の張り,10100,30,2.326,-18.194,8,92,0,22,59,11,3,4,1
298,瞳孔不同とは,10100,30,2.308,-26.96,28,72,3,30,21,21,15,6,4
299,fim,10000,30,2.391,13.511,45,55,1,40,17,18,13,7,4
300,産後 体重の減り方,10000,30,2.307,-35.549,2,98,0,18,65,13,1,2,1
301,lizlisa,10000,30,2.304,-0.008,13,87,40,29,12,10,6,2,1
302,アンビューバック,10000,30,2.263,31.34,27,73,1,21,17,24,21,11,5
303,陰部 かゆみ,10000,30,2.249,-14.726,14,86,2,19,28,29,14,5,3
304,姓名診断,9900,30,2.47,-26.662,22,78,8,39,38,8,4,2,1
305,側臥位,9900,30,2.386,-18.734,31,69,7,17,17,21,20,11,7
306,クスマウル呼吸とは,9900,30,2.382,-19.283,33,67,4,43,16,17,12,5,3
307,内診グリグリとは,9900,30,2.314,-23.198,4,96,2,27,53,10,3,3,2
308,胎児 成長曲線,9800,30,2.419,-41.986,10,90,0,19,59,11,2,5,4
309,脱腸とは 症状 女性,9800,30,2.399,-0.056,7,93,1,7,11,20,26,18,17
310,手が震える,9800,30,2.39,39.261,29,71,10,17,15,17,18,11,12
311,120937703,9800,30,2.315,-17.13,12,88,1,34,25,21,14,3,2
312,心原性脳梗塞,9800,30,2.292,11.022,31,69,2,24,13,17,19,14,11
313,脳ヘルニア,9800,30,2.268,-12.699,37,63,3,28,17,19,17,10,6
314,舌根沈下,9800,30,2.26,28.963,28,72,3,22,17,21,20,11,6
315,動脈管開存症,9800,30,2.259,-12.351,27,73,2,25,22,21,15,10,5
316,尿閉とは,9700,30,2.455,37.561,30,70,2,18,10,17,22,16,15
317,除脳硬直,9700,30,2.297,-40.822,43,57,1,29,27,23,13,5,2
318,アダムスストークス症候群,9600,30,2.456,-2.274,40,60,1,35,19,17,13,8,7
319,咳嗽とは,9600,30,2.374,6.938,30,70,4,19,10,18,21,17,11
320,ラクテック,9600,30,2.345,33.98,34,66,1,25,21,21,17,9,6
321,授乳中 ロキソニン,9500,30,2.472,-3.005,9,91,0,17,63,14,3,2,1
322,経膣エコー,9500,30,2.405,-5.785,10,90,2,24,30,19,15,7,3
323,セブンティウイザン,9500,30,2.341,22.943,15,85,6,19,23,24,19,6,3
324,シェーグレン,9500,30,2.268,-5.047,26,74,0,6,13,22,27,17,15
325,カウプ指数 計算,9400,30,2.39,61.064,6,94,2,28,39,19,7,3,2
326,vpc 心電図,9400,30,2.386,4.931,25,75,0,39,21,19,13,5,3
327,妊婦 カロナール,9400,30,2.33,-9.09,17,83,0,21,56,12,5,5,1
328,不老不死少女の苗床旅行記,9400,30,2.318,-25.737,91,9,13,34,33,13,4,2,1
329,淫紋,9400,30,2.242,-30.78,59,41,12,27,25,16,12,6,2
330,視姦,9300,30,2.453,0.003,57,43,12,22,22,20,14,6,4
