順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,子宮頸がん 初期症状,170000,28500,3.119,0,10,90,3,17,16,24,22,10,8
2,子宮筋腫,426000,28000,2.157,0,19,81,1,7,16,30,25,11,10
3,子宮頸がんワクチン,482000,26500,1.986,0,16,84,6,17,6,27,32,8,4
4,子宮頸がん検診,142000,21000,2.988,0,7,93,1,20,22,23,20,9,5
5,子宮頸がん 原因,91700,16000,3.17,0,22,78,5,19,14,18,22,14,8
6,子宮体癌,115000,14900,2.856,0.002,16,84,1,4,9,24,32,17,13
7,子宮内膜症,251000,14800,2.07,0.001,15,85,4,19,24,25,15,8,5
8,不正出血,197000,11800,2.08,-0.003,14,86,4,21,22,29,16,5,3
9,子宮頸がん 生存率,24500,8500,3.844,0.002,31,69,5,16,16,22,21,12,8
10,卵巣がん 初期症状 8つ,116000,7600,2.175,0.075,8,92,1,5,11,26,30,16,11
11,子宮頸がん 異形成,23800,7300,3.695,0.002,8,92,0,9,21,30,25,11,4
12,子宮頸がん 症状,40800,6600,3.08,0,9,91,5,26,25,21,15,5,3
13,子宮がん検診,68000,5800,2.42,0.001,10,90,1,14,18,28,23,10,6
14,子宮がん 症状,44700,5600,2.829,0.001,12,88,3,8,13,26,26,12,12
15,子宮体がん 症状,37600,5400,2.963,-0.001,12,88,1,2,5,25,35,19,13
16,子宮腺筋症,92100,4600,1.866,0.106,12,88,1,7,16,38,24,8,6
17,子宮頸がんワクチン 副作用,93000,4500,1.903,0.002,13,87,16,29,3,19,26,5,2
18,ヒトパピローマウイルス,67500,4500,2.177,0.01,28,72,3,15,18,27,22,10,5
19,卵巣がん,55900,4500,2.387,0.67,22,78,1,6,11,22,27,17,16
20,子宮頸がん 検査,20500,4200,3.319,0,13,87,2,28,23,22,15,6,4
21,子宮体癌 検査,47900,4000,2.388,0.036,8,92,0,4,13,35,33,10,5
22,不正出血 生理の違い,79100,3900,1.889,0,12,88,5,23,20,30,17,3,2
23,hpv,62100,3900,2.133,0.004,32,68,2,15,16,22,22,13,10
24,生理が終わらない,65100,3700,1.964,-0.911,8,92,2,4,6,46,37,2,3
25,子宮筋腫 症状,61500,3400,2.001,0.015,10,90,2,12,19,33,21,7,6
26,hpv 感染原因,33800,3200,2.559,0.009,29,71,1,15,17,18,20,17,12
27,子宮頸がん 治療法,9000,3200,3.872,0.005,21,79,3,18,19,24,20,11,5
28,高度異形成,23700,2900,2.795,8.633,16,84,1,6,22,31,24,11,5
29,円錐切除術,17400,2900,3.105,10.806,13,87,0,8,23,33,21,10,5
30,織物 茶色,58500,2800,1.903,0.001,6,94,8,30,21,18,12,6,5
31,子宮頸がん症状,17300,2500,2.95,0,10,90,5,25,25,24,13,4,4
32,子宮頸がん ステージ,7400,2500,3.799,0.002,26,74,1,10,21,27,23,12,6
33,子宮,41700,2400,2.035,0.029,31,69,6,15,20,23,17,9,10
34,hpv検査,27900,2400,2.434,0.43,14,86,0,7,17,27,27,15,7
35,子宮全摘出後の生活,25700,2400,2.467,13.585,15,85,1,3,10,42,31,8,5
36,子宮がん 初期症状,22700,2400,2.66,0.001,10,90,2,7,15,26,26,13,11
37,コルポスコピー検査,15300,2400,3.052,4.047,10,90,0,18,24,27,19,8,4
38,卵巣 腫れる 原因,40700,2300,2.022,1.182,11,89,1,7,16,31,25,11,9
39,子宮頸がん検査,19900,2300,2.727,0,10,90,1,24,27,25,15,5,3
40,子宮がん,16300,2300,2.951,0.001,21,79,3,9,14,24,24,14,12
41,asc-us,15600,2300,2.955,-0.002,12,88,1,13,21,28,24,9,4
42,卵巣腫瘍,42700,2200,1.947,1.001,18,82,1,8,13,21,23,15,19
43,子宮体癌症状 初期,19500,2200,2.68,0.063,8,92,1,2,9,31,36,13,8
44,子宮体癌 進行スピード,17400,2100,2.772,0.863,13,87,0,4,8,23,38,17,10
45,子宮頸がん検診 結果,9200,2100,3.416,0.003,6,94,0,18,25,27,21,6,3
46,オリモノに血が混じる,36400,2000,2,2.745,6,94,6,22,24,27,14,4,3
47,子宮内膜症 症状,40300,1900,1.849,0.569,8,92,6,29,25,21,12,4,3
48,不正出血 原因,35300,1800,1.936,0.003,15,85,5,29,26,21,9,7,3
49,閉経後の出血,30700,1800,2.052,-0.265,10,90,0,2,2,5,69,18,4
50,子宮体がん,14900,1800,2.779,0.003,14,86,2,10,15,29,30,9,5
51,子宮筋腫 手術方法,32900,1700,1.908,0.686,13,87,0,4,16,37,25,10,8
52,子宮内膜増殖症,23600,1700,2.228,3.859,12,88,1,5,11,32,34,11,6
53,子宮頚がん,13700,1700,2.79,6.335,18,82,2,18,23,26,20,7,4
54,子宮体癌 症状,12900,1700,2.874,0,11,89,1,2,6,23,36,20,12
55,子宮頚癌,11700,1700,2.934,2.378,26,74,2,8,14,25,28,14,9
56,萎縮性腟炎の症状,31400,1600,1.943,3.685,11,89,0,3,5,12,36,27,17
57,子宮頸管ポリープ,15300,1600,2.588,0.008,10,90,1,8,18,33,28,8,4
58,子宮頸がん ワクチン,15100,1600,2.695,0.001,15,85,7,39,17,17,14,4,2
59,子宮頸がん検診 費用,11900,1600,2.934,0,6,94,1,33,25,21,13,5,2
60,hpv 陽性の場合,9800,1600,3.105,1.826,14,86,0,14,22,27,23,10,4
61,子宮頸がん 性行経験なし,9000,1600,3.187,0,6,94,9,43,15,12,12,6,3
62,子宮頸がん 妊娠,6800,1600,3.468,0.001,20,80,3,31,35,15,9,5,2
63,子宮頸がん手術,3700,1600,4.076,0.018,18,82,1,5,9,23,30,22,10
64,卵巣嚢腫 症状,31400,1500,1.86,7.427,9,91,1,8,13,23,26,16,13
65,婦人科検診,28300,1500,1.989,0.005,15,85,1,17,20,25,20,9,8
66,子宮内膜ポリープ,25400,1500,2.056,1.203,11,89,1,7,25,34,19,9,5
67,不正出血 更年期,23400,1500,2.11,0.007,9,91,0,0,2,37,49,9,3
68,子宮筋肉腫瘍 症状,22600,1500,2.177,0.002,11,89,1,8,16,39,26,7,3
69,不正出血 止まらない,21400,1500,2.248,-0.001,10,90,2,19,24,32,16,4,3
70,子宮摘出,20800,1500,2.263,11.868,25,75,2,7,12,32,29,11,7
71,子宮体癌 初期症状,16500,1500,2.502,2.026,7,93,1,5,11,30,34,11,8
72,hpv 男性,13900,1500,2.68,0.016,39,61,2,20,19,22,19,9,9
73,軽度異形成,12000,1500,2.837,8.684,13,87,0,18,25,27,20,7,3
74,医療用ウィッグ,30000,1400,1.848,20.012,18,82,1,2,7,19,29,24,18
75,子宮頸がんワクチン 間隔,29700,1400,1.857,0.304,8,92,5,27,2,25,34,5,2
76,不正出血 茶色,26100,1400,2.016,0.008,5,95,5,30,25,24,10,4,2
77,子宮が痛い,25800,1400,2.03,0.357,11,89,9,26,21,24,14,3,3
78,不正出血 鮮血,21600,1400,2.163,0.009,6,94,2,19,27,31,13,5,3
79,子宮 ポリープ,20700,1400,2.134,0.006,12,88,0,7,25,37,22,6,3
80,子宮摘出 デメリット,19600,1400,2.239,2.423,18,82,2,5,12,40,28,8,5
81,子宮頸がん 精密検査,4700,1400,3.668,0.001,12,88,1,23,31,27,13,3,2
82,子宮全摘出 デメリット,16200,1300,2.353,13.567,12,88,1,5,12,40,29,7,6
83,子宮頸がん検診 痛い,13100,1300,2.639,0,5,95,1,34,24,18,15,6,2
84,ヒトパピローマウイルス 男性,12400,1300,2.634,0.013,36,64,1,10,19,29,24,11,6
85,子宮頸がん検診 出血,10400,1300,2.807,0,5,95,0,18,27,29,18,5,3
86,子宮頸がん 検診,7100,1300,3.218,0,12,88,2,34,24,21,13,4,2
87,子宮頸がん ウイルス,5800,1300,3.403,0,19,81,1,13,22,28,24,9,3
88,にゅうがんの症状,24900,1200,1.877,-53.08,12,88,3,7,13,23,23,16,15
