順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,梅毒,213000,770,2.759,-0.001,48,52,4,17,23,25,18,8,5
2,クラミジア,84300,580,3.424,0,40,60,6,22,22,20,17,8,5
3,クラミジア 症状 女,89800,520,3.269,-0.002,10,90,4,33,27,18,12,4,2
4,性病の症状,87600,500,3.253,-1.185,56,44,9,29,18,18,15,7,4
5,性病,52500,450,3.652,-0.016,54,46,10,24,18,19,16,8,5
6,性病検査,49200,390,3.567,-0.005,62,38,3,32,25,19,13,5,3
7,クラミジア 症状 男,67200,360,3.153,0,78,22,2,24,26,22,16,7,3
8,尖圭コンジローマ,49600,310,3.312,0.001,45,55,4,22,22,21,18,9,4
9,性感染症 症状 女性,5000,310,5.681,0,8,92,15,42,17,12,10,3,1
10,性器ヘルペス,39600,270,3.422,0.001,42,58,5,28,23,18,14,7,5
11,梅毒 初期症状,65900,250,2.792,-0.001,60,40,2,18,24,24,19,9,4
12,hiv,41800,240,3.264,0.001,44,56,8,27,20,14,14,9,8
13,トリコモナス腟炎,41400,240,3.248,-0.015,8,92,3,26,26,21,15,5,4
14,hiv 初期症状,41900,230,3.197,0.003,49,51,3,28,24,17,13,8,7
15,クラミジア 感染経路,34400,220,3.381,0.002,29,71,3,28,28,20,14,5,2
16,エイズ,25500,220,3.668,0.005,43,57,11,23,19,18,15,8,6
17,性感染症 症状 男性,2100,220,6.157,0,84,16,10,26,18,13,15,10,8
18,コンジローマ 症状,59300,210,2.719,0.004,45,55,2,19,22,24,20,9,4
19,淋病,43900,200,3.013,0.001,54,46,5,21,25,23,16,6,4
20,性器ヘルペス 女性 症状,43500,200,3.032,0.006,12,88,3,23,21,20,18,9,6
21,クラミジア 潜伏期間,26700,200,3.537,0.002,54,46,2,31,26,20,13,6,2
22,性感染症 検査,2000,190,6.093,0.001,35,65,4,38,26,13,10,6,3
23,jcs 意識レベル,50300,180,2.745,-100.612,35,65,1,29,23,22,16,6,3
24,トリコモナス,30200,180,3.254,-0.001,37,63,2,20,21,21,19,10,7
25,アプガースコア,21800,180,3.58,69.556,25,75,1,32,28,19,12,6,2
26,エリクソン 発達段階,20900,170,3.592,11.959,21,79,7,38,11,17,15,8,4
27,コンパートメント症候群,37600,160,2.932,107.707,34,66,2,27,18,20,18,10,5
28,性病検査キット,26600,160,3.274,-0.532,56,44,4,31,24,19,14,6,2
29,シムス位,23000,160,3.431,-108.978,11,89,2,28,43,14,7,4,2
30,死戦期呼吸,36000,150,2.898,43,36,64,6,17,21,27,17,8,4
31,淋病 症状,32100,150,3.024,0.002,55,45,3,22,23,22,18,8,4
32,co2ナルコーシス,29900,150,3.09,-114.085,30,70,1,32,18,21,16,8,4
33,クラミジア 治療,13700,150,3.897,0.006,45,55,2,23,24,21,18,8,4
34,性感染症 潜伏期間,1300,150,6.31,0.001,39,61,9,36,21,16,9,6,3
35,ノーマライゼーションとは,44900,140,2.677,-2.188,32,68,10,20,9,19,22,13,7
36,深部静脈血栓症,41500,140,2.757,-11.988,27,73,2,22,13,18,20,14,11
37,細菌性腟炎,37600,140,2.814,0.709,6,94,4,31,28,19,11,4,3
38,ムーアの分類,6300,140,4.637,-53.009,12,88,2,51,13,15,12,5,2
39,梅毒 治療,27200,130,3.066,-0.001,58,42,1,14,21,25,22,11,6
40,性器ヘルペス 男性 症状,25900,130,3.124,0.011,75,25,3,19,22,21,18,10,7
41,クラミジア 症状,15800,130,3.606,0.005,41,59,4,32,26,17,11,6,4
42,ヘルスプロモーションとは,13800,130,3.798,3.3,25,75,27,37,7,11,10,5,3
43,性行為,35000,120,2.737,0.001,47,53,18,20,13,14,11,7,17
44,梅毒 感染経路,34500,120,2.723,0.588,43,57,3,21,26,24,17,6,3
45,産褥期,27700,120,3.001,-29.013,17,83,3,18,42,15,9,9,4
46,梅毒 検査,23900,120,3.072,-0.004,58,42,1,14,21,24,22,11,7
47,クラミジア 自然治癒,16700,120,3.469,-0.001,49,51,3,28,29,22,12,4,2
48,低カルシウム血症,14900,120,3.616,-139,32,68,1,19,16,20,20,13,11
49,性器クラミジア感染症,4500,120,4.807,0.001,26,74,17,42,18,9,8,4,2
50,世界三大感染症,2600,120,5.369,-172.007,21,79,8,33,12,14,18,11,4
51,ファロー四徴症,34400,110,2.65,5.408,28,72,2,29,21,20,15,9,4
52,看護ルー,27300,110,2.918,-30.888,20,80,7,28,16,20,18,7,4
53,セリアック病,26200,110,3,-123.015,27,73,2,9,13,19,23,19,15
54,コンジローマ,26100,110,2.966,-0.001,43,57,4,25,26,21,15,6,3
55,代謝性アシドーシス,20500,110,3.153,37.547,27,73,2,35,18,19,15,7,4
56,免疫グロブリン,19600,110,3.29,126.804,30,70,9,22,12,16,17,12,12
57,淋菌,15300,110,3.484,-0.001,40,60,5,28,27,20,12,5,3
58,ホルネル症候群,13500,110,3.619,-5.013,36,64,1,33,18,16,18,10,4
59,スパイロメーター,9800,110,3.897,-137.007,35,65,2,20,12,18,24,16,8
60,一次性頭痛,4000,110,4.799,-82.015,38,62,3,20,19,18,20,15,5
61,性感染症 原因,1200,110,6.14,0,22,78,34,39,11,7,5,2,2
62,性感染症 検査キット,1100,110,6.168,0,30,70,8,37,22,15,10,4,4
63,メタボリックシンドローム,33000,100,2.701,-14.267,36,64,13,17,9,16,16,13,16
64,mmt 評価,27800,100,2.774,57.097,30,70,1,34,21,21,14,5,4
65,梅毒 写真,27800,100,2.721,0.003,49,51,2,7,15,25,29,14,8
66,慢性膵炎,26800,100,2.804,20.779,41,59,1,10,14,20,23,18,14
67,腓骨神経麻痺,21900,100,2.997,24.91,31,69,2,23,15,20,19,11,10
68,hiv 感染経路,14500,100,3.419,-0.02,39,61,5,32,22,16,13,7,5
69,性病検査 費用と時間,13800,100,3.488,-0.656,57,43,3,41,23,16,11,4,2
70,インフュージョンリアクション,11600,100,3.617,2.842,25,75,1,36,20,20,14,6,3
71,原始反射,10600,100,3.727,130.94,23,77,7,28,23,17,14,7,4
72,腫瘍崩壊症候群,8900,100,3.912,-54.021,31,69,0,33,18,18,15,9,7
73,世界糖尿病デー,3900,100,4.695,3.966,34,66,1,10,16,22,25,18,8
74,健忘失語,1500,100,5.676,-16.001,21,79,0,26,18,17,23,13,3
75,せい感染症,1400,100,5.792,-0.008,42,58,15,23,15,18,14,9,6
76,蓄尿症状,1300,100,5.854,133.982,25,75,1,20,11,14,24,19,11
77,中枢性チアノーゼ,1200,100,5.907,-147.023,18,82,1,21,14,18,25,18,3
78,妊娠初期症状 いつから,29700,90,2.701,-20.96,14,86,12,43,32,9,2,1,1
79,小柴胡湯,27900,90,2.674,-119.997,28,72,1,8,14,23,24,17,13
80,カンジダ 男性,26500,90,2.761,-2.495,55,45,1,26,26,23,14,5,5
81,hivとは,25000,90,2.852,-0.003,30,70,21,32,10,8,10,8,11
82,フラジール腟錠,24500,90,2.833,2.987,8,92,1,23,29,24,14,5,4
83,スキンテアとは,20200,90,3.024,72.109,18,82,1,16,15,25,25,13,5
84,細菌性膣炎,19900,90,3.061,-0.002,7,93,3,33,27,18,13,4,2
85,日和見感染とは,18700,90,3.108,-0.002,31,69,14,27,11,17,17,9,5
86,ポリファーマシーとは,18100,90,3.087,147.867,32,68,1,18,13,20,23,15,10
87,jcs 意識レベル 表,17900,90,3.124,-41.827,36,64,1,17,20,27,21,10,4
88,性病 潜伏期間 男性,17100,90,3.132,0.082,95,5,3,29,27,20,13,5,3
89,認知症高齢者の日常生活自立度,16800,90,3.199,27.018,30,70,1,20,18,22,21,12,6
90,プレコンセプションケア,15800,90,3.294,-13.827,28,72,3,18,17,19,20,14,9
91,エイズ 初期症状,15500,90,3.211,-0.002,54,46,3,30,26,19,13,6,3
92,クラミジア 薬,14000,90,3.366,0,56,44,1,28,26,22,14,6,3
93,アドバンスケアプランニング,13300,90,3.439,-8.977,25,75,2,23,12,21,24,12,6
94,パーソンセンタードケア,11200,90,3.549,94.012,25,75,2,13,12,22,27,17,7
95,主婦湿疹,10700,90,3.648,-97.028,13,87,1,8,18,23,26,17,7
96,咽頭クラミジア 症状,10700,90,3.611,0.329,53,47,2,37,25,17,11,5,3
97,カテコールアミンとは,9800,90,3.718,179.923,26,74,4,44,10,13,14,9,6
98,上大静脈症候群,4900,90,4.39,99.951,35,65,1,24,19,22,18,11,5
99,肘正中皮静脈,3000,90,4.923,185.967,30,70,6,43,16,15,13,6,1
100,脊髄癆,2100,90,5.307,-33.998,38,62,1,33,15,16,18,12,5
101,熱放散,1400,90,5.626,-37.001,25,75,7,27,16,17,20,11,2
102,集中治療後症候群,1200,90,5.798,-159.043,21,79,2,17,14,17,29,17,4
103,着床出血 性行為から何日後,27900,80,2.637,20.479,10,90,8,37,38,13,2,1,1
104,平方完成,27000,80,2.663,-71.168,43,57,67,14,2,7,6,2,2
105,アルブミン 基準値,26700,80,2.687,-6.781,25,75,2,30,9,14,15,13,17
106,クリスマスプレゼント 彼氏,26200,80,2.728,14.247,8,92,11,48,20,12,7,1,1
107,着床出血 生理 違い,25100,80,2.641,-42.946,9,91,7,36,42,12,2,1,0
108,アフターピル 副作用,24800,80,2.663,-0.818,23,77,10,46,21,14,6,2,1
109,低用量ピル 避妊効果,23400,80,2.839,0.008,26,74,11,47,22,11,5,2,2
110,エリスロポエチン,21200,80,2.87,-5.206,32,68,5,31,12,16,16,11,9
111,パタカラ体操,19200,80,3.038,-74.91,24,76,1,9,8,16,20,19,27
112,バーセルインデックス,18100,80,2.971,49.999,41,59,1,35,22,21,13,5,3
113,梅毒 キスでうつる確率,17700,80,2.901,-6.471,72,28,2,12,21,27,23,11,4
114,低血糖 数値,16100,80,3.063,-92.047,29,71,1,15,16,18,22,15,13
115,梅毒 潜伏期間,15100,80,3.186,0.002,62,38,2,20,24,23,18,9,4
116,健康日本21,14900,80,3.159,-4.689,32,68,9,28,10,16,16,7,14
