順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,子宮内膜症,251000,3000,2.703,-0.002,15,85,4,19,24,25,15,8,5
2,子宮筋腫,426000,2200,1.873,-0.006,19,81,1,7,16,30,25,11,10
3,妊娠初期症状,413000,2100,1.874,-5.639,20,80,6,33,34,16,6,3,2
4,pms 症状,190000,2000,2.612,-0.002,8,92,5,21,23,25,13,8,5
5,ミレーナ,187000,1700,2.389,-0.004,24,76,1,9,25,35,18,7,5
6,pms,157000,1600,2.55,-0.001,28,72,6,21,26,23,13,7,4
7,ジエノゲスト,92700,1600,3.083,0.026,14,86,2,12,19,38,19,6,4
8,貧血 症状,267000,1400,1.891,-1.692,23,77,5,14,16,25,18,9,13
9,ジェノゲスト,72400,1300,3.052,0.106,12,88,1,10,18,42,20,5,4
10,不正出血,197000,1200,2.062,-1.901,14,86,4,21,22,29,16,5,3
11,生理前 症状,146000,1200,2.284,-3.39,13,87,8,19,26,31,11,3,2
12,ピル 副作用,90300,1200,2.82,0.012,18,82,7,25,21,22,17,6,2
13,妊娠検査薬 いつ,218000,1100,1.864,-3.783,15,85,5,33,38,16,5,2,1
14,低用量ピル,71600,1100,2.995,-0.004,16,84,6,34,25,19,10,4,2
15,生理痛,92500,1000,2.61,-0.013,14,86,9,17,20,29,16,5,4
16,生理痛 緩和,104000,990,2.511,-0.479,15,85,18,26,18,21,12,3,2
17,子宮腺筋症,92100,970,2.555,0.002,12,88,1,7,16,38,24,8,6
18,生理がこない,164000,960,2.012,-3.723,17,83,11,26,24,26,9,2,2
19,子宮頸がん 初期症状,170000,890,1.896,-2.568,10,90,3,17,16,24,22,10,8
20,月経前症症候群,21400,890,3.938,0,14,86,5,15,18,32,19,7,4
21,ピル,86400,860,2.55,-0.009,25,75,9,25,21,21,13,6,5
22,当帰芍薬散,159000,810,1.869,-0.058,16,84,1,7,15,26,27,13,11
23,妊娠検査薬,152000,790,1.906,0.018,21,79,6,31,35,16,7,3,2
24,多嚢胞性卵巣症候群,102000,760,2.273,0.003,11,89,3,32,31,13,12,7,2
25,ドロエチ配合錠 あすか,31200,760,3.462,0.001,15,85,4,34,23,16,14,6,3
26,チョコレート嚢胞,102000,750,2.226,-0.003,14,86,2,17,24,27,17,8,5
27,子宮頸がん検診,142000,710,1.848,0.002,7,93,1,20,22,23,20,9,5
28,排卵痛,89000,710,2.291,-3.679,6,94,3,16,37,34,7,1,2
29,下腹部の痛み 女性,105000,690,2.116,-1.125,7,93,3,12,19,28,23,9,6
30,子宮内膜症 症状,40300,690,3.096,-0.001,8,92,6,29,25,21,12,4,3
31,ディナゲスト,32200,670,3.236,0,11,89,1,10,19,43,19,5,3
32,排卵日 生理後何日,133000,660,1.82,-1.922,22,78,3,18,34,31,9,3,2
33,アフターピル,126000,650,1.907,-11.025,32,68,9,32,20,19,12,5,3
34,着床出血,122000,650,1.928,0.106,13,87,6,31,42,16,2,2,1
35,生理前 腹痛,70900,650,2.445,-2.407,6,94,8,21,31,30,8,1,1
36,ヤーズフレックス,32300,650,3.248,-0.001,15,85,3,27,28,21,13,5,3
37,排卵痛 症状,78400,610,2.27,-0.039,6,94,3,17,35,35,8,1,1
38,着床出血 いつ,116000,600,1.9,-0.101,8,92,4,30,47,15,2,1,1
39,プラノバール,65400,600,2.44,-0.007,11,89,2,17,29,32,14,4,2
40,pmdd,48800,600,2.731,-0.002,16,84,4,18,25,30,15,5,3
41,生理前 眠気がひどい,78900,580,2.22,-6.136,5,95,5,26,33,29,5,1,1
42,フリウェル,20700,580,3.577,0,16,84,2,23,27,24,14,7,3
43,生理痛 薬が効かない,28100,570,3.267,-0.045,6,94,12,30,19,23,12,2,2
44,ジエノゲスト 副作用,26800,560,3.247,3.352,10,90,3,12,18,42,18,4,3
45,ピル 効果,54600,550,2.549,-0.109,33,67,6,23,21,25,16,5,4
46,pmsとは,108000,540,1.867,0,62,38,6,18,17,20,19,13,7
