順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ダイレクトボンディング 後悔,3100,660,6.679,0,28,72,3,12,19,27,25,10,4
2,ラミネートベニア,19200,560,4.709,-0.001,21,79,2,16,24,26,20,8,4
3,ダイレクトボンディング 料金,1900,420,6.76,0.002,32,68,5,13,17,24,24,13,4
4,インビザライン,85200,390,2.84,-3.238,25,75,3,14,21,30,20,8,4
5,根管治療,53000,360,3.236,-10.32,32,68,2,9,17,26,23,14,9
6,コンポジットレジン,12500,360,4.679,-0.006,35,65,3,17,19,24,20,10,7
7,マウスピース矯正,105000,300,2.398,-0.788,22,78,6,20,21,27,16,5,5
8,歯の隙間を埋める方法,8100,300,4.922,-0.005,28,72,1,6,15,26,28,15,9
9,セラミック 歯 値段,73100,290,2.719,-0.051,28,72,2,14,20,23,22,12,7
10,すきっ歯 埋める,4700,270,5.382,-0.009,29,71,4,14,18,27,25,9,3
11,インプラント,82600,260,2.485,-3.532,41,59,2,10,15,20,24,16,13
12,すきっ歯 矯正,11900,230,4.279,-0.83,33,67,8,19,19,28,18,4,4
13,ノンクラスプデンチャー,20400,220,3.738,-0.609,29,71,0,3,8,18,29,25,17
14,すきっ歯,12700,200,4.089,-0.004,39,61,11,19,22,23,14,7,4
15,ブラックトライアングル,7900,180,4.479,0.001,17,83,2,24,30,23,14,4,3
16,オパールエッセンス,32200,170,2.983,-19.144,25,75,1,16,25,26,19,8,5
17,mtaセメント,5400,170,4.799,-1.106,37,63,1,18,19,24,20,12,6
18,差し歯,55600,150,2.333,-4.013,42,58,1,6,14,20,23,18,18
19,歯,44200,150,2.549,-1.858,33,67,6,11,16,23,19,13,12
20,ホワイトエッセンス,39900,150,2.665,-30.656,27,73,1,19,22,23,20,10,5
21,歯根端切除,8900,150,4.13,-0.097,28,72,0,8,15,24,26,18,9
22,インプラント治療 流れ,52600,140,2.363,0.001,32,68,0,3,7,14,26,28,22
23,部分入れ歯,43000,140,2.546,-0.087,35,65,0,3,7,17,28,25,20
24,ホームホワイトニング,34100,140,2.725,0.017,23,77,3,23,29,23,14,5,3
25,セラミック 歯,28600,140,2.921,0.004,28,72,2,14,19,24,22,12,7
26,歯科衛生士 給料 平均,48300,130,2.374,-14.952,34,66,10,17,16,24,19,8,6
27,ciメディカル,30300,130,2.755,-3.244,43,57,0,4,11,24,28,21,12
28,ラミネートベニア 費用,5100,130,4.572,-0.005,25,75,2,14,20,25,24,11,4
29,ドライソケット,36900,120,2.554,-4.849,29,71,3,26,28,20,14,6,3
30,歯医者 選び方,36400,120,2.555,-5.045,30,70,2,9,13,20,26,16,14
31,ブリッジ 歯科,34900,120,2.571,-15.974,32,68,1,6,12,25,30,16,10
32,歯科,25300,120,2.865,-23.028,40,60,2,7,13,22,23,16,17
33,フロアフロス,23500,120,2.943,0.99,19,81,2,21,27,22,17,7,4
34,プレオルソ,22900,120,2.92,-0.661,16,84,1,5,37,43,8,3,3
35,デンタルローン,19000,120,3.189,-15.311,31,69,1,14,24,31,21,6,3
36,審美歯科,18800,120,3.22,0.019,27,73,2,10,14,24,26,15,9
37,エナメル質形成不全,14600,120,3.396,21.227,13,87,4,15,35,30,9,4,3
38,根尖性歯周炎,14500,120,3.434,-2.887,30,70,1,13,19,26,21,12,8
39,グッピー 歯科衛生士,8200,120,4.028,-42.472,26,74,1,15,22,30,22,8,2
40,チェックアップ,39500,110,2.368,14.433,18,82,1,11,31,30,16,7,4
41,ci,24200,110,2.838,-62.223,50,50,2,7,10,20,23,19,19
42,歯根嚢胞,20800,110,3.036,-11.967,31,69,1,8,13,22,27,18,11
43,ジルコニア 歯 値段,18400,110,3.164,-0.037,36,64,1,7,15,24,24,17,12
