順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,歯周病,336000,390,2.035,-9.873,35,65,2,8,13,22,25,17,13
2,歯列矯正,86400,360,3.313,-12.7,26,74,5,21,22,25,17,6,4
3,インビザライン,82100,360,3.357,-25.083,25,75,3,14,21,30,20,8,4
4,マウスピース矯正,104000,320,3.008,-20.704,22,78,6,20,21,27,16,5,5
5,ホワイトニング,161000,190,2.063,-0.118,32,68,5,19,18,21,20,11,6
6,ブラックトライアングル 埋める,1700,190,6.63,0.001,15,85,1,14,30,31,17,4,3
7,ブラックトライアングル 治療,1600,190,6.641,0.086,15,85,2,15,28,28,20,6,1
8,歯茎が下がる,64500,170,2.872,-0.008,31,69,2,8,16,25,26,14,9
9,ダイレクトボンディング,13500,170,4.424,-0.005,25,75,3,16,22,27,20,8,4
10,親知らず 抜歯,132000,140,1.958,-13.605,42,58,2,17,20,23,22,10,6
11,歯間ブラシ,124000,140,2.026,-0.002,40,60,1,7,14,20,22,18,18
12,リテーナー,18300,140,3.939,2.742,23,77,9,23,23,25,12,4,4
13,アゼライン酸,131000,130,1.851,11.541,15,85,4,23,27,24,15,5,2
14,親知らず 抜歯後,113000,130,2.07,-0.728,35,65,5,27,25,21,14,5,3
15,顎ニキビ 原因,135000,120,1.804,13.875,13,87,10,35,27,17,8,2,1
16,擁護者,135000,120,1.799,1.159,21,79,7,35,24,17,11,4,2
17,歯肉炎,91400,120,2.181,-8.157,32,68,4,11,16,22,21,14,12
18,歯科衛生士,87800,120,2.231,-1.87,37,63,5,11,14,24,23,12,11
19,歯科矯正,45100,120,2.856,-21.576,24,76,3,11,20,33,22,6,5
20,日本矯正歯科学会,15100,120,3.989,-4.242,19,81,6,33,23,20,11,4,3
21,ブリリアントモア,92900,110,2.001,17.834,21,79,2,10,18,27,26,12,5
22,根管治療,52200,110,2.643,-9.458,32,68,2,10,18,26,23,13,8
23,ドライソケット,37800,110,2.963,-13.562,29,71,3,26,27,20,14,7,3
24,矯正,32700,110,3.118,-1.29,31,69,9,17,16,22,15,9,12
25,歯並び,19800,110,3.632,-9.583,28,72,7,17,24,26,14,7,5
26,湘南美容外科 脱毛 料金,115000,100,1.83,18.517,19,81,6,44,24,14,9,2,1
27,知覚過敏 治し方,111000,100,1.802,3.849,33,67,4,11,17,22,22,14,10
28,イソトレチノイン,99800,100,1.966,-27.879,28,72,6,32,25,18,13,4,2
29,インプラント,85100,100,2.013,-15.922,40,60,2,10,14,20,24,17,13
30,歯周ポケット,27300,100,3.205,-6.584,33,67,2,8,15,23,25,16,11
31,アンカースクリュー,9900,100,4.238,6.098,15,85,7,43,25,13,8,3,1
32,インビザライン 失敗例,8700,100,4.278,-0.501,18,82,2,12,22,32,21,7,4
