順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,インビザライン,82100,4700,3.357,0.016,25,75,3,14,21,30,20,8,4
2,マウスピース矯正 値段,15700,4000,4.89,0,25,75,13,27,17,20,14,5,4
3,マウスピース,90700,3800,3.065,0,39,61,4,7,10,19,26,20,14
4,歯列矯正,86400,3500,3.035,-0.003,26,74,5,21,22,25,17,6,4
5,ホワイトニング,161000,2100,1.881,-0.206,32,68,5,19,18,21,20,11,6
6,マウスピース矯正 できない人,7500,2100,4.987,0,20,80,7,23,20,23,19,5,3
7,歯科矯正,45100,1900,3.038,-0.002,24,76,3,11,20,33,22,6,5
8,オーマイティース,22600,1900,3.782,0.181,23,77,5,22,22,26,18,5,2
9,インビザライン 費用,25600,1800,3.555,0.008,20,80,3,16,22,30,19,6,4
10,キレイライン矯正,11400,1500,4.235,0.011,15,85,5,28,23,27,13,3,1
11,親知らず 抜歯後,113000,1400,1.838,0.614,35,65,5,27,25,21,14,5,3
12,歯の矯正,42000,1400,2.778,-0.004,33,67,4,9,16,30,21,10,10
13,マウスピース 洗浄,35900,1400,2.961,0.226,24,76,2,11,17,24,23,14,9
14,湘南美容外科 脱毛 料金,115000,1300,1.784,-5.065,19,81,6,44,24,14,9,2,1
15,マウスピース 歯ぎしり,26200,1300,3.197,0,26,74,2,13,18,27,23,10,7
16,矯正 マウスピース,16500,1200,3.642,-0.004,22,78,7,19,17,30,19,5,3
17,セラミック 歯 値段,70700,1100,2.059,-0.009,28,72,2,14,20,23,22,12,7
18,矯正歯科,29100,1100,2.903,0.003,26,74,4,10,14,31,24,9,8
19,矯正 値段,25000,1000,3.082,-0.005,31,69,18,38,14,16,9,3,2
20,インビザライン矯正,12500,1000,3.745,0.352,20,80,5,14,16,27,22,11,5
21,エラボトックス,67100,990,2.041,-4.805,18,82,6,32,23,21,13,3,2
22,インビザライン 失敗例,8700,950,3.991,13.434,18,82,2,12,22,32,21,7,4
23,ガミースマイル,85800,940,1.734,0.012,26,74,8,22,25,22,14,6,3
24,スマイルモア 口コミ,7700,880,4.047,2.149,13,87,3,13,19,34,25,5,1
25,オーマイティース 口コミ,9300,860,3.859,0.723,17,83,5,19,21,26,21,6,2
26,ワイヤー矯正,10100,840,3.756,0.018,20,80,12,29,23,23,10,2,1
27,デンタルローン,19000,820,3.059,0.765,31,69,1,14,24,31,21,6,3
28,親知らず 抜歯後 痛み,67900,810,1.799,10.597,34,66,3,23,25,23,17,6,3
29,歯科矯正 医療控除,23700,800,2.791,6.871,28,72,1,7,19,38,25,7,3
30,矯正,32700,790,2.53,0,31,69,9,17,16,22,15,9,12
31,歯の矯正 料金,29200,750,2.564,-0.143,45,55,7,19,18,24,18,7,7
32,プレオルソ,23400,740,2.727,0.006,16,84,1,5,37,43,8,3,3
33,oh my teeth,15500,710,3.166,0.011,40,60,6,25,23,21,16,7,2
34,歯科矯正 マウスピース,7200,690,3.86,-0.049,21,79,3,10,18,29,27,9,4
35,部分矯正,9400,680,3.63,0.002,17,83,9,31,24,20,11,3,2
36,口ゴボとは,32800,660,2.338,0.008,23,77,10,25,23,20,15,5,2
37,歯ぎしり マウスピース,29700,650,2.392,0.001,30,70,2,15,17,25,24,11,6
38,ホームホワイトニング,33700,630,2.246,4.435,23,77,3,23,29,23,14,5,3
39,マウスピース 値段,15100,630,3.078,0,29,71,6,15,15,19,21,11,13
40,矯正歯科 選ぶポイント,12100,620,3.241,-0.003,16,84,3,16,13,31,26,6,5
