順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ホワイトニング,170000,820,2.581,-0.085,32,68,4,19,18,21,20,11,7
2,ラミネートベニア 費用,5100,730,5.952,0,25,75,2,14,20,25,24,11,4
3,セラミック 歯 値段,73100,630,3.159,-0.008,28,72,2,14,20,23,22,12,7
4,ダイレクトボンディング,13700,560,4.709,0.001,26,74,3,15,22,27,20,9,4
5,インビザライン,85200,460,2.668,-5.144,25,75,3,14,21,30,20,8,4
6,ラミネート,63400,440,2.942,0,39,61,2,9,16,25,22,13,13
7,ラミネートベニア 後悔,2200,390,6.158,0.001,23,77,1,10,21,27,24,13,4
8,審美歯科,18800,320,3.839,-0.008,27,73,2,10,14,24,26,15,9
9,セラミック 歯,28600,300,3.36,-0.004,28,72,2,14,19,24,22,12,7
10,ホームホワイトニング,34100,270,3.071,0.002,23,77,3,23,29,23,14,5,3
11,歯を白くする方法,49800,260,2.653,-0.005,39,61,8,10,11,20,23,15,13
12,オパールエッセンス,32200,260,3.1,9.389,25,75,1,16,25,26,19,8,5
13,歯のマニキュア,11100,250,4.108,0.006,25,75,1,7,12,20,30,21,9
14,ラミネートベニア 後悔口臭,1100,250,6.388,0.001,25,75,2,12,24,30,23,7,2
15,前歯 セラミック,10100,230,4.101,-0.02,22,78,1,9,20,26,26,12,6
16,ルミネアーズ,1900,230,5.808,0.004,20,80,2,20,28,26,17,5,2
17,ホワイトエッセンス,39900,220,2.733,-11.004,27,73,1,19,22,23,20,10,5
18,コンポジットレジン,12500,190,3.723,0.003,35,65,3,17,19,24,20,10,7
19,ルラ美容クリニック,34600,180,2.666,37.309,8,92,5,31,23,19,15,5,2
20,セラミック矯正,10600,180,3.824,-0.003,22,78,4,18,24,26,18,7,3
21,ラミネートベニア デメリット,1100,180,6.077,0.001,16,84,0,17,21,26,23,10,3
22,オフィスホワイトニング,15600,170,3.392,0.837,23,77,3,27,27,23,12,5,3
23,ティーシーズ,2800,170,5.079,0.004,17,83,0,8,28,29,22,9,4
24,テトラサイクリン歯,6800,160,4.143,0,19,81,1,13,16,22,31,11,6
25,ジルコニア 歯 値段,18400,150,3.071,0,36,64,1,7,15,24,24,17,12
26,エナメル質形成不全,14600,150,3.288,-0.001,13,87,4,15,35,30,9,4,3
27,ウォーキングブリーチ,4300,150,4.524,-0.049,23,77,1,23,25,27,17,6,1
28,ホワイトニング 歯医者,32300,140,2.515,-2.571,23,77,3,22,19,22,20,10,4
29,ルメッカ 効果,29400,140,2.534,26.332,10,90,1,17,26,28,19,6,3
30,ショッピングリフト,29200,140,2.552,-4.504,8,92,0,6,18,34,30,9,3
31,前歯が欠けたらどう治療法,20700,140,2.891,-1.615,37,63,1,4,11,24,29,18,13
32,前歯 保険適用 白い歯,10100,140,3.608,-0.317,25,75,0,2,7,21,34,24,12
33,ダイレクトボンディング 後悔,3100,140,4.753,0.002,28,72,3,12,19,27,25,10,4
34,糸リフト ダウンタイム,28900,130,2.516,-5.176,9,91,1,12,20,30,25,9,3
35,ジルコニアとは,27000,130,2.568,-1.71,17,83,2,14,16,20,22,16,10
36,涙袋 ヒアルロン酸,23700,130,2.77,-12.018,13,87,9,40,21,15,9,3,3
37,チタニウムリフト,20700,130,2.828,29.67,6,94,1,18,23,26,21,8,3
38,ノンクラスプデンチャー,20400,130,2.903,1.193,29,71,0,3,8,18,29,25,17
39,歯 セラミック,15400,130,3.129,-0.021,35,65,1,10,22,29,22,10,6
40,ゼロネイト 歯,5300,130,4.191,12.163,13,87,1,24,34,23,12,4,2
