順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,歯周病,345000,670,1.841,-0.005,34,66,2,8,13,22,25,17,13
2,ホワイトニング,170000,460,2.181,-0.009,32,68,4,19,18,21,20,11,7
3,歯のクリーニング 料金,9100,460,5.118,0,31,69,2,18,20,22,18,12,8
4,歯のクリーニング 頻度,8200,420,5.113,0,25,75,1,13,21,22,21,14,8
5,歯のホワイトニング,42300,360,3.342,0,20,80,1,4,8,23,29,21,14
6,歯石取り,55200,350,2.999,-0.001,41,59,1,10,19,25,25,13,7
7,歯医者,149000,270,1.773,-4.585,42,58,3,10,15,23,22,14,13
8,歯医者 クリーニング,21800,270,3.682,-0.034,36,64,2,20,24,23,17,8,6
9,親知らず 抜歯,135000,260,1.815,-0.035,42,58,2,17,20,23,22,10,6
10,歯のクリーニング 保険適用,2800,250,5.707,0,27,73,2,15,17,22,20,15,9
11,歯間ブラシ,125000,240,1.842,4.986,40,60,1,7,14,20,22,18,18
12,親知らず 抜歯後,115000,210,1.802,-0.046,35,65,4,27,26,21,14,5,3
13,根管治療,53000,210,2.543,-8.113,32,68,2,9,17,26,23,14,9
14,歯肉炎,93200,180,1.823,0.089,32,68,4,12,16,22,20,14,12
15,歯のクリーニング 痛い,1600,180,5.882,0,21,79,4,15,25,25,18,9,4
16,知覚過敏 治し方,113000,170,1.578,-3.852,33,67,4,11,17,22,22,14,10
17,ホワイトニング 歯磨き粉,96800,170,1.715,-0.804,29,71,3,18,21,23,19,11,5
18,マウスピース矯正,105000,150,1.558,0.291,22,78,6,20,21,27,16,5,5
19,歯科衛生士,89700,150,1.719,0.001,37,63,5,11,14,24,23,12,11
20,ブリリアントモア,86400,150,1.704,22.275,20,80,2,10,19,26,26,12,5
21,歯石,43000,150,2.446,-0.002,47,53,5,18,25,24,15,7,6
22,歯列矯正,89400,140,1.6,-16.763,26,74,5,21,22,25,17,6,4
23,セラミック 歯 値段,73100,140,1.849,-13.081,28,72,2,14,20,23,22,12,7
24,マウスピース,93300,130,1.535,6.301,39,61,3,7,10,19,27,20,14
25,歯石 自分で取る,59100,130,1.949,-2.479,45,55,4,14,20,25,22,9,6
26,歯を白くする方法,49800,130,2.12,-0.691,39,61,8,10,11,20,23,15,13
27,ホワイトエッセンス,39900,130,2.378,-0.135,27,73,1,19,22,23,20,10,5
28,歯 クリーニング,7300,130,4.011,-0.544,41,59,2,15,27,27,17,8,4
29,親知らず 抜歯後 痛み,68800,120,1.689,-1.044,35,65,3,24,26,22,16,6,3
30,歯茎が下がる,65400,120,1.78,-0.037,31,69,2,8,16,25,26,14,9
31,歯周病 治療,50800,120,2.056,-0.251,34,66,2,8,14,22,26,17,11
32,虫歯,71700,110,1.595,-4.886,39,61,7,18,27,22,11,7,8
33,歯の矯正,44700,110,2.051,0,33,67,4,9,16,30,21,10,10
34,ホワイトニング 歯医者,32300,110,2.455,-5.341,23,77,3,22,19,22,20,10,4
35,歯周ポケット,28700,110,2.494,0.061,33,67,1,8,15,23,25,17,11
36,歯のクリーニング後の痛み,1200,110,5.677,0,14,86,0,10,19,28,23,14,6
37,歯茎 白いできもの,63200,100,1.574,1.671,27,73,3,10,18,25,23,13,8
38,親知らず 抜かなくていい,56300,100,1.722,0.811,40,60,8,25,17,18,18,9,5
39,部分入れ歯,43000,100,1.989,-1.387,35,65,0,3,7,17,28,25,20
40,歯医者 選び方,36400,100,2.192,-2.327,30,70,2,9,13,20,26,16,14
41,ホームホワイトニング,34100,100,2.22,-0.006,23,77,3,23,29,23,14,5,3
42,歯石とり 料金,18200,100,2.908,-0.005,45,55,2,20,22,21,19,9,7
43,歯石取り 頻度,15700,100,2.961,0.16,36,64,1,11,19,24,24,13,8
44,セラミック,64600,90,1.552,0.105,43,57,4,12,13,15,19,19,18
45,差し歯,55600,90,1.651,-15.344,42,58,1,6,14,20,23,18,18
46,歯茎が痛い,54800,90,1.644,-9.551,30,70,4,11,14,21,24,15,11
47,デンタルフロス,52000,90,1.766,2.294,40,60,2,13,17,19,20,15,14
48,歯,44200,90,1.85,2.991,33,67,6,11,16,23,19,13,12
49,コンクールf,42500,90,1.971,1.001,41,59,1,9,16,20,21,19,14
50,インプラント治療 流れ,52600,80,1.615,0.056,32,68,0,3,7,14,26,28,22
51,歯茎から血が出る,50200,80,1.598,-2.13,32,68,3,11,14,21,25,15,11
52,フロス,50100,80,1.603,0.289,40,60,3,15,19,21,18,12,12
