順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,湘南美容外科,626000,60,1.627,-17.484,22,78,3,19,20,23,21,9,5
2,歯周病,336000,60,2.273,-45.039,35,65,2,8,13,22,25,17,13
3,グレイル,595000,40,1.323,-13.025,7,93,12,29,22,19,13,3,2
4,歯茎が下がる,64500,40,3.62,-1.099,31,69,2,8,16,25,26,14,9
5,エリクシール,251000,30,1.852,40.712,10,90,1,5,13,24,28,18,11
6,インプラント 費用,185000,30,2.089,-21.054,45,55,1,5,10,18,27,23,16
7,マウスピース矯正,104000,30,2.605,15.75,22,78,6,20,21,27,16,5,5
8,歯肉炎,91400,30,2.808,-9.306,32,68,4,11,16,22,21,14,12
9,インプラント,85100,30,2.794,2.831,40,60,2,10,14,20,24,17,13
10,インビザライン,82100,30,2.985,41.183,25,75,3,14,21,30,20,8,4
11,根管治療,52200,30,3.248,-6.857,32,68,2,10,18,26,23,13,8
12,ダイレクトボンディング,13500,30,4.747,-2.113,25,75,3,16,22,27,20,8,4
13,ブラックトライアングル,7900,30,5.355,0.003,18,82,2,24,30,23,14,4,3
14,ブラックトライアングル 埋める,1700,30,6.689,-1.104,15,85,1,14,30,31,17,4,3
15,ディズニー 混雑予想,365000,20,1.311,-20.34,24,76,4,20,30,30,11,3,2
16,ティファニー ネックレス,307000,20,1.371,-26.416,26,74,4,20,19,21,22,10,4
17,ロンシャン バッグ,296000,20,1.33,2.153,8,92,1,10,15,22,25,18,9
18,ヴァンクリーフアーペル,295000,20,1.369,52.532,18,82,1,11,21,27,23,12,5
19,ロコイド軟膏,261000,20,1.458,-20.248,25,75,1,7,17,23,20,16,16
20,ポールスミス,261000,20,1.329,51.506,41,59,4,17,16,20,23,13,7
21,確定申告 いつまで,260000,20,1.412,38.103,42,58,1,10,21,25,20,11,12
22,治一郎,253000,20,1.354,-0.704,25,75,1,8,15,22,28,17,9
23,吉田沙保里,252000,20,1.363,5.961,40,60,3,6,13,25,23,16,14
24,四柱推命,249000,20,1.366,-77.439,18,82,1,9,16,24,29,14,7
25,アンテプリマ,239000,20,1.627,26.457,8,92,1,16,21,19,23,14,6
26,クローン病,236000,20,1.551,9.475,31,69,3,12,15,21,22,15,12
27,顎関節症,230000,20,1.496,33.115,32,68,6,12,15,21,21,13,12
28,肺癌 初期症状は,228000,20,1.531,11.334,35,65,1,4,9,18,24,22,22
29,手相,218000,20,1.715,23.593,26,74,5,13,15,23,23,12,9
30,チャイルドシート 何歳まで,214000,20,1.511,64.7,38,62,1,7,30,26,9,16,11
31,マツキヨ,213000,20,1.563,-48.395,30,70,4,8,13,21,24,17,13
32,agoda,213000,20,1.528,-105.473,52,48,2,14,13,20,25,16,10
33,ヘモグロビンa1c,208000,20,1.584,-6.955,35,65,1,6,9,19,26,21,18
34,保険証 いつまで使える,187000,20,1.602,-82.159,38,62,1,9,17,27,26,13,7
35,レチノール 効能,168000,20,1.776,39.966,11,89,2,11,17,25,25,13,7
36,首里城,163000,20,1.786,99.141,44,56,3,10,15,25,22,15,10
37,シュウウエムラ,161000,20,1.932,62.651,9,91,2,19,23,22,19,10,5
38,ホワイトニング,161000,20,1.929,-7.426,32,68,5,19,18,21,20,11,6
39,ガルちゃん,152000,20,1.9,-15.269,20,80,2,7,23,32,22,8,6
40,歯間ブラシ,124000,20,2.105,11.761,40,60,1,7,14,20,22,18,18
41,イソトレチノイン,99800,20,2.355,30.57,28,72,6,32,25,18,13,4,2
42,糸リフト,89500,20,2.468,21.264,15,85,2,13,22,29,23,8,3
43,歯科衛生士,87800,20,2.423,-44.556,37,63,5,11,14,24,23,12,11
44,歯列矯正,86400,20,2.446,-3.239,26,74,5,21,22,25,17,6,4
45,ガミースマイル,85800,20,2.663,32.143,26,74,8,22,25,22,14,6,3
46,フォトフェイシャル,84800,20,2.443,-31.775,10,90,2,14,20,27,23,9,5
47,歯周病 治療,58200,20,2.926,-3.751,33,67,2,8,13,22,26,17,12
48,インプラント治療 流れ,50800,20,3.14,-55.958,32,68,0,3,7,14,26,28,22
49,歯,43100,20,3.425,-25.902,33,67,6,11,16,23,19,13,12
50,ラミネートベニア,18900,20,3.949,-0.061,21,79,2,16,24,25,19,9,5
51,リグロス,12600,20,4.462,-57.87,58,42,8,15,24,21,17,9,6
52,mtaセメント,5500,20,5.165,67.873,36,64,1,18,18,26,20,11,6
53,エムドゲイン,3900,20,5.791,48.833,33,67,1,10,12,22,28,17,10
54,歯肉退縮,3300,20,5.965,-0.001,29,71,6,21,26,23,13,6,5
55,歯肉退縮 治療,2500,20,6.097,0.049,24,76,1,14,21,21,20,12,11
