順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,色素沈着 治し方,47000,1900,4.751,0,27,73,9,19,18,22,19,7,6
2,ハイドロキノン,167000,670,2.401,0.005,14,86,1,7,14,29,28,13,8
3,色素沈着とは,3700,410,5.775,0,30,70,28,30,15,11,10,3,3
4,ラッシュアディクト,160000,400,1.955,-0.413,6,94,5,22,21,22,19,8,3
5,色素沈着 治し方 市販薬,8400,400,4.867,0,24,76,6,17,15,21,22,12,7
6,レチノール,142000,380,2.003,-3.25,19,81,3,14,21,27,20,9,6
7,ニキビ跡 治し方,124000,350,2.083,-1.534,32,68,19,29,19,16,12,3,2
8,色素沈着 レーザー,5800,290,4.942,0,19,81,4,22,26,27,15,4,2
9,ダーマペン,106000,270,1.936,-2.943,23,77,3,18,23,27,19,7,3
10,肝斑,67000,250,2.318,-0.001,19,81,1,11,23,31,22,7,5
11,シミ取りレーザー 経過,84900,240,2.014,-7.177,16,84,1,4,13,32,29,13,8
12,フォトフェイシャル,84800,230,2.021,-19.205,10,90,2,14,20,27,23,9,5
13,美容皮膚科,77100,230,2.098,-3.91,15,85,4,12,15,24,24,13,8
14,トレチノイン,60500,220,2.312,3.459,18,82,1,10,17,29,26,11,6
15,色素沈着 目の周り,2400,220,5.554,0,8,92,8,20,19,26,18,6,3
16,ピコレーザー,68300,210,2.126,-6.961,13,87,1,8,18,32,26,11,4
17,ニキビ跡,32400,190,2.84,-0.042,30,70,16,30,21,20,10,2,1
18,ケミカルピーリング,47900,180,2.36,5.148,16,84,5,25,23,21,17,6,3
19,色素沈着 クリーム,3600,180,4.964,0.001,25,75,8,24,26,23,13,4,2
20,ピーリングとは,50600,170,2.237,-0.414,28,72,9,24,10,16,23,12,6
21,炎症後色素沈着,8500,170,3.99,0.001,22,78,3,15,26,29,17,6,4
22,ハーブピーリング,57100,160,2.07,0.004,13,87,4,26,27,22,14,5,2
23,ターンオーバー,48100,160,2.211,0.15,46,54,5,11,16,25,21,13,9
24,エマーキット まつげ美容液,48000,160,2.246,-0.003,5,95,5,21,18,21,21,10,4
25,毛孔性苔癬,58000,150,1.945,9.103,21,79,7,22,24,24,15,5,3
26,ケロイドとは,56000,150,2.019,-0.009,35,65,8,25,23,20,13,7,4
27,スキンケア 順番,44400,150,2.277,0.934,23,77,19,35,20,12,8,3,3
28,クレンジング,56800,140,1.993,-0.637,29,71,15,21,20,18,14,7,5
29,おみくじ堂,48500,140,2.156,-33.631,13,87,73,16,2,5,3,0,1
30,アトピー,41000,140,2.242,-10.953,34,66,8,19,25,24,14,5,5
31,ハイドロキノン 効果,34600,140,2.38,-7.149,13,87,1,7,14,26,28,15,9
32,老人性色素斑,28000,140,2.627,0.011,22,78,1,3,8,19,25,23,21
33,ピーリング,46200,130,2.066,-3.928,26,74,5,18,27,26,13,6,5
34,肌をきれいにする方法,45900,130,2.038,-15.056,31,69,16,19,17,22,15,6,5
35,肝斑とは,44000,130,2.12,-2.005,18,82,1,11,18,24,24,13,9
36,毛細血管拡張症,34000,130,2.354,-0.039,17,83,4,15,21,24,20,10,6
37,色素沈着 皮膚科,1900,130,5.242,0,27,73,8,26,20,23,14,5,4
38,白潤 化粧水,49800,120,1.947,4.026,19,81,15,22,18,21,16,5,3
39,美容液,45200,120,1.991,-1.739,17,83,6,17,21,20,17,10,9
40,ハイドロキノン 市販,28000,120,2.483,-1.278,15,85,1,7,12,24,28,18,10
41,フラクショナルレーザー,27300,120,2.456,0.105,20,80,2,22,26,26,16,5,3
42,ジュベルック,44600,110,1.918,-10.674,12,88,1,19,28,27,17,6,2
43,ビニール肌,43600,110,1.971,22.605,10,90,6,19,25,26,16,5,3
44,ビタミンc 効果,42800,110,1.995,-3.177,31,69,7,19,17,19,17,11,10
45,シミ取り レーザー,42000,110,1.929,-29.407,20,80,1,7,16,30,27,12,7
46,ルメッカ,34100,110,2.226,22.537,11,89,2,19,28,27,16,5,3
47,100stars,43900,100,1.961,-31.323,5,95,50,28,6,8,6,1,1
48,lシステイン,37400,100,1.975,0.001,23,77,1,9,17,26,25,13,9
49,トレチノイン ハイドロキノン,19800,100,2.596,3.657,13,87,0,7,15,30,28,13,7
