順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,審美歯科とは,6500,1000,6.132,0,25,75,3,12,15,19,27,17,7
2,ホワイトニング,170000,640,2.366,0,32,68,4,19,18,21,20,11,7
3,インプラント 費用,194000,410,1.789,-0.001,45,55,1,5,10,19,27,22,16
4,セラミック 歯 値段,72800,410,2.772,-0.005,28,72,2,14,20,23,22,12,7
5,審美歯科 前歯,3800,380,5.65,0,11,89,1,3,8,24,35,21,8
6,歯列矯正,89500,330,2.351,-0.007,26,74,5,21,22,25,17,6,4
7,ラミネートベニア,19400,330,3.855,0.011,21,79,2,16,24,26,20,8,4
8,マウスピース矯正,105000,320,2.156,1.023,22,78,6,20,21,27,16,5,5
9,審美歯科 費用,3200,320,5.632,0.002,25,75,1,2,9,22,34,24,8
10,インビザライン,85300,290,2.252,-0.081,25,75,3,14,21,30,20,8,4
11,品川美容外科クリニック,131000,260,1.712,-3.071,12,88,2,13,17,27,25,11,5
12,ハイフ 効果,121000,250,1.745,-5.955,10,90,1,9,15,27,28,14,6
13,インプラント,82600,240,2.092,-0.009,41,59,2,10,15,20,24,16,13
14,歯科衛生士,89600,220,1.954,-0.004,37,63,4,11,14,24,23,13,11
15,セラミック 歯,28700,220,3.054,0.007,29,71,2,14,19,24,22,12,7
16,ピコトーニング,98800,200,1.751,25.515,8,92,1,12,22,32,23,7,3
17,歯を白くする方法,49800,200,2.424,-0.002,39,61,8,10,11,20,23,15,13
18,審美眼とは,19600,200,3.375,0,35,65,4,12,11,17,21,16,19
19,差し歯,55700,190,2.257,-0.003,42,58,1,6,14,20,23,18,18
20,審美とは,2900,190,5.234,0,40,60,9,10,14,19,20,14,14
21,糸リフト,90900,180,1.697,26.17,15,85,2,14,22,28,23,8,3
22,インプラント 費用 一本,73000,180,1.934,-2.911,39,61,1,5,12,19,27,20,16
23,セラミック,64800,180,2.085,0.12,43,57,3,12,13,16,19,19,18
24,歯のホワイトニング,42500,180,2.484,-0.004,20,80,1,4,8,23,29,21,14
25,審美歯科 東京,1200,180,6.087,0.002,18,82,1,15,11,20,33,14,6
26,入れ歯の種類と値段,67800,170,2.03,-0.002,41,59,0,1,3,10,25,30,31
27,インプラント治療 流れ,53100,170,2.247,1.967,32,68,0,3,7,14,26,28,22
28,美容皮膚科,81400,160,1.703,-0.002,15,85,3,12,15,24,25,13,8
29,ホワイトエッセンス,40000,160,2.402,0.005,27,73,1,19,22,23,20,10,5
30,ホワイトニング 歯医者,32500,160,2.617,0,22,78,3,22,19,22,20,10,4
31,sbc湘南美容クリニック,64100,150,1.881,33.098,29,71,2,17,19,23,22,11,6
32,根管治療,52800,150,2.097,-3.312,32,68,2,9,17,26,23,14,9
33,歯科矯正,47600,150,2.173,-0.007,23,77,3,11,20,32,23,6,5
34,矯正歯科,27600,150,2.694,0.002,26,74,4,10,13,31,26,9,7
35,and美容外科,68800,130,1.677,4.923,16,84,1,9,16,27,31,12,4
36,美容歯科,2600,130,4.961,-0.018,25,75,4,10,12,27,27,13,7
37,品川スキンクリニック,57400,120,1.788,4.395,13,87,2,18,22,25,21,8,4
38,歯周病 治療,49800,120,1.936,28.89,34,66,2,8,14,22,26,17,11
39,歯科衛生士 給料 平均,48300,120,1.976,-6.019,34,66,10,17,16,24,19,8,6
40,歯の矯正,45000,120,2.034,-0.004,33,67,4,9,16,30,21,10,10
41,ホームホワイトニング,34400,120,2.27,0.001,23,77,3,23,29,23,14,5,3
42,ダイレクトボンディング,13600,120,3.232,-0.019,25,75,3,15,22,27,20,9,4
43,セラミック矯正,10500,120,3.505,-0.006,22,78,4,18,23,26,19,7,3
44,入れ歯,60800,110,1.648,-0.014,43,57,1,3,7,12,22,26,29
45,東京中央美容外科,57300,110,1.659,-15.872,28,72,1,14,19,25,24,12,5
46,ハイドラフェイシャル,52700,110,1.759,34.849,14,86,2,27,30,22,13,4,2
47,歯医者 選び方,36400,110,2.145,-1.768,30,70,2,9,13,20,26,16,14
48,歯 セラミック,15700,110,2.994,-0.008,35,65,1,10,22,29,22,10,6
49,ラミネートベニア 費用,5100,110,4.097,0.001,26,74,1,14,20,26,24,11,4
50,歯,44800,100,1.807,-2.449,34,66,6,11,16,23,19,13,12
51,インモード,44100,100,1.883,-1.146,10,90,3,31,23,19,17,5,2
52,シロッシュ 口コミ,42900,100,1.896,34.944,19,81,0,3,10,28,36,18,5
53,ホワイトニング 値段,40600,100,2.003,0.001,41,59,11,30,17,16,14,8,4
54,ブリッジ 歯科,34700,100,2.088,0.015,33,67,1,6,12,25,30,16,10
55,銀歯 白い歯 保険適用,26400,100,2.335,0.001,26,74,2,8,19,32,26,10,3
56,デンタルローン,18800,100,2.638,-0.01,31,69,1,14,25,30,21,6,3
57,部分矯正,10600,100,3.263,-4.03,18,82,8,31,24,21,11,3,2
58,前歯 セラミック,10100,100,3.269,-0.027,22,78,1,9,20,27,25,12,6
59,水光注射,46200,90,1.657,8.498,11,89,1,14,23,29,21,8,4
60,バッカルファット,46100,90,1.684,-0.907,15,85,3,19,21,24,20,9,4
61,リジュラン 効果,45100,90,1.702,3.43,9,91,1,13,20,28,26,9,3
