順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,突発性発疹,300000,850,2.302,-20.969,17,83,0,9,44,19,9,14,5
2,バースデイ オンライン,182000,460,2.166,-35.761,9,91,0,11,54,21,6,6,2
3,歯科衛生士,87800,320,2.544,-9.978,37,63,5,11,14,24,23,12,11
4,カウプ指数,77500,290,2.573,-22.216,13,87,1,15,47,25,5,4,3
5,クループ症候群,100000,260,2.201,-2.346,19,81,1,11,39,25,10,9,5
6,関根りさ,93800,260,2.261,-45.062,21,79,3,14,34,28,13,5,3
7,アプレレクール,79600,230,2.285,-56.564,5,95,0,10,57,23,3,5,2
8,バースデー オンライン,89500,220,2.148,-39.78,7,93,0,11,50,24,6,7,2
9,インビザライン,82100,220,2.237,4.011,25,75,3,14,21,30,20,8,4
10,上唇小帯,29400,220,3.26,4.448,15,85,2,13,41,25,10,6,3
11,インフルエンザ脳症,89200,210,2.097,-28.854,25,75,2,11,35,29,12,7,4
12,チェックアップ,39300,210,2.899,17.2,19,81,1,10,31,30,16,7,5
13,スタジオアリス 七五三,81500,200,2.116,-56.109,13,87,0,5,46,34,5,6,4
14,百日咳 子供 症状,79200,200,2.125,94.833,5,95,0,5,40,45,3,3,4
15,乳歯 生える順番,27200,200,3.26,-29.55,15,85,0,7,32,27,11,16,7
16,ブリーズ 子供服,73300,190,2.183,-38.344,8,92,0,8,47,31,6,5,3
17,マーキーズ,71700,190,2.195,-15.268,11,89,0,9,44,31,7,6,3
18,プレオルソ,23400,190,3.323,-7.919,16,84,1,5,37,43,8,3,3
19,miペースト,9500,180,4.169,0.003,15,85,3,15,30,31,13,5,3
20,トイザらス ブラックフライデー,65000,170,2.238,-45.875,20,80,0,11,54,21,5,6,3
21,予防接種 スケジュール,64700,170,2.225,-2.981,7,93,0,9,48,29,6,4,4
22,和光堂 ベビーフード,50300,170,2.459,-30.041,9,91,0,13,55,18,5,6,3
23,フォローアップミルク,49500,170,2.51,-9.97,10,90,1,15,52,19,6,5,2
24,扁平苔癬,22800,170,3.289,-1.237,29,71,1,10,11,19,23,19,17
25,歯科衛生士 国家試験 2025,15700,170,3.637,50.995,27,73,2,25,10,19,28,10,6
26,エナメル上皮腫,9500,170,4.121,-0.001,23,77,1,18,27,23,17,9,5
27,ルシェロホワイト,68600,160,2.104,19.319,16,84,2,8,19,30,26,11,4
28,1歳 誕生日プレゼント,63500,160,2.165,-6.555,22,78,0,13,46,16,9,11,5
