順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,シーラントとは,19800,370,4.863,0,29,71,3,8,25,34,15,8,7
2,シーラント デメリット,4500,150,5.414,0,16,84,2,4,36,42,9,4,3
3,キッズ携帯,139000,130,1.809,-0.041,32,68,1,2,25,49,13,5,5
4,ロードバイク,132000,120,1.822,-20.892,69,31,10,10,13,25,22,12,8
5,120925527,117000,120,1.911,5.856,17,83,0,2,37,50,7,2,2
6,シリコンシーラント,24000,120,3.555,0,69,31,2,5,10,20,25,19,19
7,歯科衛生士,89700,110,2.19,-1.929,37,63,5,11,14,24,23,12,11
8,こどもちゃれんじ,103000,100,1.863,42.563,19,81,0,4,41,37,7,7,4
9,川崎病,84000,100,2.144,-17.207,28,72,1,10,34,26,13,10,6
10,とびひ,90200,90,1.951,-31.905,23,77,2,8,32,30,12,9,7
11,インプラント,82600,90,2.072,6.149,41,59,2,10,15,20,24,16,13
12,スペシャライズド,32800,90,2.97,-22.602,87,13,6,5,13,28,30,13,5
13,おやつタウン,93600,80,1.746,-8.822,33,67,1,6,37,37,8,7,4
14,カンドゥー,92700,80,1.73,37.263,26,74,1,3,31,43,10,7,5
15,胃腸炎 潜伏期間,92400,80,1.748,140.981,14,86,3,11,36,31,10,6,3
16,ブリリアントモア,86400,80,1.869,-6.641,20,80,2,10,19,26,26,12,5
17,インビザライン,85200,80,1.873,2.139,25,75,3,14,21,30,20,8,4
18,アプレレクール,80500,80,1.901,-45.192,5,95,0,9,57,23,4,5,2
19,コーキング,46800,80,2.444,0,65,35,1,7,15,23,25,16,13
20,プレオルソ,22900,80,3.156,0.057,16,84,1,5,37,43,8,3,3
21,シーラント 子供,2300,80,5.428,0.001,9,91,1,4,44,40,6,2,3
22,プリキュア 映画,84200,70,1.774,-21.843,28,72,4,6,38,37,7,5,3
23,レゴランドホテル,81900,70,1.733,-60.843,28,72,1,3,36,37,8,10,5
24,rsウイルス,80700,70,1.813,-76.375,28,72,1,13,37,17,10,12,10
25,公文,79600,70,1.813,-5.576,27,73,2,4,18,38,17,10,11
26,アデノイド,73000,70,1.878,13.131,36,64,6,16,24,23,14,10,7
27,虫歯,71700,70,1.888,-7.98,39,61,7,18,27,22,11,7,8
28,ファンタジーキッズ リゾート,71600,70,1.899,-19.877,30,70,1,4,38,39,7,7,4
29,キャノンデール,26500,70,2.91,-31.996,87,13,4,5,12,30,31,12,6
30,フッ素,19300,70,3.199,0.001,47,53,7,9,16,20,19,15,14
31,サホライド,4000,70,4.776,-0.001,23,77,1,16,30,28,14,7,4
32,鍵盤ハーモニカ,71000,60,1.745,51.717,24,76,2,5,27,35,12,9,10
33,ハッピーセット 次回,71000,60,1.727,-0.33,21,79,1,4,44,41,5,3,2
34,ゲンガー,67700,60,1.836,22.583,42,58,7,19,37,22,8,5,2
35,トンデミ,66700,60,1.761,29.411,23,77,7,8,22,43,12,5,3
36,マックアドベンチャー,63800,60,1.779,17.051,14,86,1,3,43,44,5,2,2
37,卒園式 服装 ママ,62500,60,1.94,52.626,7,93,0,4,44,40,5,4,3
38,みてねみまもりgps,58500,60,1.882,91.838,22,78,0,2,39,44,7,4,4
39,キャサリンコテージ,58400,60,1.931,35.602,9,91,1,3,23,50,15,4,4
40,池田屋 ランドセル,57000,60,2.014,7.838,17,83,0,2,43,40,5,6,4
41,デビロック,50600,60,2.047,3.577,13,87,1,2,33,52,7,2,3
42,アタマジラミ,49100,60,2.071,-20.973,28,72,3,9,31,33,12,7,5
43,ラグーナ,47600,60,2.111,39.053,34,66,5,12,26,32,14,7,4
44,チェックアップ,39500,60,2.32,-4.094,18,82,1,11,31,30,16,7,4
45,ワイズロード,32000,60,2.618,-30.543,85,15,4,6,13,28,30,13,6
46,ciメディカル,30300,60,2.603,-10.995,43,57,0,4,11,24,28,21,12
47,上唇小帯,29400,60,2.595,4.599,15,85,2,12,42,26,9,6,3
48,ci,24200,60,2.889,-3.808,50,50,2,7,10,20,23,19,19
49,歯科衛生士 国家試験 2025,15600,60,3.343,121.004,28,72,3,25,9,19,28,10,6
50,エナメル質形成不全,14600,60,3.362,-71.711,13,87,4,15,35,30,9,4,3
51,pmtc,7100,60,4.051,-15.247,28,72,3,15,20,25,21,10,6
52,シーランド,5000,60,4.345,0,46,54,11,13,17,22,19,10,8
53,gps 子供,59000,50,1.812,8.95,18,82,1,2,32,50,8,3,4
54,鈴鹿サーキット 遊園地,57900,50,1.786,-27.914,42,58,2,6,29,37,9,10,7
55,ミヤbm,57100,50,1.739,-6.384,33,67,1,12,21,24,18,12,12
56,根管治療,53000,50,1.828,-35.66,32,68,2,9,17,26,23,14,9
57,クックルン,52800,50,1.786,30.842,25,75,8,7,30,38,10,4,3
58,シーリング,52300,50,1.939,0,54,46,1,7,12,19,23,19,19
59,コンクール,51600,50,1.901,5.044,23,77,2,9,15,25,24,12,13
60,グリローズ ランドセル,49100,50,1.942,71.394,11,89,0,3,51,33,4,6,3
61,グッピー,48600,50,1.954,-55.229,43,57,5,15,19,22,17,10,12
62,ジョブレイバー,48000,50,1.881,12.17,36,64,1,5,38,32,8,10,6
63,セイバン ランドセル,46700,50,1.962,-2.36,22,78,0,2,37,39,7,9,6
64,ハート 折り紙,46200,50,1.997,-25.188,10,90,2,11,45,32,4,3,3
65,コンチネンタル,41300,50,2.019,-15.4,79,21,2,8,12,20,27,19,12
66,0120 925 527,40300,50,2.174,43.364,15,85,0,3,55,38,2,1,1
67,粘液嚢胞,39100,50,2.124,27.96,27,73,5,17,22,24,17,9,6
68,フィットちゃん,38300,50,2.168,-5.869,16,84,1,3,44,40,4,5,3
69,laq,37400,50,2.147,9.209,26,74,2,6,37,33,7,9,6
70,溶連菌 発疹,32200,50,2.407,-40.022,12,88,0,5,46,39,6,2,2
71,ブースターシート,31900,50,2.35,-10.397,27,73,0,3,41,33,7,10,6
72,乳歯 生える順番,30800,50,2.365,-31.031,14,86,0,7,31,29,11,15,7
73,歯科,25300,50,2.602,20.383,40,60,2,7,13,22,23,16,17
74,トレック,24500,50,2.558,-76.889,82,18,6,5,12,29,27,13,8
75,フィステル,20000,50,2.791,-5.854,26,74,2,13,21,27,20,10,7
76,歯科医師国保,16300,50,3.034,-20.538,26,74,1,13,19,26,22,12,7
77,6歳臼歯,15200,50,3.08,0.004,14,86,1,4,34,43,8,5,5
78,ワイズロードオンライン,10900,50,3.344,-51.363,85,15,3,7,16,29,29,11,5
79,miペースト,9600,50,3.513,6.066,15,85,3,14,31,31,13,5,3
80,キャノンデール ロードバイク,8800,50,3.583,-9.504,86,14,7,8,13,27,29,12,4
81,口腔機能低下症,6800,50,3.991,-40.629,38,62,0,12,14,24,24,16,10
82,流行性角結膜炎,49900,40,1.735,5.312,22,78,1,10,33,29,14,9,4
83,アンパンマンミュージアム 福岡,49400,40,1.73,1.292,27,73,1,14,45,20,8,9,3
84,あそびマーレ,49000,40,1.83,-43.685,30,70,0,3,36,40,8,8,5
85,歯科衛生士 給料 平均,48300,40,1.818,-45.138,34,66,10,17,16,24,19,8,6
86,ワンワンわんだーらんど 2024,48300,40,1.737,-62.383,27,73,0,5,44,32,8,7,4
87,トミカ博,47800,40,1.755,13.372,44,56,1,7,46,28,7,7,4
88,ランリュック,46700,40,1.821,85.143,19,81,1,6,37,36,9,7,4
89,手足口病 大人,46600,40,1.801,-14.73,25,75,1,12,48,25,7,5,2
90,ペアマノン,46300,40,1.863,59.684,5,95,0,7,54,29,4,4,2
91,eテレ 番組表,45700,40,1.732,-69.84,18,82,2,4,24,27,13,13,17
92,手巻き寿司,45600,40,1.764,-58.869,24,76,2,12,28,28,15,8,7
93,歯,44200,40,1.855,26.728,33,67,6,11,16,23,19,13,12
94,歯石,43000,40,1.894,5.84,47,53,5,18,25,24,15,7,6
95,ユニクロ キッズ,42700,40,1.795,-32.014,12,88,1,3,35,44,8,4,5
96,医療情報取得加算,42600,40,1.822,30.971,27,73,1,6,13,26,30,16,8
97,コンクールf,42500,40,1.798,34.96,41,59,1,9,16,20,21,19,14
98,フルミスト,42000,40,1.771,99.948,26,74,1,3,22,41,18,9,6
99,リトルプラネット,40200,40,1.879,-3.505,29,71,1,4,36,38,9,8,4
100,入学式,39800,40,1.839,105.738,30,70,4,5,20,33,20,9,9
101,出産予定日,38900,40,2.059,42.684,10,90,0,16,56,15,5,5,3
102,cr,38500,40,2.07,-0.497,51,49,13,22,18,15,13,9,10
103,くもん,38400,40,2.048,41.915,17,83,3,6,34,41,9,4,3
104,ブリーズ,38300,40,2.008,18.109,19,81,2,10,45,26,7,5,5
105,フッ素 危険性,38100,40,1.927,65.666,32,68,1,5,18,25,21,16,14
106,メザスタ,37300,40,1.923,-36.823,48,52,1,5,40,41,7,3,3
107,ふわりぃ ランドセル,37200,40,2.058,-1.029,15,85,0,2,44,41,5,5,3
108,ドライソケット,36900,40,2.153,5.128,29,71,3,26,28,20,14,6,3
109,ギャビーのドールハウス,36900,40,1.927,24.147,22,78,0,4,40,36,7,8,5
110,白板症,36700,40,1.992,8.662,31,69,2,9,14,22,23,17,13
111,風疹,36600,40,1.967,-16.261,31,69,2,13,29,26,17,8,5
112,シュアラスター,35600,40,2.011,-23.384,88,12,0,5,13,25,33,17,7
113,スプランキー キャラクター,35600,40,1.96,170.976,25,75,2,5,33,36,10,9,5
114,ツールドフランス 2024,35500,40,2.014,-65.687,74,26,1,5,11,21,30,20,12
115,日本脳炎,35400,40,2.065,11.792,34,66,6,13,27,28,14,7,5
116,手足口病 プール,33900,40,2.027,-129.278,14,86,1,4,46,37,5,4,3
117,オパールエッセンス,32200,40,2.213,-5.166,25,75,1,16,25,26,19,8,5
118,サバイバル アニメ,31700,40,2.071,106.715,26,74,2,2,29,53,8,3,3
119,バブリゾート 八ヶ岳,31000,40,2.059,-56.082,17,83,0,2,34,47,9,5,3
120,ランドセルカバー,29600,40,2.266,76.378,11,89,0,2,37,48,7,3,3
121,水イボ,29400,40,2.328,-15.138,19,81,1,8,41,31,10,6,3
122,絵の具セット,28500,40,2.171,-66.432,15,85,2,4,34,43,8,4,5
123,土屋鞄 ランドセル,26300,40,2.39,-2.839,24,76,1,3,44,33,7,8,4
124,コーキング剤,26200,40,2.399,-0.002,72,28,0,5,11,17,24,24,19
125,ながら洗車,25900,40,2.287,-11.071,92,8,1,6,21,29,29,10,4
126,はやり目,24700,40,2.337,12.697,23,77,1,9,39,31,11,6,3
127,スタンダードプリコーション,24000,40,2.425,-2.881,25,75,5,24,14,21,21,11,4
128,シーラー,23600,40,2.491,-0.001,53,47,1,6,11,20,25,20,17
129,扁平苔癬,23000,40,2.629,11.419,29,71,1,10,12,19,23,19,16
130,反対咬合,21300,40,2.501,-46.613,19,81,3,10,34,31,11,6,5
131,トレック ロードバイク,21000,40,2.555,-75.957,86,14,6,7,13,27,28,13,6
132,グリローズ,19800,40,2.657,2.807,10,90,0,3,55,34,3,3,2
133,トド英語,18600,40,2.638,41.146,13,87,0,2,41,41,7,4,5
134,trek,17200,40,2.825,-47.257,85,15,7,9,12,26,26,12,8
135,feed,16800,40,2.878,-33.758,55,45,13,9,10,20,21,15,12
136,日本歯科医師会,14400,40,3.05,6.893,59,41,1,5,10,19,24,24,17
137,アデノ,13400,40,2.932,29.744,20,80,1,6,44,31,9,6,3
138,クラプロックス,12500,40,3.083,20.967,21,79,1,12,21,26,21,13,6
139,エナメル上皮腫,10500,40,3.329,39.336,22,78,1,17,29,23,17,8,5
140,パールイズミ,10500,40,3.219,-36.942,86,14,1,4,9,23,34,21,8
141,ピナレロ,9900,40,3.314,-17.857,88,12,7,10,14,26,27,11,5
142,マイオブレース,9700,40,3.435,-34.537,16,84,1,5,34,46,8,3,3
143,グッピー 歯科衛生士,8200,40,3.528,-15.921,26,74,1,15,22,30,22,8,2
144,パナレーサー,8200,40,3.383,-6.932,90,10,1,4,10,27,32,16,10
145,エアフロー 歯科,7800,40,3.703,52.966,22,78,1,14,21,27,23,10,4
146,ウエムラサイクルパーツ,6800,40,3.562,-104.555,89,11,2,4,11,24,32,19,8
147,歯科衛生士 求人,6500,40,3.882,31.415,14,86,1,29,29,25,12,3,1
148,pmtc とは,6400,40,3.778,-5.22,25,75,1,17,14,20,22,16,10
149,エアフロー,5600,40,3.946,14.438,37,63,2,15,20,23,22,12,6
150,mtaセメント,5400,40,3.944,2.131,37,63,1,18,19,24,20,12,6
151,ボントレガー,4900,40,3.953,-19.693,93,7,5,5,11,26,30,16,7
152,spt 歯科,4700,40,4.039,0.282,19,81,1,20,18,25,20,10,6
153,フルオールゼリー,3000,40,4.438,-48.983,20,80,1,18,23,27,18,9,4
154,グラスアイオノマーセメント,2500,40,4.822,-1.896,22,78,2,41,16,20,12,7,2
155,歯式,2200,40,4.742,-0.001,29,71,5,22,18,21,18,8,8
156,ステファンカーブ,1400,40,5.227,14.037,21,79,5,32,17,20,13,8,5
157,シーラント 保険適用,1100,40,5.601,0.001,15,85,4,4,29,47,10,3,3
158,アブラムシ,42100,30,1.727,26.944,46,54,3,8,23,23,16,13,14
159,東京駅 キャラクターストリート,40200,30,1.739,0.144,23,77,4,16,29,31,13,5,2
160,楽天マラソン,38500,30,1.744,-42.134,25,75,0,8,32,32,17,7,4
161,アミラーゼ,38200,30,1.744,3.095,39,61,5,10,9,17,22,17,20
162,ピラフ,38200,30,1.743,3.812,36,64,4,12,25,28,16,7,8
163,sapix,37600,30,1.815,-8.374,34,66,3,6,16,42,19,7,7
164,唾石症,37400,30,1.794,22.154,25,75,2,11,17,24,23,14,9
165,キッズデュオ,37400,30,1.768,-56.95,16,84,0,3,32,42,9,7,7
166,みいつけた,36800,30,1.755,-27.393,27,73,4,9,32,32,13,7,3
167,botトーク,36200,30,1.85,126.885,19,81,0,2,41,46,6,2,3
168,キシロカイン,36200,30,1.844,-10.258,37,63,1,14,14,20,22,15,14
169,全国統一小学生テスト,36100,30,1.792,17.358,20,80,1,1,19,60,13,2,4
170,ジャイアント 自転車,36000,30,1.855,9.774,74,26,4,5,10,33,30,12,6
171,マクロライド系抗生物質,35800,30,1.869,9.434,27,73,1,8,16,28,22,15,10
172,丙午,35500,30,1.836,-42.599,31,69,2,14,32,14,19,11,8
173,nsaids,35500,30,1.756,51.537,31,69,1,18,14,21,22,14,10
174,ほねほねザウルス,34800,30,1.796,-102.544,40,60,4,7,26,41,10,6,6
175,矯正,34500,30,1.873,14.768,32,68,9,17,16,22,16,9,11
176,子供 gps,34500,30,1.735,70.916,33,67,0,2,38,47,8,2,3
177,おたふく,34400,30,1.945,33.788,30,70,5,11,24,30,16,8,6
178,温泉卵 作り方,34400,30,1.85,-20.125,25,75,2,24,31,20,12,6,5
179,日本モンキーパーク,34200,30,1.745,-20.056,40,60,2,8,36,32,11,7,4
180,ホームホワイトニング,34100,30,1.765,10.226,23,77,3,23,29,23,14,5,3
181,マグフォーマー,33900,30,1.845,-25.251,19,81,0,6,43,28,7,11,5
182,歯科医院,33900,30,1.839,-52.238,42,58,1,3,5,12,21,27,31
183,ぬりえ 無料 キャラクター,33800,30,1.754,-61.146,27,73,1,5,25,32,12,12,13
184,ピュアキッズ,33600,30,1.873,0.239,22,78,1,5,47,34,5,5,3
185,スライム 服 落とし方,33600,30,1.83,-36.474,18,82,0,4,43,34,6,8,5
186,大安カレンダー,33100,30,1.829,72.966,37,63,1,16,34,20,15,9,5
187,折り紙 星,33000,30,1.942,14.852,16,84,2,7,31,31,12,9,8
188,すきすきセット,33000,30,1.763,54.665,26,74,3,8,41,37,7,2,2
189,ネスタリゾート,32900,30,1.958,-44.178,37,63,2,10,28,37,12,6,5
190,キシリトール,32700,30,1.919,-14.108,41,59,6,9,11,21,22,15,16
191,スケーター 水筒,32400,30,1.997,-4.866,13,87,0,3,39,40,8,6,4
192,rs,32400,30,1.968,45.028,44,56,1,8,25,20,18,16,12
193,胃腸風邪,32400,30,1.923,-4.821,31,69,4,15,29,26,14,7,5
194,九九表,32400,30,1.833,52.075,32,68,2,3,20,37,13,12,13
195,はいチーズ ログイン,32400,30,1.728,68.249,20,80,4,4,27,42,16,4,3
196,上顎洞炎,32200,30,2.011,58.633,29,71,2,10,18,22,23,15,10
197,松風,32100,30,1.774,-6.08,44,56,1,6,12,21,24,19,17
198,wii,32000,30,1.797,26.045,49,51,9,18,16,23,18,8,8
199,マリンワールド,31600,30,2.009,34.071,32,68,5,18,30,26,12,5,4
200,タニシ,31600,30,1.773,12.733,43,57,3,8,19,25,18,13,14
201,プラークとは,31500,30,1.845,15.713,38,62,2,10,9,13,18,21,27
202,ファニチャードーム 名古屋,31200,30,1.727,-83.233,33,67,1,7,27,28,20,12,5
203,手足口病 口内炎,31100,30,1.947,-1.219,21,79,1,7,47,34,5,4,2
204,子宮に沈める,30800,30,1.945,51.946,21,79,6,20,34,22,12,4,2
205,ウォーターピック,30800,30,1.943,2.809,32,68,1,4,10,17,26,22,20
206,麻婆豆腐 子供,30700,30,1.772,37.147,10,90,0,3,43,40,6,4,4
207,アニタッチ,30300,30,1.942,23.639,29,71,2,11,28,34,14,7,4
208,ケーキ イラスト,29900,30,1.808,13.428,16,84,5,19,25,23,12,8,8
209,封筒 切手,29700,30,1.846,-46.926,44,56,1,14,25,29,18,8,5
210,ビアンキ,29600,30,1.974,-33.659,74,26,9,9,13,27,25,11,6
211,以降とは,29600,30,1.876,29.813,43,57,8,16,17,19,18,12,10
212,あやとり ほうき,29500,30,1.981,-19.861,22,78,4,6,26,33,8,10,13
213,パウパト,29500,30,1.894,1.904,26,74,2,14,41,22,9,8,4
214,ニューバランス キッズ,29300,30,1.889,1.954,17,83,0,6,48,34,5,4,3
215,沖縄こどもの国,29200,30,1.838,-1.107,34,66,1,5,31,34,13,10,6
216,プライマー,28900,30,1.836,-0.007,39,61,3,12,17,24,25,12,7
217,メットライフ,28900,30,1.81,26.874,47,53,0,5,21,29,23,13,9
218,マグビルド,28800,30,1.887,51.007,14,86,0,7,57,20,5,8,3
219,おもちゃ美術館,28700,30,2.023,50.989,22,78,1,6,40,26,8,12,7
220,ブラケット,28700,30,1.969,15.014,62,38,2,13,18,23,21,13,10
221,歯周ポケット,28700,30,1.932,-1.256,33,67,1,8,15,23,25,17,11
222,シダキュア,28700,30,1.928,142.798,29,71,2,7,19,38,20,9,5
223,ソフトバンク キッズ携帯,28600,30,1.987,-0.044,25,75,1,2,32,52,9,2,2
224,120959925,28300,30,2.023,-49.8,16,84,0,6,56,32,2,2,2
225,こどもごちめし,28200,30,2.089,-87.567,16,84,1,4,46,36,7,3,3
226,舌小帯,28000,30,2.019,24.059,23,77,3,16,30,25,12,9,5
227,りんご病 症状,27600,30,2.077,111.828,14,86,2,8,41,34,7,5,3
228,天疱瘡,27600,30,2.066,40.743,26,74,1,10,14,21,23,17,14
229,スポーツエントリー,27600,30,2.026,-9.548,72,28,1,3,9,26,34,19,8
230,プリキュア イベント,27500,30,1.882,-6.528,34,66,1,4,37,37,9,8,4
231,トレジャーストーンパーク那須,27200,30,1.935,30.389,31,69,1,5,34,44,9,4,3
232,養老ランド,27100,30,1.878,-66.675,40,60,3,12,30,29,12,9,5
233,手足口病 うつる期間,27100,30,1.854,-9.026,12,88,1,8,50,29,6,4,2
234,ジルコニアとは,27000,30,2.093,15.373,17,83,2,14,16,20,22,16,10
