順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,手足口病,1459000,510,1.802,-55.951,32,68,2,8,31,29,12,11,7
2,溶連菌,1176000,280,1.438,-28.828,31,69,2,7,23,30,16,12,10
3,アンパンマンミュージアム,722000,280,1.929,-28.63,32,68,2,11,34,20,12,14,7
4,アンパンマン,903000,240,1.566,-8.005,36,64,3,7,21,20,16,20,13
5,ハッピーセット,840000,240,1.57,15.861,34,66,2,6,33,37,12,6,4
6,突発性発疹,310000,200,2.44,-37.532,17,83,0,9,44,20,9,13,5
7,西松屋,447000,160,1.844,-7.537,25,75,1,8,33,25,12,14,7
8,西松屋 オンライン,389000,160,1.949,19.429,14,86,1,6,36,29,11,12,5
9,おかあさんといっしょ,340000,150,2.039,8.089,27,73,3,8,33,27,13,11,5
10,りんご病,515000,140,1.543,70.62,24,76,1,5,28,33,12,12,9
11,アデノウイルス,435000,140,1.715,-28.912,28,72,2,9,29,27,15,12,6
12,マイコプラズマ肺炎 子供,415000,140,1.764,41.089,18,82,1,3,28,40,9,9,10
13,ハッピーセット おもちゃ,322000,140,2.015,25.718,19,81,2,7,40,37,7,5,2
14,手足口病 症状 初期 子供,289000,140,2.132,-49.192,17,83,0,4,42,33,5,9,7
15,トイザらス,509000,130,1.511,9.742,34,66,2,6,31,29,12,13,7
16,ヒトメタニューモウイルス,357000,130,1.855,95.608,28,72,1,8,28,26,16,14,7
17,手足口病 登園目安,298000,130,2.046,-67.041,14,86,0,5,41,33,8,8,5
18,歯周病,345000,120,1.795,-0.172,34,66,2,8,13,22,25,17,13
19,ヘルパンギーナ,269000,120,2.023,-30.955,26,74,1,9,33,26,12,12,7
20,rsウイルス感染症,400000,110,1.633,-47.159,31,69,0,6,20,17,17,23,17
21,マック ハッピーセット,352000,110,1.69,30.866,24,76,4,8,33,33,9,8,5
22,スタジオアリス,286000,110,1.937,-12.215,23,77,1,8,34,29,13,9,6
23,バースデイ,256000,110,2.033,29.352,23,77,1,9,35,22,12,13,8
24,プティマイン,229000,110,2.163,56.291,7,93,0,9,50,22,6,9,4
25,フッ素,19300,110,4.652,0,47,53,7,9,16,20,19,15,14
26,赤ちゃん,348000,100,1.609,-36.057,31,69,1,7,23,14,16,26,13
27,赤ちゃん本舗,287000,100,1.827,0.399,27,73,0,7,31,21,14,19,8
28,手足口病 症状,264000,100,1.85,-39.975,22,78,1,7,34,30,10,11,7
29,パウパトロール,252000,100,1.956,-15.168,32,68,1,8,32,28,11,13,7
30,妊娠初期症状,416000,90,1.404,-13.465,20,80,6,33,34,16,6,3,2
31,手足口病 大人にうつる確率,326000,90,1.616,-51.713,32,68,0,5,25,22,15,22,11
32,チャイルドシート,326000,90,1.586,-32.068,38,62,1,7,27,19,14,22,10
33,マクドナルド ハッピーセット,310000,90,1.587,65.069,28,72,1,5,33,35,10,10,6
34,川崎病とは,296000,90,1.665,-15.225,26,74,1,8,27,25,15,15,9
35,バースデイ オンライン,181000,90,2.183,-5.137,9,91,0,11,53,22,6,6,2
36,おかあさんといっしょ コンサート,125000,90,2.528,6.354,25,75,1,7,49,24,6,9,4
37,ピカチュウ,357000,80,1.394,71.144,38,62,5,10,28,27,13,10,7
38,児童手当,271000,80,1.602,13.084,35,65,1,6,32,38,14,5,4
39,出産予定日 計算,157000,80,2.225,-46.486,8,92,1,16,56,16,4,5,2
40,七五三 いつ,157000,80,2.213,34.578,28,72,1,7,33,24,11,14,10
41,アカチャンホンポ ネット,142000,80,2.285,-38.519,16,84,0,10,44,20,10,12,4
42,日本脳炎 予防接種,124000,80,2.366,14.14,15,85,2,7,35,35,13,5,3
43,たら レシピ,277000,70,1.491,39.017,18,82,0,5,15,23,23,17,17
44,パンどろぼう,270000,70,1.454,6.305,22,78,2,10,26,30,17,10,5
45,溶連菌 症状,255000,70,1.576,-19.946,21,79,3,8,29,32,12,9,7
46,ジュニアシート,211000,70,1.811,-27.009,31,69,1,4,35,30,10,13,7
47,つわり いつから,187000,70,1.934,3.139,17,83,2,27,46,15,4,4,2
48,アデノウイルス 子供,174000,70,1.945,-40.04,17,83,0,6,39,29,7,13,6
49,妊娠超初期症状,171000,70,1.962,-2.974,7,93,3,27,49,16,2,2,1
50,おもちゃ王国,162000,70,1.957,26.709,37,63,1,8,37,29,9,10,6
51,中耳炎 子供,124000,70,2.309,-36.184,23,77,0,5,41,35,6,8,5
52,いないいないばぁ,122000,70,2.235,-6.425,27,73,2,7,31,32,13,10,5
53,歯科衛生士,89700,70,2.605,-17.183,37,63,5,11,14,24,23,12,11
54,塗布,10700,70,4.782,0,46,54,5,10,20,22,22,13,8
55,トミカ,236000,60,1.407,7.852,56,44,3,8,26,24,17,14,8
56,チャイルドシート 何歳まで,226000,60,1.491,-3.293,37,63,1,6,30,27,9,16,11
57,キッザニア,217000,60,1.535,80.125,32,68,5,10,30,35,9,6,5
58,七五三,213000,60,1.686,31.005,31,69,1,4,23,22,13,20,17
59,ランドセル,196000,60,1.688,12.274,26,74,2,7,28,30,11,12,10
60,育児休業給付金,163000,60,1.904,-18.341,35,65,0,11,41,20,14,10,4
61,トイザらス オンライン,139000,60,2.022,28.47,25,75,1,7,35,30,12,11,4
62,ヘルパンギーナ 症状 子供,132000,60,2.115,-6.851,16,84,0,6,41,29,6,11,7
63,rsウイルス 子供,128000,60,2.062,-36.637,20,80,0,9,40,21,9,14,7
64,着床出血,122000,60,2.128,-17.53,13,87,6,31,42,16,2,2,1
65,七五三 男の子,103000,60,2.295,23.971,20,80,0,6,36,23,8,17,10
66,熱性けいれん,94900,60,2.362,13.082,25,75,1,10,41,24,10,9,5
67,和光堂 ベビーフード,59500,60,2.859,-60.065,12,88,0,11,56,18,5,7,3
68,フッ素塗料,2200,60,6.205,0,73,27,0,4,12,22,25,20,17
69,ラッシュガード,232000,50,1.393,-25.09,33,67,2,9,20,29,18,13,9
70,スタバメニュー,218000,50,1.485,-12.568,23,77,16,29,17,17,14,5,2
71,妊娠検査薬 いつ,218000,50,1.415,31.233,15,85,4,33,38,16,6,2,1
72,感染性胃腸炎,215000,50,1.429,45.124,31,69,2,12,20,22,19,15,10
73,親子丼,213000,50,1.449,-5.176,29,71,2,14,27,27,16,7,7
74,わたなべ麻衣 弟,211000,50,1.447,53.203,19,81,1,4,27,37,20,8,3
75,しまうまプリント,204000,50,1.463,14.96,24,76,2,11,21,30,17,10,9
76,かぼちゃスープ,197000,50,1.495,20.428,16,84,1,5,13,20,21,18,22
77,鉄道博物館,197000,50,1.416,27.159,47,53,1,5,27,28,15,15,9
78,おさるのジョージ,189000,50,1.536,63.134,31,69,6,11,23,28,16,10,6
79,敬老の日,186000,50,1.519,-106.872,36,64,2,11,20,21,17,14,15
80,スマイルゼミ,177000,50,1.5,34.525,22,78,2,2,29,47,12,4,4
81,レゴランド 名古屋,171000,50,1.57,33.365,30,70,3,10,32,32,9,9,5
82,ホワイトニング,170000,50,1.749,-8.848,32,68,4,19,18,21,20,11,7
83,喘息 症状,160000,50,1.686,-0.062,22,78,6,14,20,24,13,10,13
84,メルちゃん,131000,50,1.943,50.187,26,74,2,8,30,23,12,16,9
85,バイキンマン,126000,50,1.911,61.604,36,64,5,13,33,22,11,10,6
86,離乳食,122000,50,2.076,-74.284,18,82,1,9,33,17,14,19,7
87,ボーネルンド,122000,50,2.01,17.192,24,76,1,5,33,24,11,17,9
88,ストライダー,121000,50,1.92,-18.547,38,62,1,7,38,24,11,13,6
