順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,突発性発疹,300000,1200,2.245,1.13,17,83,0,9,44,19,9,14,5
2,乳歯 生える順番,27200,680,4.112,-0.001,15,85,0,7,32,27,11,16,7
3,離乳食,118000,560,2.472,-22.596,18,82,1,9,33,16,15,19,7
4,離乳食 進め方 表,112000,500,2.396,-40.976,8,92,0,12,45,16,9,13,5
5,乳歯 抜ける順番,22700,470,3.881,0,15,85,0,2,34,46,7,5,6
6,カウプ指数,77500,430,2.594,-7.513,13,87,1,15,47,25,5,4,3
7,寝返り いつから,94600,350,2.216,-59.457,18,82,0,13,43,14,9,16,5
8,乳歯 生え変わり,14900,310,3.907,0,30,70,1,4,28,39,10,9,9
9,離乳食 いつから,84100,300,2.206,-59.924,18,82,1,17,41,13,9,13,6
10,おたふく 予防接種,72300,300,2.272,11.168,10,90,1,6,38,37,12,4,2
11,フォローアップミルク,49500,300,2.695,-9.382,10,90,1,15,52,19,6,5,2
12,川崎病,85300,290,2.112,2.174,28,72,1,10,34,26,13,10,6
13,卒園式 服装 ママ,62500,290,2.388,38.339,7,93,0,4,44,40,5,4,3
14,乳歯ケース,15200,290,3.793,0,11,89,0,3,37,44,6,6,4
15,スタジオアリス 七五三,81500,280,2.102,-13.778,13,87,0,5,46,34,5,6,4
16,一升餅,74600,280,2.243,-9.968,33,67,0,9,30,16,14,19,12
17,乳児湿疹,67100,280,2.341,-92.882,15,85,0,17,49,14,8,9,3
18,はいはい いつから,65500,280,2.353,-31.555,22,78,1,14,44,15,7,14,5
19,アプレレクール,79600,270,2.092,-25.881,5,95,0,10,57,23,3,5,2
20,生後2ヶ月,74800,260,2.134,-100.408,18,82,0,12,45,16,9,13,5
21,お座り 何ヶ月から,48500,260,2.587,-35.924,11,89,0,12,41,14,10,18,5
22,和光堂 ベビーフード,50300,250,2.508,-16.574,9,91,0,13,55,18,5,6,3
23,生後6ヶ月,49200,250,2.525,-53.911,19,81,0,10,42,17,11,14,6
24,つかまり立ち いつから,46800,250,2.568,-28.905,19,81,0,15,46,15,7,13,4
