順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,りんご病,634000,150,1.401,13.248,25,75,1,5,28,33,12,12,9
2,グレイル,595000,130,1.386,-70.207,7,93,12,29,22,19,13,3,2
3,マイコプラズマ肺炎 子供,408000,130,1.695,-76.753,18,82,1,3,28,40,9,9,10
4,永久歯 生えてこない,10600,130,5.389,-0.002,23,77,2,4,28,40,12,7,7
5,ヒトメタニューモウイルス,346000,100,1.602,-17.305,28,72,2,8,27,26,16,14,7
6,ハッピーセット おもちゃ,321000,100,1.671,28.076,19,81,3,7,40,36,7,5,2
7,突発性発疹,300000,100,1.811,-10.521,17,83,0,9,44,19,9,14,5
8,妊娠初期症状,406000,90,1.38,-37.703,20,80,7,34,34,15,5,3,2
9,手足口病 登園目安,264000,90,1.753,-113.89,14,86,0,5,40,34,8,8,5
10,ユニバ チケット,381000,80,1.433,13.862,22,78,13,34,21,18,9,3,2
11,川崎病とは,300000,80,1.601,-15.18,26,74,1,8,27,25,15,15,9
12,ヘルパンギーナ,241000,80,1.71,-89.903,26,74,1,9,33,27,12,11,7
13,先天性欠損歯,1400,80,6.959,0,16,84,5,17,31,30,10,3,4
14,おかあさんといっしょ,331000,70,1.31,-23.633,27,73,3,8,33,27,13,11,5
15,adhd 診断テスト,318000,70,1.413,-9.615,27,73,11,18,20,24,17,6,4
16,ヒラキ,231000,70,1.67,-39.978,19,81,1,3,20,33,20,13,10
17,溶連菌 症状,215000,70,1.749,-7.611,20,80,2,8,30,32,11,10,7
18,リンゴ病 症状 子供,166000,70,2.015,93.921,16,84,0,4,40,37,5,7,7
19,rsウイルス感染症,296000,60,1.305,-49.612,30,70,1,7,22,17,17,22,14
20,スタジオアリス,281000,60,1.328,-22.204,23,77,1,8,34,29,13,9,6
21,児童手当,264000,60,1.312,-11.449,35,65,1,6,31,38,15,5,4
22,子宮内膜症,247000,60,1.48,-16.528,15,85,4,19,24,25,15,8,5
23,手足口病 症状,239000,60,1.47,-174.658,22,78,2,7,34,30,10,10,7
