順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,口呼吸 治し方,23900,590,4.803,0,38,62,10,18,20,21,15,9,7
2,歯周病,336000,340,1.595,-14.636,35,65,2,8,13,22,25,17,13
3,口呼吸 デメリット,6100,250,5.318,0,43,57,13,20,18,18,15,8,8
4,誤嚥性肺炎,251000,230,1.523,0.004,35,65,1,6,8,15,26,23,21
5,睡眠時無呼吸症候群,184000,220,1.743,-3.942,44,56,2,8,14,23,26,17,10
6,アレルギー性鼻炎,151000,190,1.812,-0.986,27,73,4,11,18,25,19,13,10
7,口呼吸 顔つき,3700,180,5.433,0,30,70,11,24,26,25,9,3,2
8,舌が白い,190000,170,1.501,-1.687,28,72,3,7,11,19,25,19,16
9,肺炎,186000,170,1.516,-11.242,39,61,4,10,16,21,19,15,15
10,便秘,173000,160,1.507,8.24,35,65,3,7,11,16,19,17,27
11,無呼吸症候群,141000,160,1.671,-13.801,44,56,1,6,12,22,27,18,14
12,口呼吸 寝てる時,2900,150,5.544,0,41,59,8,17,18,19,18,11,9
13,気管支喘息,134000,140,1.646,-15.815,30,70,3,12,18,23,18,14,12
14,鼻うがい,129000,140,1.644,1.754,38,62,2,9,19,25,21,13,11
15,鼻呼吸,6300,140,4.652,0,50,50,4,9,15,24,22,15,11
16,喘息,132000,130,1.547,-5.983,40,60,5,10,17,20,19,15,14
17,自律神経,93400,130,1.928,-9.271,35,65,4,9,15,22,21,14,15
18,あいうべ体操,24300,130,3.235,0.006,26,74,2,7,14,23,21,17,16
19,口呼吸 テープ,7000,130,4.491,0,37,63,7,21,20,20,16,9,7
20,パルスオキシメーター,127000,120,1.537,-1.778,36,64,2,7,9,17,22,20,23
21,自律神経失調症,120000,120,1.563,-38.312,33,67,6,17,19,19,17,11,11
22,上咽頭炎,87800,120,1.856,0.572,26,74,2,12,21,25,20,12,8
23,アデノイド,70300,120,2.128,0.003,35,65,6,16,24,23,14,10,7
24,喉の違和感,124000,110,1.505,-25.868,30,70,2,5,8,19,27,21,18
25,鼻づまり,42800,110,2.481,-0.001,38,62,6,11,18,25,20,11,9
26,鼻詰まり 解消,104000,100,1.49,9.073,36,64,8,19,24,23,15,7,4
27,口臭の原因,99200,100,1.523,-6.869,33,67,3,7,14,26,25,14,11
28,リスペリドン,98000,100,1.581,11.122,28,72,1,13,15,24,24,15,8
29,歯肉炎,91400,100,1.685,-47.072,32,68,4,11,16,22,21,14,12
30,鼻呼吸 苦しい,8300,100,4.049,0.001,47,53,9,20,22,22,16,7,4
31,睡眠薬,95700,90,1.496,-17.349,48,52,4,11,13,19,21,14,18
32,寝ても寝ても眠い,89800,90,1.573,-42.131,32,68,10,20,21,20,19,7,3
33,歯科衛生士,87800,90,1.647,-33.314,37,63,5,11,14,24,23,12,11
34,呑気症,70000,90,1.802,-0.005,27,73,6,16,17,21,19,12,9
35,肺がん 症状,68800,90,1.857,-71.402,36,64,3,9,12,16,20,18,22
36,鼻中隔湾曲症,42700,90,2.295,-2.852,41,59,4,14,20,23,20,12,7
37,口呼吸 喉痛い,2400,90,5.208,0,38,62,15,25,20,16,13,7,4
38,サルコペニアとは,91600,80,1.541,1.322,32,68,2,8,6,14,21,21,28
39,チアノーゼとは,83200,80,1.577,1.094,32,68,3,17,18,17,20,16,9
40,鼻茸,80200,80,1.56,-34.846,34,66,2,10,19,25,22,13,9
41,ゲップが出る原因,77900,80,1.655,-1.093,27,73,2,6,9,16,25,21,21
42,低血糖,75200,80,1.586,-15.49,28,72,4,16,19,22,19,11,9
43,貧血,73500,80,1.663,6.313,27,73,6,14,17,24,18,10,11
44,肺がん,73100,80,1.741,-2.136,39,61,2,6,8,15,21,20,28
45,後鼻漏,72500,80,1.638,6.944,27,73,3,12,23,24,18,11,9
46,嘔吐,70700,80,1.658,5.713,33,67,3,6,11,18,23,20,19
47,spo2,70000,80,1.71,-2.016,34,66,2,15,14,19,21,17,12
48,息苦しい 原因,68500,80,1.703,-6.578,29,71,3,9,14,23,24,14,13
49,鼻詰まり,35200,80,2.42,-5.583,34,66,4,13,26,27,17,8,5
50,アデノイド顔貌,33100,80,2.406,0.132,25,75,4,18,29,27,14,5,3
51,copd,76600,70,1.512,-26.372,38,62,3,17,14,20,20,14,12
52,不眠症,72600,70,1.539,-0.311,40,60,11,20,17,17,15,10,10
53,微熱とは,71300,70,1.587,1.275,27,73,3,11,17,24,20,13,12
54,梅干し 効果,70500,70,1.521,-0.846,33,67,2,9,16,22,23,14,14
55,心電図 異常,68600,70,1.562,21.011,29,71,1,6,11,22,28,18,14
56,鼻うがい 危険性,68200,70,1.557,8.835,35,65,2,6,15,23,23,17,14
57,食道がん 症状,66400,70,1.575,-20.665,34,66,1,5,9,19,27,19,20
58,不安神経症,64300,70,1.621,-0.715,29,71,3,8,13,23,25,17,11
59,肩こり,61900,70,1.628,-11.413,33,67,2,9,15,22,21,14,17
60,無呼吸症候群 治し方 自力,56200,70,1.749,-16.178,45,55,1,4,10,21,29,19,16
61,反り腰,56200,70,1.735,-53.703,32,68,5,14,20,25,19,10,7
62,鼻くそがたまる理由,49100,70,1.95,36.677,35,65,8,18,21,21,17,8,7
63,喘鳴,46000,70,1.923,2.983,29,71,3,15,23,24,17,11,7
64,呼吸が苦しい,41800,70,2.069,4.724,35,65,3,8,12,22,25,15,15
65,口が渇く原因,41200,70,2.086,-2.922,31,69,1,5,9,16,23,20,26
66,鼻呼吸にする方法,7600,70,3.818,-0.002,45,55,8,11,14,21,21,14,11
67,鼻呼吸 メリット,3800,70,4.507,0,53,47,5,12,18,21,20,12,12
68,口呼吸 口臭,1500,70,5.458,0,36,64,8,21,23,26,14,5,3
69,腹痛,68400,60,1.505,-37.756,33,67,5,11,16,22,21,13,12
70,嚥下,67900,60,1.554,1.308,35,65,3,7,8,16,25,22,19
71,腎不全,66900,60,1.506,-31.052,40,60,2,8,12,20,25,18,15
72,頻脈,65700,60,1.506,1.745,32,68,2,9,11,18,22,19,19
73,人工呼吸器,65600,60,1.534,0.001,28,72,2,14,14,22,23,14,11
74,フロセミド,62000,60,1.484,27.183,30,70,1,18,13,19,22,15,12
75,白血球,61500,60,1.491,-5.983,36,64,5,10,14,22,19,14,16
76,ドネペジル,60000,60,1.62,-10.31,28,72,0,10,11,20,28,19,12
77,脈拍が早い原因,59100,60,1.618,-8.652,33,67,1,4,5,14,22,24,30
78,自律神経 整える,57100,60,1.621,0.887,29,71,2,10,18,24,23,13,10
79,空咳が出る原因,56300,60,1.595,0.484,26,74,2,9,16,23,22,15,13
80,便の色,55500,60,1.71,-15.268,28,72,1,8,13,19,23,17,19
81,頭がぼーっとする,53400,60,1.653,-29.859,37,63,5,13,15,20,18,13,16
82,婦人科,52600,60,1.64,-24.236,15,85,3,14,15,25,21,10,12
83,鼻水,48700,60,1.746,-2.084,34,66,3,8,17,25,21,14,12
84,下顎呼吸,44800,60,1.924,0.001,26,74,1,13,17,22,24,16,7
85,バルーンカテーテル,44300,60,1.953,0.151,26,74,2,9,9,20,29,20,11
86,口の中が乾く,39900,60,2.035,16.26,33,67,1,4,6,15,23,24,27
87,ドライマウス 治し方,25700,60,2.406,-3.864,25,75,2,7,11,20,28,17,15
88,アズノールうがい液,58900,50,1.501,-2.567,31,69,1,9,17,21,19,16,17
89,食物繊維,55500,50,1.545,-1.82,39,61,3,14,18,21,19,13,12
90,点滴,55300,50,1.502,12.827,41,59,3,9,12,15,19,19,23
91,生あくび,55100,50,1.539,-85.794,26,74,3,11,16,21,21,14,14
92,胃下垂,54400,50,1.489,0.407,36,64,13,27,21,17,12,5,5
93,下痢 原因,54200,50,1.549,8.001,27,73,8,24,25,21,13,5,4
94,アラーム音 設定 iphone,53800,50,1.524,-61.088,35,65,15,21,10,13,19,11,11
95,味覚障害,53400,50,1.531,-47.6,34,66,2,7,12,19,24,19,17
96,気胸,52500,50,1.524,0.79,38,62,8,19,16,20,17,9,11
97,ミルタザピン,52400,50,1.536,-5.064,35,65,1,13,18,22,23,13,10
98,根管治療,52200,50,1.556,-8.921,32,68,2,10,18,26,23,13,8
99,蓄膿症 症状,52200,50,1.511,17.123,34,66,6,19,24,19,15,10,7
100,エンシュア,51500,50,1.538,-68.028,28,72,1,10,12,17,23,22,15
101,パーキンソン病 症状,50900,50,1.553,-122.024,33,67,2,9,7,13,21,19,29
