順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,手足口病 登園目安,298000,100,1.317,-37.108,14,86,0,5,41,33,8,8,5
2,反対咬合,21300,100,3.938,0,19,81,3,10,34,31,11,6,5
3,シェーグレン症候群,263000,90,1.353,-38.872,20,80,1,7,9,17,26,23,17
4,dlsite,208000,80,1.473,-92.727,56,44,12,33,28,15,7,3,2
5,筆おろしデリバリー,48200,70,2.899,-0.838,87,13,21,41,22,9,3,2,2
6,過蓋咬合,14400,70,4.007,0.001,18,82,5,21,33,27,8,4,2
7,hitomi,159000,60,1.415,-25.804,71,29,15,21,16,18,16,8,6
8,矜持,134000,60,1.656,-0.613,52,48,3,6,8,16,22,22,23
9,メイドインアビス,132000,60,1.585,-29.539,57,43,7,23,31,21,12,4,2
10,momonga 漫画,116000,60,1.811,38.389,79,21,24,28,19,15,8,3,3
11,歯科衛生士,89700,60,1.971,-4.73,37,63,5,11,14,24,23,12,11
12,不正咬合,6900,60,4.645,0,24,76,4,16,26,28,14,8,4
13,セロトニン,150000,50,1.434,-17.72,39,61,2,12,15,22,22,14,13
14,杜撰,142000,50,1.328,0.163,55,45,2,5,9,18,24,22,20
15,スプランキー,137000,50,1.431,216.284,30,70,3,6,33,37,9,7,5
16,褥瘡,137000,50,1.363,0.001,31,69,2,11,11,18,25,20,13
17,メチコバール,132000,50,1.458,9.949,32,68,1,8,13,20,21,16,21
18,寛解,130000,50,1.537,11.046,44,56,1,5,10,19,23,19,23
19,ツイッター 動画保存ランキング,122000,50,1.691,-85.353,86,14,41,38,10,5,3,1,2
20,3630070,120000,50,1.638,29.508,96,4,17,30,23,18,9,2,1
21,バイアスピリン,103000,50,1.721,21.031,36,64,0,13,12,17,20,17,21
22,辟易,96600,50,1.699,-10.965,47,53,4,9,15,22,23,15,12
23,邂逅,91700,50,1.824,5.95,49,51,4,10,13,18,22,17,16
24,歯列矯正,89400,50,1.91,-0.001,26,74,5,21,22,25,17,6,4
25,hitomi la日本語,79500,50,1.953,10.381,82,18,26,29,16,12,9,4,4
26,構音障害,75000,50,2.015,7.23,23,77,2,12,15,24,22,16,9
27,罹患,73300,50,2.029,-0.024,46,54,2,7,14,23,27,15,12
28,低血糖,72100,50,2.019,56.016,28,72,3,17,20,21,19,11,9
29,嚥下,68700,50,2.236,-0.001,34,66,3,8,8,16,25,21,19
30,慟哭,62400,50,2.144,-0.17,46,54,4,8,15,20,23,18,12
31,ポーカーフェイス,55300,50,2.294,-45.938,46,54,12,17,15,22,16,10,8
32,咀嚼,48500,50,2.399,0,45,55,5,6,9,18,24,19,19
33,ワンショットアンダーパピー,45400,50,2.598,-98.228,77,23,22,37,26,10,3,1,1
34,ポーカーフェイスhitomi,11400,50,3.999,-49.338,92,8,22,49,20,5,2,1,1
35,咬合性外傷,4700,50,4.711,0,26,74,3,18,21,23,21,9,5
36,腎臓,131000,40,1.314,-7.405,45,55,3,8,12,19,22,17,19
37,モモンガ,130000,40,1.349,0.353,49,51,14,19,20,22,13,7,5
38,ictとは,130000,40,1.34,34.666,51,49,4,10,9,20,25,17,15
39,高次脳機能障害,128000,40,1.376,9.611,29,71,1,10,12,21,25,18,13
40,全身性エリテマトーデス,122000,40,1.417,-29.952,20,80,2,16,16,22,23,13,8
41,ボーネルンド,122000,40,1.336,0.863,24,76,1,5,33,24,11,17,9
42,アセスメントとは,120000,40,1.433,10.839,38,62,3,11,10,22,28,17,9
43,同人誌,119000,40,1.425,-26.163,68,32,21,20,23,17,11,5,3
44,ギガファイル,114000,40,1.416,19.195,53,47,5,20,22,23,17,8,5
45,マンガ図書館z,113000,40,1.515,-168.694,77,23,16,25,28,17,9,3,2
46,レボセチリジン,113000,40,1.351,33.993,29,71,2,8,23,29,18,11,9
47,経口補水液,112000,40,1.306,1.15,39,61,2,8,15,20,22,17,16
48,アンファミエ,111000,40,1.367,34.914,10,90,1,14,18,27,26,11,3
49,ジャンプ,111000,40,1.342,-51.462,59,41,7,17,27,25,13,6,5
50,クループ症候群,108000,40,1.478,58.671,19,81,1,11,39,25,10,9,5
51,なぞなぞ 小学校,106000,40,1.32,40.748,40,60,3,5,25,41,10,8,8
52,マウスピース矯正,105000,40,1.513,15.092,22,78,6,20,21,27,16,5,5
53,言語聴覚士,103000,40,1.57,10.607,25,75,6,10,15,26,22,12,9
54,てんかん,102000,40,1.487,-12.001,38,62,5,15,19,24,20,10,7
55,うっ血性心不全,101000,40,1.519,-6.254,33,67,1,10,10,18,28,19,14
56,ワンダフルプリキュア,101000,40,1.499,-32.169,27,73,4,11,36,30,7,7,5
57,西暦とは,100000,40,1.59,-4.279,23,77,27,36,18,9,5,2,3
58,twitter保存ランキング,99900,40,1.588,-134.312,86,14,41,45,7,3,2,1,1
59,臀部,98900,40,1.464,72.411,41,59,5,11,16,22,22,14,10
60,稚拙,98300,40,1.508,2.386,49,51,3,6,10,21,26,18,16
61,クエチアピン,96200,40,1.432,0.015,29,71,1,12,15,23,25,15,9
62,リコリスリコイル,94800,40,1.458,5.746,70,30,11,19,24,21,17,6,2
63,dropbox,94000,40,1.482,56.681,65,35,2,8,16,23,23,16,12
64,齟齬,93700,40,1.616,0.892,52,48,3,8,14,24,25,15,11
65,twitter保存ランキングtwidouga,91900,40,1.738,-116.71,87,13,35,46,10,4,3,1,1
66,四面楚歌,90100,40,1.64,-22.905,47,53,8,8,11,18,18,16,21
67,インビザライン,85200,40,1.629,1.032,25,75,3,14,21,30,20,8,4
68,えろ漫画,84900,40,1.79,-119.953,60,40,46,35,7,6,4,1,1
69,インプラント,82600,40,1.751,-5.033,41,59,2,10,15,20,24,16,13
70,畏怖,81200,40,1.699,47.236,46,54,3,5,8,17,25,21,21
71,俯瞰,79700,40,1.754,22.684,43,57,5,8,12,19,24,17,15
72,カウプ指数,77100,40,1.668,9.124,12,88,1,16,46,25,5,4,3
73,ロシデレ,75000,40,1.874,-28.797,83,17,24,23,20,16,11,4,2
74,廃用症候群とは,74300,40,1.904,1.223,27,73,2,13,10,16,25,21,13
75,仙骨,74100,40,1.739,-11.09,34,66,3,9,14,20,22,16,16
76,ニフェジピン,70000,40,1.855,-5.339,35,65,0,14,13,19,22,16,16
77,乖離,61800,40,2.003,-56.12,47,53,6,10,14,20,22,15,13
78,放課後化学クラブ,58800,40,1.974,26.318,52,48,17,18,20,24,15,4,2
79,ジアゼパム,57600,40,1.967,11.625,31,69,1,15,15,21,23,15,10
80,根管治療,53000,40,2.163,1.012,32,68,2,9,17,26,23,14,9
81,軋轢,52900,40,2.176,-1.586,49,51,6,8,11,19,22,17,17
82,エリキュース,51900,40,2.082,-9.81,36,64,0,14,14,21,22,15,14
83,脆弱,44800,40,2.359,-0.001,45,55,6,8,10,17,23,18,18
84,歯,44200,40,2.348,-14.806,33,67,6,11,16,23,19,13,12
85,日常生活自立度,43900,40,2.248,-33.438,35,65,1,20,20,25,20,9,5
86,チェックアップ,39500,40,2.329,33.628,18,82,1,11,31,30,16,7,4
87,喫緊,37200,40,2.402,-20.862,55,45,3,8,13,20,22,17,17
88,オナホを買っただけなのに,18400,40,3.325,55.743,92,8,20,41,25,8,4,1,1
89,隣人は有名配信者,18200,40,3.335,-47.563,91,9,21,39,25,10,3,1,1
90,勝ち気な母親を俺が雌にします,16000,40,3.538,69.55,97,3,8,46,29,11,4,1,1
91,デスアクメ摩天楼,13500,40,3.685,35.367,93,7,15,41,29,10,3,1,1
92,オタクの僕が一軍ギャルと付き合うまでの話,12800,40,3.602,46.925,95,5,14,43,29,9,3,1,1
93,1/5の恋愛感情,11400,40,3.694,79.512,97,3,22,47,22,6,2,1,0
94,噛み合わせ,4800,40,4.455,0,27,73,4,14,20,23,20,11,8
95,幾花にいろ,3600,40,4.85,0,85,15,10,27,31,19,8,3,2
96,歯列,2300,40,5.194,0,31,69,6,14,18,23,18,10,11
97,咬合力,1800,40,5.432,0,53,47,6,21,21,19,16,10,7
98,交合,1200,40,5.871,0,47,53,8,14,21,17,11,10,19
99,写真をpdfにする方法,110000,30,1.324,48.379,41,59,5,24,11,18,21,12,9
100,舌癌,110000,30,1.302,26.326,36,64,3,8,12,19,22,18,18
101,ファシリテーターとは,105000,30,1.33,14.546,47,53,2,10,12,23,26,16,11
102,平成元年 何歳,103000,30,1.301,-36.459,36,64,1,7,23,19,21,22,7
103,清水公園,95700,30,1.376,22.843,39,61,3,6,23,38,15,8,7
104,熱性けいれん,94900,30,1.301,-52.308,25,75,1,10,41,24,10,9,5
105,セレコキシブ,93800,30,1.309,-23.164,37,63,1,10,10,16,22,19,22
106,中性脂肪 基準値,93800,30,1.301,-34.309,37,63,1,8,10,16,23,21,21
107,酸素系漂白剤,93600,30,1.323,-7.638,28,72,1,8,19,27,24,13,8
108,ウィッチウォッチ,93300,30,1.358,77.957,55,45,7,22,26,22,15,6,2
