順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,指しゃぶり やめさせる,18500,450,4.852,0,23,77,0,9,50,24,7,7,3
2,新生児 しゃっくり,42700,390,3.911,-58.492,22,78,0,24,54,10,4,6,2
3,おしゃぶり,27100,340,4.215,-0.639,21,79,4,20,43,15,8,7,3
4,指しゃぶり いつまで,13600,330,4.866,0,21,79,1,12,51,23,5,5,3
5,指しゃぶり 原因,11300,290,4.924,0,15,85,1,10,36,19,13,15,6
6,悪露 いつまで,26700,250,3.939,-50.313,3,97,0,23,62,10,2,2,1
7,魔の3週目,25900,250,3.951,-48.167,15,85,0,22,62,10,2,3,1
8,おしゃぶり いつから,24600,220,3.908,-32.347,21,79,0,22,48,11,7,9,3
9,生後2ヶ月 ミルク量,24100,220,3.892,-25.036,10,90,0,22,57,13,3,4,1
10,うつぶせ寝 赤ちゃん,21900,200,3.907,21.402,18,82,0,14,53,15,6,9,3
11,歯固め いつから,18900,200,4.074,11.437,9,91,0,18,51,13,6,9,3
12,睡眠退行,14300,200,4.327,24.793,15,85,0,19,64,11,2,3,1
13,生後3ヶ月 ミルク量,17800,180,4.009,7.49,9,91,0,22,58,13,3,3,1
14,しらす 離乳食,17700,180,3.998,116.114,7,93,0,16,66,13,1,2,2
15,赤ちゃん 指しゃぶり,12600,180,4.314,-1.727,29,71,0,14,59,16,3,6,2
16,夜泣き,14000,160,4.124,11.618,23,77,1,13,53,18,6,6,3
17,赤ちゃん いびき,13200,160,4.172,22.608,23,77,0,18,63,13,2,3,1
18,魔の3ヶ月,11300,160,4.332,4.896,15,85,1,23,59,11,2,3,1
19,赤ちゃん 舌を出す,15600,150,3.94,-1.741,22,78,0,16,60,13,4,6,1
20,バナナ 離乳食,15500,150,3.917,116.822,6,94,0,14,65,16,2,2,1
21,寝返り,14900,150,4.029,8.244,24,76,2,12,38,16,11,12,9
22,赤ちゃん ゲップ いつまで,14600,150,3.976,9.646,18,82,0,17,63,14,2,3,1
23,生後2ヶ月 睡眠時間,13900,150,4.072,-15.432,11,89,0,22,60,12,2,3,1
24,生後3ヶ月 睡眠時間,13200,150,4.135,10.45,11,89,0,20,61,12,2,4,1
25,ほほえみ 液体ミルク,14900,140,3.943,1.747,7,93,0,16,62,14,3,3,2
26,赤ちゃん 便秘,14500,140,3.967,0.891,25,75,0,15,59,14,5,6,1
27,タミータイム,13000,140,4.09,-19.998,13,87,0,19,55,12,5,6,3
28,3ヶ月 ミルク 量,13000,140,4.056,22.052,11,89,0,19,59,12,3,5,2
29,赤ちゃん 下痢,12300,140,4.086,5.78,15,85,0,19,64,11,2,3,1
30,赤ちゃん 睡眠時間,12100,140,4.136,9.016,31,69,1,16,61,15,3,3,1
31,夜間授乳 いつまで,10900,140,4.201,36.709,5,95,0,17,69,11,1,1,1
32,寝返り返り いつ,10100,140,4.284,55.116,12,88,0,21,62,10,2,3,2
33,指しゃぶり いつから,5200,140,4.985,0,12,88,0,16,57,10,5,9,3
34,指しゃぶり 歯並び,3600,140,5.347,0,19,81,1,11,47,26,5,7,3
35,赤ちゃん 便秘 何日,14500,130,3.892,1.962,21,79,0,15,63,14,2,4,2
36,赤ちゃん 麦茶 いつから,14100,130,3.901,42.091,9,91,0,18,60,13,4,4,1
37,赤ちゃん 鼻水,13300,130,3.94,53.005,20,80,0,17,63,14,2,3,1
38,離乳食 豆腐,12300,130,4.014,114.388,9,91,0,15,60,14,4,5,2
39,新生児 吐き戻し,12000,130,4.061,-65.696,19,81,0,24,59,9,3,4,1
40,つかみ食べ いつから,11300,130,4.091,163.134,5,95,0,18,64,12,2,3,1
41,赤ちゃん 咳,10500,130,4.178,23.314,22,78,0,17,62,15,2,3,1
42,りんご 離乳食,10500,130,4.154,119.718,7,93,0,13,65,16,2,3,1
43,新生児 手足バタバタ,9800,130,4.256,-53.247,17,83,0,22,60,11,2,4,1
44,ベビーセンサー,12900,120,3.904,-53.123,18,82,0,25,54,11,4,4,2
45,母乳実感 乳首,12100,120,3.978,-8.11,5,95,0,16,67,12,2,2,1
46,生後4ヶ月 ミルクの量,12100,120,3.935,27.573,8,92,0,22,57,13,3,4,1
47,授乳中 湿布,11800,120,3.965,-11.145,8,92,0,16,61,15,3,4,1
48,リッチェル バウンサー,11700,120,3.98,2.839,11,89,0,18,61,11,4,5,1
49,赤ちゃん 手足バタバタ,11600,120,3.991,0.23,27,73,0,15,59,15,4,5,2
50,赤ちゃん 寝る時 服装,11300,120,4.037,36.016,7,93,0,14,65,15,2,3,1
51,新生児 便秘,11100,120,4.025,-49.358,20,80,0,19,57,11,4,7,2
52,赤ちゃん 下痢 見分け方,11000,120,4.108,33.321,9,91,0,18,64,12,2,3,1
