順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,歯列矯正,89400,650,2.919,-1.562,26,74,5,21,22,25,17,6,4
2,マウスピース矯正,105000,550,2.597,-0.265,22,78,6,20,21,27,16,5,5
3,インビザライン,85200,450,2.589,-3.415,25,75,3,14,21,30,20,8,4
4,歯並び 悪すぎ,16700,420,4.134,0,31,69,7,12,23,33,16,5,4
5,歯,44200,390,3.108,0,33,67,6,11,16,23,19,13,12
6,ホワイトニング,170000,380,1.745,-0.005,32,68,4,19,18,21,20,11,7
7,歯並び 矯正,14800,340,4.066,0,38,62,6,15,21,26,18,9,5
8,親知らず 抜歯,135000,290,1.689,-1.125,42,58,2,17,20,23,22,10,6
9,歯科矯正,47200,290,2.737,-0.007,23,77,3,11,19,33,23,6,5
10,ガミースマイル,102000,280,1.965,0.01,28,72,7,21,24,23,15,7,3
11,歯並び 自力で治す,8700,280,4.429,0,30,70,16,13,18,27,17,5,4
12,歯並び 綺麗,3700,280,5.259,0,20,80,6,19,21,24,17,8,5
13,親知らず,90000,250,1.973,0.001,45,55,10,24,19,18,14,8,7
14,親知らず 抜歯後,115000,240,1.683,-0.034,35,65,4,27,26,21,14,5,3
15,マウスピース,93300,220,1.825,0.036,39,61,3,7,10,19,27,20,14
16,出っ歯,30700,220,2.903,-0.003,31,69,9,12,32,30,10,4,3
17,セラミック 歯 値段,73100,210,1.975,3.42,28,72,2,14,20,23,22,12,7
18,歯の矯正,44700,210,2.476,0,33,67,4,9,16,30,21,10,10
19,前髪,83200,190,1.724,14.501,11,89,13,12,19,30,18,5,3
20,インプラント,82600,180,1.736,-0.002,41,59,2,10,15,20,24,16,13
21,虫歯,71700,180,1.872,-2.946,39,61,7,18,27,22,11,7,8
22,矯正,34500,180,2.603,-0.032,32,68,9,17,16,22,16,9,11
23,綺麗な歯並び,3800,180,4.813,0.008,24,76,10,29,28,15,10,5,3
24,八重歯,28200,170,2.752,-0.001,36,64,13,18,22,28,11,4,4
25,噛み合わせ 正しい位置,9800,170,3.78,0.01,22,78,5,18,21,23,19,9,5
26,ほうれい線,70800,160,1.764,0.469,29,71,2,10,22,27,21,10,8
27,過蓋咬合,14400,160,3.318,0.002,18,82,5,21,33,27,8,4,2
28,歯茎が下がる,65400,150,1.731,0.001,31,69,2,8,16,25,26,14,9
