順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,歯磨き粉,130000,1200,3.177,0,36,64,3,9,14,20,22,17,15
2,歯周病,345000,800,1.816,-0.187,34,66,2,8,13,22,25,17,13
3,歯ブラシ,48100,530,3.397,0,33,67,2,8,13,19,20,19,19
4,歯間ブラシ,125000,440,2.251,0.001,40,60,1,7,14,20,22,18,18
5,電動歯ブラシ,166000,390,1.84,0.001,43,57,1,7,14,21,22,17,18
6,歯医者,149000,350,1.813,0.001,42,58,3,10,15,23,22,14,13
7,マウスウォッシュ,114000,240,1.735,0.002,36,64,3,12,18,22,22,13,10
8,虫歯,71700,230,2.132,-0.005,39,61,7,18,27,22,11,7,8
9,歯磨き 時間,12100,230,3.938,0,45,55,10,19,18,18,14,10,11
10,歯肉炎,93200,220,1.84,0.016,32,68,4,12,16,22,20,14,12
11,アンパンマン 動画,102000,210,1.733,-38.013,35,65,0,2,16,18,12,29,23
12,歯磨き粉 ホワイトニング,63200,210,2.171,0,32,68,2,14,19,22,19,13,11
13,歯,44200,200,2.5,-0.003,33,67,6,11,16,23,19,13,12
14,歯磨き 食後何分,8700,200,4.103,0,37,63,5,16,18,17,20,15,9
15,歯磨きの歌,5600,200,4.542,-5.011,19,81,3,6,23,30,11,17,10
16,薬,93100,190,1.763,0.804,48,52,2,4,6,10,17,23,38
17,シュミテクト,92500,190,1.673,0.001,36,64,1,7,14,21,24,18,15
18,下痢,87600,180,1.676,-0.935,29,71,5,12,19,23,19,11,11
19,歯磨き粉ランキング,45800,180,2.368,0,38,62,1,9,16,22,23,17,12
20,お茶,91300,170,1.694,1.55,37,63,2,5,7,13,20,22,31
21,目薬,75000,170,1.829,11.591,45,55,4,7,9,13,19,21,27
22,口腔ケア,28600,170,2.798,-0.001,31,69,2,7,7,17,24,23,20
23,ジェットウォッシャー,75400,150,1.734,0.004,38,62,1,4,9,16,24,23,23
24,デンタルフロス,52000,150,2.075,0.001,40,60,2,13,17,19,20,15,14
25,歯磨き 血が出る,10600,150,3.612,0,40,60,6,24,25,19,16,5,5
26,はみがきじょうずかな,7200,150,4.02,0,22,78,2,8,35,26,9,12,8
27,歯磨き 一日中何回,7200,150,4.014,0,49,51,10,24,19,17,14,9,7
28,嘔吐,72900,140,1.645,14.006,33,67,3,7,11,19,23,19,18
29,睡眠,65400,140,1.762,7.458,41,59,3,6,9,18,23,18,23
30,リステリン,65300,140,1.738,-10.815,44,56,2,9,15,20,23,18,13
31,歯石取り,55200,140,1.85,-0.001,41,59,1,10,19,25,25,13,7
32,歯茎が痛い,54800,140,1.914,-13.142,30,70,4,11,14,21,24,15,11
33,フロス,50100,140,2.024,0.002,40,60,3,15,19,21,18,12,12
34,爪切り,48600,140,2.087,0.001,48,52,1,5,9,16,22,21,26
