順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,りんご病,634000,340,1.558,47.963,25,75,1,5,28,33,12,12,9
2,マイコプラズマ肺炎 子供,408000,210,1.493,-62.239,18,82,1,3,28,40,9,9,10
3,乳歯,20900,210,4.483,0,27,73,3,9,27,31,11,11,8
4,手足口病 登園目安,264000,150,1.634,-137.189,14,86,0,5,40,34,8,8,5
5,ヘルパンギーナ,241000,130,1.544,-64.7,26,74,1,9,33,27,12,11,7
6,永久歯 本数,12900,130,4.531,0,23,77,4,9,12,22,17,17,19
7,手足口病 症状 初期 子供,226000,120,1.557,-95.005,17,83,0,4,42,34,5,8,7
8,ジュニアシート,207000,120,1.611,-39.325,32,68,0,5,35,30,10,13,7
9,プティマイン,227000,110,1.444,-20.144,7,93,0,10,50,22,6,9,3
10,キッザニア,218000,110,1.496,-28.239,32,68,4,10,30,35,9,6,6
11,ロブロックス,211000,110,1.471,-54.184,42,58,6,6,25,42,12,4,5
12,水疱瘡,199000,110,1.613,17.491,30,70,3,8,28,31,12,9,9
13,ランドセル,196000,110,1.612,-0.335,26,74,2,7,27,29,12,13,10
14,リンゴ病 症状 子供,166000,110,1.717,102.012,16,84,0,4,40,37,5,7,7
15,120925527,117000,110,2.055,10.909,17,83,0,2,37,50,7,2,2
16,スマイルゼミ,175000,100,1.63,-0.351,22,78,2,2,29,46,12,4,5
17,アデノウイルス 子供,167000,100,1.712,-41.366,17,83,0,6,39,28,8,13,6
18,savings,44400,100,3.177,126.007,34,66,1,1,2,3,9,25,59
19,唐揚げ,190000,90,1.419,-7.329,36,64,2,9,20,28,21,11,9
20,スプランキー,170000,90,1.53,68.442,29,71,3,7,33,36,9,7,5
21,キッズ携帯,136000,90,1.714,-3.585,32,68,1,2,25,49,13,5,5
22,男の子 髪型,116000,90,1.927,-5.47,17,83,1,3,37,46,7,3,3
23,salt,33000,90,3.3,56.007,35,65,3,4,5,7,12,21,48
24,乳歯 生える順番,27200,90,3.411,-0.001,15,85,0,7,32,27,11,16,7
25,乳歯 抜ける順番,22700,90,3.552,-0.002,15,85,0,2,34,46,7,5,6
26,永久歯 生えてこない,10600,90,4.348,0,23,77,2,4,28,40,12,7,7
27,ものもらい,169000,80,1.42,11.015,30,70,7,18,24,25,15,7,4
28,ベイブレード,162000,80,1.442,-33.485,40,60,3,7,28,35,9,10,8
29,キッザニア甲子園,158000,80,1.425,-1.392,28,72,2,5,28,42,11,7,5
30,中耳炎,147000,80,1.635,-7.042,37,63,8,14,26,24,13,8,7
31,進研ゼミ,128000,80,1.643,41.757,26,74,4,2,17,49,19,4,5
32,チャレンジタッチ,125000,80,1.707,-1.728,19,81,2,1,26,56,11,2,2
33,読書感想文 書き方,118000,80,1.807,-97.447,25,75,19,3,17,45,11,2,3
34,わんだふるぷりきゅあ!,112000,80,1.81,-112.743,32,68,6,11,34,29,10,6,4
35,小学一年生,107000,80,1.903,20.656,36,64,0,2,22,29,10,19,18
36,プリキュア 映画,86100,80,2.102,-127.248,28,72,4,6,39,37,6,5,3
37,lung 意味,32200,80,3.218,-84.031,37,63,3,2,2,4,9,22,58
38,pond,18900,80,3.774,-0.001,38,62,4,3,3,8,11,21,50
39,acrobatics,14300,80,4.049,104.996,33,67,1,0,1,1,8,22,67
40,永久歯 生える順番,6900,80,4.612,0,14,86,0,5,24,45,11,7,8
41,ベイブレードx,145000,70,1.463,-18.194,50,50,2,5,28,41,10,6,8
42,土屋鞄ランドセル,135000,70,1.595,-0.109,19,81,1,2,35,33,8,12,9
43,ヘルパンギーナ 症状 子供,127000,70,1.579,-80.941,16,84,0,6,41,29,6,11,7
44,おたふく風邪,123000,70,1.637,30.22,31,69,3,9,25,29,16,11,7
45,中耳炎 子供,117000,70,1.644,47.178,23,77,0,5,42,34,6,8,5
46,肩甲骨,105000,70,1.823,14.012,39,61,4,8,13,21,22,15,17
47,キミとアイドルプリキュア♪,95500,70,1.894,0.058,30,70,11,16,33,24,8,5,3
48,親知らず,88200,70,2.041,0.001,45,55,11,24,19,18,14,7,7
49,卒園式 服装 ママ,62500,70,2.195,54.171,7,93,0,4,44,40,5,4,3
50,歯,43100,70,2.657,-2.035,33,67,6,11,16,23,19,13,12
51,permission,35800,70,3.004,91.011,36,64,7,5,3,7,10,21,47
52,past 意味,32700,70,3.112,223.966,36,64,10,6,5,10,11,17,41
53,亀の甲より年の功,32300,70,3.096,-48.997,38,62,3,4,4,9,11,22,47
54,inside,23700,70,3.401,62.999,37,63,10,6,6,8,10,16,44
55,border,15700,70,3.871,84.011,41,59,5,6,5,8,11,18,47
56,水疱瘡 初期症状,128000,60,1.431,34.732,17,83,1,4,32,38,10,8,7
57,日本脳炎 予防接種,120000,60,1.544,-32.264,14,86,2,7,35,34,13,5,4
58,公文式教室,120000,60,1.459,11.219,21,79,1,1,20,38,16,13,11
59,ラキュー,99000,60,1.618,6.531,28,72,1,5,30,34,11,12,7
60,鶏肉,95900,60,1.665,27.998,23,77,2,7,17,28,22,11,13
61,とびひ,86500,60,1.765,-64.521,23,77,2,8,32,29,13,9,7
62,公文,78900,60,1.849,-13.259,28,72,2,4,18,38,17,10,11
63,みてねみまもりgps,58600,60,2.158,57.933,22,78,0,2,40,44,7,4,3
64,ラップトップとは,36000,60,2.696,7.001,42,58,4,6,9,17,16,16,32
