順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,突発性発疹,300000,1500,2.276,-7.556,17,83,0,9,44,19,9,14,5
2,プティマイン,227000,970,2.085,-16.788,7,93,0,10,50,22,6,9,3
3,上唇小帯,29400,850,3.994,0.001,15,85,2,13,41,25,10,6,3
4,バースデイ オンライン,182000,760,2.047,-34.067,9,91,0,11,54,21,6,6,2
5,リンゴ病 症状 子供,166000,730,2.082,101.432,16,84,0,4,40,37,5,7,7
6,アデノウイルス 子供,167000,680,2.026,8.544,17,83,0,6,39,28,8,13,6
7,離乳食 進め方 表,112000,630,2.363,-17.104,8,92,0,12,45,16,9,13,5
8,出産予定日 計算,155000,620,2.029,-40.561,8,92,0,17,56,16,4,5,2
9,ヘルパンギーナ 症状 子供,127000,560,2.102,-99.854,16,84,0,6,41,29,6,11,7
10,カウプ指数,77500,540,2.572,-0.012,13,87,1,15,47,25,5,4,3
11,クループ症候群,100000,490,2.21,-3.345,19,81,1,11,39,25,10,9,5
12,舌癌,107000,420,2.017,-0.002,36,64,3,8,13,20,22,17,17
13,rsウイルス 子供,104000,420,2.037,1.297,19,81,0,9,41,20,9,14,7
14,手足口病 潜伏期間,103000,420,2.019,-85.591,15,85,1,7,41,30,8,9,4
15,乳児湿疹,67100,400,2.422,-28.098,15,85,0,17,49,14,8,9,3
16,寝返り いつから,94600,390,2.071,-25.98,18,82,0,13,43,14,9,16,5
17,熱性けいれん,89200,390,2.106,-7.378,25,75,1,11,40,24,10,9,5
18,バースデー オンライン,89500,380,2.074,-10.945,7,93,0,11,50,24,6,7,2
19,生後2ヶ月,74800,360,2.211,-16.825,18,82,0,12,45,16,9,13,5
20,構音障害,73700,350,2.196,-11.299,23,77,2,11,15,24,22,16,10
21,アプレレクール,79600,340,2.071,-5.724,5,95,0,10,57,23,3,5,2
22,滲出性中耳炎,70500,340,2.198,1.283,22,78,2,8,26,28,15,12,9
23,予防接種 スケジュール,64700,340,2.283,-1.179,7,93,0,9,48,29,6,4,4
24,舌癌の初期症状,82900,330,2.044,-0.001,28,72,2,5,8,17,28,23,17
25,生後1ヶ月,77800,330,2.091,-40.435,18,82,0,12,45,14,10,14,5
26,おたふく 予防接種,72300,330,2.107,11.191,10,90,1,6,38,37,12,4,2
27,エアラブ,66300,320,2.212,-16.855,15,85,0,16,55,16,6,5,2
28,生後3ヶ月,61900,310,2.245,-15.848,19,81,1,11,44,16,10,13,5
29,#8000,55200,300,2.324,-11.377,16,84,0,12,53,24,4,4,3
30,和光堂 ベビーフード,50300,290,2.379,-4.971,9,91,0,13,55,18,5,6,3
31,はいはい いつから,65500,280,2.093,0.066,22,78,1,14,44,15,7,14,5
32,フォローアップミルク,49500,280,2.343,3.178,10,90,1,15,52,19,6,5,2
33,メンタルリープ,32200,280,2.789,-25.966,10,90,0,13,66,13,2,4,2
