順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,過剰歯 抜歯 子供,4000,580,5.982,0.001,18,82,0,2,29,44,9,9,7
2,120925527,117000,320,1.975,-10.456,17,83,0,2,37,50,7,2,2
3,水いぼ,84100,210,1.937,-30.768,24,76,1,6,34,34,12,8,5
4,卒園式 服装 ママ,62500,200,2.138,44.601,7,93,0,4,44,40,5,4,3
5,過剰歯 子供 全身麻酔,1000,190,6.211,0.007,20,80,1,2,30,48,9,5,5
6,過剰歯 歯,2200,170,5.335,0,27,73,3,4,20,41,18,9,5
7,過剰歯 原因,1100,170,6.08,0.001,21,79,5,7,29,35,13,6,5
8,過剰歯 大人になってから,1100,160,6.025,0.002,26,74,2,16,15,26,26,9,6
9,0120 925 527,39900,140,2.234,-21.201,15,85,0,3,54,38,3,1,1
10,モンスターボール,48500,130,1.98,-25.079,30,70,4,11,36,30,9,6,4
11,癒合歯,8600,120,3.698,-0.001,16,84,1,13,35,25,13,8,5
12,ドライソケット,37800,110,2.114,11.121,29,71,3,26,27,20,14,7,3
13,舌小帯,27500,110,2.422,0.542,21,79,3,15,30,25,13,9,5
14,ツーブロック 子供,39800,100,1.938,26.679,17,83,1,1,30,57,7,2,2
15,粘液嚢胞,39100,100,2.018,0.671,27,73,5,17,22,24,17,9,6
16,ふわりぃ ランドセル,35600,100,2.03,15.119,15,85,0,3,44,40,5,5,3
17,フィットちゃん,35200,100,2.025,5.891,16,84,1,3,45,39,4,5,3
18,ランドセルカバー,29600,100,2.197,61.259,12,88,0,2,37,48,7,3,3
19,上唇小帯,29400,100,2.241,-12.636,15,85,2,13,41,25,10,6,3
20,八重歯,27600,100,2.294,0,37,63,13,18,22,28,11,4,4
21,乳歯 生える順番,27200,100,2.307,-23.068,15,85,0,7,32,27,11,16,7
22,乳歯 抜ける順番,22700,100,2.443,-4.08,15,85,0,2,34,46,7,5,6
23,通級とは,34300,90,2.009,-0.326,21,79,2,7,22,40,16,8,5
24,縄跳び 長さ 合わせ方,32800,90,2.039,-6.839,34,66,1,2,33,46,9,4,5
25,手足口病 熱なし,33000,80,1.956,-103.132,9,91,1,7,57,30,2,2,1
26,小学生以下,28700,80,2.069,10.814,25,75,1,2,33,45,10,5,4
27,お名前シール,28700,80,2.013,36.985,9,91,1,7,37,34,9,8,4
28,蕁麻疹 子供,26200,80,2.062,-13.334,11,89,0,3,44,43,4,3,3
29,オロパタジン 子供,23900,80,2.128,18.608,10,90,0,1,34,53,6,2,4
30,プレオルソ,23400,80,2.264,0.418,16,84,1,5,37,43,8,3,3
31,歯根嚢胞,20800,80,2.328,-12.936,31,69,1,8,13,22,27,18,11
32,過蓋咬合,14900,80,2.734,7.963,17,83,6,21,34,25,9,3,2
33,6歳臼歯,14800,80,2.635,2.6,14,86,1,4,34,43,8,5,5
34,エナメル質形成不全,14600,80,2.705,-0.37,13,87,4,16,34,30,9,4,3
35,埋伏歯,6300,80,3.559,0,30,70,3,13,19,28,22,10,5
36,歯が多い 過剰歯,1500,80,4.958,-0.125,25,75,2,10,24,33,18,9,4
37,骨隆起,25300,70,2.041,0.006,24,76,1,11,22,25,22,12,7
38,水筒 子供,25300,70,2.017,30.046,8,92,0,3,42,45,4,3,3
39,ワイドシリン細粒200小児,24800,70,2.013,-4.218,17,83,0,6,42,36,7,6,3
40,アデノイド肥大 子供,21500,70,2.144,47.547,15,85,0,3,35,35,8,11,8
41,チャレンジタッチ タッチペン,21400,70,2.144,6.416,19,81,1,1,33,56,6,1,2
42,反対咬合,20800,70,2.185,0.536,20,80,2,11,35,31,11,6,4
43,フィステル,20700,70,2.241,3.173,26,74,2,14,21,27,20,10,6
44,手足口病 口の中,20200,70,2.235,-64.26,15,85,1,9,53,28,4,3,2
45,過剰とは 意味,10100,70,2.976,0,42,58,6,4,6,18,32,21,13
46,癒合 歯,7900,70,3.15,0,13,87,1,11,33,29,14,9,3
47,多歯症,1600,70,4.841,-0.001,48,52,2,9,21,29,20,10,9
48,ソトス症候群,26000,60,1.934,-15.606,14,86,1,8,30,25,17,12,7
49,抜歯,24300,60,2.005,-0.048,42,58,5,12,18,22,20,12,11
50,チック 子供,23600,60,2.006,-9.677,12,88,0,3,31,42,6,11,7
51,おばけ イラスト,22700,60,2.03,-60.219,16,84,4,16,28,26,12,8,6
52,カブトムシ 寿命,22300,60,1.949,-70.989,45,55,1,7,37,38,9,5,3
53,らくがキッズ,21400,60,1.947,-29.538,32,68,0,3,40,44,6,4,3
54,120996085,21300,60,1.97,-115.45,11,89,0,6,57,31,2,2,2
55,親知らず 横向き,21000,60,2.026,0.006,31,69,4,25,22,22,17,7,3
56,乳歯,20900,60,2.061,3.608,27,73,3,9,27,31,11,11,8
57,子供 熱 上がり下がり,20400,60,2.082,-42.743,16,84,0,5,49,37,4,3,2
58,卒園 メッセージ 子供へ,19900,60,2.182,33.121,12,88,0,5,31,35,13,10,6
59,男の子 髪型 短い,19900,60,2.013,21.775,12,88,1,1,34,55,5,2,2
60,トスフロキサシントシル酸塩小児用,19700,60,2.073,-5.347,14,86,0,4,42,40,7,4,3
61,シーラントとは,19400,60,2.108,9.266,29,71,3,8,25,33,14,9,8
62,デンタルローン,19000,60,2.123,32.338,31,69,1,14,24,31,21,6,3
63,ポケモン おもちゃ,17500,60,2.26,-26.76,27,73,0,4,51,32,4,6,3
64,卒園式,16800,60,2.283,40.972,16,84,0,7,42,35,7,5,4
65,歯並び 悪すぎ,15300,60,2.451,-0.472,31,69,8,12,23,33,16,5,3
66,永久歯 生えてこない,10600,60,2.724,-0.001,23,77,2,4,28,40,12,7,7
67,過剰,6500,60,3.185,0,42,58,10,9,13,21,21,13,13
68,歯牙腫,3500,60,3.8,0.982,27,73,2,17,19,29,18,9,6
69,浴衣 子供,20800,50,1.936,-66.537,11,89,0,1,27,44,8,10,10
70,キッズケータイ ソフトバンク,20700,50,1.943,-9.048,23,77,0,3,32,49,10,3,3
71,マイクラ レゴ,20500,50,1.967,-57.097,25,75,1,2,36,41,6,9,5
72,スポーツ振興センター,20400,50,1.968,-8.489,21,79,2,5,19,44,22,5,3
73,夏休み 工作,20100,50,1.945,-132.434,26,74,1,2,24,47,11,8,7
74,ベビタピ ファストパス,19900,50,1.942,54.068,17,83,2,5,41,42,6,2,2
75,バランスイージー,19400,50,2.025,-71.544,13,87,1,2,40,44,6,4,3
76,リリコ ランドセル,19400,50,2.018,50.869,12,88,1,6,42,33,8,7,3
77,グリローズ,19200,50,2.044,11.096,9,91,0,3,56,33,3,3,2
78,メプチンドライシロップ,18800,50,2.036,-14.562,17,83,1,5,43,38,6,4,3
79,ゆういちろうお兄さん 卒業,18800,50,1.988,81.097,17,83,2,4,47,38,5,2,2
80,溶連菌 子供 症状,18700,50,2.013,-56.51,15,85,0,8,52,31,4,3,2
81,6歳 身長,18600,50,2.041,-4.073,25,75,1,4,29,34,9,12,11
82,さくらんぼ計算,18600,50,1.949,0.309,24,76,3,7,30,35,10,8,7
83,卒園式 子供服,18500,50,2.009,36.384,12,88,0,3,42,42,4,5,4
84,名札クリップ,18300,50,1.966,77.578,15,85,1,5,30,42,11,6,5
85,手足口病 保育園,18200,50,1.98,-84.487,17,83,0,9,55,27,4,3,2
86,breeze 子供服,18100,50,1.966,-1.234,10,90,0,12,43,26,7,8,4
87,120550904,17900,50,2.014,-112.362,13,87,0,6,57,31,2,2,2
88,イフミー,17900,50,1.991,16.111,10,90,0,6,55,29,4,4,2
89,ブルグミュラーコンクール,17800,50,2.056,-50.478,13,87,2,2,17,45,17,10,7
90,イタリアンブレインロット,16800,50,2.069,147.441,37,63,7,5,29,42,9,4,4
91,手足口病 爪が剥がれる,16600,50,2.066,-81.041,17,83,1,7,48,32,6,4,2
92,キッズカット 男,16400,50,2.113,-61.224,20,80,0,4,47,40,5,2,2
93,子供 耳が痛い,16400,50,1.997,-5.67,24,76,0,3,49,40,4,2,2
94,全身麻酔 リスク,16000,50,2.251,0.183,32,68,4,13,16,21,21,14,11
95,アールエスウイルス 症状子供,15800,50,2.137,-19.583,12,88,0,10,43,26,8,9,4
96,歯科衛生士 国家試験 2025,15700,50,2.11,69.093,27,73,2,25,10,19,28,10,6
97,萬勇鞄,15500,50,2.095,58.563,15,85,0,3,50,34,4,5,4
98,歯科医師国保,15400,50,2.191,-54.17,25,75,0,13,19,26,24,12,6
99,乳歯ケース,15200,50,2.235,34.831,11,89,0,3,37,44,6,6,4
100,子供 頭痛 熱なし,14800,50,2.153,13.424,14,86,0,1,34,54,8,1,2
101,防災頭巾カバー,14700,50,2.129,39.987,8,92,0,2,30,52,8,3,5
