順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,小児歯科学会,2000,120,6.331,0,40,60,0,6,20,28,23,16,7
2,小児歯科専門医,2200,100,6.032,0.002,16,84,1,4,32,38,9,9,7
3,小児歯科 何歳まで,2000,60,5.563,0,16,84,3,9,15,46,21,2,4
4,日本小児歯科学会,1500,40,5.431,11.602,38,62,0,4,22,27,19,16,12
5,障害者歯科学会,1200,20,5.224,9.331,39,61,1,6,15,27,27,15,9
6,小児歯科 矯正,2100,40,5.106,0,14,86,0,1,28,50,10,6,5
7,歯科麻酔学会,1100,20,5.028,-26.225,51,49,1,6,19,31,22,15,6
8,デュラシール,1800,20,4.758,64.883,24,76,1,34,21,23,14,5,2
9,クワドヘリックス,1500,20,4.714,65.039,18,82,2,35,24,26,8,3,2
10,1d 歯科,1800,20,4.616,-10.746,61,39,1,11,31,32,16,6,3
11,ダイアグノデント,1800,20,4.57,28.459,31,69,1,18,22,29,18,8,4
12,根管充填,2300,20,4.562,52.799,26,74,2,34,18,21,14,8,3
13,ビタペックス 歯科,1800,20,4.527,9.259,24,76,1,35,18,18,15,9,4
14,口腔機能発達不全症,5400,50,4.492,-11.81,27,73,1,8,27,33,15,11,5
15,赤ちゃん 歯医者 いつから,3400,30,4.433,-0.003,7,93,1,16,66,14,1,1,1
16,ブラキシズム,2400,20,4.432,24.192,23,77,2,31,16,20,17,9,5
17,2歳 虫歯,2600,20,4.392,-0.217,12,88,0,10,65,21,1,2,1
18,赤ちゃん 歯磨き 嫌がる,2700,20,4.334,-18.647,24,76,0,12,63,20,2,2,1
19,グラスアイオノマーセメント,2400,20,4.323,14.039,22,78,3,41,16,19,13,6,2
20,tbi 歯科,2300,20,4.314,35.471,16,84,2,37,20,18,14,6,3
21,口管強 施設基準,2000,20,4.308,137.047,65,35,1,1,11,33,28,18,8
22,ママとこどもの歯医者,3100,30,4.298,10.227,26,74,0,10,32,36,13,6,3
23,シエン社,2500,20,4.292,-19.86,66,34,1,5,13,28,26,18,9
24,歯周病学会,2600,20,4.27,-65.455,46,54,1,10,23,29,20,11,6
25,舌圧測定器,2500,20,4.251,32.709,40,60,1,12,12,25,23,16,11
26,フルオールゼリー,3000,20,4.233,4.83,20,80,1,18,23,27,18,9,4
27,ホワイトクロス,3400,30,4.204,-56.392,53,47,1,9,21,32,20,11,6
28,ヘミセクション,2600,20,4.148,65.074,23,77,1,29,16,20,19,9,6
29,さつまいも 幼児食,2600,20,4.083,-62.429,6,94,1,7,65,20,2,4,1
30,ハノワ 歯科,4300,30,4.054,15.546,17,83,0,15,26,32,19,6,2
31,サホライド,4000,20,4,0.664,23,77,1,16,30,28,14,7,4
32,歯科衛生士 求人,6500,40,3.999,3.243,13,87,1,29,29,25,12,3,1
33,離乳食 チーズ,3100,20,3.984,-32.99,6,94,0,11,64,19,2,3,1
34,小児皮膚科,3900,20,3.978,22.771,20,80,0,10,46,31,6,5,2
35,mtaセメント,5400,30,3.976,41.51,37,63,1,18,19,24,20,12,6
36,デンタルショー 2024,3700,20,3.914,-31.687,35,65,1,16,21,27,22,10,3
37,後追いとは,3200,20,3.912,-100.728,16,84,4,24,52,12,3,3,2
38,小児眼科,4900,30,3.908,3.638,20,80,1,6,40,34,7,7,5
39,エアラブ 洗い方,3200,20,3.899,-34.796,11,89,0,14,72,10,1,2,1
40,近くの小児科,3800,20,3.892,26.794,20,80,3,11,34,32,10,5,5
41,日本歯周病学会,3200,20,3.882,-141.038,47,53,0,8,18,25,23,18,8
42,spt 歯科,4700,20,3.865,34.328,19,81,1,20,18,26,20,10,5
43,1歳 食パン 量,4000,20,3.852,26.387,4,96,0,9,71,16,1,1,2
44,歯科医師 求人,4800,20,3.842,14.461,44,56,2,8,18,25,23,14,10
45,マイオブレース,9700,50,3.823,3.724,16,84,1,5,34,46,8,3,3
46,歯科医師会,3500,20,3.81,-32.959,40,60,2,7,17,26,26,14,8
47,小児科 近く,9300,50,3.807,20.865,19,81,1,7,32,38,8,7,7
48,子供 本棚,3400,20,3.804,-9.677,19,81,0,7,56,29,4,2,2
49,大根 離乳食,5800,30,3.767,-38.556,7,93,0,15,65,15,2,2,1
50,一歳半 ご飯 食べない,5200,20,3.757,25.111,21,79,0,11,57,19,4,7,2
51,くさび状欠損,5300,20,3.745,27.05,23,77,1,23,19,25,19,9,4
52,mft トレーニング,3700,20,3.742,12.19,18,82,1,12,24,30,19,10,4
53,夜泣き 2歳,6000,30,3.721,74.302,23,77,0,7,52,23,6,9,3
54,グッピー 歯科衛生士,8200,40,3.715,-81.746,27,73,1,15,22,30,22,7,3
55,一時保育,8800,40,3.705,-21.334,17,83,1,12,54,20,5,4,4
56,ウォーキングブリーチ,4300,20,3.691,45.519,23,77,2,22,25,28,17,5,1
57,feed 歯科,7100,30,3.685,14.263,63,37,1,4,8,20,27,26,14
58,キューピー ベビーフード,7600,30,3.684,-103.816,7,93,0,13,64,15,3,3,2
59,歯科医師国家試験,5000,20,3.68,22.818,59,41,1,20,16,15,19,19,10
60,インプラント学会,3800,20,3.677,51.59,56,44,1,7,19,28,23,15,7
61,小児科 日曜診察,6100,30,3.669,56.03,23,77,0,6,33,42,8,6,5
62,ムーシールド,5500,20,3.654,41.709,20,80,1,7,38,38,9,4,3
63,長芋 離乳食,4400,20,3.649,-40.006,5,95,0,10,68,17,2,2,1
64,1歳 咳が止まらない,4000,20,3.648,11.796,23,77,0,14,61,20,2,1,2
65,mft,4500,20,3.643,-0.012,42,58,2,15,22,27,20,8,6
66,インフルエンザ 保育園,4300,20,3.643,102.756,11,89,0,7,55,30,3,3,2
67,1歳 朝ごはん メニュー,4800,20,3.637,3.676,9,91,1,12,62,20,2,2,1
68,1歳1ヶ月,6200,30,3.623,62.209,16,84,0,6,50,23,7,10,4
69,子供 虫歯,4400,20,3.606,0,19,81,0,5,53,37,3,1,1
70,3歳半検診,5700,20,3.604,-1.49,14,86,0,9,51,26,5,6,3
71,ヨーグルト 離乳食,6400,30,3.599,0.24,5,95,0,12,69,15,1,2,1
72,上唇小帯 切れた,6100,20,3.595,-17.845,16,84,1,11,50,22,7,6,3
73,一歳5ヶ月 話さない,5400,20,3.595,-1.373,14,86,0,7,39,19,10,18,7
74,哺乳瓶 いつまで使う,6400,30,3.59,-3.674,10,90,0,8,54,25,4,7,2
75,cadcam冠,4800,20,3.589,43.367,40,60,1,12,19,25,23,13,7
76,シーラント,7100,30,3.584,15.204,37,63,3,8,27,33,15,8,6
77,ラバーダム,6200,20,3.583,0.536,34,66,1,8,18,26,24,14,9
78,乳歯 虫歯,5800,20,3.583,-0.002,14,86,0,7,48,36,4,3,2
79,豆腐ハンバーグ 離乳食,4400,20,3.581,2.675,7,93,0,13,64,17,2,3,1
80,まつもと歯科,5400,20,3.576,1.084,24,76,2,11,20,27,22,9,9
81,小児矯正,6500,30,3.575,0,17,83,1,2,33,51,8,2,3
82,cadcam,4400,20,3.572,-9.024,48,52,1,13,19,27,22,11,7
83,ルシェロ,4700,20,3.558,116.58,29,71,3,15,21,24,21,10,6
84,生後10ヶ月 ミルクの量,4500,20,3.558,-12.82,5,95,0,16,62,17,2,2,1
