順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,下痢が続く,284000,5600,2.475,0,33,67,3,10,16,21,23,14,13
2,下痢の時の食事,145000,3100,2.57,0,23,77,1,7,12,17,23,21,19
3,胃腸炎,261000,2900,1.892,0.669,30,70,4,16,27,26,14,7,6
4,下痢が続く 腹痛あり,105000,2500,2.687,0,24,76,4,11,14,21,23,15,12
5,便秘,176000,2100,2.027,-0.001,35,65,3,7,11,16,19,17,27
6,下痢が続く 腹痛なし,91000,2000,2.583,-0.001,37,63,1,6,10,17,23,21,22
7,風邪,162000,1600,1.768,1.941,41,59,3,7,13,21,21,17,18
8,下痢が止まらない,64500,1500,2.635,-0.001,38,62,3,12,14,18,21,16,16
9,下痢 原因,54700,1500,2.823,0,27,73,7,25,25,21,13,5,4
10,お腹がゴロゴロ鳴る原因,139000,1400,1.807,0.392,27,73,7,9,12,21,23,15,13
11,腹痛,70000,1400,2.481,0,33,67,5,11,16,22,21,13,12
12,お腹が痛い,105000,1200,1.922,-0.191,29,71,6,8,10,21,25,16,14
13,咳,81000,1200,2.208,0.004,30,70,3,6,17,29,21,12,12
14,めまい,117000,1100,1.771,2.017,27,73,2,7,13,23,24,16,15
15,喉が痛い,106000,1100,1.837,-7.802,30,70,6,13,16,25,21,11,8
16,腹痛 原因,105000,1100,1.806,-0.005,34,66,6,12,15,23,21,12,11
17,生理痛,92700,1000,1.88,-2.908,14,86,9,17,20,29,16,5,4
18,過敏性腸症候群 治し方,104000,990,1.75,0.14,26,74,5,12,15,23,22,13,10
19,嘔吐,72500,960,2.088,0,33,67,3,7,11,19,23,19,18
20,暑い,94800,940,1.759,-49.666,36,64,2,6,19,28,22,12,11
21,お腹痛い,46400,890,2.461,-0.001,22,78,16,17,19,23,16,5,4
22,胃痛,69700,850,1.992,-0.001,23,77,2,8,17,23,22,16,12
23,喉痛い,59800,840,2.144,-0.078,26,74,12,21,23,24,13,5,2
24,水下痢,33800,830,2.686,0.003,26,74,3,19,32,25,13,5,3
25,生理,79200,820,1.816,-10.362,32,68,12,18,21,24,12,6,7
26,発熱,68500,820,1.956,-0.773,31,69,2,8,17,27,22,14,10
27,貧血,72800,810,1.904,-4.546,27,73,5,14,18,25,18,9,11
28,軟便,32100,810,2.742,0.001,30,70,2,8,15,17,19,18,21
29,下痢が続く がん症状,32100,790,2.708,0,31,69,1,4,10,20,25,19,21
30,吐き気,37900,770,2.504,-0.001,25,75,6,16,21,22,17,9,9
31,下痢の時の飲み物,28500,740,2.774,0,22,78,2,6,9,16,24,23,20
32,水下痢 原因,53900,720,2.064,0.2,27,73,3,17,29,26,16,6,3
33,嘔吐下痢,70800,700,1.77,0.003,30,70,2,9,19,22,22,16,10
34,下痢 食事,21900,700,2.933,0.009,23,77,2,12,26,28,19,9,4
35,痔,72200,690,1.755,2.724,37,63,5,15,19,22,18,11,10
36,眠い,50800,690,2.07,-6.031,27,73,4,9,20,29,20,10,8
37,下痢 治し方,20400,690,3.023,0.001,32,68,10,23,26,21,12,5,3
38,便の色,56100,680,1.997,0.003,28,72,1,8,13,19,23,17,19
39,鼻水,50500,680,2.084,8.271,34,66,3,8,17,25,20,14,13
40,下痢止め 市販薬,39000,680,2.377,0,39,61,2,10,11,18,22,18,19
41,熱,65500,670,1.835,-0.006,33,67,5,9,13,21,20,15,17
42,腹痛 下痢が続く,58100,660,1.913,0.001,36,64,3,16,20,24,20,10,7
43,肩こり,61100,580,1.747,2.796,33,67,2,9,16,22,21,14,16
44,痰,46300,580,2.028,1.44,48,52,4,10,18,20,18,14,16
45,寒気がする,56000,570,1.799,24.386,31,69,5,12,17,25,21,11,9
46,ストレス,57800,560,1.763,-0.447,37,63,6,11,15,20,18,14,16
47,胃もたれ,40700,560,2.124,0.079,34,66,7,19,22,20,16,9,7
48,筋肉痛,56800,550,1.789,-10.94,42,58,5,11,15,21,17,14,17
49,動悸,52100,540,1.829,2.139,37,63,7,15,19,23,18,10,8
50,微熱,34500,530,2.229,-0.004,28,72,6,16,24,23,16,8,7
51,下痢 水みたい,18200,520,2.842,0,35,65,3,18,24,23,19,9,4
52,腹痛 下痢,14800,490,2.98,0.007,22,78,4,18,28,25,15,6,4
53,水様便 原因,35800,470,2.073,0.001,22,78,1,14,23,23,19,13,7
54,おなら,27600,470,2.318,11.992,42,58,6,10,17,23,19,11,14
55,鼻詰まり,35700,460,2.023,32.292,33,67,4,13,26,27,17,8,5
56,寝れない,34200,460,2.096,-15.492,32,68,15,22,24,21,11,4,3
57,過敏性腸症候群 薬,42700,450,1.84,0.438,28,72,4,11,15,24,23,13,10
58,腸炎,40400,450,1.901,0.129,34,66,3,12,19,23,20,12,11
59,倦怠感,39200,450,1.916,-0.046,40,60,6,13,17,22,22,11,9
60,胃腸風邪,32600,450,2.102,-0.001,31,69,5,15,29,26,13,7,5
61,頭痛い,29900,450,2.203,6.318,20,80,14,17,23,25,13,4,4
62,便秘 腹痛,37100,430,1.954,6.424,25,75,5,16,20,22,17,10,10
63,下痢止め,14600,430,2.898,0.001,39,61,3,14,18,20,19,12,14
64,下痢 腹痛,7200,430,3.58,0.002,21,79,5,21,27,22,15,7,3
65,鼻血,34500,420,1.988,14.765,34,66,4,12,22,24,16,10,12
66,生理 下痢,19800,420,2.553,-0.001,4,96,7,27,33,25,6,1,1
67,喉,40100,410,1.816,9.596,31,69,4,10,16,22,20,14,14
68,食べると下痢,24800,410,2.265,0.203,16,84,1,7,16,27,26,15,8
69,下痢 薬,12900,410,2.96,0.001,33,67,3,20,25,25,16,7,4
70,下痢とは,7900,410,3.45,0,34,66,12,25,22,16,12,7,6
71,うんち,35700,390,1.865,0,40,60,8,12,21,28,13,8,10
72,生理前,33700,390,1.927,-6.038,14,86,6,22,32,28,8,2,2
73,生理 下痢になる理由,31000,390,2.014,16.259,4,96,7,24,29,30,7,1,2
74,コロナ 下痢,23100,390,2.29,-0.628,27,73,2,14,28,28,18,7,3
75,歯が痛い,38600,380,1.781,-10.957,33,67,7,14,18,24,21,9,7
76,食あたり,25200,380,2.212,0.001,35,65,3,18,25,23,16,8,7
77,下痢の原因,17600,380,2.588,0,35,65,5,12,12,17,22,17,15
78,下痢 吐き気,12100,380,2.949,0,20,80,6,23,27,23,13,5,3
79,消化不良 症状,36400,370,1.802,-0.001,24,76,3,11,17,22,21,15,11
80,夏バテ,32900,360,1.874,-70.215,35,65,4,17,22,21,16,11,9
81,インフルエンザ 下痢,30400,350,1.883,0,33,67,2,10,26,34,18,7,3
82,目やに,34500,330,1.747,-6.159,34,66,3,12,25,23,16,11,10
83,生理前 下痢,18500,330,2.379,-0.002,4,96,5,24,40,24,5,1,1
84,急な下痢,12200,330,2.786,0.001,21,79,2,13,21,22,20,13,9
85,残便感,31800,320,1.788,3.463,27,73,3,10,18,22,22,14,11
86,くしゃみ,24300,320,2.055,-4.494,33,67,4,12,21,25,16,10,12
87,水様便,15300,320,2.538,0.001,23,77,2,16,26,21,16,12,7
88,目がかゆい,29100,310,1.855,26.489,30,70,5,11,16,24,21,12,11
89,お腹痛い 下痢が続く,19500,310,2.273,-0.044,24,76,13,24,21,22,14,4,2
90,げり 黒い,12100,310,2.729,0,30,70,3,17,24,24,16,8,8
91,胸焼け,28300,300,1.894,-0.001,43,57,7,15,17,17,16,13,15
92,食べたらすぐ下痢,23600,300,1.996,0.086,21,79,3,16,22,27,20,8,4
93,食欲不振,20400,300,2.185,5.171,27,73,7,16,17,18,17,13,12
94,便,17700,300,2.357,0.003,34,66,3,9,13,19,20,16,20
95,息苦しい,29100,290,1.79,1.066,31,69,4,11,17,23,22,12,11
96,だるい,17500,290,2.289,-28.35,27,73,3,8,17,29,23,11,9
97,下痢と便秘を繰り返す,13200,290,2.585,0,23,77,4,11,14,21,23,16,11
98,しゃっくり,27300,280,1.829,0.146,42,58,5,15,20,20,18,11,11
