順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,離乳食 進め方 表,116000,180,3.078,30.331,8,92,0,12,44,17,9,13,5
2,お食い初め,171000,160,2.576,-5.017,33,67,0,11,30,12,14,23,10
3,寝返り いつから,99200,150,3.026,0.885,18,82,0,13,43,14,9,16,5
4,カウプ指数,77200,150,3.251,4.234,12,88,1,15,47,25,5,4,3
5,離乳食,122000,140,2.816,62.087,18,82,1,9,33,17,14,19,7
6,新生児,83600,120,3.012,-18.882,27,73,1,11,30,13,13,22,10
7,乳児湿疹,68100,120,3.2,-7.004,15,85,0,17,50,14,7,9,3
8,ベビーベッド,119000,110,2.562,-64.349,26,74,0,10,32,12,16,22,8
9,乳腺炎,99600,110,2.684,4.072,16,84,1,15,36,18,13,11,6
10,お宮参り 服装,94500,110,2.819,-31.256,27,73,0,12,35,10,13,22,8
11,離乳食 いつから,82600,110,2.94,29.02,17,83,1,17,42,14,8,13,5
12,生後1ヶ月,79400,110,2.954,-22.321,18,82,0,12,46,14,9,14,5
13,生後2ヶ月,75900,110,2.97,-9.395,19,81,0,11,46,16,9,13,5
14,予防接種 スケジュール,64400,110,3.147,-0.173,6,94,0,9,48,30,6,3,4
15,新生児 ミルク 量,56100,110,3.274,-35.381,17,83,0,19,53,12,5,8,3
16,出産手当金,92800,100,2.735,-55.312,24,76,0,16,46,16,10,8,4
17,前駆陣痛,80700,100,2.821,-51.494,18,82,0,19,51,12,7,9,2
18,出生届,80200,100,2.824,-44.491,42,58,0,12,40,17,10,12,9
19,モロー反射,70500,100,3.001,-28.393,25,75,3,19,32,16,13,12,5
20,生後3ヶ月,62700,100,3.054,-12.855,19,81,0,11,45,16,10,13,5
21,フォローアップミルク,50700,100,3.242,8.494,10,90,1,15,52,20,5,5,2
22,k2シロップ,47300,100,3.366,-10.27,17,83,1,18,44,16,9,9,3
23,5種混合ワクチン,35000,100,3.69,14.009,17,83,0,14,41,20,11,10,4
24,5歳児健診,11100,100,4.764,0,22,78,0,4,27,32,14,14,9
25,子ども家庭庁,95000,90,2.583,-16.994,47,53,3,10,16,24,22,15,10
26,乳幼児突然死症候群,48100,90,3.216,-13.24,21,79,2,21,48,16,6,5,2
27,夜泣き いつから,35400,90,3.555,44.664,20,80,0,15,57,15,4,6,3
28,アカチャンホンポ,83700,80,2.538,-11.035,21,79,1,15,48,15,8,10,3
29,公認心理師,75100,80,2.703,-17.949,30,70,5,9,13,27,26,13,7
30,お食い初め やり方,72400,80,2.748,10.263,32,68,0,10,34,11,12,23,10
31,はいはい いつから,66300,80,2.878,16.883,22,78,1,14,44,15,7,14,5
32,妊娠糖尿病,65600,80,2.805,-84.22,17,83,1,16,42,18,9,10,4
33,和光堂 ベビーフード,59400,80,2.961,30.403,12,88,0,11,56,18,5,7,3
34,エルゴ 抱っこひも,58600,80,2.924,1.719,13,87,0,16,51,18,6,7,2
35,bcg ワクチン,56800,80,2.971,48.956,26,74,2,16,28,18,15,13,8
36,新生児 いつまで,54500,80,2.984,-49.068,15,85,1,26,43,13,6,8,3
37,コニー 抱っこ紐,52900,80,2.978,-9.472,9,91,0,16,59,15,4,5,1
38,つかまり立ち いつから,48100,80,3.083,42.046,19,81,1,15,46,15,7,12,4
39,生後4ヶ月,46200,80,3.213,-0.312,17,83,1,11,47,17,8,12,4
40,新生児 しゃっくり,44000,80,3.274,-51.491,22,78,0,23,54,10,4,6,3
41,出産育児一時金,44000,80,3.238,-41.529,30,70,1,23,45,15,8,5,3
42,産後 生理再開,36100,80,3.356,-1.783,7,93,0,17,62,14,2,3,2
43,哺乳瓶 消毒 いつまでやる,35100,80,3.389,20.563,11,89,0,14,57,16,5,6,2
44,新生児 体重増加目安,33300,80,3.559,-41.705,15,85,0,15,46,11,7,16,5
45,母子保健法,6500,80,5.15,0.001,22,78,8,31,12,19,17,9,4
46,出産祝い お返し,84200,70,2.463,-16.698,32,68,0,11,36,14,13,19,7
47,スワドル,82700,70,2.492,-27.666,17,83,0,14,41,15,13,13,4
48,姓名判断 赤ちゃん,81700,70,2.439,-97.918,18,82,0,9,54,17,7,9,4
49,育休手当,80500,70,2.478,-43.188,31,69,0,14,44,21,10,8,3
50,出産一時金,80400,70,2.485,-18.827,28,72,0,16,44,19,11,7,3
51,パンパース,76700,70,2.465,-10.685,25,75,1,11,38,21,11,12,6
52,特別児童扶養手当,70700,70,2.501,-29.779,24,76,1,4,26,44,17,5,3
53,ベビーサークル,62900,70,2.778,50.663,24,76,0,11,41,17,11,15,5
54,生後6ヶ月,50600,70,2.967,4.382,19,81,0,11,42,17,10,14,6
55,病児保育,47000,70,2.951,27.39,20,80,1,10,39,27,10,9,4
56,お宮参り 初穂料,46300,70,3.067,-24.283,27,73,0,12,41,11,11,18,7
57,エンパワメントとは,45200,70,3.018,-7.407,32,68,3,15,11,21,26,15,9
58,離乳食 卵 進め方,39000,70,3.218,45.767,4,96,0,13,63,16,2,4,2
59,生後5ヶ月,38900,70,3.241,24.316,17,83,0,12,47,17,8,12,4
60,首すわり いつ,37500,70,3.266,-14.678,8,92,0,16,54,14,5,8,3
61,出生届 書き方,37100,70,3.239,-39.145,38,62,0,19,59,15,2,3,2
62,生後7ヶ月,34800,70,3.28,50.179,16,84,0,12,47,17,8,11,5
63,予防接種 赤ちゃん,22400,70,3.725,-4.067,13,87,1,14,50,15,8,9,3
64,プレコンセプションケア,15500,70,4.13,65.149,28,72,3,19,17,19,19,14,9
65,マズローの5段階欲求,61900,60,2.515,17.961,44,56,5,18,15,23,21,11,7
66,イヤイヤ期 いつから,55100,60,2.746,62.674,27,73,1,13,48,16,7,11,4
67,予防接種,54500,60,2.715,0.837,32,68,2,5,18,21,23,18,13
68,ロンパース,50800,60,2.8,12.919,21,79,1,15,38,18,12,11,5
69,お座り 何ヶ月から,49300,60,2.792,109.99,11,89,0,11,41,15,10,18,5
70,妊婦検診 頻度,49200,60,2.831,-95.994,5,95,0,21,55,12,4,6,2
71,妊娠高血圧症候群,49200,60,2.793,-37.913,13,87,1,20,44,19,7,7,2
72,命名書,49000,60,2.869,-50.368,28,72,0,16,41,12,9,15,7
73,ベビーチェア,47800,60,2.834,0.455,23,77,1,9,32,14,13,23,8
74,合計特殊出生率,45300,60,2.887,-0.834,50,50,11,24,13,16,15,11,10
75,ハーフバースデー,45000,60,2.955,63.896,16,84,1,13,44,16,9,12,5
