順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,予防接種 スケジュール,64400,2200,3.478,0,6,94,0,9,48,30,6,3,4
2,日本脳炎 予防接種,124000,1500,2.427,-0.002,15,85,2,7,35,35,13,5,3
3,離乳食,122000,1200,2.289,4.645,18,82,1,9,33,17,14,19,7
4,離乳食 進め方 表,116000,1100,2.228,15.988,8,92,0,12,44,17,9,13,5
5,予防接種 赤ちゃん,22400,970,3.744,0,13,87,1,14,50,15,8,9,3
6,おたふく 予防接種,72200,840,2.382,0.001,10,90,1,6,38,37,12,4,2
7,生後1ヶ月,79400,770,2.24,-36.665,18,82,0,12,46,14,9,14,5
8,寝返り いつから,99200,760,2.015,1.268,18,82,0,13,43,14,9,16,5
9,乳児湿疹,68100,760,2.392,-26.963,15,85,0,17,50,14,7,9,3
10,生後2ヶ月,75900,750,2.261,-15.444,19,81,0,11,46,16,9,13,5
11,新生児,83600,720,2.149,-51.533,27,73,1,11,30,13,13,22,10
12,カウプ指数,77200,660,2.103,-4.046,12,88,1,15,47,25,5,4,3
13,生後3ヶ月,62700,630,2.276,4.241,19,81,0,11,45,16,10,13,5
14,bcg ワクチン,56800,630,2.387,1.029,26,74,2,16,28,18,15,13,8
15,5種混合ワクチン,35000,630,2.847,2.709,17,83,0,14,41,20,11,10,4
16,b型肝炎ワクチン,52600,590,2.376,0.003,21,79,4,14,15,26,27,9,5
17,ワクチン,62600,550,2.158,0,43,57,2,5,11,21,24,18,19
18,予防接種 副反応 熱,17800,550,3.385,0,8,92,0,12,57,19,4,5,3
19,予防接種 インフルエンザ,8400,550,4.148,0,38,62,3,6,18,30,20,11,12
20,mrワクチン,48200,520,2.324,0.236,17,83,2,10,26,28,20,10,4
21,予防接種 医療費控除,10700,520,3.898,0,41,59,0,3,16,20,18,21,22
22,k2シロップ,47300,510,2.355,-37.497,17,83,1,18,44,16,9,9,3
23,新生児 ミルク 量,56100,490,2.155,-54.792,17,83,0,19,53,12,5,8,3
24,エルゴ 抱っこひも,58600,480,2.063,-31.468,13,87,0,16,51,18,6,7,2
25,bcg,42600,470,2.361,16.113,33,67,2,15,35,21,13,8,6
