順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ファロー四徴症,34900,340,4.199,-0.001,28,72,2,28,21,20,16,9,4
2,心室中隔欠損症,29300,320,4.313,-0.002,26,74,3,20,26,22,15,10,4
3,ネフローゼ症候群,133000,180,2.215,-13.39,32,68,1,13,14,21,22,15,14
4,心房中隔欠損,19000,160,4.052,-0.008,28,72,3,17,22,24,17,11,6
5,先天性疾患,3900,160,5.621,0,28,72,9,18,20,21,17,9,6
6,クッシング症候群,70900,150,2.663,-11.326,26,74,2,21,14,20,23,13,7
7,チアノーゼとは,83200,140,2.457,0.002,32,68,3,17,18,17,20,15,10
8,心臓弁膜症,95900,120,2.214,-0.001,38,62,1,3,5,11,21,27,32
9,マルファン症候群,87000,120,2.229,-0.426,22,78,3,17,19,23,20,12,6
10,前駆陣痛,80700,120,2.324,-8.534,18,82,0,19,51,12,7,9,2
11,生後1ヶ月,79400,120,2.334,-0.017,18,82,0,12,46,14,9,14,5
12,カウプ指数,77200,120,2.302,-3.16,12,88,1,15,47,25,5,4,3
13,先天性とは,14700,120,4.024,0,35,65,6,12,16,21,23,12,10
14,生後2ヶ月,75900,110,2.249,22.724,19,81,0,11,46,16,9,13,5
15,モロー反射,70500,110,2.331,-0.285,25,75,3,19,32,16,13,12,5
16,乳児湿疹,68100,110,2.401,15.909,15,85,0,17,50,14,7,9,3
17,心タンポナーデ,62100,110,2.462,-18.908,38,62,2,19,15,19,21,16,8
18,wpw症候群,54300,110,2.588,-0.579,34,66,2,17,18,23,20,12,8
19,妊娠高血圧症候群,49200,110,2.701,-34.026,13,87,1,20,44,19,7,7,2
20,心電図,71500,100,2.309,-53.878,33,67,3,19,15,19,18,12,14
21,特別児童扶養手当,70700,100,2.202,-1.111,24,76,1,4,26,44,17,5,3
22,予防接種 スケジュール,64400,100,2.286,26.666,6,94,0,9,48,30,6,3,4
23,ダウン症,62800,100,2.377,-25.062,37,63,7,15,22,24,15,9,8
24,僧帽弁閉鎖不全症,43900,100,2.735,-0.009,32,68,2,12,11,18,24,18,15
25,ターナー症候群,41600,100,2.762,1.39,22,78,2,20,23,22,16,11,6
26,動脈管開存症,9700,100,4.299,0.001,27,73,2,26,22,20,15,10,5
27,フォンタン手術,7000,100,4.601,1.042,31,69,1,19,23,21,17,12,7
28,看護師国家試験 2025,68400,90,2.24,95.656,22,78,2,25,9,17,31,10,6
29,大動脈弁狭窄症,40700,90,2.707,-11.087,34,66,1,12,10,15,22,20,20
30,心電図検定,37600,90,2.839,-11.207,30,70,2,32,20,18,14,6,8
31,心疾患,23400,90,3.233,-0.186,42,58,3,9,13,19,25,17,14
32,新生児 ミルク 量,56100,80,2.328,9.604,17,83,0,19,53,12,5,8,3
33,血友病とは,54400,80,2.293,-0.173,27,73,2,13,15,24,23,13,10
34,インフォームドコンセント,54000,80,2.298,-8.773,41,59,13,20,11,17,18,11,10
35,プラダーウィリー症候群,50700,80,2.376,-4.561,11,89,5,33,23,17,12,7,3
36,再生不良性貧血,48800,80,2.404,0.361,26,74,2,14,14,21,21,15,13
37,ニトログリセリン,48300,80,2.472,-1.244,43,57,5,21,14,18,17,12,13
38,乳幼児突然死症候群,48100,80,2.41,9.461,21,79,2,21,48,16,6,5,2
39,深部静脈血栓症,41500,80,2.561,-4.123,27,73,2,23,13,18,20,14,10
40,拡張型心筋症,39100,80,2.632,-0.743,31,69,2,14,17,19,20,16,12
41,心臓病,27700,80,3.006,0,36,64,7,8,8,14,21,19,23
42,褐色細胞腫,27400,80,2.996,0.879,32,68,1,19,12,20,22,16,10
43,エリクソン 発達段階,21000,80,3.269,-28.387,21,79,7,38,11,17,15,8,4
44,心房中隔欠損症,6200,80,4.43,0.003,27,73,5,16,20,19,18,13,9
45,サイトメガロウイルス,54800,70,2.194,-14.241,23,77,1,15,28,20,17,12,7
46,新生児 いつまで,54500,70,2.212,-5.212,15,85,1,26,43,13,6,8,3
47,レイノー現象,51100,70,2.246,-1.544,25,75,2,16,14,22,23,13,10
