順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,嘔吐下痢,70800,2000,3.017,0,30,70,2,9,19,22,22,16,10
2,嘔吐 原因,51500,2000,3.353,0,25,75,4,12,16,21,20,14,13
3,褥瘡,137000,1400,2.063,-1.178,31,69,2,11,11,18,25,20,13
4,吐き気 原因,134000,1400,2.048,-0.003,27,73,4,13,15,21,23,13,11
5,膝,130000,1100,1.911,-13.202,43,57,2,3,5,11,21,24,34
6,嘔吐下痢 熱なし,42800,1100,2.919,0,21,79,1,8,22,25,21,15,8
7,丁寧,103000,970,1.985,-9.127,31,69,1,1,3,12,28,29,26
8,下痢,87400,960,2.088,0,29,71,5,12,19,23,19,11,11
9,吐き気 抑える方法,117000,950,1.811,-0.003,24,76,11,20,18,21,17,7,6
10,臀部,98000,880,1.875,-22.841,41,59,5,11,16,22,22,14,10
11,介護福祉士国家試験 2025,74100,750,1.994,29.956,28,72,1,9,11,23,31,17,8
12,嚥下,68600,750,2.103,0.785,35,65,3,8,8,16,25,21,19
13,挨拶,81000,720,1.911,-4.443,40,60,2,3,5,13,26,25,26
14,軟膏,49800,720,2.408,6.784,36,64,5,8,8,14,23,21,21
15,吐き気,37900,710,2.626,0,25,75,6,16,21,22,17,9,9
16,咳,81000,700,1.839,-9.175,30,70,3,6,17,29,21,12,12
17,嘔気,14100,620,3.468,0,30,70,3,14,18,22,23,12,8
18,覚醒とは意味,74900,610,1.82,-0.049,29,71,1,2,6,15,26,25,25
19,発熱,68500,610,1.86,-19.656,31,69,2,8,17,27,22,14,10
20,嘔吐 黄色い液体,16300,600,3.293,0,20,80,4,20,31,27,10,4,4
21,点滴,55900,570,2.049,0.006,41,59,3,9,11,16,19,19,23
22,嘔気 読み,9400,550,3.755,0,23,77,2,18,15,23,22,12,8
23,急遽とは,57500,540,1.96,-1.078,36,64,2,4,6,16,26,24,22
24,臀部とは 部位,46700,540,2.144,26.781,34,66,3,7,10,20,27,19,14
25,休憩,40000,530,2.283,-14.16,42,58,1,3,5,13,29,26,23
26,不穏とは,53500,510,1.951,-3.489,28,72,3,10,10,18,27,21,11
27,破棄,46000,510,2.139,0.001,28,72,1,1,4,14,31,27,22
28,浴槽,51600,490,1.984,-5.954,49,51,1,3,6,12,24,26,28
29,虐待,46800,490,2.034,-14.081,29,71,6,8,14,22,23,16,11
30,実務者研修,43700,490,2.08,-22.519,27,73,1,8,15,27,32,13,4
31,腫瘍,59300,480,1.8,-18.94,45,55,3,6,8,15,23,21,24
32,咀嚼,48600,480,1.983,-5.769,45,55,5,6,9,18,24,19,19
33,バルーンカテーテル,48200,460,1.96,-6.838,27,73,2,10,9,20,28,20,11
34,腕,46500,460,2.026,-7.312,39,61,3,5,7,13,20,22,30
35,傾眠傾向,37000,460,2.22,-0.001,26,74,1,9,10,17,26,21,16
36,指摘とは,49000,450,1.907,-3.875,36,64,3,5,7,18,28,23,16
37,興奮,21900,450,2.741,-5.96,33,67,4,4,6,18,27,20,21
38,嘔吐 熱なし,12400,440,3.221,0,15,85,2,12,36,36,9,3,2
39,嘔吐 食事,7900,440,3.665,0.001,13,87,1,7,29,34,16,8,5
40,促すとは 意味,48900,420,1.815,19.848,37,63,4,7,9,22,29,18,11
41,処遇改善手当とは,47500,420,1.837,4.761,22,78,1,10,15,25,29,14,6
42,吐く,12300,420,3.266,0,33,67,6,7,9,18,22,19,19
43,嘔吐 子供,6200,420,3.841,0,13,87,0,2,42,47,4,2,3
44,頻繁,29500,410,2.336,0.087,44,56,3,3,5,12,26,25,26
45,治療,42200,400,1.968,-3.489,42,58,1,2,5,12,25,23,32
46,嘔吐 熱あり,9400,400,3.404,0,17,83,2,11,29,34,16,6,2
47,嘔吐下痢 何日で治る,21900,390,2.564,0.03,23,77,3,12,27,25,16,11,6
48,端座位,21200,390,2.596,-6.127,25,75,3,14,12,20,27,17,7
49,購入,48100,380,1.802,13.109,41,59,1,2,5,13,25,24,30
50,服用とは 意味,37900,380,2.004,1.772,31,69,1,4,10,22,23,20,20
51,把握とは,37500,380,1.992,24.75,34,66,2,4,7,19,31,22,15
52,仰臥位,32600,380,2.161,0.018,33,67,5,20,13,18,21,14,9
53,臥床とは,22300,380,2.511,0.015,27,73,2,12,9,19,30,19,9
54,倦怠感,39200,370,1.934,-0.013,40,60,6,13,17,22,22,11,9
55,避難訓練,25900,370,2.336,-14.864,41,59,2,4,8,20,30,21,15
56,吐瀉物,17200,370,2.765,0,40,60,5,12,16,21,20,15,11
57,施錠とは,42600,360,1.802,-3.869,40,60,2,5,9,20,30,21,13
58,喉,40100,360,1.896,0.003,31,69,4,10,16,22,20,14,14
59,打撲,37200,360,1.984,-8.899,33,67,5,10,14,22,19,15,15
60,服薬とは,31500,360,2.124,7.032,29,71,1,6,11,23,25,19,15
61,尋ねる 意味,39400,350,1.918,-2.302,33,67,2,4,6,16,23,24,25
62,皮膚,32300,350,2.102,1.119,35,65,2,4,6,17,26,22,23
63,軟便,32100,350,2.099,0.112,30,70,2,8,15,17,19,18,21
64,摘便,36600,330,1.915,14.7,24,76,1,12,14,18,23,19,13
65,繋がる,34600,330,1.975,-12.09,36,64,2,2,4,14,28,25,25
66,擦過傷,32800,330,1.994,0.711,33,67,2,11,15,23,25,15,9
67,影響,33800,320,1.958,12.988,42,58,3,2,5,15,24,21,30
68,褒める,32200,320,2.039,-15.107,36,64,4,4,6,16,24,21,25
69,頬,31200,320,2.057,-2.44,34,66,5,5,10,18,24,19,19
70,厨房,24700,320,2.282,1.094,44,56,3,4,5,13,27,24,24
71,蹴る,15300,320,2.746,-5.609,24,76,2,2,4,17,31,24,20
72,看取り,36600,310,1.869,-2.148,35,65,1,4,7,14,26,29,19
73,施設,36200,310,1.866,30.492,39,61,2,3,7,13,23,25,27
74,癒される 意味,34300,310,1.952,4.525,20,80,1,3,4,12,28,29,23
75,連携 とは,33500,310,1.894,-2.586,32,68,2,4,7,19,31,22,15
76,拘縮,28000,310,2.101,5.054,30,70,1,11,12,18,25,20,13
77,就寝とは,24800,310,2.256,-22.041,38,62,2,4,7,15,23,23,26
78,嘔吐物処理方法,10200,300,3.074,0,22,78,3,14,22,23,20,13,5
79,綺麗,35500,290,1.811,4.031,38,62,3,4,5,14,24,24,26
80,微熱,34500,290,1.821,-0.001,28,72,6,16,24,23,16,8,7
81,撮影,33600,290,1.86,-5.371,44,56,1,3,6,16,25,22,27
82,廃棄とは,31800,290,1.925,29.07,37,63,1,2,3,12,31,29,22
83,失禁,29300,290,2.017,-17.92,42,58,7,13,12,15,20,17,16
84,清拭,26200,290,2.121,3.251,32,68,3,12,12,18,23,19,13
85,転倒,24000,290,2.238,-11.978,42,58,1,3,6,11,23,27,29
86,喘鳴 喘鳴とは,22200,290,2.244,31.346,25,75,0,9,18,25,23,17,8
87,リスペリドン 効果,33000,280,1.835,31.005,26,74,1,10,11,22,29,19,8
88,褥瘡とは,26700,280,2.09,16.975,33,67,4,12,8,13,24,22,17
89,塗布 とは,25000,280,2.098,16.566,42,58,2,7,11,20,27,19,14
90,排泄,16800,280,2.519,2.394,41,59,4,8,12,17,22,20,17
91,廊下,14300,280,2.714,3.021,39,61,2,4,6,13,25,26,24
92,扉,34100,270,1.788,6.078,49,51,1,4,6,13,24,26,26
93,蓋,33900,270,1.812,-13.591,45,55,3,3,5,13,25,25,26
94,陰部,30400,270,1.874,-11.511,40,60,5,12,18,19,19,13,14
95,難しい,28900,270,1.937,13.425,36,64,3,3,7,19,24,23,21
96,準備,27500,270,1.975,-20.735,39,61,2,3,7,21,25,19,23
97,収穫,25500,270,2.149,-31.276,40,60,1,2,4,11,18,25,39
98,嘔吐恐怖症,22100,270,2.237,0,19,81,14,24,24,21,10,4,3
99,剥離とは,18000,270,2.37,-0.004,42,58,2,8,10,18,28,21,13
100,勤務,30500,260,1.827,0.228,37,63,1,3,6,18,28,25,19
101,配慮,30000,260,1.826,1.837,37,63,2,7,15,25,26,14,11
102,褥瘡 ステージ,29300,260,1.856,17.673,21,79,0,13,12,22,27,17,9
103,酷い,26100,260,2.007,-25.459,67,33,1,2,4,8,22,30,33
104,状態,24400,260,2.069,0.002,41,59,2,3,6,16,25,22,26
105,嘔吐下痢 熱あり,15300,260,2.492,0.001,25,75,1,10,20,25,26,13,5
106,麻痺,15200,260,2.567,-0.001,33,67,3,5,5,12,29,24,22
107,乾燥,29700,250,1.868,16.96,38,62,2,6,13,17,19,19,24
108,採血,29700,250,1.829,-1.093,33,67,5,13,11,17,20,15,19
109,吐き気止め,27200,250,1.923,-0.194,25,75,3,13,18,24,21,11,10
110,補充とは,20700,250,2.173,8.334,32,68,2,3,5,17,31,25,17
111,オート,13400,250,2.645,0,63,37,2,4,8,15,22,20,29
112,嘔吐 水分の取り方,5700,250,3.439,0,16,84,1,10,37,37,10,2,3
113,清掃,28600,240,1.855,-3.03,49,51,1,3,5,12,26,26,27
114,懇談会とは,27900,240,1.821,17.946,32,68,2,6,17,30,23,11,11
115,徘徊とは,26800,240,1.893,24.603,40,60,6,10,9,14,22,20,19
116,撤去とは,25900,240,1.915,10.561,46,54,1,2,4,12,29,29,23
117,驚く,25000,240,2.041,-1.699,33,67,4,2,3,11,20,26,34
118,鑑賞,25100,230,1.927,-28.426,38,62,4,6,8,16,21,19,26
119,嚥下とは,23600,230,1.983,29.484,35,65,5,12,8,14,24,21,16
120,腫れる,13800,230,2.584,0.005,34,66,2,2,4,12,20,25,35
121,腸骨とは,26000,220,1.831,30.059,27,73,1,8,12,22,25,19,13
122,誤嚥,24600,220,1.891,-8.575,40,60,4,11,15,19,22,16,13
123,症状,24000,220,1.927,0,39,61,2,4,7,15,21,21,30
124,後遺症,20100,220,2.137,0.005,34,66,2,4,7,13,23,24,27
125,迷惑,19400,220,2.15,4.206,39,61,3,3,6,12,24,24,28
126,緊張,19100,220,2.133,0.031,38,62,6,7,10,18,23,18,18
127,嘔吐 処理,5500,220,3.393,0,13,87,3,16,49,25,4,2,1
128,曖昧,26100,210,1.806,7.902,41,59,7,6,8,16,23,19,21
129,異常なし 異状なし 使い分け,25700,210,1.822,21.089,44,56,0,2,5,15,24,28,26
130,食あたり,25200,210,1.802,0,35,65,3,18,25,23,16,8,7
131,急遽,20800,210,2.024,0.2,44,56,3,7,10,17,22,20,21
132,摂取とは,18000,210,2.156,4.084,40,60,2,3,6,14,24,26,25
133,勘違い,17700,210,2.192,-2.752,40,60,3,5,9,18,24,21,20
134,暴言,16100,210,2.268,7.3,34,66,4,5,11,21,26,20,13
135,大腿部とは,15800,210,2.309,2.759,35,65,2,6,9,20,26,18,19
136,間隔,14700,210,2.344,-36.688,46,54,3,3,6,15,27,24,22
137,嘔吐下痢 潜伏期間,13600,210,2.416,0.002,18,82,1,9,29,26,18,12,5
138,頻回の意味,11300,210,2.592,29.46,32,68,1,6,12,21,28,20,12
139,救急搬送,10100,210,2.736,4.11,38,62,2,7,11,19,26,21,14
140,徹底とは 意味,24200,200,1.789,13.194,41,59,2,5,7,22,35,20,9
141,振戦とは,21500,200,1.928,-12.39,32,68,1,10,10,18,26,21,14
142,水疱,20400,200,1.951,28.779,34,66,4,14,23,22,17,11,9
143,吐き気が続く,19200,200,2.042,0,26,74,6,17,16,21,20,11,9
144,受診 意味,19200,200,2.002,-14.977,32,68,2,7,11,24,25,17,14
145,ノロ,18700,200,2.035,0.41,32,68,2,5,21,31,22,11,8
146,継続,18300,200,2.096,27.325,44,56,2,4,9,17,26,22,20
147,破棄とは,17400,200,2.143,19.36,28,72,2,3,4,14,33,27,17
148,発語とは,17200,200,2.112,2.876,16,84,1,11,26,24,19,13,6
149,清潔,14400,200,2.304,-0.028,36,64,1,3,6,24,25,20,21
150,機嫌,11700,200,2.562,-16.687,38,62,1,3,6,14,20,25,31
151,嘔吐 下痢なし 熱なし,8000,200,2.867,0,20,80,1,12,30,31,16,6,4
152,契約,24300,190,1.802,3.664,50,50,3,4,6,13,24,23,27
153,丁寧 言い換え,23300,190,1.851,20.451,30,70,3,6,5,13,28,24,21
154,緊急,23300,190,1.827,-4.902,49,51,2,3,8,14,22,23,28
155,介護職,22800,190,1.798,-22.52,31,69,1,6,10,22,31,19,11
156,覚醒,22700,190,1.853,-6.754,42,58,5,7,11,17,22,17,21
157,遠慮 意味,22500,190,1.87,-14.612,33,67,3,4,6,15,26,23,23
158,うなずく うなづく どっち,21100,190,1.89,37.458,24,76,2,6,11,25,27,19,10
159,親戚,19900,190,1.988,3.02,42,58,4,6,8,15,24,21,22
160,往診とは,19600,190,1.95,-0.606,38,62,2,14,14,20,23,16,11
161,幻覚とは,18900,190,2.03,-5.884,29,71,5,9,7,15,23,20,21
162,ガーグルベース,18400,190,2.045,0.032,26,74,3,13,15,21,24,17,7
163,一瞬,16000,190,2.254,-2.685,34,66,2,2,4,13,23,24,32
164,搬送とは,14800,190,2.227,0,43,57,1,4,7,17,28,24,19
165,誘導,11800,190,2.445,1.917,42,58,2,5,8,17,26,24,18
166,履く,11200,190,2.562,4.97,33,67,2,3,9,17,24,23,22
167,拒否,10800,190,2.585,7.415,44,56,2,4,6,14,22,23,29
168,独語とは,7800,190,2.855,28.01,26,74,2,11,12,20,27,19,9
169,spo2とは,21600,180,1.835,3.988,34,66,4,18,12,16,20,17,13
170,余裕,21500,180,1.805,1.967,38,62,2,4,7,18,28,20,21
171,傾眠,21200,180,1.842,0.523,35,65,2,11,14,19,24,16,14
172,怪我,20200,180,1.924,-39.881,44,56,4,6,7,15,20,20,28
173,傾眠とは,18300,180,1.99,0.003,27,73,2,12,11,16,24,19,16
