順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,マイコプラズマ肺炎 子供,415000,2300,1.993,-8.049,18,82,1,3,28,40,9,9,10
2,手足口病 登園目安,296000,1600,1.993,-63.913,14,86,0,5,41,33,8,8,5
3,夜尿症 子供 病院,8700,1100,5.12,0,15,85,0,2,36,42,7,7,6
4,夜尿症 原因,11400,1000,4.81,0.001,29,71,1,4,20,30,16,15,14
5,チャレンジタッチ,128000,820,2.101,11.121,19,81,2,1,26,57,11,1,2
6,土屋鞄ランドセル,139000,800,2.049,21.094,19,81,1,2,36,33,7,12,9
7,120925527,116000,790,2.169,52.396,17,83,0,2,37,50,7,2,2
8,キッズ携帯,139000,750,1.937,11.517,32,68,1,2,25,49,13,5,5
9,男の子 髪型,119000,740,2.077,-3.303,17,83,2,3,36,46,7,3,3
10,中耳炎 子供,123000,670,1.968,-14.57,23,77,0,5,41,35,6,8,5
11,溶連菌 出席停止,118000,650,1.986,-17.056,16,84,3,6,27,41,14,6,3
12,夜驚症,97000,600,2.116,0,21,79,1,8,36,29,12,9,5
13,夜間頻尿 原因,64800,580,2.571,0.001,44,56,0,2,5,13,21,25,34
14,おねしょ 治す方法,12600,570,4.085,-0.002,40,60,1,2,26,38,13,10,10
15,リンゴ病 症状 子供,88800,560,2.117,129.27,15,85,0,4,42,36,5,6,7
16,ミニリンメルト,15500,560,3.9,0.337,35,65,1,11,20,28,18,11,11
17,こどもちゃれんじ,103000,530,1.922,-14.377,19,81,0,4,41,37,7,7,4
18,卒園式 服装 ママ,62500,530,2.397,95.99,7,93,0,4,44,40,5,4,3
19,水いぼ,90100,480,1.954,-23.022,23,77,2,6,34,34,11,8,5
20,池田屋 ランドセル,56200,480,2.427,6.348,17,83,0,2,43,40,5,6,4
21,おたふく 予防接種,72200,460,2.113,16.304,10,90,1,6,38,37,12,4,2
22,スタジオアリス 七五三,83100,440,1.942,-15.357,13,87,0,5,46,34,5,6,4
23,子供 咳 止まらない,80900,430,1.928,-10.361,28,72,0,4,41,43,6,2,4
24,adhd 子供,70100,430,2.116,5.229,14,86,1,3,29,38,12,9,8
25,みてねみまもりgps,58600,400,2.174,66.563,22,78,0,2,40,44,7,4,3
26,マックアドベンチャー,62900,390,2.095,-22.955,14,86,1,3,42,44,5,3,2
27,アイロンビーズ,69000,380,1.993,-5.899,21,79,3,6,26,38,12,9,6
28,鍵盤ハーモニカ,70500,370,1.958,30.171,25,75,2,5,27,35,11,9,11
29,gps 子供,59000,370,2.092,50.292,18,82,0,2,33,50,8,3,4
30,予防接種 スケジュール,64400,360,2.023,0.593,6,94,0,9,48,30,6,3,4
31,おねしょ いつまで 平均,9200,360,3.955,-0.004,24,76,1,3,32,42,8,8,6
32,アクアビーズ,63700,340,1.968,-2.234,21,79,2,5,37,35,7,9,5
33,思春期早発症,63400,340,1.951,-5.345,19,81,2,4,19,42,18,8,7
34,グリローズ ランドセル,48500,340,2.24,41.097,11,89,0,3,51,33,4,6,3
35,フィットちゃん,37400,340,2.471,38.574,16,84,1,3,45,40,4,4,3
36,クラリスロマイシン 小児,39300,320,2.36,-15.993,14,86,0,4,37,45,7,4,3
37,夜間頻尿,26900,320,2.856,0.001,45,55,1,4,9,15,19,20,32
38,パウパトロール 映画,55000,310,2.005,-66.612,29,71,0,4,47,34,5,6,4
39,溶連菌 潜伏期間,52200,310,2.058,8.308,16,84,2,7,34,37,10,6,4
40,0120 925 527,40200,310,2.302,7.078,15,85,0,3,54,38,3,1,1
41,最強王図鑑,55600,300,1.959,-39.13,34,66,1,3,34,43,8,6,5
42,溶連菌 自然治癒,55700,290,1.932,-33.437,18,82,1,5,32,41,11,5,5
43,デビロック,50500,290,1.999,23.126,13,87,1,2,33,52,7,2,3
44,botトーク,37000,290,2.312,93.111,19,81,0,2,41,46,6,2,3
45,ふわりぃ ランドセル,36600,290,2.356,25.983,15,85,0,3,44,40,5,5,3
46,防水シーツ,51500,280,2.007,-1.626,18,82,0,7,25,24,22,14,8
47,流行性角結膜炎,50100,280,1.998,5.375,22,78,2,10,33,29,13,9,4
48,百日咳 子供 症状,46800,280,2.062,185.004,6,94,0,5,41,44,3,3,4
49,セイバン ランドセル,46200,280,2.098,9.39,21,79,0,2,37,38,7,9,7
50,夜中にトイレ 原因,39600,280,2.273,0,30,70,1,5,11,20,24,22,17
51,成長痛,47900,270,2.008,-10.821,29,71,7,4,20,43,13,6,7
52,手足口病 発疹,47300,270,2.002,-84.2,11,89,0,6,53,31,4,4,2
53,絵の具 服 落とし方,48300,260,1.955,-40.271,13,87,1,2,32,48,11,3,3
54,フルミスト,42000,260,2.097,-12.768,26,74,1,3,22,41,18,9,6
55,ツーブロック 子供,40600,260,2.096,26.71,17,83,1,1,30,57,7,2,2
56,溶連菌 発疹,32100,260,2.363,-26.775,12,88,0,5,46,39,6,2,2
57,インチュニブ,39300,250,2.16,11.397,31,69,2,10,18,31,23,11,5
58,手足口病 熱なし,35400,250,2.223,-61.628,9,91,1,7,57,30,2,2,1
59,イオン ランドセル,32000,250,2.35,14.104,22,78,0,3,44,35,6,8,4
60,アタマジラミ,46500,240,1.932,-22.762,28,72,3,9,32,33,11,7,5
61,ハート 折り紙,46100,240,1.948,-0.904,9,91,2,11,45,32,4,3,3
