順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,マイコプラズマ肺炎 子供,415000,2000,2.475,-5.132,18,82,1,3,28,40,9,9,10
2,りんご病,533000,1900,2.172,69.742,24,76,1,5,28,33,12,12,9
3,突発性発疹,309000,1800,2.685,-26.147,17,83,0,9,44,20,9,13,5
4,手足口病 症状 初期 子供,287000,1600,2.601,-72.978,17,83,0,4,42,33,5,9,7
5,アデノウイルス,433000,1500,2.195,-14.858,28,72,2,9,29,27,15,12,6
6,手足口病 登園目安,296000,1500,2.549,-55.992,14,86,0,5,41,33,8,8,5
7,ヒトメタニューモウイルス,355000,1300,2.256,67.305,28,72,1,8,28,26,16,14,7
8,ヘルパンギーナ,268000,1200,2.432,-70.396,26,74,1,9,33,26,12,12,7
9,手足口病 症状,263000,1100,2.38,-69.85,22,78,1,7,34,30,10,11,7
10,アデノウイルス 子供,173000,1000,2.691,-15.493,17,83,0,6,39,29,7,13,6
11,プティマイン,228000,970,2.375,-8.208,7,93,0,10,50,22,6,9,3
12,喘息 症状,161000,960,2.729,-0.006,22,78,6,14,20,24,13,10,13
13,喘息,164000,900,2.661,-0.002,44,56,4,9,16,19,20,17,15
14,溶連菌 症状,253000,870,2.162,-13.198,21,79,3,8,29,32,12,9,7
15,rsウイルス 子供,124000,820,2.827,-21.432,19,81,0,9,40,21,9,14,7
16,クループ症候群,108000,820,2.954,-4.528,19,81,1,11,39,25,10,9,5
17,バースデイ オンライン,181000,800,2.403,-18.101,9,91,0,11,54,21,6,6,2
18,中耳炎 子供,123000,790,2.756,1.216,23,77,0,5,41,35,6,8,5
19,ヘルパンギーナ 症状 子供,132000,770,2.688,-69.34,16,84,0,6,41,29,6,11,7
20,気管支喘息,138000,740,2.622,0,29,71,3,12,19,23,17,14,12
21,おかあさんといっしょ コンサート,125000,630,2.543,-43.567,25,75,1,7,49,24,6,9,4
22,子供 咳 止まらない,80900,630,2.935,-4.018,28,72,0,4,41,43,6,2,4
23,プランルカスト,132000,570,2.378,0.083,24,76,1,7,26,34,17,9,6
24,熱性けいれん,95000,520,2.624,-23.562,25,75,1,10,41,24,10,9,5
25,日本脳炎 予防接種,124000,490,2.265,7.332,15,85,2,7,35,35,13,5,3
26,ロタウイルス 症状,122000,490,2.334,37.525,24,76,1,9,29,24,15,14,8
27,水疱瘡 初期症状,117000,460,2.284,1.412,17,83,1,4,32,38,10,8,7
28,喘息 治し方,93400,450,2.517,-0.001,42,58,3,8,16,22,19,16,16
29,カウプ指数,77200,450,2.692,-7.798,12,88,1,15,47,25,5,4,3
30,離乳食 進め方 表,116000,440,2.274,-41.8,8,92,0,12,44,17,9,13,5
31,手足口病 うつる,110000,440,2.299,-59.453,19,81,1,8,38,31,9,8,5
32,手足口病 潜伏期間,108000,440,2.319,-52.313,15,85,1,7,41,30,8,9,4
33,こどもちゃれんじ,103000,430,2.34,3.819,19,81,0,4,41,37,7,7,4
34,七五三 男の子,103000,410,2.32,-0.901,20,80,0,6,36,23,8,17,10
35,プール熱,91900,410,2.407,-49.457,26,74,2,6,28,32,14,11,7
36,rsウイルス,78500,410,2.6,-17.466,28,72,1,13,36,17,11,12,10
37,吸入器,64700,410,2.776,0.01,24,76,2,8,21,25,19,15,10
38,アンパンマン 映画,92300,400,2.379,-46.012,29,71,2,10,46,25,6,6,5
39,バースデー オンライン,88900,400,2.416,19.853,7,93,0,11,50,24,6,7,2
40,喘息 吸入薬,71300,400,2.658,0.962,28,72,2,8,17,26,21,15,11
41,川崎病,84500,390,2.466,0.996,28,72,2,10,34,26,13,9,6
42,手足口病 薬,95400,380,2.298,-49.943,25,75,1,6,39,33,9,7,5
43,気管支炎,87400,380,2.406,0.46,29,71,5,16,28,24,13,8,6
44,アンパンマン おもちゃ,104000,370,2.214,8.31,24,76,0,7,32,16,12,23,10
45,夜驚症,97000,370,2.261,-1.111,21,79,1,8,36,29,12,9,5
46,とびひ,89800,370,2.345,-32.334,23,77,2,8,32,30,12,9,7
47,リンゴ病 症状 子供,88800,370,2.343,152.934,15,85,0,4,42,36,5,6,7
48,スタジオアリス 七五三,83100,370,2.409,-8.868,13,87,0,5,46,34,5,6,4
49,胃腸炎 潜伏期間,93200,350,2.23,91.199,14,86,2,11,36,32,10,6,3
50,#8000,56200,350,2.756,0.075,16,84,0,11,53,25,4,4,3
51,ジュニアシート いつから,78400,340,2.4,11.363,25,75,0,7,49,24,6,10,4
52,咳喘息 症状,90100,330,2.217,-8.938,6,94,2,11,23,29,20,7,8
53,アプレレクール,80500,330,2.331,-1.13,5,95,0,9,57,23,3,5,3
54,アンパンマンミュージアム 横浜,75600,330,2.415,8.639,24,76,3,15,45,19,7,8,3
55,ブリーズ 子供服,73700,330,2.393,15.568,8,92,0,8,47,31,6,5,3
56,インフルエンザ脳症,89200,320,2.204,60.024,25,75,2,11,34,29,13,7,4
57,スタジオマリオ,80000,310,2.248,-13.119,20,80,1,8,42,30,9,6,4
58,おたふく 予防接種,72200,310,2.364,34.409,10,90,1,6,38,37,12,4,2
59,ホクナリンテープ,65800,310,2.457,-5.341,22,78,1,9,27,31,16,10,6
60,ヒトメタニューモウイルス 症状,56300,310,2.621,107.826,15,85,1,7,39,27,10,11,5
61,手足口病 発疹,47300,310,2.787,-39.099,11,89,0,6,53,31,4,4,2
62,ネブライザー,81200,300,2.255,2.322,30,70,2,14,23,24,18,11,8
63,はやり目とは,81000,300,2.219,14.664,26,74,1,10,33,29,13,9,5
64,ヴェポラップ,75500,300,2.307,0.005,27,73,1,12,39,30,9,5,4
65,乳児湿疹,68100,300,2.419,-22.239,15,85,0,17,50,14,7,9,3
66,アンパンマンミュージアム 名古屋,62300,300,2.496,0.058,27,73,1,14,49,18,6,9,3
67,ヘルパンギーナ 症状,53000,300,2.632,-69.232,18,82,1,7,37,31,11,9,4
68,かずむお兄さん 怪我,50700,300,2.682,19.403,17,83,0,4,53,33,4,4,2
69,喘息 痰が絡む,40000,300,2.959,1.231,20,80,2,8,20,26,18,14,12
70,メプチン,39000,300,2.967,4.945,24,76,1,11,26,33,15,8,6
71,アンパンマンミュージアム 神戸,80600,290,2.228,14.053,25,75,2,13,46,19,7,9,4
72,予防接種 スケジュール,64400,290,2.408,3.537,6,94,0,9,48,30,6,3,4
73,前駆陣痛,80700,280,2.205,-16.658,18,82,0,19,51,12,7,9,2
74,滲出性中耳炎,72100,280,2.275,30.999,21,79,2,8,26,28,15,12,9
75,トイザらス ブラックフライデー,64400,280,2.41,1.434,21,79,0,11,54,21,5,6,3
76,卒園式 服装 ママ,62500,280,2.384,110.152,7,93,0,4,44,40,5,4,3
77,和光堂 ベビーフード,59400,280,2.459,-59.518,12,88,0,11,56,18,5,7,3
78,メルシーポット,55000,280,2.556,-13.092,18,82,0,13,55,20,5,5,2
79,フォローアップミルク,50700,280,2.639,-16.295,10,90,1,15,52,20,5,5,2
80,七五三 女の子,80800,270,2.171,21.3,19,81,0,5,30,24,9,19,13
81,マーキーズ,70200,270,2.255,2.822,11,89,0,9,43,32,7,6,3
82,2歳 誕生日プレゼント,67900,270,2.341,9.739,22,78,0,8,40,17,10,18,7
83,とびひ 子供,62400,270,2.387,-16.331,24,76,0,6,40,32,6,9,7
84,イヤイヤ期 いつから,55100,270,2.536,7.591,27,73,1,13,48,16,7,11,4
85,流行性角結膜炎,50100,270,2.586,41.303,22,78,2,10,33,29,13,9,4
86,百日咳 子供 症状,46800,270,2.658,73.412,6,94,0,5,41,44,3,3,4
87,結膜炎 うつる,67300,250,2.244,16.429,26,74,2,12,33,26,13,9,5
88,rsウイルス おとな,67000,250,2.285,-13.965,23,77,0,8,25,18,17,20,12
89,パウパトロール 映画,55000,250,2.401,-39.57,29,71,0,4,47,34,5,6,4
90,手足口病 大人,46400,250,2.591,-47.435,25,75,1,12,48,25,7,5,2
91,かずむお兄さん,45200,250,2.615,40.118,16,84,1,9,54,28,3,3,2
92,子供 咳 長引く,25700,250,3.157,-6.567,15,85,0,3,44,43,5,2,3
93,マックアドベンチャー,62900,240,2.218,22.593,14,86,1,3,42,44,5,3,2
94,トーマスランド,53200,240,2.447,-0.133,33,67,1,6,41,26,8,12,6
95,ヒトメタニューモウイルス 大人症状,51800,240,2.461,112.834,23,77,1,6,23,24,20,17,9
96,ツロブテロールテープ,48700,240,2.529,-1.244,23,77,2,14,35,26,10,7,6
97,ペアマノン,46300,240,2.534,-1.123,5,95,0,7,55,29,4,3,2
98,カルボシステインds 50%,43300,240,2.594,-1.744,21,79,0,6,34,41,8,6,5
99,陥没呼吸,19200,240,3.469,-1.322,21,79,1,22,43,19,7,5,3
100,コンビ チャイルドシート,63000,230,2.253,-12.782,31,69,0,12,47,16,6,14,5
101,生後3ヶ月,62700,230,2.215,-46.068,19,81,0,11,45,16,10,13,5
102,喘鳴,48100,230,2.479,0.001,29,71,3,15,23,23,18,11,7
103,ワンワンわんだーらんど 2024,46500,230,2.508,-59.214,26,74,0,4,44,32,8,8,4
104,子供 咳 止める方法,32000,230,2.863,-18.05,21,79,0,4,46,40,6,2,2
105,モンテルカスト細粒4mg,17900,230,3.443,0.96,17,83,0,6,46,34,5,5,4
106,ヘルパンギーナ 大人症状,62600,220,2.175,-45.919,22,78,1,8,29,23,18,14,7
