順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,腎盂腎炎,231000,2200,2.748,0.003,26,74,1,10,15,23,25,15,11
2,尿路感染,61300,2200,4.1,0,27,73,1,10,15,20,24,18,12
3,尿路感染症 高齢者,37400,1800,4.416,0,27,73,0,3,5,12,28,30,22
4,膀胱炎 症状,198000,1100,2.205,-0.088,20,80,4,15,13,17,21,16,14
5,尿路結石,139000,770,2.224,0,42,58,4,14,17,19,20,14,12
6,尿路感染症 治療,8800,750,4.949,0,30,70,1,5,8,18,32,24,12
7,尿路感染症 症状,6700,740,5.226,0,21,79,2,22,15,16,22,14,9
8,廃用症候群とは,74300,610,2.626,0.033,27,73,2,13,10,16,25,21,13
9,尿路感染症 原因,6700,610,5.027,0,31,69,2,14,13,17,26,18,10
10,バイアスピリン,103000,550,2.199,8.402,36,64,0,13,12,16,20,18,21
11,尿路感染症 子供,11600,530,4.297,0,13,87,1,8,43,28,8,8,4
12,crp 正常値,85800,490,2.295,1.869,31,69,1,13,10,15,18,19,24
13,水腎症,59500,490,2.609,0.108,28,72,1,12,18,21,21,16,11
14,尿道炎 症状,46200,490,2.858,-0.002,53,47,2,9,13,19,21,18,18
15,腎盂腎炎 症状,31000,450,3.185,0.056,21,79,1,14,15,18,25,16,11
16,フロセミド,62700,430,2.426,3.748,30,70,1,19,13,19,22,15,11
17,膀胱癌 初期症状,75900,410,2.221,-0.52,38,62,1,3,6,14,25,24,27
18,低カリウム血症,58200,410,2.449,3.529,29,71,1,17,15,21,22,15,9
19,低ナトリウム血症,52700,390,2.512,-1.229,33,67,1,18,17,21,20,13,10
20,深部静脈血栓症,41500,380,2.725,-2.635,27,73,2,23,13,18,20,14,10
21,cvポート,68100,370,2.202,5.608,25,75,1,13,12,21,25,17,11
22,クロピドグレル,66900,360,2.193,-1.917,33,67,0,16,14,20,22,15,13
23,リクシアナ,59900,360,2.318,-0.12,39,61,0,13,12,19,21,17,18
24,経管栄養,48000,340,2.467,-0.493,23,77,1,15,14,21,24,16,9
25,腎盂炎,58700,330,2.23,0.001,28,72,1,6,13,21,25,18,16
26,カルベジロール,57900,330,2.256,1.091,36,64,0,15,13,20,22,16,14
27,dダイマーとは,55600,330,2.297,2.92,26,74,1,16,12,19,22,16,14
28,jcs 意識レベル,50200,320,2.343,-3.363,34,66,1,29,23,22,16,6,3
29,高血糖症状,46600,320,2.418,8.22,27,73,1,20,15,20,21,13,10
30,前立腺肥大,59400,310,2.206,0,62,38,1,5,6,11,20,24,33
31,jcs,48300,310,2.362,-1.717,40,60,2,32,23,19,14,6,4
32,ソルデム3a輸液,46100,310,2.402,0.258,32,68,1,16,13,16,21,18,15
33,高カリウム血症,44200,310,2.47,6.827,35,65,1,19,15,19,19,14,13
34,co2ナルコーシス,30000,310,2.844,1.38,30,70,1,32,18,21,16,8,4
35,尿道炎,24100,300,3.028,-0.017,56,44,3,12,16,19,19,15,16
36,wbc 血液検査,53500,290,2.231,-0.075,27,73,1,13,12,17,19,17,21
37,日常生活自立度,43900,290,2.358,10.915,35,65,1,20,20,25,20,9,5
38,髄膜炎,49000,280,2.226,0.03,33,67,3,16,24,24,17,9,7
39,バルーンカテーテル,48200,280,2.27,5.007,27,73,2,10,9,20,28,20,11
40,セフトリアキソン,28000,280,2.782,-0.013,39,61,0,23,18,22,19,11,7
41,胸水,45200,270,2.295,0.025,34,66,1,14,14,19,22,17,13
42,腎盂炎 症状 女性,44800,270,2.337,0.569,14,86,1,3,8,18,29,22,19
43,mmt 評価,27800,270,2.781,4.391,30,70,1,34,21,21,14,5,4
44,前立腺炎,25700,270,2.847,0.004,68,32,2,10,14,18,21,19,16
45,チェーンストークス呼吸,35600,260,2.469,31.883,28,72,2,24,20,22,19,9,4
46,尿沈渣,30100,260,2.615,-0.003,26,74,0,8,12,28,28,15,9
47,胸腔ドレーン,29900,260,2.657,-0.383,23,77,2,38,19,19,13,5,4
48,アルブミン 基準値,26700,260,2.821,-0.924,25,75,2,31,9,14,15,13,16
49,ブリストルスケール,24500,260,2.863,1.123,23,77,3,29,19,21,16,8,4
50,膀胱留置カテーテル,17700,260,3.191,-0.004,17,83,1,32,16,18,15,8,10
51,長谷川式簡易知能評価スケール,46100,250,2.196,-28.516,26,74,1,16,13,22,26,12,10
52,アゾセミド,40300,250,2.303,0.355,30,70,0,15,15,22,23,14,11
53,dic 医療,33800,250,2.495,7.414,28,72,1,26,19,20,18,10,6
54,ビーフリード輸液500ml,27500,250,2.733,2.661,32,68,1,14,11,17,23,20,14
55,腎不全 症状,43500,240,2.238,3.002,32,68,1,8,11,18,26,20,16
56,菌血症,24300,240,2.782,0.882,30,70,1,15,16,19,22,15,12
57,代謝性アシドーシス,20500,240,2.957,6.953,27,73,2,35,18,19,15,7,4
58,シロスタゾール,43900,230,2.173,17.155,33,67,1,16,14,20,22,15,12
59,ダンピング症候群,41300,230,2.211,9.271,23,77,1,21,14,20,21,14,9
60,慢性心不全,37500,230,2.323,-0.972,30,70,1,13,9,16,24,20,17
61,エリクソン 発達段階,21000,230,2.9,-10.863,21,79,7,38,11,17,15,8,4
62,腰椎圧迫骨折,41600,220,2.226,-6.827,33,67,1,8,7,12,21,22,29
63,ウェルニッケ脳症,40800,220,2.175,7.57,34,66,1,21,18,21,19,13,7
64,脳梗塞 症状,37100,220,2.285,2.214,30,70,4,18,13,16,20,12,17
65,間欠性跛行,36100,220,2.369,7.449,42,58,1,16,10,13,17,17,26
66,オメプラゾール,34600,220,2.365,28.672,29,71,1,25,14,18,18,13,11
67,中心静脈栄養,31300,220,2.449,0.244,26,74,1,11,10,16,25,24,13
68,褥瘡 ステージ,29300,220,2.524,14.529,21,79,0,13,12,22,27,17,9
69,バンコマイシン,25000,220,2.674,11.021,36,64,1,30,16,19,16,11,7
70,急性腎盂腎炎,17100,220,3.044,0.04,27,73,2,15,17,22,23,12,9
71,摘便,36600,210,2.272,0.392,24,76,1,12,14,18,23,19,13
72,イレウス,33700,210,2.3,2.69,31,69,2,14,14,21,23,16,10
73,誤嚥性肺炎 症状,32500,210,2.42,-0.169,28,72,1,8,6,10,24,26,25
74,アセリオ静注液 1000,31100,210,2.408,-0.373,29,71,1,16,13,22,24,15,9
75,ercp,29000,210,2.493,6.93,28,72,1,27,18,21,17,9,7
76,間質性膀胱炎,27100,210,2.587,-0.614,21,79,1,6,9,17,22,22,23
77,スルバシリン,22900,210,2.727,0.073,38,62,1,25,18,19,18,11,8
78,閉塞性動脈硬化症,36900,200,2.239,18.537,33,67,1,13,10,16,22,19,19
79,慢性閉塞性肺疾患,35600,200,2.239,-7.083,32,68,5,16,12,18,21,15,13
80,地域包括ケア病棟,35100,200,2.237,-1.157,28,72,1,10,11,22,27,19,10
81,バクタ配合錠,31800,200,2.368,6.9,29,71,1,12,11,18,23,18,17
82,尿毒症 症状,28800,200,2.441,-0.009,31,69,0,6,9,21,26,20,18
83,mrsa,26400,200,2.523,-3.474,30,70,2,22,18,21,18,12,7
84,腎盂腎炎 原因 女性,21800,200,2.711,0.038,20,80,1,10,14,22,28,15,10
