順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,感染症 流行状況,51500,4700,3.699,0,36,64,1,4,12,21,23,21,18
2,感染性胃腸炎,216000,2900,1.781,0.009,31,69,2,12,20,22,19,15,10
3,感染症とは,17400,2700,4.273,0,33,67,4,6,8,15,21,21,25
4,感染症 分類,16700,2000,3.993,0,37,63,2,16,11,18,19,17,17
5,褥瘡,137000,1900,1.848,0.273,31,69,2,11,11,18,25,20,13
6,感染症対策,9600,1600,4.292,0,33,67,4,5,7,17,26,24,17
7,介護施設,112000,1500,1.808,-8.117,38,62,1,2,3,10,26,29,29
8,訪問看護,107000,1500,1.789,-6.137,29,71,1,5,10,23,29,19,13
9,感染症 種類,6000,1200,4.55,0,30,70,8,9,8,13,21,20,21
10,介護福祉士国家試験 2025,74100,1100,1.877,46.141,28,72,1,9,11,23,31,17,8
11,訪問介護,63500,1000,1.936,-2.894,33,67,1,4,8,20,29,22,16
12,bcp,68400,980,1.798,-0.014,61,39,1,5,11,24,31,19,9
13,尿路感染,61300,970,1.941,0,27,73,1,10,15,20,24,18,12
14,バルーンカテーテル,48200,800,1.996,0.353,27,73,2,10,9,20,28,20,11
15,経管栄養,48000,720,1.891,6.425,23,77,1,15,14,21,24,16,9
16,実務者研修,43700,670,1.866,5.101,27,73,1,8,15,27,32,13,4
17,手術後,51000,660,1.774,0,43,57,0,2,4,14,26,30,24
18,メマンチン,44300,600,1.779,4.199,29,71,0,10,13,23,27,17,10
19,スタンダードプリコーション,24100,600,2.402,0.023,24,76,6,23,14,21,20,12,4
20,細菌感染症とは,24400,590,2.371,0.001,25,75,3,11,18,22,21,15,10
21,リスクマネジメントとは,41200,570,1.794,-0.003,43,57,3,12,13,22,26,16,8
22,ケアマネ試験 2024,37200,570,1.87,-51.529,27,73,0,3,15,30,31,15,6
23,介護支援専門員,39800,550,1.781,6.074,32,68,1,8,12,24,28,17,10
24,ウイルス,36700,550,1.912,0,55,45,7,8,10,16,19,18,22
25,炎症反応 数値 基準,32000,550,2.046,0.195,27,73,1,3,8,19,24,24,21
26,尿路感染症 高齢者,37400,530,1.876,8.563,27,73,0,3,5,12,28,30,22
27,看取り,36600,530,1.869,11.886,35,65,1,4,7,14,26,29,19
28,感染症法,5600,520,3.713,0,45,55,3,18,13,20,22,14,10
29,mrsaとは,29900,510,2.035,-0.002,26,74,2,20,13,18,21,16,10
30,ターミナルケアとは,32800,500,1.926,14.385,26,74,2,8,8,16,27,24,15
31,感染,10100,500,3.086,0,42,58,2,7,12,18,24,20,17
32,身体拘束 三原則,14500,490,2.686,39.427,27,73,1,10,12,25,27,17,8
33,類天疱瘡,34100,480,1.834,2.006,26,74,0,8,14,22,25,19,12
34,身体拘束,14500,480,2.676,4.828,28,72,1,10,12,23,28,19,7
35,口腔ケア,28600,470,1.997,12.758,30,70,1,7,7,17,24,23,21
36,感染症対策マニュアル,3500,470,4.096,0,44,56,1,4,7,15,27,27,19
37,mrsa,26400,460,2.029,0.004,30,70,2,22,18,21,18,12,7
38,カイテク,32600,450,1.776,52.335,26,74,1,6,14,27,31,16,5
39,バクタ配合錠,31800,440,1.827,8.076,29,71,1,12,11,18,23,18,17
40,新型コロナ 感染者数,29600,420,1.874,-56.185,68,32,1,2,5,11,20,30,31
41,中心静脈栄養,31300,410,1.769,0.175,26,74,1,11,10,16,25,24,13
