順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,お宮参り いつ,185000,1500,3.412,-0.32,25,75,0,9,27,11,16,26,11
2,お宮参り,160000,1400,3.466,10.581,29,71,0,11,28,11,15,24,11
3,お食い初め,171000,1300,3.293,63.858,33,67,0,11,30,12,14,23,10
4,前駆陣痛,80700,1200,3.999,-19.577,18,82,0,19,51,12,7,9,2
5,生後1ヶ月,79400,1200,3.995,25.226,18,82,0,12,46,14,9,14,5
6,乳児湿疹,68100,1200,4.153,26.007,15,85,0,17,50,14,7,9,3
7,お宮参り 服装,94500,1100,3.711,18.939,27,73,0,12,35,10,13,22,8
8,新生児,83600,1100,3.909,0,27,73,1,11,30,13,13,22,10
9,新生児 ミルク 量,56100,1100,4.21,2.223,17,83,0,19,53,12,5,8,3
10,生後2ヶ月,75900,1000,3.884,49.434,19,81,0,11,46,16,9,13,5
11,離乳食 進め方 表,116000,960,3.38,143.199,8,92,0,12,44,17,9,13,5
12,寝返り いつから,99200,930,3.518,89.862,18,82,0,13,43,14,9,16,5
13,ベビーベッド,119000,900,3.312,-54.235,26,74,0,10,32,12,16,22,8
14,新生児 しゃっくり,44000,890,4.284,2.032,22,78,0,23,54,10,4,6,3
15,新生児 黄疸,26400,870,4.781,-0.3,20,80,0,14,32,11,14,23,6
16,出生届,80200,780,3.554,-4.211,42,58,0,12,40,17,10,12,9
17,おしるし 出産まで,47100,770,4.061,-9.277,19,81,0,18,46,13,11,10,2
18,新生児 体重増加目安,33300,760,4.41,6.868,15,85,0,15,46,11,7,16,5
19,乳腺炎,99600,750,3.289,13.349,16,84,1,15,36,18,13,11,6
20,生後3ヶ月,62700,750,3.741,82.808,19,81,0,11,45,16,10,13,5
21,モロー反射,70500,730,3.615,7.696,25,75,3,19,32,16,13,12,5
22,離乳食 いつから,82600,720,3.445,89.932,17,83,1,17,42,14,8,13,5
23,お食い初め いつ,91700,710,3.352,35.12,23,77,0,8,27,11,14,27,13
24,姓名判断 赤ちゃん,81700,700,3.4,-58.199,18,82,0,9,54,17,7,9,4
25,スワドル,82700,690,3.405,8.968,17,83,0,14,41,15,13,13,4
26,k2シロップ,47300,690,3.951,8.994,17,83,1,18,44,16,9,9,3
27,出産手当金,92800,680,3.255,-10.789,24,76,0,16,46,16,10,8,4
28,出産祝い お返し,84200,670,3.358,16.912,32,68,0,11,36,14,13,19,7
29,新生児 いつまで,54500,660,3.78,15.204,15,85,1,26,43,13,6,8,3
30,お食い初め やり方,72400,650,3.476,88.121,32,68,0,10,34,11,12,23,10
31,黄疸 新生児,29400,640,4.353,-0.197,22,78,1,18,46,14,9,9,3
32,お宮参り お祝い金,81900,620,3.359,25.787,23,77,0,2,5,4,24,49,16
33,コニー 抱っこ紐,52900,620,3.732,16.153,9,91,0,16,59,15,4,5,1
34,お宮参り 初穂料,46300,610,3.87,39.862,27,73,0,12,41,11,11,18,7
35,バウンサー,91600,600,3.166,21.893,25,75,1,13,34,15,13,17,7
36,妊娠高血圧症候群,49200,590,3.742,-32.715,13,87,1,20,44,19,7,7,2
37,新生児 目が見える頃,34400,590,4.149,4.931,28,72,0,7,25,10,16,30,12
38,妊娠糖尿病,65600,580,3.449,-82.321,17,83,1,16,42,18,9,10,4
39,命名書,49000,570,3.749,-3.45,28,72,0,16,41,12,9,15,7
40,サイベックス ベビーカー,91100,560,3.094,-0.615,20,80,0,15,46,16,9,11,3
41,生後4ヶ月,46200,560,3.747,114.008,17,83,1,11,47,17,8,12,4
42,出生届 書き方,37100,560,3.977,-0.072,38,62,0,19,59,15,2,3,2
43,ニューボーンフォト,53700,550,3.6,-6.75,17,83,0,17,41,13,13,13,3
44,新生児 寝ない,30200,550,4.165,7.177,22,78,0,18,58,11,4,6,3
45,エルゴ 抱っこひも,58600,540,3.482,19.863,13,87,0,16,51,18,6,7,2
46,nst 妊婦検診,31000,530,4.119,-23.653,11,89,0,24,52,11,5,6,2
47,妊婦検診 頻度,49200,510,3.616,-121.669,5,95,0,21,55,12,4,6,2
48,会陰切開,52800,500,3.532,-3.006,18,82,2,23,42,13,9,6,5
49,お七夜,45800,500,3.689,-1.469,25,75,0,12,33,9,12,23,11
50,生後1ヶ月 ミルク 量,28000,500,4.156,26.811,9,91,0,22,58,11,3,5,1
51,悪露 いつまで,27400,500,4.175,6.79,3,97,0,22,63,10,2,2,1
52,母乳育児 軌道にのるまで,21700,500,4.396,5.151,4,96,0,15,59,13,4,7,2
53,抱っこ紐 人気 一覧,53600,490,3.487,-3.209,19,81,0,12,39,17,13,14,5
54,出産内祝い,35200,490,3.914,18.945,16,84,0,19,53,13,6,7,2
55,アプガースコア,22000,490,4.386,0.052,24,76,1,32,29,19,11,6,2
56,お食い初め お祝い 祖父母,66600,480,3.316,71.667,22,78,0,1,4,3,24,51,17
57,ミルポッシェ,43300,480,3.674,27.76,13,87,0,15,61,16,3,3,2
58,タミータイムとは,42200,480,3.723,36.942,13,87,1,17,44,13,10,12,3
59,ピジョン 哺乳瓶,39800,480,3.755,6.024,13,87,0,17,53,15,5,7,3
60,切迫早産,65800,470,3.243,-65.261,25,75,1,21,39,16,11,9,3
61,陣痛 前兆,30100,470,4.027,-14.491,25,75,1,20,49,12,8,8,2
62,乳幼児突然死症候群,48100,460,3.532,10.736,21,79,2,21,48,16,6,5,2
63,魔の3週目,26200,460,4.131,13.496,15,85,0,21,62,10,2,4,1
64,後陣痛 いつまで,19900,460,4.421,-1.793,4,96,0,23,61,10,2,3,1
65,胎動 いつから,59400,450,3.296,-167.088,8,92,1,20,54,12,5,6,2
66,お宮参り 着物の掛け方,42600,450,3.676,28.713,11,89,0,5,19,6,19,40,11
67,アップリカ チャイルドシート,63500,440,3.211,-10.921,31,69,0,13,47,16,8,12,4
68,ベビーベッド レンタル,49200,440,3.486,-59.634,20,80,0,12,46,12,9,16,5
69,育休手当 いつもらえる,43900,440,3.587,70.94,21,79,0,22,60,12,3,2,1
70,首すわり いつ,37500,440,3.73,57.401,8,92,0,16,54,14,5,8,3
71,育休手当 計算,47000,430,3.488,-10.613,9,91,0,22,63,10,2,2,1
72,プーメリー,42200,430,3.616,22.753,16,84,0,22,55,9,5,7,2
73,哺乳瓶 消毒,35600,430,3.776,-3.999,19,81,0,15,47,13,9,12,4
74,コンビ チャイルドシート,63000,420,3.156,-3.74,31,69,0,12,47,16,6,14,5
75,初節句,58400,420,3.274,115.231,32,68,1,9,25,9,15,29,12
76,アップリカ ベビーカー,50000,420,3.41,16.662,21,79,0,16,47,15,8,10,4
77,ベビービョルン 抱っこ紐,43700,420,3.533,16.084,8,92,0,16,60,17,3,3,1
78,名前診断 赤ちゃん,41900,420,3.569,-67.959,27,73,1,21,48,12,6,8,4
79,正期産 いつ,22100,420,4.215,-26.313,10,90,1,25,46,14,6,6,2
80,はいはい いつから,66300,410,3.108,138.419,22,78,1,14,44,15,7,14,5
81,抱っこ紐,53000,410,3.325,2.739,21,79,0,14,41,18,10,12,5
82,お食い初め メニュー,42900,410,3.544,84.621,17,83,0,10,35,11,13,22,9
83,生後5ヶ月,38900,410,3.61,143.903,17,83,0,12,47,17,8,12,4
84,産休 計算,52900,400,3.268,-81.073,5,95,0,16,58,15,5,4,2
85,産褥期,27900,400,3.946,0.297,16,84,3,18,42,15,9,9,4
86,生後2ヶ月 ミルク量,24300,400,4.068,55.583,10,90,0,22,57,13,3,4,1
87,陣痛 始まり,22600,400,4.153,-10.968,11,89,0,23,57,10,4,4,2
88,お座り 何ヶ月から,49300,390,3.35,149.237,11,89,0,11,41,15,10,18,5
89,おくるみ 巻き方,27000,390,3.959,2.748,15,85,0,18,57,13,4,5,3
90,スタジオアリス お宮参り,26300,390,3.992,22.149,13,87,0,18,50,9,8,12,3
91,マザーズバッグ,60300,380,3.125,-20.789,11,89,0,13,39,17,14,12,5
92,たまひよ 内祝い,41500,380,3.472,36.635,16,84,0,14,58,15,4,6,3
93,100日祝い,37400,380,3.596,65.206,22,78,0,11,36,12,15,19,7
94,マタニティブルー,36700,380,3.646,-15.44,22,78,8,29,39,9,6,6,3
95,モロー反射 いつまで,22800,380,4.099,43.055,13,87,1,20,55,12,4,6,2
96,おしるし,21300,380,4.174,-9.232,12,88,1,24,55,11,4,3,2
97,生後6ヶ月,50600,370,3.265,172.694,19,81,0,11,42,17,10,14,6
98,ベビーバス,49200,370,3.284,-27.948,21,79,1,11,39,17,12,14,6
99,自閉症 赤ちゃん,38500,370,3.545,47.953,22,78,1,12,42,14,10,15,6
100,トコちゃんベルト,38000,370,3.526,-52.72,9,91,0,13,47,21,9,7,3
101,陣痛タクシー,35300,370,3.611,-42.667,14,86,0,18,57,13,4,6,2
102,5種混合ワクチン,35000,370,3.604,59.595,17,83,0,14,41,20,11,10,4
103,授乳中 カフェイン,23300,370,4.041,3.02,5,95,0,20,64,12,1,2,1
104,ハイローチェア,36900,360,3.536,7.261,17,83,0,15,53,15,7,8,2
105,哺乳瓶 消毒 いつまでやる,35100,360,3.588,58.499,11,89,0,14,57,16,5,6,2
106,ピュアレーン,26300,360,3.885,-2.265,8,92,0,21,57,13,4,4,1
107,前駆陣痛 いつから,19800,360,4.174,-33.875,8,92,0,25,56,9,3,6,1
108,新生児 うんちの回数,19700,360,4.176,4.333,11,89,0,22,60,9,3,4,2
109,産後ケアホテル,52200,350,3.172,-18.55,12,88,1,15,39,17,12,12,4
110,マタニティフォト,50100,350,3.223,-67.827,25,75,2,24,43,16,8,5,2
111,産後 生理再開,36100,350,3.518,46.414,7,93,0,17,62,14,2,3,2
112,木曽路 お食い初め,33000,350,3.635,66.184,21,79,0,13,45,10,9,17,6
113,4ヶ月 赤ちゃん,31500,350,3.674,114.401,17,83,1,9,33,15,14,22,6
114,破水からの出産 時間,26200,350,3.857,-4.844,33,67,1,14,35,13,14,18,5
115,男の子 名前ランキング 2024,51300,340,3.162,-96.415,29,71,2,17,39,15,10,13,4
116,ベビーカー ランキング,45200,340,3.294,-58.317,28,72,0,13,33,13,16,19,6
117,出産育児一時金,44000,340,3.327,-16.025,30,70,1,23,45,15,8,5,3
118,メンタルリープ,33100,340,3.579,52.56,11,89,0,13,66,13,2,4,2
119,バンボ いつから,29400,340,3.709,108.884,9,91,0,15,56,16,4,7,2
120,寝返り 何ヶ月,29100,340,3.754,108.749,19,81,0,13,41,13,10,18,5
121,パンパース 新生児,26600,340,3.829,4.43,18,82,0,15,43,12,12,14,4
122,赤ちゃん 成長過程,50400,330,3.18,39.372,31,69,1,13,33,10,10,22,11
123,臨月,36800,330,3.471,-28.97,33,67,2,19,44,13,8,9,5
124,お宮参り 服装 祖母,36000,330,3.559,22.783,11,89,0,1,2,3,31,52,11
125,内祝い 出産,26700,330,3.774,17.954,16,84,0,16,54,13,6,8,3
126,コニー,45700,320,3.21,34.526,18,82,2,15,48,13,8,8,6
127,粉ミルク,38700,320,3.383,3.889,24,76,1,11,36,19,13,13,7
128,首がすわる時期,36900,320,3.439,32.966,29,71,1,13,40,16,10,15,5
129,2ヶ月 赤ちゃん,24000,320,3.86,52.95,17,83,0,9,34,13,14,22,8
130,産休手当 いつもらえる,23700,320,3.882,-5.057,11,89,0,25,57,10,4,3,1
131,後陣痛,15900,320,4.258,-2.811,6,94,1,21,56,13,3,4,2
132,3ヶ月 赤ちゃん,29000,310,3.669,79.822,18,82,0,9,35,13,13,22,8
133,ロタウイルス ワクチン,24500,310,3.804,60.094,17,83,0,12,39,24,11,10,4
134,おしゃぶり いつから,22100,310,3.922,13.218,21,79,0,22,48,12,6,9,3
135,生後2ヶ月 体重,19800,310,4.007,52.174,13,87,0,18,53,13,6,8,2
136,新生児 ゲップ 出させ方,15900,310,4.25,0.312,23,77,0,18,58,13,4,5,2
137,ハーフバースデー,45000,300,3.178,157.181,16,84,1,13,44,16,9,12,5
138,人見知り いつから,37400,300,3.372,114.688,10,90,1,13,41,14,10,16,5
139,臨月 いつから,36800,300,3.379,-47.877,17,83,1,21,58,11,3,4,2
140,哺乳瓶,36000,300,3.382,4.089,21,79,2,12,34,19,14,14,5
141,生後7ヶ月,34800,300,3.407,203.754,16,84,0,12,47,17,8,11,5
142,ほほえみ ミルク,33800,300,3.46,13.42,20,80,0,15,48,17,9,8,3
143,初節句 男の子,31100,300,3.574,122.885,25,75,0,10,27,9,17,28,9
144,陣痛 間隔,18300,300,4.061,-6.288,27,73,1,20,49,13,6,9,2
145,子宮頚管長,16300,300,4.17,-80.707,9,91,0,21,54,12,4,6,3
146,ギャップ ベビー,35000,290,3.39,42.556,8,92,0,17,44,11,10,14,4
147,産後うつ,32400,290,3.479,9.915,21,79,2,17,40,16,10,10,5
148,妊娠中期,26100,290,3.681,-136.199,10,90,1,22,54,13,4,4,2
149,産褥ショーツ,26000,290,3.681,-54.919,9,91,0,20,53,13,6,6,2
150,シムス位,23100,290,3.813,-80.595,11,89,2,28,43,14,7,4,2
151,高位破水,16800,290,4.137,-10.019,11,89,0,24,52,11,5,6,2
152,gap ベビー,44100,280,3.15,34.35,7,93,0,19,50,9,7,11,4
153,nst,40300,280,3.227,-20.291,33,67,1,16,25,17,18,14,9
154,ムーニー オムツ,39900,280,3.203,30.985,16,84,0,14,50,15,7,10,4
155,赤ちゃん 歯 生え始め,38600,280,3.233,130.816,21,79,0,14,49,15,7,11,4
156,チャイルドシート 新生児,35600,280,3.332,-22.311,29,71,0,11,33,11,15,23,7
157,名付け 姓名判断,28900,280,3.516,-52.169,12,88,0,12,55,19,6,6,2
158,授乳中 アルコール,25700,280,3.643,21.272,16,84,0,21,53,15,4,4,3
159,新生児 ウンチ出ない,18700,280,3.97,6.139,25,75,0,19,58,14,3,4,2
160,新生児 しゃっくり 対処法,15200,280,4.19,3.618,22,78,0,19,58,13,3,5,2
161,マタニティ 服,41700,270,3.139,-146.804,11,89,0,11,40,15,13,16,5
162,離乳食 卵 進め方,39000,270,3.168,198.475,4,96,0,13,63,16,2,4,2
163,夜泣き いつから,35400,270,3.289,77.709,20,80,0,15,57,15,4,6,3
164,ベビーカー a型 b型 違い,35000,270,3.312,3.834,24,76,0,17,49,15,6,9,4
165,ママアンドキッズ,31500,270,3.397,28.67,9,91,0,13,57,21,4,3,2
166,お宮参り レンタル,22500,270,3.801,9.822,8,92,0,19,44,8,9,15,5
167,ハンドリガード,21800,270,3.782,66.254,12,88,1,15,50,13,7,10,4
168,h&m ベビー,35600,260,3.261,9.337,4,96,0,20,59,9,4,6,2
169,搾乳機,34700,260,3.266,0.81,41,59,3,15,40,18,11,8,5
170,アロベビー,30900,260,3.396,34.745,11,89,0,17,57,15,5,4,2
171,産後うつ 症状,28800,260,3.457,22.084,22,78,1,16,38,16,11,12,6
172,バウンサー 新生児,28700,260,3.483,5.808,26,74,0,10,35,13,15,20,7
173,赤ちゃん 姓名判断,27800,260,3.501,-43.606,15,85,0,11,52,16,6,11,4
174,お宮参り 着物,23700,260,3.696,18.425,12,88,0,10,25,8,18,30,9
175,産後 骨盤矯正,20000,260,3.823,4.239,8,92,0,18,59,15,3,3,2
176,クーイングとは,19900,260,3.859,43.604,14,86,2,18,43,14,9,10,4
177,授乳ケープ,18500,260,3.912,13.671,9,91,0,16,55,14,6,7,2
178,新生児 泣き止まない,18400,260,3.941,5.037,26,74,0,17,47,13,8,12,3
179,新生児 睡眠時間,14600,260,4.162,4.462,21,79,0,19,61,12,2,4,2
180,生後2週間 ミルクの量,13400,260,4.251,9.037,10,90,0,24,55,10,5,5,1
181,新生児 吐き戻し,12400,260,4.323,6.827,19,81,0,23,59,10,3,4,1
182,ベビー服,33700,250,3.315,26.286,12,88,1,17,32,10,15,18,7
183,ずりばい いつから,33500,250,3.285,148.862,14,86,0,15,56,14,5,7,3
184,授乳クッション,26600,250,3.52,-25.118,11,89,0,15,52,17,7,7,2
185,ベビー布団,23000,250,3.658,-54.03,13,87,0,10,34,12,16,22,6
186,お食い初めセット,22200,250,3.739,75.642,14,86,0,14,33,9,13,22,9
187,会陰マッサージ,21800,250,3.73,-37.798,16,84,1,21,48,14,7,5,4
188,ミルク 作ってから何時間,19500,250,3.81,20.253,9,91,0,20,67,9,1,2,1
