順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,未熟児 体重,17200,310,4.772,0,26,74,2,13,28,10,16,21,10
2,お宮参り,159000,290,2.512,22.454,29,71,1,11,28,11,15,24,10
3,帝王切開,126000,270,2.623,-1.513,31,69,2,11,29,21,15,14,8
4,お食い初め,167000,260,2.329,59.069,34,66,1,11,30,12,14,22,10
5,新生児,81800,210,2.858,0.943,27,73,1,11,30,12,13,22,11
6,ベビーベッド,117000,200,2.412,-1.89,26,74,0,10,32,12,16,22,8
7,nicu,37700,200,3.538,0.004,33,67,3,13,24,18,15,17,10
8,前駆陣痛,79800,190,2.751,-1.389,18,82,0,20,50,11,8,9,2
9,切迫早産,65200,190,2.963,-9.803,26,74,1,22,38,16,11,9,3
10,出生届,79500,180,2.685,1.295,43,57,1,12,40,16,10,12,9
11,寝返り いつから,94600,170,2.452,103.196,18,82,0,13,43,14,9,16,5
12,出産手当金,91300,160,2.415,8.967,24,76,0,17,46,15,10,8,4
13,生後1ヶ月,77800,160,2.574,35.325,18,82,0,12,45,14,10,14,5
14,出産一時金,78100,150,2.525,-1.725,28,72,0,16,44,19,11,7,3
15,乳児湿疹,67100,150,2.678,53.275,15,85,0,17,49,14,8,9,3
16,アカチャンホンポ,85200,140,2.408,-20.703,21,79,1,15,47,15,8,10,4
17,モロー反射,68800,140,2.585,19.421,26,74,3,18,32,16,14,12,5
18,妊娠糖尿病,66800,140,2.596,-27.985,18,82,1,16,41,18,10,10,4
19,生後3ヶ月,61900,140,2.662,87.908,19,81,1,11,44,16,10,13,5
20,低体重出生児,15000,140,4.144,0.004,17,83,3,14,31,20,13,13,6
21,育休手当,79200,130,2.326,67.494,31,69,0,15,43,20,11,8,3
22,生後2ヶ月,74800,130,2.444,64.14,18,82,0,12,45,16,9,13,5
23,胎動 いつから,58400,130,2.66,-81.87,8,92,1,20,54,12,5,6,2
