順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,糖尿病,716000,200,1.703,-0.006,43,57,2,5,8,17,26,21,21
2,bmi 計算 自動,715000,180,1.567,-0.005,30,70,6,18,17,18,18,13,10
3,管理栄養士,106000,180,3.483,0.299,33,67,5,10,12,23,23,14,13
4,bmi,584000,170,1.709,-0.596,31,69,10,21,18,17,15,10,9
5,管理栄養士国家試験,51300,120,3.777,35.997,23,77,3,23,10,18,26,11,9
6,ヘモグロビンa1c,207000,110,2.322,2.15,35,65,1,6,9,19,26,21,18
7,脂質異常症,178000,110,2.464,-0.496,30,70,1,9,12,20,27,18,13
8,カリウムの多い食品,436000,100,1.519,0.371,30,70,1,5,8,14,23,22,27
9,蜂窩織炎,436000,100,1.459,-9.773,28,72,1,7,12,21,24,19,16
10,厚生労働省,381000,100,1.599,1.163,47,53,2,6,9,19,26,22,16
11,血糖値 基準値,379000,100,1.662,-8.221,43,57,1,6,6,13,24,24,26
12,血圧 正常値,365000,100,1.673,-10.118,39,61,6,26,12,16,17,11,12
13,ビタミンd,347000,100,1.753,8.319,30,70,1,6,12,19,24,20,18
14,骨粗鬆症,300000,100,1.871,-7.241,24,76,2,5,5,12,22,25,29
15,アムロジピン,296000,100,1.844,4.119,40,60,0,8,7,14,24,23,24
16,管理栄養士 求人,14400,100,4.85,-16.603,14,86,2,23,19,21,23,8,4
17,日本栄養士会,7600,100,5.508,-1.158,16,84,2,16,17,22,21,13,9
18,栄養士会,5000,100,5.883,-5.041,13,87,0,19,22,26,20,8,5
19,栄養指導 診療報酬,1900,100,6.906,0,28,72,1,7,16,31,25,12,8
20,鉄分の多い食品,367000,90,1.523,-6.125,26,74,2,8,15,24,21,14,16
21,マンジャロ,306000,90,1.672,20.738,30,70,2,16,21,25,21,10,5
22,心不全,296000,80,1.587,6.915,34,66,1,7,11,18,24,19,20
23,ビタミンd 食べ物,277000,80,1.719,26.476,22,78,1,6,11,19,25,20,18
24,低血糖症状,266000,80,1.772,7.788,29,71,2,13,15,20,22,15,13
25,フレイルとは,256000,80,1.827,21.202,35,65,1,4,4,11,20,23,37
26,クレアチニンとは,254000,80,1.835,4.264,42,58,1,5,6,13,21,23,31
27,クローン病,249000,80,1.775,62.919,31,69,3,12,15,20,22,15,13
28,ネフローゼ症候群,133000,80,2.46,33.944,32,68,1,13,14,21,22,15,14
29,脳梗塞,355000,70,1.305,-58.12,40,60,2,7,7,14,24,22,24
30,橋本病,342000,70,1.314,-5.125,25,75,1,7,13,22,25,18,14
31,大腸内視鏡検査,327000,70,1.365,-32.532,34,66,0,2,6,20,28,24,20
32,潰瘍性大腸炎,281000,70,1.536,-19.033,35,65,2,11,16,22,24,15,10
33,血糖値,235000,70,1.796,0.531,45,55,1,4,7,13,21,24,30
34,hba1c,225000,70,1.826,-36.983,40,60,0,8,11,19,26,20,16
35,糖尿病の食事,221000,70,1.808,4.297,32,68,1,2,4,13,26,26,28
36,ジョブメドレー,180000,70,1.943,7.047,25,75,1,11,17,26,26,13,6
37,褥瘡,137000,70,2.353,63.034,31,69,2,11,11,18,25,20,13
38,生活習慣病管理料,57000,70,3.172,-73.309,31,69,1,3,9,22,31,21,13
39,経管栄養,48000,70,3.32,-35.004,23,77,1,15,14,21,24,16,9
40,特定保健指導,26800,70,3.81,-8.165,39,61,1,9,12,31,27,14,6
41,グリム基準,5800,70,5.361,-6.26,26,74,1,21,22,26,20,7,3
42,デエビゴ,283000,60,1.481,19.74,34,66,1,9,12,20,24,18,16
43,ビタミンc,278000,60,1.341,-19.582,28,72,4,10,14,23,22,14,13
44,いらすとや,267000,60,1.443,7.949,38,62,8,16,19,22,18,10,7
45,腎臓に良い食べ物,264000,60,1.495,20.325,36,64,0,2,6,15,24,24,29
46,中性脂肪を下げるには,264000,60,1.418,2.38,36,64,0,2,7,17,27,24,23
47,心房細動,244000,60,1.54,-2.293,39,61,1,7,8,14,21,22,27
48,酸化マグネシウム,239000,60,1.619,-4.036,29,71,2,7,12,17,20,18,24
49,メトホルミン,235000,60,1.589,47.578,33,67,0,6,11,23,30,18,12
50,グループホーム,225000,60,1.604,0.459,36,64,1,4,6,15,28,27,19
51,リベルサス,219000,60,1.706,0.986,30,70,1,12,19,25,24,12,7
52,ランソプラゾール,187000,60,1.765,16.052,32,68,1,10,10,17,23,20,19
53,ビタミンb1,174000,60,1.985,-0.571,34,66,2,8,12,17,21,19,21
54,食物繊維の多い食品,173000,60,1.857,-7.011,35,65,3,12,15,19,21,15,15
55,egfr,150000,60,2.053,0.005,37,63,0,6,8,16,25,23,22
56,モサプリドクエン酸塩錠5mg,148000,60,2.049,86.279,29,71,1,7,10,18,22,20,22
57,bmi 計算,127000,60,2.143,1.106,25,75,17,25,17,17,12,6,6
58,ヘモグロビン,113000,60,2.329,32.837,35,65,3,8,10,19,22,18,20
59,メイバランス,99500,60,2.511,-16.353,26,74,1,7,11,18,26,21,16
60,慢性腎臓病,77800,60,2.656,-24.843,37,63,1,7,7,15,24,23,23
61,食事摂取基準 2025,8600,60,4.858,91.217,17,83,2,20,19,22,17,11,9
62,glim基準,6300,60,5.216,-28.895,37,63,1,13,19,26,22,13,6
63,富澤商店,278000,50,1.3,61.199,17,83,3,8,12,21,25,17,14
64,オートミール,269000,50,1.339,41.334,31,69,2,7,13,21,24,17,16
65,ldlコレステロール,267000,50,1.307,20.766,36,64,1,9,13,18,24,19,16
66,シェーグレン症候群,265000,50,1.361,84.994,21,79,1,7,9,17,26,23,17
67,誤嚥性肺炎,264000,50,1.359,3.417,35,65,1,6,8,14,26,23,22
68,かぼちゃサラダ,257000,50,1.382,-49.224,12,88,1,5,12,20,25,19,18
69,甲状腺機能亢進症,256000,50,1.333,54.271,23,77,2,8,11,23,27,17,12
70,介護保険,254000,50,1.389,-43.825,39,61,1,3,5,14,28,26,23
71,カンピロバクター,239000,50,1.348,34.771,39,61,3,14,17,21,22,14,9
72,ビタミンb12,232000,50,1.542,-17.367,32,68,1,5,9,16,24,21,24
73,血糖値 下げる方法,226000,50,1.447,-53.526,42,58,1,4,8,15,27,24,21
74,変形性膝関節症,219000,50,1.557,17.918,28,72,1,6,6,14,25,25,23
75,ファモチジン,208000,50,1.544,39.639,29,71,1,10,14,22,24,16,13
76,ヨーグルト,205000,50,1.535,-12.347,30,70,3,7,10,16,20,20,24
77,mctオイル,191000,50,1.58,15.637,30,70,1,4,11,20,27,20,17
78,高血圧 症状,189000,50,1.515,-25.272,35,65,2,8,9,21,27,17,16
79,mri,183000,50,1.663,-27.297,39,61,4,8,12,21,21,15,19
80,血液検査 項目 一覧,182000,50,1.78,4.028,33,67,1,7,10,14,21,20,27
81,食中毒,179000,50,1.718,8.545,41,59,4,10,13,21,24,16,12
82,血圧,166000,50,1.823,-5.823,42,58,2,8,12,20,22,16,20
83,糖尿病 診断基準,157000,50,1.917,-21.462,41,59,1,7,10,14,22,22,24
84,脂肪肝,147000,50,1.936,-47.179,37,63,1,8,15,22,25,16,13
85,高血圧,145000,50,1.906,14.86,44,56,2,7,9,19,26,19,18
86,横紋筋融解症,117000,50,2.151,21.822,32,68,1,10,11,16,21,21,20
87,空腹時血糖値,106000,50,2.137,12.869,38,62,1,8,12,22,27,19,11
88,フォシーガ,104000,50,2.253,6.911,34,66,0,9,14,23,25,16,13
89,バイアスピリン,103000,50,2.299,71.089,36,64,0,13,12,16,20,18,21
90,リスペリドン,99300,50,2.258,9.499,28,72,1,13,15,23,24,16,8
91,エンレスト,88800,50,2.44,8.037,37,63,0,12,15,23,24,14,12
92,オゼンピック,70500,50,2.543,27.841,30,70,1,10,17,25,25,14,8
93,スピロノラクトン,66600,50,2.605,16.677,26,74,0,17,16,22,23,12,10
94,糖尿病 食事療法,64100,50,2.81,19.124,30,70,0,4,5,13,27,26,25
95,フレイル,53200,50,3.012,1.687,42,58,2,9,9,17,21,17,25
96,エンシュア,52100,50,2.844,26.574,28,72,1,10,12,17,24,21,15
97,診療報酬改定 2024,50200,50,3.001,-45.719,34,66,0,6,13,27,29,16,9
98,pfcバランス,49500,50,2.884,24.973,41,59,4,19,23,24,18,8,4
99,医療dx推進体制整備加算,47700,50,2.949,-30.648,39,61,1,5,12,26,28,18,10
100,ckd,44600,50,2.996,2.994,53,47,1,12,13,21,25,16,12
101,管理栄養士 年収,21700,50,3.703,-12.576,34,66,17,18,13,21,19,7,5
102,リフィーディング症候群,19100,50,3.93,-8.137,35,65,1,30,24,22,14,6,3
103,食事バランスガイド,13200,50,4.209,-2.922,26,74,7,27,13,17,17,10,9
104,食品成分表,9500,50,4.674,7.709,20,80,6,20,9,17,17,15,16
105,日本人の食事摂取基準2025,5100,50,5.169,130.124,22,78,1,16,14,22,22,14,11
106,病態栄養学会,2900,50,5.832,-56.081,22,78,0,14,23,30,20,8,5
107,isfj,223000,40,1.361,10.092,23,77,14,44,22,12,6,1,1
108,キャンバ,220000,40,1.341,27.538,33,67,6,11,17,27,23,10,6
109,社会福祉士,213000,40,1.356,-37.43,30,70,3,8,13,26,28,13,9
110,コレステロール値が高い原因,212000,40,1.398,14.998,22,78,1,4,8,18,30,22,17
111,血尿,211000,40,1.328,12.894,35,65,2,6,10,20,26,18,18
112,お弁当のおかずのレシピ,210000,40,1.336,64.986,13,87,2,5,12,35,29,10,7
113,お盆,206000,40,1.388,-25.453,43,57,3,10,13,17,20,18,19
114,アズノール軟膏,195000,40,1.452,-18.576,27,73,0,6,13,19,21,20,21
115,プレドニン,192000,40,1.387,-21.733,28,72,1,8,12,21,24,18,16
116,チュチュアンナ,191000,40,1.353,62.425,10,90,7,26,22,21,15,6,3
117,タリージェ,188000,40,1.521,26.887,35,65,0,5,9,19,25,20,22
118,エクセル プルダウン,188000,40,1.338,4.556,61,39,0,5,14,26,30,15,10
119,限度額適用認定証,185000,40,1.471,4.48,30,70,0,6,18,21,25,19,11
120,イラスト,185000,40,1.338,12.006,35,65,10,8,11,21,16,13,21
121,肺気腫,183000,40,1.327,2.059,42,58,1,6,8,16,22,20,27
122,ドンペリドン錠10mg,181000,40,1.328,16.929,27,73,1,8,14,24,23,16,14
123,カルシウムの多い食品,179000,40,1.549,46.192,25,75,2,7,10,18,23,20,20
124,尿酸値 高い 原因,179000,40,1.407,-23.48,43,57,0,5,11,18,25,21,20
125,特別養護老人ホーム,177000,40,1.446,-18.699,37,63,1,5,6,13,28,27,20
126,便秘,176000,40,1.487,-1.516,35,65,3,7,11,16,19,17,27
127,障害年金,176000,40,1.417,-1.845,40,60,1,5,11,20,29,22,12
128,タケキャブ錠10mg,175000,40,1.439,-13.097,36,64,0,2,8,16,23,23,28
129,hpvワクチン,172000,40,1.596,0.881,26,74,2,17,9,21,25,13,13
130,消化器内科,170000,40,1.363,-6.02,32,68,1,8,15,24,25,15,12
131,半夏厚朴湯,169000,40,1.451,30.82,24,76,1,6,13,23,26,17,14
132,ウサギオンライン,168000,40,1.609,-29.171,7,93,3,27,28,19,14,6,3
133,介護福祉士,166000,40,1.47,30.77,34,66,2,6,11,24,30,16,11
134,ロスバスタチン錠2.5mg,163000,40,1.585,38.084,34,66,0,4,6,12,25,26,27
135,中性脂肪,162000,40,1.677,-5.054,38,62,1,7,10,18,23,19,22
136,脱水症状,161000,40,1.547,11.342,31,69,3,13,16,20,22,15,11
137,高血圧 基準 2024,160000,40,1.68,-39.025,50,50,1,4,6,14,24,27,24
138,医療脱毛,160000,40,1.527,4.292,24,76,6,28,22,22,15,4,3
139,封筒 書き方,159000,40,1.667,25.153,52,48,7,33,25,17,10,4,4
140,ラカント,158000,40,1.558,1.887,21,79,2,7,13,19,25,19,15
141,日本学生支援機構,158000,40,1.435,69.043,37,63,6,16,16,24,27,7,4
