順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,adhd,846000,4700,1.819,0,37,63,5,11,19,27,22,10,6
2,発達障害とは,504000,3400,2.024,-0.003,31,69,2,4,12,25,25,18,14
3,自閉症スペクトラム,379000,3400,2.306,-0.001,27,73,2,8,18,26,21,15,10
4,アスペルガー症候群,400000,2200,1.825,0.001,33,67,3,11,16,23,20,14,13
5,adhd 診断テスト,320000,1800,1.868,0,28,72,11,18,21,24,16,6,4
6,asd,294000,1700,1.867,0.001,30,70,3,13,22,28,20,9,5
7,asdとは,302000,1600,1.799,0.001,32,68,3,13,18,23,22,13,8
8,adhd 大人特徴,207000,1300,1.966,0.022,21,79,1,11,20,26,24,12,6
9,自閉症スペクトラム 軽度 特徴,164000,1200,2.127,0.001,20,80,1,4,17,27,21,18,12
10,発達障害とは 大人特徴,185000,1100,1.933,-0.001,30,70,1,6,12,22,29,18,12
11,学習障害,79700,1100,2.725,0,23,77,3,7,17,34,20,11,8
12,療育手帳,126000,940,2.098,-0.003,30,70,1,6,19,31,23,13,7
13,注意欠陥障害 大人症状,13600,940,4.327,0,15,85,1,7,12,29,31,14,6
14,精神障害者保健福祉手帳,124000,890,2.071,-0.14,29,71,1,7,14,26,28,15,9
15,知的障害,149000,880,1.884,-0.05,33,67,4,10,15,24,23,14,10
16,広汎性発達障害,51900,840,2.891,-0.001,24,76,2,11,17,25,23,14,8
17,adhd 子供,70100,770,2.5,0.007,14,86,1,3,29,38,12,9,8
18,パーソナリティ障害,139000,750,1.795,0.001,22,78,3,11,16,24,25,14,7
19,発達障害,111000,700,1.948,-0.001,33,67,3,8,17,26,22,13,11
20,高次脳機能障害,124000,680,1.835,0.001,30,70,1,10,12,21,25,18,13
21,放課後デイサービス,93000,670,2.073,41.147,25,75,2,6,19,34,21,12,6
22,自閉症,109000,610,1.852,-0.001,36,64,5,14,23,24,15,10,9
23,自立支援医療制度,101000,610,1.9,-3.655,29,71,1,9,14,24,29,15,8
24,コンサータ,84500,610,2.094,-0.001,33,67,3,14,19,27,22,10,5
25,強度行動障害,89700,580,1.97,0.004,23,77,1,7,18,29,25,13,7
26,特別児童扶養手当,70700,580,2.176,-12.796,24,76,1,4,26,44,17,5,3
27,リスペリドン,99300,540,1.801,10.974,28,72,1,13,15,23,24,16,8
28,放課後等デイサービス,71900,520,2.079,-38.604,30,70,1,8,18,32,21,13,7
29,多動症とは,78000,500,1.979,-0.001,35,65,7,11,21,23,18,13,7
30,注意欠如多動性障害,6400,490,4.444,0,31,69,3,15,16,24,22,13,7
31,エビリファイ,83000,480,1.855,-0.002,29,71,2,10,16,28,25,13,6
32,就労継続支援b型,73700,460,1.924,-4.03,37,63,1,9,12,26,28,16,8
33,インチュニブ,39300,440,2.513,-2.719,31,69,2,10,18,31,23,11,5
34,解離性障害,79600,430,1.807,11.888,28,72,4,14,17,23,23,12,7
35,注意喚起 意味,79500,430,1.782,0,45,55,1,3,7,21,32,23,13
36,知的障害と発達障害違い,52000,430,2.233,0.002,26,74,2,9,16,23,23,16,11
37,構音障害,74900,420,1.843,0.001,23,77,2,12,15,24,22,16,9
38,介護福祉士国家試験 2025,74100,420,1.848,13.294,28,72,1,9,11,23,31,17,8
39,療育とは,69000,410,1.904,-0.02,23,77,1,7,24,27,17,16,8
40,adhd 症状,57300,410,2.096,8.522,32,68,8,14,12,22,22,13,9
41,アリピプラゾール,72200,400,1.816,-0.529,30,70,2,13,16,26,25,12,6
42,adhd 薬,42300,380,2.292,1.921,30,70,3,15,20,28,21,8,5
43,アスペルガー 特徴,60100,360,1.91,0.006,26,74,2,6,13,25,28,16,10
44,ld,63800,350,1.85,0.002,30,70,2,6,9,19,22,20,22
45,大人の発達障害,49900,350,2.042,0.619,22,78,1,6,14,25,30,15,9
46,発達障害 子供 特徴,42300,350,2.233,-0.066,21,79,1,4,23,33,14,14,11
47,リスパダール,61500,340,1.82,0.845,27,73,1,11,16,27,24,14,7
48,ノーマライゼーションとは,45200,340,2.143,-4.016,32,68,10,20,9,19,22,13,7
