順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,突発性発疹,309000,12700,3.1,0.003,17,83,0,9,44,20,9,13,5
2,手足口病 症状 初期 子供,287000,7100,2.563,-46.136,17,83,0,4,42,33,5,9,7
3,手足口病 登園目安,296000,6700,2.471,-34.968,14,86,0,5,41,33,8,8,5
4,ヘルパンギーナ,268000,5400,2.381,-19.877,26,74,1,9,33,26,12,12,7
5,プティマイン,228000,4900,2.447,-4.724,7,93,0,10,50,22,6,9,3
6,アデノウイルス 子供,173000,4800,2.68,0.334,17,83,0,6,39,29,7,13,6
7,バースデイ オンライン,181000,3800,2.424,-8.248,9,91,0,11,54,21,6,6,2
8,rsウイルス 子供,124000,3700,2.778,0.341,19,81,0,9,40,21,9,14,7
9,おかあさんといっしょ コンサート,125000,3500,2.701,-7.269,25,75,1,7,49,24,6,9,4
10,ヘルパンギーナ 症状 子供,132000,3400,2.603,-20.379,16,84,0,6,41,29,6,11,7
11,中耳炎 子供,123000,3200,2.605,5.184,23,77,0,5,41,35,6,8,5
12,離乳食 進め方 表,116000,3100,2.682,-43.716,8,92,0,12,44,17,9,13,5
13,熱性痙攣 対処法,31200,3100,3.992,0,22,78,0,14,48,20,7,7,4
14,クループ症候群,108000,3000,2.683,2.533,19,81,1,11,39,25,10,9,5
15,離乳食,122000,2600,2.464,-43.109,18,82,1,9,33,17,14,19,7
16,熱性痙攣 救急車 呼ぶ目安,13700,2400,4.528,0.001,18,82,0,14,51,20,6,6,3
17,手足口病 潜伏期間,108000,2200,2.372,-17.907,15,85,1,7,41,30,8,9,4
18,寝返り いつから,99200,2200,2.491,-34.38,18,82,0,13,43,14,9,16,5
19,和光堂 ベビーフード,59400,2200,3.002,-38.617,12,88,0,11,56,18,5,7,3
20,インフルエンザ脳症,89200,2100,2.513,10.777,25,75,2,11,34,29,13,7,4
21,夜驚症,97000,2000,2.393,18.751,21,79,1,8,36,29,12,9,5
22,カウプ指数,77200,2000,2.628,-4.049,12,88,1,15,47,25,5,4,3
23,#8000,56200,2000,2.928,0.011,16,84,0,11,53,25,4,4,3
24,熱性けいれん 何歳まで,20700,2000,3.951,0,17,83,1,7,42,30,8,8,4
25,イヤイヤ期 いつから,55100,1900,2.906,12.919,27,73,1,13,48,16,7,11,4
26,フォローアップミルク,50700,1900,3.008,-12.052,10,90,1,15,52,20,5,5,2
27,ダイアップ坐剤,26200,1900,3.667,0.557,23,77,0,10,28,27,18,12,5
28,バースデー オンライン,88900,1800,2.38,1.337,7,93,0,11,50,24,6,7,2
29,アンパンマンミュージアム 神戸,80600,1800,2.475,20.077,25,75,2,13,46,19,7,9,4
30,ジュニアシート いつから,78400,1800,2.496,19.25,25,75,0,7,49,24,6,10,4
31,乳児湿疹,68100,1800,2.644,-45.091,15,85,0,17,50,14,7,9,3
32,アプレレクール,80500,1700,2.44,6.592,5,95,0,9,57,23,3,5,3
