順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,甲状腺機能低下症,539000,650,2.328,0.017,24,76,1,6,10,16,21,20,26
2,甲状腺の病気,349000,560,2.589,-0.111,26,74,1,3,7,18,29,22,20
3,バセドウ病,457000,520,2.212,-0.002,32,68,3,13,16,23,24,13,8
4,橋本病,342000,490,2.462,-0.015,25,75,1,7,13,22,25,18,14
5,甲状腺,189000,430,2.93,0,33,67,2,7,12,19,24,18,18
6,甲状腺機能亢進症,256000,320,2.328,0.002,23,77,2,8,11,23,27,17,12
7,自律神経失調症 症状,567000,300,1.478,-2.178,30,70,3,11,16,22,21,14,13
8,膠原病,533000,280,1.46,-0.001,32,68,1,6,11,19,24,19,20
9,更年期障害症状,516000,270,1.393,-5.887,21,79,1,2,6,37,42,7,5
10,過敏性腸症候群,403000,200,1.381,11.34,25,75,7,15,19,24,19,10,6
11,狭心症,358000,200,1.528,-1.318,38,62,2,8,11,18,24,18,19
12,蕁麻疹 原因,380000,190,1.4,-5.864,31,69,3,8,16,26,22,14,11
13,気管支炎 症状,342000,170,1.397,0.077,30,70,2,10,20,25,18,13,12
14,蕁麻疹,248000,170,1.716,-3.517,31,69,4,13,21,25,18,10,9
15,シェーグレン症候群,265000,160,1.628,4.765,21,79,1,7,9,17,26,23,17
16,扁桃炎,262000,160,1.579,-0.188,34,66,5,24,25,21,15,6,4
17,バセドウ病 初期症状,103000,160,2.529,-0.542,18,82,2,11,17,23,24,13,10
18,自己免疫疾患,79400,160,2.783,-0.008,23,77,3,8,13,23,24,16,13
19,心不全,296000,150,1.425,-1.516,34,66,1,7,11,18,24,19,20
20,胃がん 初期症状,295000,150,1.436,-17.402,33,67,1,6,13,20,24,18,18
21,子宮内膜症,252000,150,1.56,-3.598,15,85,4,19,24,25,15,8,5
22,悪性リンパ腫,240000,150,1.653,0.476,33,67,2,7,11,21,25,18,16
23,膠原病 初期症状,213000,150,1.808,-0.195,20,80,0,2,6,16,27,24,25
24,甲状腺がん 症状,102000,150,2.501,-0.001,24,76,1,4,7,18,29,23,18
25,甲状腺 腫れ,90800,150,2.622,-0.444,17,83,2,8,12,23,28,15,12
26,hsp,258000,130,1.401,-2.062,27,73,7,15,21,26,19,8,4
27,橋本病 症状,69600,130,2.696,-0.917,21,79,1,6,13,20,26,19,15
28,咽頭炎,209000,120,1.499,-0.008,30,70,4,13,20,24,20,11,8
29,脂質異常症,178000,120,1.678,-0.001,30,70,1,9,12,20,27,18,13
30,自律神経 乱れ 症状,199000,110,1.53,-3.702,25,75,2,10,16,23,22,15,12
31,胃潰瘍 症状,196000,110,1.504,-3.924,34,66,2,13,18,21,20,13,13
32,リンパ腺の腫れ,111000,110,2.045,-0.006,33,67,3,10,15,25,24,12,11
33,アトピー性皮膚炎,188000,100,1.43,-14.647,30,70,3,10,16,24,23,13,11
34,ステロイド,184000,100,1.481,-21.809,49,51,4,11,13,17,18,16,21
35,卵巣嚢腫,175000,100,1.507,0.541,15,85,1,10,17,24,23,14,11
