順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,白血病 初期症状,174000,13100,3.194,0,27,73,5,14,17,22,20,11,11
2,白血球の数値が高い,274000,8300,2.272,-0.001,30,70,1,9,15,22,24,16,13
3,白血病 生存率,36300,6500,4.07,0,43,57,7,15,15,20,18,12,13
4,白血球の数値が低い,190000,6200,2.361,-0.001,26,74,1,5,9,20,29,20,16
5,悪性リンパ腫,240000,6000,2.082,0.001,33,67,2,7,11,21,25,18,16
6,白血球,65100,4100,3.025,0,35,65,4,11,14,22,19,14,16
7,急性骨髄性白血病,43000,3600,3.313,0.022,32,68,3,13,13,19,21,16,15
8,白血病 原因,24600,3400,3.813,0,35,65,6,16,15,20,18,11,14
9,白血病 治療法,13200,3100,4.348,0.001,37,63,3,8,10,18,22,18,21
10,白血病 血液検査 数値,23500,3000,3.704,0.001,25,75,1,9,17,24,21,14,14
11,骨髄異形成症候群,55800,2700,2.776,0.008,32,68,1,7,10,18,22,21,21
12,血小板数値が低い,99600,2600,2.156,-0.005,29,71,1,4,8,17,24,21,25
13,多発性骨髄腫,92600,2300,2.113,0.002,33,67,1,8,9,16,23,22,21
14,白血球 正常値,56900,2300,2.579,0,26,74,2,16,14,19,20,15,14
15,白血病 あざ 特徴,20000,2300,3.621,0,16,84,6,16,19,25,19,8,7
16,リンパ腫,91300,2100,2.03,0,38,62,1,5,8,17,23,22,24
17,再生不良性貧血,48800,2100,2.636,-0.001,26,74,2,14,14,21,21,15,13
18,抗がん剤 副作用,93800,1900,1.899,2.326,29,71,1,6,7,17,24,21,24
19,悪性リンパ腫 症状,87900,1900,1.974,0.939,28,72,2,7,11,19,25,19,17
20,抗がん剤治療,93100,1800,1.87,1.225,39,61,1,3,7,17,24,22,26
21,血小板,55000,1700,2.313,0.003,34,66,4,9,11,20,20,16,20
22,赤血球,51800,1700,2.383,0,37,63,6,10,11,23,19,14,17
23,急性白血病,22600,1700,3.167,0.009,40,60,3,12,16,24,20,13,12
24,骨髄移植,16500,1500,3.417,0.046,37,63,3,13,15,19,19,18,13
25,赤血球 少ない 原因,70800,1400,1.895,-0.003,33,67,0,4,8,17,25,22,24
26,慢性骨髄性白血病,19700,1400,3.132,0.092,31,69,2,16,17,19,20,14,12
27,白血病 症状,9200,1400,3.877,0.001,33,67,9,25,20,19,13,6,8
28,骨髄,32700,1300,2.593,0.007,37,63,5,10,11,19,21,17,17
29,急性リンパ性白血病,14100,1300,3.416,0.077,33,67,4,18,16,22,19,12,9
30,白血病とは,7900,1300,3.955,0,39,61,15,32,16,16,10,4,7
31,悪性リンパ腫 生存率,57500,1200,1.907,0.396,37,63,3,6,9,18,24,20,20
32,白血病 白血球数,7400,1200,3.943,0,31,69,3,20,20,23,18,9,7
33,血友病とは,54400,1100,1.856,-0.002,27,73,2,13,15,24,23,13,10
34,骨髄バンク,49200,1100,2.013,0.005,33,67,3,14,17,22,22,12,10
35,造血幹細胞移植,13800,1100,3.27,4.015,33,67,3,15,14,19,21,17,11
36,白血病 遺伝,6400,1000,3.921,0,27,73,3,14,23,25,19,10,6
37,骨肉腫,43900,940,1.934,0.426,42,58,5,13,16,22,18,14,12
38,池江璃花子 白血病,11000,930,3.323,0.053,34,66,4,12,14,18,20,17,15
39,血液のがんの種類,26200,880,2.421,0,31,69,0,2,6,16,25,23,28
40,好中球,29200,870,2.278,15.8,30,70,4,12,12,20,21,16,15
41,白血球 増やす,22900,860,2.493,0,33,67,1,6,11,20,25,20,17
42,白血病 種類,4300,860,4.185,0.001,35,65,4,12,13,18,20,18,15
43,骨髄検査,9300,830,3.391,0.013,30,70,3,8,11,17,23,20,18
44,慢性白血病とは,8600,810,3.418,0.007,27,73,2,7,12,20,26,17,16
45,骨髄移植 ドナーのリスク,14100,800,2.932,0.881,33,67,3,12,16,20,22,15,12
46,白血病 骨髄移植,3000,770,4.427,0.002,33,67,3,9,14,22,18,23,11
47,抗がん剤,37200,750,1.89,5.174,37,63,2,6,8,18,23,19,24
48,急性骨髄性白血病 生存率,6900,740,3.561,0.852,36,64,4,12,14,19,20,15,16
49,急性白血病 初期症状,14300,700,2.745,-0.006,25,75,1,5,12,29,27,14,12
50,リンパ腫 症状 初期,37400,690,1.813,0.001,29,71,1,4,7,16,25,24,23
51,好中球とは,28200,690,2.1,5.874,29,71,3,7,7,16,23,22,22
52,血小板 基準値,22200,690,2.315,10.808,25,75,1,23,14,18,18,13,13
53,免疫抑制剤,30100,680,1.997,18.907,27,73,1,8,10,19,25,20,17
54,血液内科とは,18200,640,2.447,-0.001,28,72,1,7,8,19,25,20,20
55,plt 血液検査,25400,630,2.118,7.105,31,69,1,17,10,15,18,17,22
56,骨髄穿刺,10800,630,2.956,0.024,28,72,3,22,11,17,19,13,15
57,臍帯血移植,7200,630,3.35,16.016,31,69,1,10,13,18,22,22,14
58,好中球 基準値,16700,620,2.513,15.8,26,74,1,20,10,16,19,17,17
59,化学療法とは,28300,600,1.936,1.84,26,74,1,10,8,19,25,20,17
60,溶血性貧血,24000,590,2.067,0.001,29,71,2,18,13,21,21,14,11
61,白血球が少ないとどうなる,15300,590,2.543,0,21,79,1,4,6,16,29,24,20
62,血小板減少性紫斑病,21700,580,2.153,0,24,76,1,9,14,22,23,17,14
63,骨髄性白血病とは,5500,570,3.562,0.008,36,64,2,7,9,13,20,22,27
64,骨髄移植 成功率,4000,550,3.825,8.752,38,62,2,8,12,18,22,23,15
65,骨髄腫,18000,540,2.303,0.001,36,64,1,5,7,16,22,20,29
66,分子標的薬,25700,530,1.913,4.994,32,68,1,6,7,17,25,23,21
67,抗がん剤 脱毛,20400,530,2.148,-3.076,24,76,1,4,7,20,28,21,19
68,血液の病気,8900,530,2.984,0.001,29,71,2,4,7,17,23,19,28
69,急性白血病 生存率,5600,530,3.408,0.004,38,62,2,8,14,25,23,14,14
70,輸血,18400,520,2.231,4.99,31,69,3,15,14,18,20,15,15
71,小児がん,18200,510,2.189,0.001,36,64,5,8,21,25,18,14,9
72,エリスロポエチン,21000,480,2.008,-0.043,32,68,4,32,12,16,17,10,9
73,悪性リンパ腫 初期症状,21300,470,1.979,1.628,23,77,4,8,12,21,25,15,15
