順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,糖尿病 初期症状,727000,78700,2.096,-0.008,37,63,3,9,13,20,24,16,15
2,糖尿病の食事,221000,41800,2.695,0,32,68,1,2,4,13,26,26,28
3,血糖値 基準値,379000,39000,2.074,0.004,43,57,1,6,6,13,24,24,26
4,血糖値,235000,27100,2.201,4.639,45,55,1,4,7,13,21,24,30
5,糖尿病 診断基準,157000,26500,2.562,0,41,59,1,7,10,14,22,22,24
6,糖尿病 治るのか,101000,22500,2.821,0.001,45,55,3,7,11,17,26,19,17
7,血糖値 下げる方法,226000,22400,2.02,0.003,42,58,1,4,8,15,27,24,21
8,ヘモグロビンa1c,207000,20600,2.017,1.676,35,65,1,6,9,19,26,21,18
9,糖尿病 足 壊死 初期症状,70600,16700,2.886,0,40,60,1,3,7,16,27,23,23
10,糖尿病 1型 2型 違い,73600,15800,2.802,0,40,60,3,7,9,16,25,20,20
11,血糖値測定器,108000,13700,2.313,7.716,48,52,1,2,4,10,23,26,34
12,糖尿病 食事療法,64100,13200,2.782,0.002,30,70,0,4,5,13,27,26,25
13,インスリン注射,87900,11900,2.321,1.601,37,63,1,8,10,19,25,19,18
14,空腹時血糖値,106000,10400,1.974,2.254,38,62,1,8,12,22,27,19,11
15,トピファイバー,54300,10300,2.7,0.006,45,55,0,1,3,12,27,28,29
16,糖尿病 予防,54800,8300,2.428,0,48,52,4,12,15,21,22,13,13
17,糖尿病 症状,50900,7900,2.471,0.002,40,60,6,18,18,18,16,11,13
18,糖尿病 合併症,34100,7700,2.872,0.001,32,68,2,14,8,13,22,21,20
19,糖尿病 食事,32500,6900,2.754,0.004,36,64,2,10,18,22,26,11,11
20,糖尿病 薬,21300,6200,3.067,0,46,54,0,6,11,20,30,21,12
21,アカシアポリフェノール,42800,5900,2.405,5.025,40,60,0,1,2,8,22,31,36
22,ヘモグロビンa1c 基準,51600,5000,2.016,6.806,41,59,0,6,6,12,22,28,26
23,糖尿病 原因,35000,5000,2.374,0,43,57,7,19,21,24,17,7,5
24,高血糖症状,46600,4800,2.041,1.175,27,73,1,20,15,20,21,13,10
25,インスリン,40200,4400,2.121,2.177,46,54,7,15,12,17,19,15,15
26,食後血糖値 基準値,32900,4100,2.265,12.53,36,64,0,5,9,16,24,25,21
27,メトグルコ,42200,4000,1.965,5.725,37,63,0,11,13,19,24,18,15
28,2型糖尿病とは,33300,3800,2.15,-0.001,39,61,2,10,8,16,24,22,18
29,血糖値を下げる食品,40100,3700,1.968,1.285,12,88,0,3,6,13,27,28,23
30,ジャディアンス錠10mg,37900,3600,2.013,10.66,44,56,0,5,7,13,21,26,28
31,ヘモグロビンa1c 下げる,30400,3600,2.197,1.08,37,63,0,2,6,15,30,27,20
32,糖尿病の薬,13100,3600,3.077,0,37,63,0,2,3,11,26,28,30
33,リブレ2,27500,3500,2.264,30.1,44,56,0,3,7,17,26,24,23
34,糖尿病 薬 一覧,12300,3500,3.053,0,46,54,0,6,11,21,31,19,12
35,糖尿病薬,11000,3500,3.175,0,40,60,1,5,6,15,29,26,18
36,糖尿病薬 一覧,11000,3400,3.155,0,39,61,0,4,5,12,28,28,23
37,2型糖尿病,30400,3300,2.11,24.489,42,58,3,13,12,16,20,18,18
38,トラゼンタ錠5mg,31400,3100,2.046,4.106,35,65,0,6,5,13,28,24,24
39,スマートウォッチ 血糖値,31600,2900,1.991,9.711,57,43,0,1,5,11,22,26,35
40,血糖値 高い,28000,2800,2.027,-0.001,31,69,0,5,9,18,27,20,21
41,トピファイバー サプリ,16400,2800,2.63,0.006,48,52,0,1,2,7,22,31,37
42,糖尿病とは,15200,2800,2.659,0,37,63,11,26,16,17,14,8,8
43,糖尿病 数値,13900,2800,2.71,0,42,58,1,6,12,22,27,18,14
44,血糖値 スマートウォッチ,22800,2700,2.217,7.731,69,31,0,1,3,8,22,31,35
45,トーチラック 効果なし,20600,2700,2.363,20.811,65,35,0,0,1,4,20,35,40
46,糖尿病網膜症,14400,2700,2.651,0.002,39,61,2,13,13,20,25,15,12
47,糖尿病一型と二型,8800,2700,3.152,0,32,68,1,6,4,15,29,26,19
48,糖尿病に良い食べ物,11800,2600,2.843,0.005,43,57,1,3,6,13,25,25,27
49,ジャヌビア錠50mg,22200,2500,2.205,3.101,39,61,0,6,6,12,22,24,30
50,糖尿病 痩せる理由,11700,2500,2.74,0,35,65,1,7,13,25,30,16,8
51,糖尿病 目の病気,9300,2400,2.932,0,33,67,0,5,11,25,30,20,9
52,メトグルコ250,17600,2300,2.341,6.785,41,59,0,5,6,13,22,24,30
53,血糖値測定器 針なし 最新,16900,2300,2.401,11.264,60,40,0,1,2,6,17,30,44
54,糖尿病 血液検査,12500,2300,2.579,0,35,65,1,12,19,25,25,11,7
55,糖尿病 インスリン注射,8000,2300,3.038,0.001,33,67,2,7,12,22,27,19,11
56,エクメット配合錠,22900,2200,2.006,5.134,40,60,0,8,11,18,23,21,19
57,糖尿病 英語,11200,2200,2.728,0,43,57,8,15,13,20,21,13,10
58,糖尿病合併症,7500,2200,3.089,0,31,69,2,17,5,15,25,20,16
59,糖尿病 何科を受診,9000,2100,2.828,0,35,65,1,10,18,26,28,12,5
60,糖尿病 血糖値,8400,2100,2.889,0.001,46,54,2,12,14,23,26,14,9
61,トーチラック,16600,2000,2.253,5.121,62,38,0,1,2,7,21,31,38
62,糖尿病性腎症,15100,2000,2.322,0.026,34,66,1,21,13,18,20,15,12
63,糖尿病 検査方法,12700,2000,2.472,0,35,65,3,17,24,26,18,8,4
