順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,マイコプラズマ肺炎,1696000,520,1.699,-0.023,35,65,4,7,18,29,19,12,11
2,手足口病,1455000,520,1.857,-35.671,32,68,2,8,31,29,12,11,7
3,rsウイルス感染症,390000,280,2.597,-1.568,31,69,1,6,20,16,17,23,17
4,突発性発疹,309000,270,2.768,-7.281,17,83,0,9,44,20,9,13,5
5,アデノウイルス,433000,230,2.263,0.013,28,72,2,9,29,27,15,12,6
6,ヒトメタニューモウイルス,355000,230,2.46,3.221,28,72,1,8,28,26,16,14,7
7,気管支炎 症状,342000,220,2.47,-0.052,30,70,2,10,20,25,18,13,12
8,百日咳,565000,210,1.909,37.421,34,66,3,9,20,28,19,13,8
9,ヘルパンギーナ,268000,190,2.535,-38.593,26,74,1,9,33,26,12,12,7
10,肺炎 症状,562000,180,1.795,-2.952,33,67,3,9,15,21,19,16,17
11,マイコプラズマ肺炎 子供,415000,180,2.009,-3.483,18,82,1,3,28,40,9,9,10
12,マイコプラズマ,407000,170,2.009,-0.014,34,66,5,8,20,30,17,10,10
13,rsウイルス 子供,124000,170,3.179,-1.805,19,81,0,9,40,21,9,14,7
14,りんご病,533000,160,1.682,26.698,24,76,1,5,28,33,12,12,9
15,手足口病 症状 初期 子供,287000,150,2.232,-52.642,17,83,0,4,42,33,5,9,7
16,クループ症候群,108000,150,3.203,-0.001,19,81,1,11,39,25,10,9,5
17,カルボシステイン,454000,140,1.709,6.33,31,69,3,15,33,20,13,8,8
18,間質性肺炎,423000,130,1.778,-0.059,31,69,1,4,7,15,22,23,28
19,川崎病とは,296000,130,2.03,0.016,26,74,1,8,27,25,15,15,9
20,手足口病 登園目安,296000,130,2.015,-21.639,14,86,0,5,41,33,8,8,5
21,rsウイルス,78500,130,3.449,-1.36,28,72,1,13,36,17,11,12,10
22,手足口病 症状,263000,120,2.11,-24.698,22,78,1,7,34,30,10,11,7
23,アデノウイルス 子供,173000,120,2.479,6.945,17,83,0,6,39,29,7,13,6
24,赤ちゃん,347000,110,1.766,-23.722,31,69,2,7,23,13,16,26,13
25,手足口病 大人にうつる確率,325000,110,1.81,-22.965,32,68,0,5,25,22,15,22,11
26,溶連菌 症状,253000,100,1.982,18.468,21,79,3,8,29,32,12,9,7
27,溶連菌 大人症状,238000,100,2.033,-2.918,25,75,1,9,23,26,20,13,8
28,プティマイン,228000,100,2.095,-42.317,7,93,0,10,50,22,6,9,3
29,気管支喘息,138000,100,2.61,0.002,29,71,3,12,19,23,17,14,12
30,バースデイ,256000,90,1.807,-0.788,23,77,1,9,35,22,12,13,8
31,肺炎,186000,90,2.161,0.002,39,61,5,10,16,21,19,15,14
32,ネフローゼ症候群,133000,90,2.49,-19.258,32,68,1,13,14,21,22,15,14
33,ヘルパンギーナ 症状 子供,132000,90,2.507,-37.03,16,84,0,6,41,29,6,11,7
34,気管支炎,87400,90,2.949,-0.365,29,71,5,16,28,24,13,8,6
35,咳喘息,234000,80,1.796,-0.001,28,72,3,10,20,25,18,15,9
36,マイコプラズマ肺炎 出席停止,197000,80,1.905,4.946,18,82,5,5,17,43,20,6,4
37,バースデイ オンライン,181000,80,2.107,-15.811,9,91,0,11,54,21,6,6,2
38,離乳食 進め方 表,116000,80,2.569,8.599,8,92,0,12,44,17,9,13,5
39,熱性けいれん,95000,80,2.695,-10.712,25,75,1,10,41,24,10,9,5
40,rsウイルス おとな,67000,80,3.076,-0.029,23,77,0,8,25,18,17,20,12
41,さい気管支炎,2100,80,6.564,0,25,75,2,14,29,23,14,11,7
42,感染性胃腸炎,216000,70,1.721,21.306,31,69,2,12,20,22,19,15,10
