順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,防風通聖散,315000,430,2.19,-0.144,19,81,2,11,18,24,24,13,8
2,マンジャロ,306000,410,2.164,1.126,30,70,2,16,21,25,21,10,5
3,肥満症 薬,9100,330,5.467,0,48,52,1,2,9,21,29,23,15
4,メトホルミン,235000,320,2.163,-7.024,33,67,0,6,11,23,30,18,12
5,脂質異常症,178000,320,2.474,-0.001,30,70,1,9,12,20,27,18,13
6,リベルサス,219000,300,2.175,-2.503,30,70,1,12,19,25,24,12,7
7,アライ 大正製薬,167000,240,2.225,-20.76,40,60,0,3,10,21,30,22,14
8,肥満外来 保険適用,20700,220,4.219,-0.001,19,81,0,4,14,25,31,16,10
9,ウゴービ,27600,210,3.907,-0.455,42,58,0,6,15,26,28,16,9
10,フォシーガ,104000,180,2.396,-14.013,34,66,0,9,14,23,25,16,13
11,オゼンピック,70500,180,2.801,-4.187,30,70,1,10,17,25,25,14,8
12,脂肪肝,147000,170,2.001,0,37,63,1,8,15,22,25,16,13
13,肥満外来,15600,170,4.227,-0.022,21,79,1,7,16,25,27,15,9
14,糖尿病 診断基準,157000,160,1.904,-2.029,41,59,1,7,10,14,22,22,24
15,ダイエット,138000,160,2.008,4.895,27,73,6,13,22,27,19,8,5
16,防已黄耆湯,103000,160,2.31,-17.162,14,86,2,11,20,26,23,11,7
17,ジャディアンス,73500,160,2.645,-9.842,39,61,0,10,13,22,25,16,14
18,エンレスト,88800,150,2.38,-30.324,37,63,0,12,15,23,24,14,12
19,肥満,15900,150,4.111,0,43,57,4,9,13,21,21,16,16
20,glp-1,56500,140,2.789,-7.449,34,66,0,11,17,24,24,14,10
21,肥満症 ガイドライン,1400,140,6.544,0,36,64,0,12,13,17,21,21,16
22,ターミナリアファースト,117000,130,2.021,-22.081,23,77,0,2,6,21,32,24,15
23,pubmed,53200,130,2.777,-46.326,68,32,1,19,22,27,17,9,5
24,肥満症とは,1200,130,6.524,0,25,75,4,17,18,22,22,10,7
25,ダイエット サプリ 最強,95600,120,2.041,-8.39,28,72,2,7,15,27,28,14,7
26,脂肪吸引,94500,120,2.145,-8.947,32,68,4,23,23,23,17,7,3
27,大きいサイズ レディース,83600,120,2.272,-44.664,9,91,1,5,11,22,33,19,9
28,クッシング症候群,70900,120,2.433,-0.831,26,74,2,21,14,20,23,13,7
