順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,膠原病 初期症状,213000,34500,2.838,0,20,80,0,2,6,16,27,24,25
2,シェーグレン症候群,265000,21400,2.126,0.002,21,79,1,7,9,17,26,23,17
3,しあわせは食べて寝て待て,313000,18000,1.781,0.582,21,79,0,2,6,17,30,29,16
4,リウマチ,236000,16100,1.933,-0.002,36,64,2,7,12,19,24,19,17
5,リウマチ 初期症状,229000,13900,1.795,-0.782,24,76,1,4,10,25,32,17,11
6,膠原病 寿命,43400,13200,3.466,0.003,29,71,1,4,8,15,24,23,25
7,全身性エリテマトーデス,121000,11900,2.295,0.005,20,80,2,16,16,22,23,13,8
8,関節リウマチ,122000,10500,2.18,0,30,70,2,11,11,16,24,19,17
9,膠原病とは,56900,8100,2.707,0,35,65,1,8,9,14,23,21,24
10,リウマチ性多発筋痛症,79300,7300,2.281,0.186,28,72,0,4,6,13,25,24,28
11,自己免疫疾患,79400,7000,2.184,0.001,23,77,3,8,13,23,24,16,13
12,八代亜紀 膠原病,70900,6100,2.249,0,30,70,1,3,6,11,18,24,37
13,強皮症,52900,6000,2.467,0.512,25,75,1,8,11,19,25,20,16
14,膠原病 種類,19500,5900,3.47,0.004,19,81,1,4,7,14,24,26,24
15,関節リウマチ 初期症状,75000,5600,2.048,-0.117,22,78,1,5,9,17,28,21,19
16,リウマチの初期症状,86300,4900,1.811,-0.074,30,70,1,1,2,10,25,27,34
17,膠原病 難病指定,12300,4900,3.718,0.003,26,74,1,4,8,18,30,22,17
18,膠原病 血液検査,14500,4800,3.524,0.006,21,79,1,4,8,20,29,20,18
19,レイノー現象,51100,4500,2.195,0.042,25,75,2,16,14,22,23,13,10
20,膠原病 治るのか,13600,4500,3.533,0.012,30,70,2,5,9,18,26,18,22
21,膠原病 皮膚症状,13900,4300,3.488,0.002,12,88,0,3,7,18,29,22,21
22,エリテマトーデス,48000,4100,2.158,0.005,23,77,1,9,14,22,24,17,13
23,膠原病 原因,15700,4100,3.293,0.003,26,74,1,5,9,18,25,19,23
24,抗核抗体とは,26400,4000,2.736,0.028,22,78,1,7,10,20,27,19,16
25,難病 一覧,68300,3900,1.806,0.001,33,67,2,4,7,15,22,24,26
26,メトトレキサート,58700,3900,1.913,6.742,29,71,1,14,12,19,23,17,14
27,皮膚筋炎,35000,3900,2.438,0.208,26,74,1,8,10,19,26,20,16
28,リウマチ 原因,58700,3700,1.835,-1.321,30,70,1,5,11,23,29,16,15
29,難病医療費助成制度,51800,3300,1.871,7.838,26,74,0,4,8,21,31,20,16
30,リウマチ 血液検査,35100,3300,2.244,-0.001,23,77,0,3,7,19,32,22,17
31,sle 症状,43500,3200,2.024,1.058,23,77,2,14,16,21,22,15,10
32,多発性筋炎,29200,3000,2.361,0.244,25,75,2,11,11,18,24,19,15
33,sle,35200,2800,2.067,0.785,25,75,2,15,17,23,22,13,8
34,リウマチ 治る,33600,2800,2.114,-0.003,29,71,1,5,11,22,29,19,13
35,ステロイド 飲み薬,42700,2500,1.81,4.162,32,68,1,5,8,18,23,22,23
36,間質性肺炎 症状,43700,2300,1.749,2.148,26,74,1,4,3,9,20,27,36
37,血管炎とは,29200,2300,2.111,0.651,25,75,1,5,10,19,24,21,20
38,リウマチ 難病指定,21500,2200,2.344,0.001,19,81,1,3,8,22,31,22,13
39,免疫抑制剤,30100,2100,1.98,9.198,27,73,1,8,10,19,25,20,17
40,膠原病 何科を受診,5600,2100,3.633,0.003,16,84,0,3,9,24,32,17,15
41,間質性肺炎 寿命,38500,2000,1.739,0.001,32,68,1,2,4,11,22,25,35
42,プレドニン 副作用,34300,2000,1.817,8.177,25,75,1,11,11,19,23,17,18
43,リウマチ 薬,22700,2000,2.189,1.201,28,72,0,4,7,18,29,23,19
44,膠原病 症状,8900,2000,3.148,0.021,22,78,2,5,12,19,26,18,18
45,難病指定,30000,1900,1.875,4.107,31,69,1,3,8,19,28,21,20
