順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,自閉症スペクトラム,379000,3900,2.743,-0.006,27,73,2,8,18,26,21,15,10
2,自閉症スペクトラム 軽度 特徴,164000,1400,2.571,0.001,20,80,1,4,17,27,21,18,12
3,発達障害,111000,780,2.362,-0.003,33,67,3,8,17,26,22,13,11
4,自閉症,109000,750,2.346,0,36,64,5,14,23,24,15,10,9
5,広汎性発達障害,51900,600,2.862,-0.001,24,76,2,11,17,25,23,14,8
6,特別児童扶養手当,70700,550,2.422,0.475,24,76,1,4,26,44,17,5,3
7,放課後等デイサービス,71900,460,2.253,-32.642,30,70,1,8,18,32,21,13,7
8,自閉スペクトラム,11700,390,3.886,0,35,65,1,6,18,29,23,14,9
9,自閉スペクトラム症 有名人,1600,350,5.841,0.001,35,65,1,4,13,23,23,17,19
10,自閉スペクトラム症 特徴,3500,340,5.034,0,27,73,2,9,12,19,24,21,13
11,知的障害と発達障害違い,52000,320,2.239,0.001,26,74,2,9,16,23,23,16,11
12,スペクトラムとは,33400,310,2.674,0.001,37,63,3,7,9,18,23,20,20
13,自閉スペクトラム症 子供,3300,310,4.971,0.002,20,80,2,5,21,31,12,15,14
14,軽度知的障害,39300,280,2.342,-0.011,25,75,2,8,20,33,20,9,8
15,高機能自閉症とは,26300,270,2.729,0.001,16,84,2,9,19,28,22,14,6
16,リタリコ,42200,260,2.228,0.154,30,70,1,9,19,32,22,11,6
17,インチュニブ,39300,250,2.243,31.589,31,69,2,10,18,31,23,11,5
18,自閉スペクトラム症 自閉症 違い,1400,240,5.557,0.001,18,82,5,8,20,27,18,13,9
19,カサンドラ症候群,29100,230,2.46,1.557,22,78,1,9,21,27,23,12,7
20,自閉スペクトラム症 門脇麦,1200,230,5.715,0,22,78,2,7,16,28,19,16,12
21,合理的配慮とは,33900,210,2.239,-2.873,32,68,4,13,11,26,26,14,6
22,スペクトラム,22700,210,2.617,0,53,47,2,5,9,18,28,24,14
23,児童発達支援士,30400,190,2.21,-11.867,13,87,1,6,23,39,21,7,3
24,感覚過敏,24100,180,2.398,0,19,81,5,14,22,30,16,8,5
25,ウィスク検査,23600,180,2.388,-6.211,17,83,1,5,23,46,16,5,4
26,エコラリアとは,26000,170,2.246,0.996,12,88,1,8,33,28,16,10,4
27,療育,20900,170,2.473,0.003,25,75,1,8,30,31,15,9,6
28,児童発達支援,20600,170,2.512,-0.028,25,75,0,7,22,34,20,11,6
29,発達検査,24400,160,2.274,0.002,16,84,2,6,23,38,16,8,7
30,知的障害 軽度,20500,160,2.435,0.521,21,79,2,8,17,29,21,14,9
31,相談支援事業所,20100,160,2.463,-1.043,33,67,1,7,18,30,25,13,6
32,発達障害者支援法,17900,160,2.651,0.02,29,71,1,8,7,18,27,23,16
33,ソーシャルスキルトレーニング,16700,160,2.622,-6.609,22,78,1,12,18,34,21,9,5
34,発達性協調運動障害,16100,160,2.714,-0.003,19,81,4,10,21,33,17,9,6
35,田中ビネー知能検査,15800,160,2.711,0.049,20,80,1,11,25,36,15,8,4
36,dsm-5,12400,160,2.973,-2.594,32,68,3,23,15,23,19,10,7
37,自閉症スペクトラム障害,5800,160,3.723,0,41,59,3,10,15,24,23,13,12
38,ストラテラ,24100,150,2.256,13.077,32,68,2,15,20,27,21,10,5
39,発達障害の人が見ている世界,19300,150,2.45,-9.222,24,76,2,5,10,27,27,15,14
40,アスペルガー 子供,18300,150,2.523,-0.005,9,91,1,3,24,39,13,11,9
41,療育手帳 障害者手帳 違い,17300,150,2.548,11.915,31,69,1,5,16,27,25,18,8
42,自閉症スペクトラム 特徴,10300,150,3.082,-0.003,24,76,5,15,22,26,16,10,6
43,sst,21200,140,2.323,-26.691,41,59,2,12,16,27,22,14,7
44,障害児福祉手当,15300,140,2.589,26.998,23,77,1,4,24,40,19,7,5
45,メラトベル,16800,130,2.44,-32.445,26,74,2,9,18,34,21,10,6
46,支援学級に入る基準,16400,130,2.411,0.531,9,91,1,2,25,46,11,8,7
47,wisc 検査,16100,130,2.466,-28.042,17,83,1,9,21,38,17,9,5
48,asd 特徴,16000,130,2.544,-0.203,28,72,7,21,24,25,14,5,4
49,ペアレントトレーニング,12800,130,2.694,0.086,17,83,1,8,19,38,19,10,5
50,注意欠如多動症,3300,130,4.085,0.002,35,65,5,8,17,26,24,12,8
51,エリクソン 発達段階,21000,120,2.217,3.612,21,79,7,38,11,17,15,8,4
52,場面緘黙,20000,120,2.231,-1.681,28,72,3,10,19,28,19,12,9
53,sst トレーニング,17300,120,2.372,8.34,23,77,1,9,16,30,24,13,7
54,自閉症スペクトラム 顔つき,9200,120,3.003,0.003,28,72,4,11,19,27,21,12,6
55,自閉症スペクトラム 有名人,8100,120,3.142,-0.02,29,71,2,4,15,26,22,19,12
56,スクールソーシャルワーカー,16900,110,2.314,-6.915,31,69,6,14,13,29,22,11,5
57,コグトレ,16900,110,2.26,-1.546,27,73,1,6,17,35,22,12,7
58,コペルプラス,15400,110,2.315,-7.276,19,81,0,8,28,36,16,8,4
59,発達障害 障害者手帳,13300,110,2.483,-6.997,31,69,1,5,16,30,32,11,5
60,自閉症 知的障害,13200,110,2.576,-2.345,24,76,2,6,17,26,20,15,14
61,dcd 発達性協調運動障害,13200,110,2.474,10.57,16,84,1,6,25,34,18,10,6
62,メラトベル顆粒小児用0.2%,11200,110,2.693,-4.798,20,80,2,4,19,37,21,11,6
63,wisc,11200,110,2.643,1.585,25,75,2,10,21,38,17,7,5
64,療育手帳とは,10900,110,2.716,0.256,29,71,2,14,21,24,20,13,6
65,神経発達症とは,9600,110,2.849,13.442,21,79,2,9,16,30,23,13,7
66,限局性学習症,7200,110,3.165,0.002,25,75,3,14,15,26,22,13,7
67,注意欠如多動性障害,6400,110,3.266,0.002,31,69,3,15,16,24,22,13,7
68,icf,16600,100,2.268,-0.002,36,64,4,31,13,19,19,9,5
69,バイスティックの7原則,16500,100,2.22,-3.072,28,72,2,16,12,23,26,14,7
70,インチュニブ 効果,15600,100,2.207,45.07,26,74,2,8,16,32,24,12,6
71,wais 検査,15300,100,2.267,-0.016,34,66,4,23,19,22,20,8,4
72,ジェノグラム,13700,100,2.412,0.96,28,72,2,24,12,22,22,12,6
73,リタリコ発達障害ナビ,13100,100,2.433,-8.063,15,85,1,4,17,36,24,12,6
74,特別児童扶養手当 支給日,12900,100,2.381,35.355,22,78,1,4,30,44,16,3,2
