順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,蕁麻疹 原因,380000,30200,2.812,-0.002,31,69,3,8,16,26,22,14,11
2,蕁麻疹 薬,90900,10300,3.151,0.001,28,72,1,7,17,30,24,12,9
3,蕁麻疹 治らない,63100,8200,3.299,0.336,26,74,2,7,15,27,25,14,10
4,蕁麻疹 何科を受診,52000,6700,3.288,0.001,24,76,1,6,15,29,25,13,11
5,蕁麻疹 画像,45100,6600,3.42,0,24,76,1,3,9,23,28,22,14
6,湿疹,94200,6300,2.658,0.001,41,59,4,12,18,19,18,13,16
7,アトピー性皮膚炎,188000,5100,1.737,0.015,30,70,3,10,16,24,23,13,11
8,発疹,118000,5000,2.182,0,36,64,2,9,21,24,19,13,12
9,水疱瘡,184000,4900,1.705,0.001,30,70,2,8,29,31,13,9,8
10,蕁麻疹 対処法,39800,4600,3.19,0.001,30,70,4,10,17,26,21,12,10
11,蕁麻疹 かゆみ 抑え方,40800,4500,3.141,0.001,27,73,3,7,17,29,22,12,10
12,蕁麻疹 夜になると出る,33900,4200,3.246,-0.001,27,73,2,8,17,29,24,12,8
13,蕁麻疹 市販薬,32400,4100,3.261,0.002,29,71,0,9,17,27,26,13,8
14,湿疹 痒い 赤いプツプツ,82800,3800,2.287,0.001,23,77,1,4,10,23,26,19,17
15,コリン性蕁麻疹,69700,3700,2.397,0.016,23,77,4,16,22,25,19,9,5
16,あせも 画像,85200,3300,2.077,-0.005,28,72,1,7,18,26,23,15,10
17,あせも,69200,3200,2.256,-0.002,29,71,3,15,26,26,16,8,6
18,蕁麻疹 ストレス,27900,3200,3.19,0.001,23,77,4,17,20,25,19,9,6
19,抗ヒスタミン薬,98200,2900,1.819,0.409,31,69,1,11,18,26,20,13,11
20,蕁麻疹 子供,26200,2800,3.076,0,11,89,0,3,44,43,4,3,3
21,寒冷蕁麻疹,54500,2700,2.343,0.015,23,77,4,11,20,26,18,12,9
22,レスタミンコーワクリーム,93800,2500,1.752,1.375,26,74,1,5,16,22,19,17,20
23,とびひ,89800,2500,1.746,-1.291,23,77,2,8,32,30,12,9,7
24,薬疹,34000,2000,2.49,0.201,23,77,2,12,25,27,18,9,7
25,湿疹の種類,38000,1800,2.335,0,27,73,0,2,5,18,25,24,26
26,慢性蕁麻疹,18600,1800,3.012,2.137,25,75,4,13,19,26,21,10,7
27,じんましん,25900,1700,2.603,0.013,27,73,2,8,22,30,20,10,8
28,接触性皮膚炎,50400,1600,1.921,0.002,19,81,2,14,21,24,20,12,7
29,レスタミン,55700,1500,1.741,0.995,33,67,3,10,17,24,21,13,12
30,麻疹,55200,1400,1.678,0.035,36,64,2,10,22,27,20,10,9
31,アトピー,41200,1400,1.961,0.009,33,67,8,19,26,24,13,5,5
32,汗疹,31200,1400,2.265,-0.001,30,70,3,15,28,24,15,9,6
33,湿疹 原因,28600,1400,2.33,0.002,39,61,2,9,14,19,21,15,20
34,多形滲出性紅斑,28200,1300,2.245,0.594,21,79,1,9,27,30,17,10,6
35,蕁麻疹 漢方,9600,1300,3.294,0.004,27,73,0,4,13,30,30,15,8
36,毛虫 刺され 症状,47200,1200,1.682,-0.002,29,71,2,6,16,27,23,16,10
37,手足口病 大人,46400,1200,1.642,-3.509,25,75,1,12,48,25,7,5,2
38,食物アレルギー,45900,1200,1.667,0.03,25,75,3,8,18,26,21,14,10
39,風疹,36900,1200,1.92,0.005,31,69,2,13,29,26,17,8,5
40,蕁麻疹 塗り薬,11000,1200,3.128,0.003,20,80,1,9,28,37,16,6,3
41,かゆみ止め 飲み薬,45300,1100,1.698,0.006,35,65,1,6,11,21,24,18,19
42,紅斑,26600,1100,2.183,0.537,25,75,3,13,20,26,19,11,8
43,ストレス 蕁麻疹,21300,1100,2.402,0.003,24,76,3,16,20,25,20,11,5
44,蕁麻疹 かゆくない,8300,1100,3.346,0.001,17,83,3,16,27,29,17,5,3
45,蕁麻疹 うつる?,6400,1100,3.62,0.002,37,63,8,23,30,23,10,4,2
46,皮膚炎,29700,1000,1.998,0.021,38,62,3,9,14,20,21,16,17
47,中毒疹,21300,970,2.246,1.832,24,76,1,10,23,26,21,12,7
48,薬疹 画像,20000,970,2.327,0.058,14,86,0,3,14,27,27,19,10
49,蚊に刺されたような湿疹,19200,970,2.36,-0.003,22,78,5,17,22,25,20,7,4
50,血管性浮腫,32700,960,1.842,0.846,27,73,2,8,13,21,24,18,14
51,溶連菌 発疹,32100,960,1.789,0.003,12,88,0,5,46,39,6,2,2
52,ジベル薔薇色粃糠疹,31800,940,1.811,0.962,24,76,2,12,20,27,23,11,5
53,アレルギー 症状,28600,910,1.926,0.001,24,76,6,12,17,20,18,14,13
54,抗ヒスタミン薬 市販,30700,880,1.795,0.021,29,71,1,8,16,25,24,16,10
55,蕁麻疹 薬 市販,8200,870,3.101,0.002,29,71,2,11,18,30,23,9,7
56,蕁麻疹 治し方,6000,870,3.438,0.003,35,65,10,23,23,25,12,5,2
57,かぶれ,16100,860,2.416,0,34,66,4,13,19,23,20,12,9
58,ジンマート,14000,860,2.543,0.272,34,66,1,8,16,25,25,15,10
59,蕁麻疹 かゆい,5500,860,3.493,0.001,20,80,5,22,29,28,11,3,2
60,体がかゆい,30700,850,1.793,-3.79,34,66,2,5,8,19,23,20,23
61,水ぼうそう,28800,850,1.792,1.06,20,80,1,5,32,36,13,8,5
62,多形紅斑,20300,850,2.169,0.902,25,75,1,8,22,25,20,14,10
63,全身かゆい 原因,21200,830,2.094,-0.087,31,69,4,11,17,27,21,12,8
64,温熱蕁麻疹,18000,810,2.255,1.029,23,77,7,19,24,25,15,6,4
65,水イボ,29600,790,1.69,-3.538,19,81,1,8,41,31,10,6,3
66,蕁麻疹 ストレス 写真,5000,790,3.514,0.002,20,80,10,24,17,22,18,5,4
67,痒疹,15700,780,2.34,0.024,29,71,2,10,17,24,23,14,10
68,皮膚 赤い斑点,27500,750,1.736,0,35,65,1,7,16,24,26,12,14
69,蕁麻疹 顔,4900,750,3.467,0.004,17,83,4,21,31,27,11,4,2
70,結節性痒疹,26700,730,1.743,1.482,25,75,1,7,14,26,27,15,10
