順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,貧血 症状,267000,8600,3.152,-0.003,23,77,5,14,16,25,18,9,13
2,貧血に良い食べ物,203000,4200,2.72,0,28,72,3,8,11,21,23,16,18
3,貧血 数値,74800,3400,3.5,0,18,82,1,7,13,27,22,14,16
4,貧血 対処法,87800,2900,3.163,0,30,70,6,17,18,24,17,7,11
5,貧血 原因,54300,2000,3.292,-0.001,33,67,5,11,11,21,21,15,16
6,ヘモグロビン,113000,1800,2.472,0.001,35,65,3,8,10,19,22,18,20
7,鉄欠乏性貧血,52400,1700,3.144,0.013,19,81,3,16,18,31,19,7,6
8,血圧,166000,1400,1.806,-0.033,42,58,2,8,12,20,22,16,20
9,めまい,117000,1400,2.172,0,27,73,2,7,13,23,24,16,15
10,低血圧 症状,137000,1200,1.843,0,27,73,4,15,13,17,18,14,19
11,自律神経失調症,136000,1200,1.856,0.004,33,67,5,17,19,20,17,11,11
12,ヘモグロビン 低い 原因,81200,1200,2.345,-0.081,29,71,1,6,11,24,24,16,18
13,低血圧,65500,1200,2.618,0,27,73,5,19,19,19,16,10,12
14,生理痛,92700,1100,2.097,-0.006,14,86,9,17,20,29,16,5,4
15,低血糖,72400,1000,2.313,0.003,28,72,3,16,20,22,19,11,9
16,貧血 サプリ,25700,1000,3.32,0.001,30,70,2,8,15,29,24,12,10
17,貧血 頭痛,24400,1000,3.398,0,11,89,4,15,23,35,17,3,3
18,ヘマトクリットとは,103000,990,1.96,0.001,27,73,1,10,11,18,24,18,18
19,クエン酸第一鉄na50mg,50700,920,2.58,2.541,22,78,1,11,14,25,22,12,15
20,子宮腺筋症,92300,910,1.922,0.445,12,88,1,7,16,38,24,8,6
21,起立性低血圧,80700,910,2.105,0.003,26,74,7,17,14,22,19,11,10
22,貧血 眠気,17400,880,3.563,0.001,10,90,3,13,21,35,19,4,5
23,貧血 薬,17100,880,3.616,0.002,25,75,3,12,14,28,22,10,11
24,貧血 食べ物,27500,870,3.132,0.001,26,74,5,20,24,24,14,6,7
25,自律神経,96900,850,1.854,0.081,35,65,3,9,15,22,21,15,15
26,鉄分,41100,840,2.685,0.116,28,72,3,13,23,29,17,7,8
27,再生不良性貧血,48800,830,2.514,0.001,26,74,2,14,14,21,21,15,13
28,鉄剤 副作用,28300,830,3.016,4.974,12,88,1,7,19,37,22,8,6
29,鉄分不足 症状,89900,810,1.884,-0.001,26,74,2,7,14,24,22,13,18
30,下痢,87400,810,1.904,4.546,29,71,5,12,19,23,19,11,11
31,更年期,71900,800,2.035,2.09,20,80,4,6,10,36,36,4,4
32,赤血球 少ない 原因,70800,800,2.122,-0.006,33,67,0,4,8,17,25,22,24
33,フェリチン,37600,760,2.679,3.124,25,75,1,10,17,30,17,9,16
34,気管支炎,87400,740,1.805,-6.558,29,71,5,16,28,24,13,8,6
35,生理,79200,720,1.877,-1.387,32,68,12,18,21,24,12,6,7
36,動悸,52100,720,2.294,0.926,37,63,7,15,19,23,18,10,8
