順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,小児科 近く,9200,1000,4.744,0,19,81,1,7,32,38,8,7,7
2,小児,17100,440,3.296,0,47,53,3,12,18,22,16,15,14
3,一時保育,9100,160,2.911,-3.984,16,84,0,12,54,21,5,4,4
4,40度の熱 子供,9900,160,2.821,0.006,14,86,0,5,48,35,6,3,3
5,耳鼻科,125000,1900,2.762,0.02,30,70,3,11,23,28,17,8,10
6,こどもクリニック,15300,240,2.75,0,22,78,1,5,31,40,13,5,5
7,小児科 何歳まで,85600,1300,2.746,0,24,76,5,6,14,46,21,4,4
8,赤ちゃん ヨーグルト,9500,130,2.69,-24.591,9,91,0,19,63,13,2,2,1
9,スイミング,11500,160,2.668,11.243,26,74,2,3,27,36,12,8,12
10,入園式,9200,130,2.66,133.218,16,84,1,12,50,21,6,6,4
11,病児保育,47800,630,2.602,0.211,19,81,1,9,39,28,10,9,4
12,トイトレ,11200,150,2.598,18.832,13,87,1,11,59,21,3,3,2
13,手足口病 経過,9300,120,2.587,-9.702,12,88,0,5,58,30,2,2,3
14,キッズカット,14400,190,2.574,-25.783,17,83,0,6,46,37,6,2,3
15,眼科,114000,1400,2.571,-3.677,33,67,3,7,15,23,18,14,20
16,子供 咳,8800,110,2.553,-7.11,17,83,0,4,45,42,5,2,2
17,内科,120000,1500,2.551,0.004,36,64,2,12,19,26,21,11,9
18,一時預かり 保育,9300,110,2.541,2.017,14,86,1,11,46,25,8,7,2
19,赤ちゃん 鼻水吸引器,11700,140,2.532,0.251,29,71,0,15,52,20,6,5,2
20,赤ちゃん 咳,11400,140,2.53,13.723,22,78,0,17,62,15,2,3,1
21,赤ちゃん 虫刺され,9200,110,2.528,-18.998,14,86,0,13,62,18,2,3,2
22,内科 現在地周辺,53300,640,2.525,1.368,32,68,2,9,16,27,26,12,8
23,手足口,9400,120,2.525,-0.248,28,72,0,6,46,31,8,5,4
24,納豆 離乳食,9000,110,2.521,-43.987,7,93,0,13,65,17,2,2,1
25,1歳半検診,8400,100,2.518,-0.803,15,85,0,10,55,18,5,8,4
26,保育園見学 聞くこと,8900,110,2.516,-18.753,10,90,0,22,62,12,1,2,1
27,突発性発疹 保育園,22300,270,2.512,1.27,8,92,0,10,53,21,4,8,4
28,保育園 就労証明書,21700,260,2.512,-7.893,23,77,0,11,47,25,8,6,3
29,手足口病 保育園,22500,270,2.511,-34.88,16,84,0,9,56,26,4,3,2
30,e赤ちゃん,14900,180,2.511,-9.785,16,84,0,16,57,15,5,5,2
31,こどもの国 沖縄,12100,150,2.511,22.284,27,73,2,8,40,35,8,5,2
32,0120 959 925,11900,140,2.51,-61.065,14,86,0,5,68,24,1,1,1
33,3回食 スケジュール,8900,110,2.505,-8.75,3,97,0,17,69,11,1,1,1
34,インフルエンザ 子供,7600,90,2.505,8.408,21,79,0,4,45,39,5,4,3
35,赤ちゃん 下痢,13100,150,2.504,-6.41,15,85,0,18,64,12,2,3,1
36,咳が止まらない 子供,12000,150,2.503,-0.718,15,85,1,3,40,45,6,3,2
37,赤ちゃん 熱 対処,9400,110,2.501,-4.276,24,76,0,17,57,16,3,5,2
38,りんご 離乳食,11700,140,2.499,-4.429,7,93,0,12,63,18,3,3,1
39,胃腸炎 子供,11200,140,2.499,37.976,18,82,1,6,51,34,4,2,2
40,6ヶ月 離乳食,8800,100,2.493,-35.978,6,94,0,14,41,13,12,16,4
41,しみずこどもクリニック,9400,110,2.491,0.001,20,80,1,5,37,39,10,5,3
42,ベビースイミング,10100,120,2.483,-16.428,12,88,0,15,55,17,4,7,2
43,赤ちゃんファースト ログイン,10600,120,2.479,-30.093,14,86,0,11,66,20,1,1,1
44,アデノ,13700,160,2.475,-5.591,20,80,1,6,44,31,9,5,4
45,子供 熱,12500,150,2.469,-18.125,24,76,0,5,43,38,6,5,3
46,赤ちゃん 咳 受診目安,10900,120,2.469,-26.149,8,92,0,15,66,15,1,2,1
47,わたなべ小児科,9000,110,2.468,-0.018,19,81,1,6,34,39,11,5,4
48,小児医療センター,10700,120,2.466,-4.085,23,77,2,6,26,35,17,9,5
49,予防接種 副反応 熱,17700,200,2.464,4.276,8,92,0,11,57,20,4,5,3
50,手足口病 病院,12100,140,2.463,-23.883,21,79,1,9,55,28,3,2,2
51,コニー ヒップシート,8400,90,2.462,-14.765,7,93,0,15,64,14,2,3,2
52,離乳食 進め方,21400,240,2.46,-11.121,7,93,0,16,56,14,5,6,3
53,結膜炎 保育園,17300,200,2.46,5.495,10,90,0,9,56,26,3,4,2
54,モンテルカスト細粒4mg,18000,210,2.454,40.504,17,83,0,6,45,34,5,5,5
55,慣らし保育,8500,100,2.452,81.699,20,80,1,12,53,20,6,5,3
56,子連れ ランチ,13800,160,2.449,27.025,9,91,0,9,49,28,6,6,2
57,子供熱が下がらない,9000,100,2.449,0.402,24,76,0,7,32,34,10,11,6
58,なす 離乳食,9400,100,2.446,-9.982,7,93,0,13,67,16,1,2,1
59,手足口病 発疹 いつ消える,12600,140,2.442,-18.169,12,88,1,7,55,29,3,3,2
60,lvバッグ,19300,220,2.441,-13.419,25,75,1,11,36,26,13,9,4
61,オゼックス細粒小児用,14300,160,2.44,-8.78,17,83,1,4,35,41,9,6,4
62,幼児食,14000,150,2.44,-8.211,12,88,1,8,48,20,4,11,8
